Kennziffer,Raumeinheit,Aggregat,Bevölkerung,Kinos,Kinosäle,Kinositzplätze,Einwohnerdichte,Siedlungs- und Verkehrsfläche,ÖV-Haltestellen,ÖV-Abfahrten
,,,2022,2021,2021,2021,2022,2022,2020,2020
1051001,Albersdorf,Grundzentrum,3774,0,0,0,220.44,19.68,10,260
1051013,Büsum,Grundzentrum,4970,1,2,463,586.08,41.39,7,193
1051016,Burg (Dithmarschen),Grundzentrum,4206,0,0,0,373.87,23.02,6,219
1051049,Hennstedt,Grundzentrum,2042,0,0,0,93.11,15.28,11,432
1051071,Lunden,Grundzentrum,1677,0,0,0,360.65,22.8,3,134
1051072,Marne,Grundzentrum,6037,0,0,0,1249.9,62.32,8,246
1051074,Meldorf,Grundzentrum,7355,1,1,98,345.95,23.61,17,669
1051097,Sankt Michaelisdonn,Grundzentrum,3541,0,0,0,153.56,20.16,6,219
1051114,Tellingstedt,Grundzentrum,2717,0,0,0,128.77,12.46,7,166
1051127,Wesselburen,Grundzentrum,3564,0,0,0,694.74,35.67,6,218
1053009,Berkenthin,Grundzentrum,2212,0,0,0,213.93,16.05,7,426
1053020,Büchen,Grundzentrum,6617,0,0,0,392.7,27.24,11,453
1053083,Lauenburg,Grundzentrum,11855,0,0,0,1240.06,48.95,35,1515
1053100,Ratzeburg,Grundzentrum,14553,2,5,1461,480.46,21.16,41,3423
1053108,Sandesneben,Grundzentrum,1886,0,0,0,307.67,17.13,6,459
1053116,Schwarzenbek,Grundzentrum,17317,1,3,204,1486.44,49.79,15,944
1054019,Bredstedt,Grundzentrum,5736,0,0,0,588.31,34.56,12,393
1054033,Friedrichstadt,Grundzentrum,2555,0,0,0,635.57,39.8,9,173
1054036,Garding,Grundzentrum,2823,0,0,0,922.55,52.29,6,94
1054065,Klanxbüll,Grundzentrum,1042,0,0,0,98.02,15.52,6,115
1054076,Leck,Grundzentrum,7860,1,2,226,263.85,26.05,22,559
1054085,Nebel,Grundzentrum,984,0,0,0,82.34,13.89,6,168
1054086,Neukirchen,Grundzentrum,1107,0,0,0,35.05,8.2,22,363
1054088,Niebüll,Grundzentrum,10192,0,0,0,332.75,23.73,25,850
1054113,Sankt Peter-Ording,Grundzentrum,3934,1,1,102,138.77,19.82,32,931
1054131,Süderlügum,Grundzentrum,2424,0,0,0,91.16,13.43,10,208
1054138,Tönning,Grundzentrum,4895,0,0,0,110.17,10.33,26,440
1054144,Viöl,Grundzentrum,2225,0,0,0,117.35,12.03,9,212
1054164,Wyk auf Föhr,Grundzentrum,4380,1,2,333,542.08,39.85,15,359
1054168,Sylt,Grundzentrum,13924,1,4,557,242.96,30.41,80,2834
1055001,Ahrensbök,Grundzentrum,8469,0,0,0,88.8,7.73,56,985
1055004,Bad Schwartau,Grundzentrum,20255,1,4,597,1101.41,38.06,32,4634
1055016,Grömitz,Grundzentrum,7286,1,2,169,142.61,15.76,37,941
1055018,Grube,Grundzentrum,1049,0,0,0,51.9,9.25,8,176
1055021,Heiligenhafen,Grundzentrum,9330,0,0,0,509.28,28.82,36,593
1055027,Lensahn,Grundzentrum,5101,0,0,0,184.15,13.65,18,557
1055028,Malente,Grundzentrum,10929,0,0,0,158.23,12.06,43,978
1055032,Neustadt in Holstein,Grundzentrum,15464,1,3,262,783.78,41.71,33,1441
1055033,Oldenburg in Holstein,Grundzentrum,9922,1,2,202,249.99,20.41,24,861
1055035,Ratekau,Grundzentrum,15330,0,0,0,257.13,17.53,41,1703
1055038,Schönwalde am Bungsberg,Grundzentrum,2573,0,0,0,65.77,6.98,22,327
1055040,Stockelsdorf,Grundzentrum,17087,0,0,0,301.36,16.46,50,2119
1055042,Timmendorfer Strand,Grundzentrum,8646,0,0,0,429.51,25.29,22,974
1055044,Scharbeutz,Grundzentrum,11739,1,1,145,223.43,18.42,49,1127
1055046,Fehmarn,Grundzentrum,13247,1,1,171,71.41,9.91,75,1152
1056002,Barmstedt,Grundzentrum,10630,1,2,107,619.1,24.46,14,453
1056018,Halstenbek,Grundzentrum,17978,0,0,0,1429.09,44.83,18,2386
1056041,Quickborn,Grundzentrum,22165,1,5,370,513.55,27.04,33,2259
1056044,Schenefeld,Grundzentrum,19707,0,0,0,1972.67,53.95,17,4543
1056048,Tornesch,Grundzentrum,14350,0,0,0,696.26,33.19,23,873
1056049,Uetersen,Grundzentrum,18618,1,5,397,1628.87,53.11,33,2181
1057025,Heikendorf,Grundzentrum,8688,0,0,0,590.22,34.38,14,1806
1057048,Lütjenburg,Grundzentrum,5443,0,0,0,885.04,46.18,8,559
1057057,Plön,Grundzentrum,8941,1,1,151,243.23,11.53,34,1843
1057062,Preetz,Grundzentrum,16024,1,6,513,1112.78,41.18,53,1905
1057073,Schönberg (Holstein),Grundzentrum,6356,1,1,97,546.52,35,17,1118
1057077,Selent,Grundzentrum,1781,0,0,0,418.08,26.29,3,153
1057085,Wankendorf,Grundzentrum,2918,0,0,0,218.74,14.84,9,347
1057091,Schwentinental,Grundzentrum,13993,0,0,0,785.68,36.5,32,3027
1058005,Altenholz,Grundzentrum,9965,0,0,0,523.37,23.06,13,992
1058022,Bordesholm,Grundzentrum,7914,1,1,130,778.17,35.99,12,127
1058034,Büdelsdorf,Grundzentrum,10546,0,0,0,1627.47,70.37,26,1144
1058050,Felde,Grundzentrum,2077,0,0,0,149.64,16.57,9,302
1058053,Flintbek,Grundzentrum,7562,0,0,0,430.39,21.8,25,1037
1058058,Gettorf,Grundzentrum,7708,0,0,0,824.39,40.11,9,320
1058072,Hanerau-Hademarschen,Grundzentrum,3048,0,0,0,210.21,17.45,7,175
1058077,Hohenwestedt,Grundzentrum,5396,0,0,0,296.81,22.88,6,233
1058078,Hohn,Grundzentrum,2629,0,0,0,82.28,15.37,10,167
1058092,Kronshagen,Grundzentrum,11908,0,0,0,2229.96,72.1,13,1744
1058117,Nortorf,Grundzentrum,7090,0,0,0,555.21,34.3,11,273
1058127,Owschlag,Grundzentrum,3749,0,0,0,95.37,10.43,8,195
1059008,Böklund,Grundzentrum,1697,0,0,0,215.36,16.88,8,218
1059024,Erfde,Grundzentrum,2090,0,0,0,61.54,8.51,11,192
1059045,Kappeln,Grundzentrum,8607,1,1,120,198.64,16.36,30,676
1059053,Kropp,Grundzentrum,6692,0,0,0,209.52,18,21,500
1059079,Silberstedt,Grundzentrum,2435,0,0,0,64.23,10.16,20,170
1059083,Süderbrarup,Grundzentrum,5339,0,0,0,266.15,18.84,19,349
1059112,Gelting,Grundzentrum,2152,0,0,0,107.49,10.64,12,161
1059113,Glücksburg (Ostsee),Grundzentrum,6377,0,0,0,160.71,11.77,30,679
1059120,Harrislee,Grundzentrum,11910,0,0,0,629.49,32.45,33,1787
1059158,Schafflund,Grundzentrum,2862,0,0,0,149.92,14.3,12,320
1059161,Sörup,Grundzentrum,4306,0,0,0,97.16,10.2,44,478
1059171,Tarp,Grundzentrum,6088,0,0,0,372.13,24.51,20,456
1059185,Mittelangeln,Grundzentrum,5401,0,0,0,120.13,10.65,40,758
1059186,Steinbergkirche,Grundzentrum,2803,0,0,0,78.47,9.24,22,377
1060004,Bad Bramstedt,Grundzentrum,15331,0,0,0,635.09,33.18,13,591
1060012,Bornhöved,Grundzentrum,3377,0,0,0,239.16,21.81,9,313
1060039,Henstedt-Ulzburg,Grundzentrum,28323,0,0,0,717.76,31.5,33,1934
1060043,Itzstedt,Grundzentrum,2549,0,0,0,357.5,16.83,4,169
1060053,Leezen,Grundzentrum,1801,0,0,0,120.23,11.42,5,256
1060058,Nahe,Grundzentrum,2602,0,0,0,250.92,16.97,6,269
1060089,Trappenkamp,Grundzentrum,5300,0,0,0,1536.23,67.83,5,226
1061029,Glückstadt,Grundzentrum,10885,0,0,0,478.46,22.99,33,886
1061042,Hohenlockstedt,Grundzentrum,5977,0,0,0,131.07,14.54,14,273
1061044,Horst (Holstein),Grundzentrum,5837,0,0,0,200.86,16.55,17,663
1061049,Kellinghusen,Grundzentrum,8313,0,0,0,441.95,25.62,19,474
1061055,Krempe,Grundzentrum,2411,0,0,0,713.31,32.54,3,71
1061097,Schenefeld,Grundzentrum,2734,0,0,0,291.47,20.79,7,98
1061107,Wacken,Grundzentrum,2025,0,0,0,285.21,20.56,7,76
1061113,Wilster,Grundzentrum,4369,0,0,0,1612.18,65.68,6,235
1062006,Bargteheide,Grundzentrum,16301,0,0,0,1030.4,40.58,18,930
1062009,Barsbüttel,Grundzentrum,13096,0,0,0,530.63,28.69,25,2231
1062023,Großhansdorf,Grundzentrum,9498,0,0,0,848.04,37.95,11,921
1062061,Reinfeld (Holstein),Grundzentrum,9110,1,1,140,524.47,25.73,18,619
1062082,Trittau,Grundzentrum,9170,0,0,0,320.85,18.47,22,2050
1062091,Steinburg,Grundzentrum,2795,0,0,0,116.95,9.87,9,277
3151005,Brome,Grundzentrum,3304,0,0,0,89.71,10.21,8,431
3151006,Calberlah,Grundzentrum,5394,0,0,0,194.24,13.76,13,945
3151010,Groß Oesingen,Grundzentrum,2037,0,0,0,35.36,7.1,18,241
3151011,Hankensbüttel,Grundzentrum,4562,0,0,0,130.49,14.42,8,509
3151013,Isenbüttel,Grundzentrum,6397,0,0,0,340.63,23.48,18,1146
3151015,Leiferde,Grundzentrum,4445,0,0,0,158.24,12.5,16,645
3151016,Meine,Grundzentrum,8667,0,0,0,222,13.88,26,1275
3151017,Meinersen,Grundzentrum,8340,0,0,0,154.59,14.11,28,687
3151018,Müden (Aller),Grundzentrum,5344,0,0,0,79.32,9.63,30,682
3151024,Rühen,Grundzentrum,6071,0,0,0,196.22,12.06,13,770
