Kennziffer,Raumeinheit,Aggregat,Bevölkerung,Kinos,Kinosäle,Kinositzplätze,Einwohnerdichte,Siedlungs- und Verkehrsfläche,ÖV-Haltestellen,ÖV-Abfahrten
,,,2022,2021,2021,2021,2022,2022,2020,2020
1001000,Flensburg,Oberzentrum,92550,2,9,2101,1631.41,53.5,173,28865
1002000,Kiel,Oberzentrum,247717,6,19,4312,2087.8,58.78,335,69601
1003000,Lübeck,Oberzentrum,218095,3,11,1815,1018.23,37.86,379,53353
1004000,Neumünster,Oberzentrum,79502,2,8,1191,1109.43,51.81,228,20157
2000000,Hamburg,Oberzentrum,1892122,31,86,16492,2505.82,58.47,1923,516131
3101000,Braunschweig,Oberzentrum,251804,4,12,3582,1306.72,47.1,354,70711
3102000,Salzgitter,Oberzentrum,104548,3,11,2079,465.71,28.59,229,16719
3103000,Wolfsburg,Oberzentrum,125961,4,12,2520,615.58,31.8,286,35783
3159016,Göttingen,Oberzentrum,118946,2,10,1332,1016.46,34.02,234,31350
3241001,Hannover,Oberzentrum,545045,9,30,5450,2667.87,69.08,445,123524
3254021,Hildesheim,Oberzentrum,101858,1,7,1326,1103.67,39.83,147,19617
3351006,Celle,Oberzentrum,70138,2,7,1037,398.47,24.61,181,11337
3355022,Lüneburg,Oberzentrum,76837,2,12,1895,1089.89,45.15,193,17839
3403000,Oldenburg,Oberzentrum,172830,7,18,2732,1676.5,59.35,291,59589
3404000,Osnabrück,Oberzentrum,167366,5,23,3820,1397.05,50.2,317,60580
3405000,Wilhelmshaven,Oberzentrum,76089,1,9,1684,710.38,44.8,151,12644
4011000,Bremen,Oberzentrum,569396,8,39,8974,1745.7,59.55,574,140792
4012000,Bremerhaven,Oberzentrum,115468,1,6,1093,1231.4,47.23,149,26390
5111000,Düsseldorf,Oberzentrum,629047,11,41,9044,2893.37,61.73,609,185447
5112000,Duisburg,Oberzentrum,502211,2,10,2262,2156.89,60.92,553,91515
5113000,Essen,Oberzentrum,584580,6,23,7672,2779.21,66.15,600,141725
5114000,Krefeld,Oberzentrum,228426,3,13,1431,1657.9,56.21,338,43801
5116000,Mönchengladbach,Oberzentrum,268465,2,9,1770,1574.85,50.29,539,75301
5124000,Wuppertal,Oberzentrum,358876,6,17,2455,2131.22,49.91,616,99919
5314000,Bonn,Oberzentrum,336465,7,21,3712,2385.26,52.37,501,119372
5315000,Köln,Oberzentrum,1084831,25,57,8821,2678.46,60.33,798,190474
5334002,Aachen,Oberzentrum,252136,5,20,4236,1567.52,40,414,83796
5515000,Münster,Oberzentrum,320946,3,15,3344,1058.25,33.05,517,87613
5711000,Bielefeld,Oberzentrum,338332,5,16,2200,1307.16,43.85,617,81036
5774032,Paderborn,Oberzentrum,154755,3,17,2734,861.71,35.07,300,33752
5911000,Bochum,Oberzentrum,365742,7,33,6289,2510.93,70.25,523,94685
5913000,Dortmund,Oberzentrum,593317,5,19,4449,2113.63,60.08,892,150870
5914000,Hagen der FernUniversität,Oberzentrum,189783,2,9,2160,1182.82,35.61,464,67189
5970040,Siegen,Oberzentrum,102560,3,11,2010,894.24,35.53,356,28306
6411000,Darmstadt,Oberzentrum,162243,5,20,3827,1329.1,35.23,174,42923
6412000,Frankfurt am Main,Oberzentrum,773068,15,48,9293,3113.32,58.7,704,223401
6413000,Offenbach am Main,Oberzentrum,134170,3,10,2699,2989.53,49.15,133,32889
6414000,Wiesbaden,Oberzentrum,283083,6,11,2309,1388.55,39.68,405,98681
6435014,Hanau,Oberzentrum,101364,1,8,1079,1328.84,43.47,167,25613
6531005,Gießen,Oberzentrum,94146,3,14,1942,1296.6,41.72,137,20404
6532023,Wetzlar,Oberzentrum,54187,0,0,0,716.29,34.04,110,10774
6534014,Marburg,Oberzentrum,77845,3,12,2201,628.24,22.4,186,21010
