,nan,field_1,Unnamed: 0,cinema_name,15_total_route,15_total_duration,15_walk_to,15_walk_from,15_total_changes,18_total_route,18_total_duration,18_walk_to,18_walk_from,18_total_changes,21_total_route,21_total_duration,21_walk_to,21_walk_from,21_total_changes,car_duration,foot_duration,example_for,start_location,distance_start_centroid,distance_start_cinema,geometry
0,0,0,0.0,Apollo Kino,Apollo Kino_AachenHbf_15.csv,1373.8,98.0,75.8,1,Apollo Kino_AachenHbf_18.csv,1373.8,98.0,75.8,1,Apollo Kino_AachenHbf_21.csv,2023.3,387.5,75.8,2.0,603.9,1731.0,Aachen,POINT (6.08836505650297 50.762223831835016),1659.15517492188,2158.34170725049,
1,1,1,1.0,Capitol,Capitol_AachenHbf_15.csv,1217.5,98.0,99.5,1,Capitol_AachenHbf_18.csv,1217.5,98.0,99.5,1,Capitol_AachenHbf_21.csv,917.5,98.0,99.5,0.0,483.1,1601.5,Aachen,POINT (6.08836505650297 50.762223831835016),1659.15517492188,1802.52402910841,
2,2,2,2.0,,nan_AachenHbf_15.csv,870.7,98.0,172.7,0,nan_AachenHbf_18.csv,870.7,98.0,172.7,1,nan_AachenHbf_21.csv,750.7,98.0,172.7,0.0,378.7,975.9,Aachen,POINT (6.08836505650297 50.762223831835016),1659.15517492188,1235.61197281771,
3,3,3,3.0,Cineplex Aachen,Cineplex Aachen_AachenHbf_15.csv,748.0,98.0,170.0,0,Cineplex Aachen_AachenHbf_18.csv,688.0,98.0,170.0,0,Cineplex Aachen_AachenHbf_21.csv,688.0,98.0,170.0,0.0,264.8,913.3,Aachen,POINT (6.08836505650297 50.762223831835016),1659.15517492188,1029.47770863264,
4,4,4,4.0,Eden Palast,Eden Palast_AachenHbf_15.csv,922.6,98.0,224.6,0,Eden Palast_AachenHbf_18.csv,864.9,98.0,166.9,0,Eden Palast_AachenHbf_21.csv,802.6,98.0,224.6,0.0,256.0,798.6,Aachen,POINT (6.08836505650297 50.762223831835016),1659.15517492188,993.137262981488,
5,5,5,0.0,Apollo Kino,Apollo Kino_Rosenquellesw_15.csv,1000.4,444.6,75.8,1,Apollo Kino_Rosenquellesw_18.csv,1000.4,444.6,75.8,1,Apollo Kino_Rosenquellesw_21.csv,1017.4,521.6,75.8,0.0,510.1,1712.0,Aachen,POINT (6.1014451 50.770694450000015),1493.51027631707,1937.02271614757,
6,6,6,1.0,Capitol,Capitol_Rosenquellesw_15.csv,904.1,444.6,99.5,2,Capitol_Rosenquellesw_18.csv,904.1,444.6,99.5,2,Capitol_Rosenquellesw_21.csv,810.7,171.2,99.5,0.0,401.3,1163.5,Aachen,POINT (6.1014451 50.770694450000015),1493.51027631707,1306.51574571919,
7,7,7,2.0,,nan_Rosenquellesw_15.csv,763.9,171.2,172.7,0,nan_Rosenquellesw_18.csv,763.9,171.2,172.7,0,nan_Rosenquellesw_21.csv,643.9,171.2,172.7,0.0,374.5,1054.6,Aachen,POINT (6.1014451 50.770694450000015),1493.51027631707,1195.00507986102,
8,8,8,3.0,Cineplex Aachen,Cineplex Aachen_Rosenquellesw_15.csv,761.2,171.2,170.0,0,Cineplex Aachen_Rosenquellesw_18.csv,761.2,171.2,170.0,0,Cineplex Aachen_Rosenquellesw_21.csv,641.2,171.2,170.0,0.0,303.7,955.7,Aachen,POINT (6.1014451 50.770694450000015),1493.51027631707,1019.67805669911,
9,9,9,4.0,Eden Palast,Eden Palast_Rosenquellesw_15.csv,1105.9,444.6,121.3,3,Eden Palast_Rosenquellesw_18.csv,712.5,171.2,121.3,0,Eden Palast_Rosenquellesw_21.csv,592.5,171.2,121.3,0.0,395.4,1142.7,Aachen,POINT (6.1014451 50.770694450000015),1493.51027631707,1136.94739636157,
10,10,10,0.0,Apollo Kino,Apollo Kino_Scheibenstraßelw_15.csv,1078.9,463.1,75.8,1,Apollo Kino_Scheibenstraßelw_18.csv,1078.9,463.1,75.8,1,Apollo Kino_Scheibenstraßelw_21.csv,1065.8,450.0,75.8,2.0,483.2,1919.8,Aachen,POINT (6.104966414083623 50.77082564432684),1409.76853346326,2137.69366853819,
11,11,11,1.0,Capitol,Capitol_Scheibenstraßelw_15.csv,982.6,463.1,99.5,2,Capitol_Scheibenstraßelw_18.csv,982.6,463.1,99.5,2,Capitol_Scheibenstraßelw_21.csv,883.9,184.4,99.5,0.0,374.4,1302.0,Aachen,POINT (6.104966414083623 50.77082564432684),1409.76853346326,1494.28489081767,
12,12,12,2.0,,nan_Scheibenstraßelw_15.csv,837.1,184.4,172.7,0,nan_Scheibenstraßelw_18.csv,837.1,184.4,172.7,0,nan_Scheibenstraßelw_21.csv,717.1,184.4,172.7,0.0,305.4,1262.5,Aachen,POINT (6.104966414083623 50.77082564432684),1409.76853346326,1435.46371508792,
13,13,13,3.0,Cineplex Aachen,Cineplex Aachen_Scheibenstraßelw_15.csv,834.4,184.4,170.0,0,Cineplex Aachen_Scheibenstraßelw_18.csv,834.4,184.4,170.0,0,Cineplex Aachen_Scheibenstraßelw_21.csv,714.4,184.4,170.0,0.0,234.7,1163.6,Aachen,POINT (6.104966414083623 50.77082564432684),1409.76853346326,1266.57685291704,
14,14,14,4.0,Eden Palast,Eden Palast_Scheibenstraßelw_15.csv,1184.4,463.1,121.3,3,Eden Palast_Scheibenstraßelw_18.csv,785.7,184.4,121.3,0,Eden Palast_Scheibenstraßelw_21.csv,665.7,184.4,121.3,0.0,326.3,1350.5,Aachen,POINT (6.104966414083623 50.77082564432684),1409.76853346326,1385.10569179834,
15,15,15,0.0,Apollo Kino,Apollo Kino_CarolusThermensw_15.csv,1310.0,214.2,75.8,2,Apollo Kino_CarolusThermensw_18.csv,1310.0,214.2,75.8,2,Apollo Kino_CarolusThermensw_21.csv,1310.0,214.2,75.8,2.0,270.7,1271.5,Aachen,POINT (6.0933840986466485 50.786702836388514),3350.75704478432,1218.32577330499,
16,16,16,1.0,Capitol,Capitol_CarolusThermensw_15.csv,2231.9,272.4,99.5,3,Capitol_CarolusThermensw_18.csv,1931.9,272.4,99.5,5,Capitol_CarolusThermensw_21.csv,1691.9,272.4,99.5,1.0,222.1,1035.0,Aachen,POINT (6.0933840986466485 50.786702836388514),3350.75704478432,1011.35080417765,
17,17,17,2.0,,nan_CarolusThermensw_15.csv,806.9,214.2,172.7,0,nan_CarolusThermensw_18.csv,806.9,214.2,172.7,0,nan_CarolusThermensw_21.csv,806.9,214.2,172.7,0.0,560.7,1442.9,Aachen,POINT (6.0933840986466485 50.786702836388514),3350.75704478432,1624.72312707917,
18,18,18,3.0,Cineplex Aachen,Cineplex Aachen_CarolusThermensw_15.csv,804.2,214.2,170.0,0,Cineplex Aachen_CarolusThermensw_18.csv,804.2,214.2,170.0,0,Cineplex Aachen_CarolusThermensw_21.csv,804.2,214.2,170.0,0.0,489.9,1632.7,Aachen,POINT (6.0933840986466485 50.786702836388514),3350.75704478432,1756.21547028969,
19,19,19,4.0,Eden Palast,Eden Palast_CarolusThermensw_15.csv,815.5,214.2,121.3,1,Eden Palast_CarolusThermensw_18.csv,815.5,214.2,121.3,1,Eden Palast_CarolusThermensw_21.csv,815.5,214.2,121.3,1.0,581.6,1684.5,Aachen,POINT (6.0933840986466485 50.786702836388514),3350.75704478432,1843.2506170829,
20,20,20,0.0,Apollo Kino,Apollo Kino_Venskyhäuschenlw_15.csv,1090.0,414.2,75.8,0,Apollo Kino_Venskyhäuschenlw_18.csv,1090.0,414.2,75.8,0,Apollo Kino_Venskyhäuschenlw_21.csv,1030.0,414.2,75.8,0.0,593.2,1502.6,Aachen,POINT (6.061559520674831 50.76946160374323),3701.40320046051,1750.59600509392,
21,21,21,1.0,Capitol,Capitol_Venskyhäuschenlw_15.csv,1224.2,44.7,99.5,1,Capitol_Venskyhäuschenlw_18.csv,1224.2,44.7,99.5,1,Capitol_Venskyhäuschenlw_21.csv,744.2,44.7,99.5,2.0,529.9,1616.6,Aachen,POINT (6.061559520674831 50.76946160374323),3701.40320046051,2083.06478286222,
22,22,22,2.0,,nan_Venskyhäuschenlw_15.csv,697.4,44.7,172.7,0,nan_Venskyhäuschenlw_18.csv,697.4,44.7,172.7,0,nan_Venskyhäuschenlw_21.csv,577.4,44.7,172.7,0.0,425.5,1389.6,Aachen,POINT (6.061559520674831 50.76946160374323),3701.40320046051,1699.04332196132,
23,23,23,3.0,Cineplex Aachen,Cineplex Aachen_Venskyhäuschenlw_15.csv,694.7,44.7,170.0,0,Cineplex Aachen_Venskyhäuschenlw_18.csv,694.7,44.7,170.0,0,Cineplex Aachen_Venskyhäuschenlw_21.csv,574.7,44.7,170.0,0.0,359.8,1475.3,Aachen,POINT (6.061559520674831 50.76946160374323),3701.40320046051,1811.09016640018,
24,24,24,4.0,Eden Palast,Eden Palast_Venskyhäuschenlw_15.csv,526.0,44.7,121.3,0,Eden Palast_Venskyhäuschenlw_18.csv,526.0,44.7,121.3,0,Eden Palast_Venskyhäuschenlw_21.csv,629.3,44.7,224.6,0.0,351.0,1377.0,Aachen,POINT (6.061559520674831 50.76946160374323),3701.40320046051,1685.44512882638,
25,25,25,0.0,Apollo Kino,Apollo Kino_Europaplatzlw_15.csv,828.1,212.3,75.8,1,Apollo Kino_Europaplatzlw_18.csv,828.1,212.3,75.8,1,Apollo Kino_Europaplatzlw_21.csv,789.7,173.9,75.8,2.0,494.9,1904.8,Aachen,POINT (6.1096086397654314 50.77530568215149),1840.35522142099,2243.55002183146,
26,26,26,1.0,Capitol,Capitol_Europaplatzlw_15.csv,731.8,212.3,99.5,2,Capitol_Europaplatzlw_18.csv,731.8,212.3,99.5,2,Capitol_Europaplatzlw_21.csv,633.4,173.9,99.5,1.0,386.1,1291.5,Aachen,POINT (6.1096086397654314 50.77530568215149),1840.35522142099,1598.11524143108,
27,27,27,2.0,,nan_Europaplatzlw_15.csv,963.9,212.3,151.6,2,nan_Europaplatzlw_18.csv,963.9,212.3,151.6,2,nan_Europaplatzlw_21.csv,985.5,173.9,151.6,1.0,452.3,1439.7,Aachen,POINT (6.1096086397654314 50.77530568215149),1840.35522142099,1757.07173290295,
28,28,28,3.0,Cineplex Aachen,Cineplex Aachen_Europaplatzlw_15.csv,989.0,212.3,176.7,2,Cineplex Aachen_Europaplatzlw_18.csv,989.0,212.3,176.7,2,Cineplex Aachen_Europaplatzlw_21.csv,1010.6,173.9,176.7,1.0,381.5,1340.8,Aachen,POINT (6.1096086397654314 50.77530568215149),1840.35522142099,1649.27471125427,
29,29,29,4.0,Eden Palast,Eden Palast_Europaplatzlw_15.csv,933.6,212.3,121.3,3,Eden Palast_Europaplatzlw_18.csv,933.6,212.3,121.3,3,Eden Palast_Europaplatzlw_21.csv,955.2,173.9,121.3,3.0,473.2,1527.7,Aachen,POINT (6.1096086397654314 50.77530568215149),1840.35522142099,1779.9951257968,
30,30,30,0.0,Apollo Kino,Apollo Kino_BahnhofRotheErdeH3(lwLi.7)_15.csv,1064.9,329.1,75.8,1,Apollo Kino_BahnhofRotheErdeH3(lwLi.7)_18.csv,1064.9,329.1,75.8,1,Apollo Kino_BahnhofRotheErdeH3(lwLi.7)_21.csv,1134.9,329.1,145.8,1.0,564.7,2194.9,Aachen,POINT (6.111796039414862 50.769584763632345),1200.853590118,2625.25231461614,
31,31,31,1.0,Capitol,Capitol_BahnhofRotheErdeH3(lwLi.7)_15.csv,968.6,329.1,99.5,2,Capitol_BahnhofRotheErdeH3(lwLi.7)_18.csv,968.6,329.1,99.5,2,Capitol_BahnhofRotheErdeH3(lwLi.7)_21.csv,908.6,329.1,99.5,0.0,455.9,1753.1,Aachen,POINT (6.111796039414862 50.769584763632345),1200.853590118,1976.16419649727,
32,32,32,2.0,,nan_BahnhofRotheErdeH3(lwLi.7)_15.csv,880.6,167.9,172.7,0,nan_BahnhofRotheErdeH3(lwLi.7)_18.csv,880.6,167.9,172.7,0,nan_BahnhofRotheErdeH3(lwLi.7)_21.csv,820.6,167.9,172.7,0.0,386.8,1537.6,Aachen,POINT (6.111796039414862 50.769584763632345),1200.853590118,1934.81979912237,
33,33,33,3.0,Cineplex Aachen,Cineplex Aachen_BahnhofRotheErdeH3(lwLi.7)_15.csv,877.9,167.9,170.0,0,Cineplex Aachen_BahnhofRotheErdeH3(lwLi.7)_18.csv,877.9,167.9,170.0,0,Cineplex Aachen_BahnhofRotheErdeH3(lwLi.7)_21.csv,697.9,167.9,170.0,0.0,316.1,1438.7,Aachen,POINT (6.111796039414862 50.769584763632345),1200.853590118,1758.73121834638,
34,34,34,4.0,Eden Palast,Eden Palast_BahnhofRotheErdeH3(lwLi.7)_15.csv,1170.4,329.1,121.3,3,Eden Palast_BahnhofRotheErdeH3(lwLi.7)_18.csv,1170.4,329.1,121.3,3,Eden Palast_BahnhofRotheErdeH3(lwLi.7)_21.csv,649.2,167.9,121.3,0.0,407.8,1625.6,Aachen,POINT (6.111796039414862 50.769584763632345),1200.853590118,1872.99313239445,
35,35,35,0.0,Apollo Kino,Apollo Kino_PonttorH.4(Pontwall)_15.csv,239.6,103.8,75.8,0,Apollo Kino_PonttorH.4(Pontwall)_18.csv,239.6,103.8,75.8,0,Apollo Kino_PonttorH.4(Pontwall)_21.csv,239.6,103.8,75.8,0.0,154.6,130.8,Aachen,POINT (6.080156316240895 50.77981526669621),3206.28148572816,128.446969659428,
36,36,36,1.0,Capitol,Capitol_PonttorH.4(Pontwall)_15.csv,307.4,106.6,80.8,0,Capitol_PonttorH.4(Pontwall)_18.csv,307.4,106.6,80.8,0,Capitol_PonttorH.4(Pontwall)_21.csv,307.4,106.6,80.8,0.0,173.9,421.7,Aachen,POINT (6.080156316240895 50.77981526669621),3206.28148572816,540.314309289546,
37,37,37,2.0,,nan_PonttorH.4(Pontwall)_15.csv,519.3,106.6,172.7,0,nan_PonttorH.4(Pontwall)_18.csv,519.3,106.6,172.7,0,nan_PonttorH.4(Pontwall)_21.csv,519.3,106.6,172.7,0.0,636.9,701.2,Aachen,POINT (6.080156316240895 50.77981526669621),3206.28148572816,818.288572933433,
38,38,38,3.0,Cineplex Aachen,Cineplex Aachen_PonttorH.4(Pontwall)_15.csv,516.6,106.6,170.0,0,Cineplex Aachen_PonttorH.4(Pontwall)_18.csv,516.6,106.6,170.0,0,Cineplex Aachen_PonttorH.4(Pontwall)_21.csv,516.6,106.6,170.0,0.0,579.5,918.3,Aachen,POINT (6.080156316240895 50.77981526669621),3206.28148572816,1050.86687794652,
39,39,39,4.0,Eden Palast,Eden Palast_PonttorH.4(Pontwall)_15.csv,647.9,106.6,121.3,1,Eden Palast_PonttorH.4(Pontwall)_18.csv,467.9,106.6,121.3,0,Eden Palast_PonttorH.4(Pontwall)_21.csv,467.9,106.6,121.3,0.0,610.0,905.5,Aachen,POINT (6.080156316240895 50.77981526669621),3206.28148572816,1052.7370236749,
40,40,40,0.0,Apollo Kino,Apollo Kino_Adenaueralleelw-Li.30_15.csv,1556.6,460.8,75.8,1,Apollo Kino_Adenaueralleelw-Li.30_18.csv,1556.6,460.8,75.8,1,Apollo Kino_Adenaueralleelw-Li.30_21.csv,1496.6,460.8,75.8,1.0,834.4,3608.7,Aachen,POINT (6.12853745536601 50.76194999781503),1269.50357537479,4071.85840236048,
41,41,41,1.0,Capitol,Capitol_Adenaueralleelw-Li.30_15.csv,1240.0,60.5,99.5,3,Capitol_Adenaueralleelw-Li.30_18.csv,1240.0,60.5,99.5,3,Capitol_Adenaueralleelw-Li.30_21.csv,1340.3,460.8,99.5,1.0,725.7,2868.6,Aachen,POINT (6.12853745536601 50.76194999781503),1269.50357537479,3426.67121855505,
42,42,42,2.0,,nan_Adenaueralleelw-Li.30_15.csv,1472.1,60.5,151.6,3,nan_Adenaueralleelw-Li.30_18.csv,1472.1,60.5,151.6,3,nan_Adenaueralleelw-Li.30_21.csv,1692.4,460.8,151.6,2.0,656.6,2951.3,Aachen,POINT (6.12853745536601 50.76194999781503),1269.50357537479,3317.25210699867,
43,43,43,3.0,Cineplex Aachen,Cineplex Aachen_Adenaueralleelw-Li.30_15.csv,1497.2,60.5,176.7,3,Cineplex Aachen_Adenaueralleelw-Li.30_18.csv,1497.2,60.5,176.7,3,Cineplex Aachen_Adenaueralleelw-Li.30_21.csv,1710.8,460.8,170.0,3.0,585.9,2852.4,Aachen,POINT (6.12853745536601 50.76194999781503),1269.50357537479,3112.45493406517,
44,44,44,4.0,Eden Palast,Eden Palast_Adenaueralleelw-Li.30_15.csv,1441.8,60.5,121.3,4,Eden Palast_Adenaueralleelw-Li.30_18.csv,1441.8,60.5,121.3,4,Eden Palast_Adenaueralleelw-Li.30_21.csv,1662.1,460.8,121.3,3.0,677.6,3039.4,Aachen,POINT (6.12853745536601 50.76194999781503),1269.50357537479,3208.21295575575,
45,45,45,0.0,Apollo Kino,Apollo Kino_BurtscheidHauptstraßesw_15.csv,854.3,298.5,75.8,0,Apollo Kino_BurtscheidHauptstraßesw_18.csv,854.3,298.5,75.8,0,Apollo Kino_BurtscheidHauptstraßesw_21.csv,914.3,298.5,75.8,0.0,412.0,1256.2,Aachen,POINT (6.088960003258174 50.76932624778633),1961.01264998513,1447.27824823691,
46,46,46,1.0,Capitol,Capitol_BurtscheidHauptstraßesw_15.csv,698.0,298.5,99.5,0,Capitol_BurtscheidHauptstraßesw_18.csv,698.0,298.5,99.5,0,Capitol_BurtscheidHauptstraßesw_21.csv,619.3,298.5,80.8,0.0,291.2,923.0,Aachen,POINT (6.088960003258174 50.76932624778633),1961.01264998513,1016.57123511632,
47,47,47,2.0,,nan_BurtscheidHauptstraßesw_15.csv,535.0,182.3,172.7,0,nan_BurtscheidHauptstraßesw_18.csv,535.0,182.3,172.7,0,nan_BurtscheidHauptstraßesw_21.csv,475.0,182.3,172.7,0.0,186.9,467.2,Aachen,POINT (6.088960003258174 50.76932624778633),1961.01264998513,508.012474708653,
48,48,48,3.0,Cineplex Aachen,Cineplex Aachen_BurtscheidHauptstraßesw_15.csv,532.3,182.3,170.0,0,Cineplex Aachen_BurtscheidHauptstraßesw_18.csv,532.3,182.3,170.0,0,Cineplex Aachen_BurtscheidHauptstraßesw_21.csv,472.3,182.3,170.0,0.0,116.1,234.8,Aachen,POINT (6.088960003258174 50.76932624778633),1961.01264998513,271.28115310169,
49,49,49,4.0,Eden Palast,Eden Palast_BurtscheidHauptstraßesw_15.csv,1126.0,421.4,224.6,0,Eden Palast_BurtscheidHauptstraßesw_18.csv,483.6,182.3,121.3,0,Eden Palast_BurtscheidHauptstraßesw_21.csv,1006.0,421.4,224.6,0.0,131.2,344.9,Aachen,POINT (6.088960003258174 50.76932624778633),1961.01264998513,312.570322857856,
