,Unnamed: 0.1,field_1,Unnamed: 0,cinema_name,15_total_route,15_total_duration,15_walk_to,15_walk_from,15_total_changes,18_total_route,18_total_duration,18_walk_to,18_walk_from,18_total_changes,21_total_route,21_total_duration,21_walk_to,21_walk_from,21_total_changes,car_duration,foot_duration,example_for,start_location,distance_start_centroid,distance_start_cinema,geometry
0,0,0,0.0,Kinowelt Alfeld,Kinowelt Alfeld_AlfeldBreslauerStraße_15.csv,6796.9,2355.3,1861.6,0,Kinowelt Alfeld_AlfeldBreslauerStraße_18.csv,6796.9,2355.3,1861.6,2,no routes possible to this cinema,,,,,562.9,2687.6,Alfeld (Leine),POINT (9.797634397476363 51.96419932071918),3092.0501240760045,3244.068562132125,
1,1,1,0.0,Kinowelt Alfeld,Kinowelt Alfeld_GodenauKolonie_15.csv,3109.2,140.7,448.5,1,Kinowelt Alfeld_GodenauKolonie_18.csv,6400.2,2081.9,178.3,1,no routes possible to this cinema,,,,,558.2,4345.8,Alfeld (Leine),POINT (9.772352122800779 52.025336963728314),5602.472644782313,5488.688740966634,
2,2,2,0.0,Kinowelt Alfeld,Kinowelt Alfeld_AlfeldAndenSteinköpfen_15.csv,3551.3,874.4,576.9,0,Kinowelt Alfeld_AlfeldAndenSteinköpfen_18.csv,4367.4,1249.1,898.3,0,no routes possible to this cinema,,,,,487.5,2034.6,Alfeld (Leine),POINT (9.806258499603212 51.96874259679973),2340.013077533068,2497.675758843271,
3,3,3,0.0,Kinowelt Alfeld,"Kinowelt Alfeld_Alfeld(Leine),Dr.-Jansen-Str._15.csv",805.1,566.8,178.3,0,"Kinowelt Alfeld_Alfeld(Leine),Dr.-Jansen-Str._18.csv",805.1,566.8,178.3,0,"Kinowelt Alfeld_Alfeld(Leine),Dr.-Jansen-Str._21.csv",805.1,566.8,178.3,0.0,664.6,1032.3,Alfeld (Leine),POINT (9.833298832298972 51.99520149047929),1139.9179612090393,985.9273107787008,
4,4,4,0.0,Kinowelt Alfeld,Kinowelt Alfeld_Langenholzen_15.csv,1017.8,250.4,407.4,0,Kinowelt Alfeld_Langenholzen_18.csv,1017.8,250.4,407.4,0,Kinowelt Alfeld_Langenholzen_21.csv,2848.2,2489.9,178.3,0.0,491.7,2683.0,Alfeld (Leine),POINT (9.868164772422205 51.97304781120711),3359.213844178816,3417.102382041476,
5,5,5,0.0,Kinowelt Alfeld,Kinowelt Alfeld_AlfeldBergstraße_15.csv,1059.1,291.7,407.4,0,Kinowelt Alfeld_AlfeldBergstraße_18.csv,1059.1,291.7,407.4,0,Kinowelt Alfeld_AlfeldBergstraße_21.csv,2475.2,2116.9,178.3,0.0,427.5,2173.9,Alfeld (Leine),POINT (9.859834378242951 51.975756409407204),2712.693213778062,2770.6864958133656,
6,6,6,0.0,Kinowelt Alfeld,Kinowelt Alfeld_AlfeldNeuerFriedhofH.S._15.csv,579.2,340.9,178.3,0,Kinowelt Alfeld_AlfeldNeuerFriedhofH.S._18.csv,579.2,340.9,178.3,0,Kinowelt Alfeld_AlfeldNeuerFriedhofH.S._21.csv,693.9,395.6,178.3,0.0,200.9,437.2,Alfeld (Leine),POINT (9.8225852147337 51.992337167398965),656.3600190985525,497.5577649914287,
7,7,7,0.0,Kinowelt Alfeld,Kinowelt Alfeld_AlfeldAmHeitkamp_15.csv,853.3,615.0,178.3,0,Kinowelt Alfeld_AlfeldAmHeitkamp_18.csv,853.3,615.0,178.3,0,Kinowelt Alfeld_AlfeldAmHeitkamp_21.csv,853.3,615.0,178.3,0.0,389.7,1091.2,Alfeld (Leine),POINT (9.84214884551809 51.987908335771635),1227.4084768309378,1193.7168135223014,
8,8,8,0.0,Kinowelt Alfeld,Kinowelt Alfeld_AlfeldBreslauerStraße_15.csv,6388.9,1947.3,1861.6,0,Kinowelt Alfeld_AlfeldBreslauerStraße_18.csv,6388.9,1947.3,1861.6,2,no routes possible to this cinema,,,,,552.0,2169.2,Alfeld (Leine),POINT (9.80356794780091 51.96940890818943),2383.835289666168,2535.592309768111,
9,9,9,0.0,Kinowelt Alfeld,Kinowelt Alfeld_DelligsenKindergarten_15.csv,6757.9,2316.3,1861.6,0,Kinowelt Alfeld_DelligsenKindergarten_18.csv,6757.9,2316.3,1861.6,2,no routes possible to this cinema,,,,,571.3,2578.0,Alfeld (Leine),POINT (9.799278579769586 51.96474534984012),2976.541955276484,3129.9971144082742,
10,10,0,0.0,Kinowelt Alfeld,Kinowelt Alfeld_DelligsenKindergarten_15.csv,4053.3,1376.4,576.9,0,Kinowelt Alfeld_DelligsenKindergarten_18.csv,7496.7,235.1,1861.6,1,no routes possible to this cinema,,,,,597.7,2536.7,Alfeld (Leine),POINT (9.802413055950284 51.964253350583554),2903.637935628045,3062.073018358213,
11,11,1,0.0,Kinowelt Alfeld,Kinowelt Alfeld_AlfeldBreslauerStraße_15.csv,6530.4,2088.8,1861.6,0,Kinowelt Alfeld_AlfeldBreslauerStraße_18.csv,6530.4,2088.8,1861.6,2,no routes possible to this cinema,,,,,530.9,2351.9,Alfeld (Leine),POINT (9.80117726703149 51.96670337007964),2723.541701696306,2876.532770383184,
12,12,2,0.0,Kinowelt Alfeld,Kinowelt Alfeld_AlfeldAndenSteinköpfen_15.csv,4134.8,874.4,1160.4,0,Kinowelt Alfeld_AlfeldAndenSteinköpfen_18.csv,4367.4,1249.1,898.3,0,no routes possible to this cinema,,,,,487.5,2034.6,Alfeld (Leine),POINT (9.806258499603212 51.96874259679973),2340.013077533068,2497.675758843271,
13,13,3,0.0,Kinowelt Alfeld,Kinowelt Alfeld_AlfeldBergstraße_15.csv,1007.6,240.2,407.4,0,Kinowelt Alfeld_AlfeldBergstraße_18.csv,1007.6,240.2,407.4,0,Kinowelt Alfeld_AlfeldBergstraße_21.csv,2527.0,2168.7,178.3,0.0,432.6,2225.6,Alfeld (Leine),POINT (9.860776512230908 51.97546677571994),2784.9836484192497,2842.8688904602964,
