,Unnamed: 0.1,field_1,Unnamed: 0,cinema_name,15_total_route,15_total_duration,15_walk_to,15_walk_from,15_total_changes,18_total_route,18_total_duration,18_walk_to,18_walk_from,18_total_changes,21_total_route,21_total_duration,21_walk_to,21_walk_from,21_total_changes,car_duration,foot_duration,example_for,start_location,distance_start_centroid,distance_start_cinema,geometry
0,0,0,0.0,Gloria Kinocenter Ankum,"Gloria Kinocenter Ankum_Sitter,Sitterweg,Mast1_15.csv",450.5,221.6,108.9,0.0,"Gloria Kinocenter Ankum_Sitter,Sitterweg,Mast1_18.csv",450.5,221.6,108.9,0.0,"Gloria Kinocenter Ankum_Sitter,Sitterweg,Mast1_21.csv",527.8,221.6,126.2,0.0,153.0,864.0,Ankum,POINT (7.882132250000001 52.54461360000002),1163.1164917627834,963.164756885486,
1,1,1,0.0,Gloria Kinocenter Ankum,"Gloria Kinocenter Ankum_Ankum,NeuerMarkt,Mast1_15.csv",1743.7,1497.5,126.2,0.0,"Gloria Kinocenter Ankum_Ankum,NeuerMarkt,Mast1_18.csv",1743.7,1497.5,126.2,0.0,"Gloria Kinocenter Ankum_Ankum,NeuerMarkt,Mast1_21.csv",1743.7,1497.5,126.2,0.0,199.9,1551.7,Ankum,POINT (7.8665160292884 52.52722459129126),1042.9261212294064,1606.0208359130777,
2,2,2,0.0,Gloria Kinocenter Ankum,"Gloria Kinocenter Ankum_Ankum,Kattenboll,Mast1_15.csv",910.5,681.6,108.9,0.0,"Gloria Kinocenter Ankum_Ankum,Kattenboll,Mast1_18.csv",910.5,681.6,108.9,0.0,"Gloria Kinocenter Ankum_Ankum,Kattenboll,Mast1_21.csv",987.8,681.6,126.2,0.0,185.9,560.0,Ankum,POINT (7.874594388634287 52.54599262568492),1186.097539652396,626.6763019320364,
3,3,3,0.0,Gloria Kinocenter Ankum,"Gloria Kinocenter Ankum_Ankum,AmBrunning,Mast2_15.csv",834.1,665.2,108.9,0.0,"Gloria Kinocenter Ankum_Ankum,AmBrunning,Mast2_18.csv",834.1,665.2,108.9,0.0,"Gloria Kinocenter Ankum_Ankum,AmBrunning,Mast2_21.csv",971.4,665.2,126.2,0.0,186.7,499.3,Ankum,POINT (7.872215350000001 52.54599235),1193.7034723400482,540.7544168521124,
4,4,4,0.0,Gloria Kinocenter Ankum,"Gloria Kinocenter Ankum_Ahausen,Ort,Mast1_15.csv",1357.3,1128.4,108.9,0.0,"Gloria Kinocenter Ankum_Ahausen,Ort,Mast1_18.csv",1357.3,1128.4,108.9,0.0,"Gloria Kinocenter Ankum_Ahausen,Ort,Mast1_21.csv",1434.6,1128.4,126.2,0.0,293.5,2015.2,Ankum,POINT (7.900789799999998 52.54584909999999),2147.6733844726627,2219.100018220671,
5,5,5,0.0,Gloria Kinocenter Ankum,"Gloria Kinocenter Ankum_Tütingen,Eilfort,Mast2_15.csv",723.1,476.9,126.2,0.0,"Gloria Kinocenter Ankum_Tütingen,Eilfort,Mast2_18.csv",723.1,476.9,126.2,0.0,"Gloria Kinocenter Ankum_Tütingen,Eilfort,Mast2_21.csv",723.1,476.9,126.2,0.0,138.9,475.2,Ankum,POINT (7.862306332238615 52.53976174597449),947.3459011410404,486.6835603364028,
6,6,6,0.0,Gloria Kinocenter Ankum,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,500.1,3713.9,Ankum,POINT (7.8976984386234905 52.580707115965126),5292.271198874806,4771.166715141143,
7,7,7,0.0,Gloria Kinocenter Ankum,"Gloria Kinocenter Ankum_Aslage,Ziegelei,Mast1_15.csv",2431.3,2082.4,108.9,0.0,"Gloria Kinocenter Ankum_Aslage,Ziegelei,Mast1_18.csv",2431.3,2082.4,108.9,0.0,"Gloria Kinocenter Ankum_Aslage,Ziegelei,Mast1_21.csv",2431.3,2082.4,108.9,0.0,258.1,1560.4,Ankum,POINT (7.8499447784567105 52.553848989993085),2637.5294928253115,1870.2048802665329,
8,8,8,0.0,Gloria Kinocenter Ankum,"Gloria Kinocenter Ankum_Ankum,NeuerMarkt,Mast1_15.csv",1314.8,668.0,526.8,0.0,"Gloria Kinocenter Ankum_Ankum,NeuerMarkt,Mast1_18.csv",1314.8,668.0,526.8,0.0,"Gloria Kinocenter Ankum_Ankum,NeuerMarkt,Mast1_21.csv",1314.8,668.0,526.8,0.0,167.5,627.4,Ankum,POINT (7.87599810685702 52.545770447805765),1167.2725763181618,672.8559414643546,
9,9,9,0.0,Gloria Kinocenter Ankum,"Gloria Kinocenter Ankum_Ankum,Krankenhaus,Mast1_15.csv",755.9,527.0,108.9,0.0,"Gloria Kinocenter Ankum_Ankum,Krankenhaus,Mast1_18.csv",755.9,527.0,108.9,0.0,"Gloria Kinocenter Ankum_Ankum,Krankenhaus,Mast1_21.csv",833.2,527.0,126.2,0.0,283.5,1401.0,Ankum,POINT (7.886950615517662 52.548790800179674),1727.7451856833368,1467.1301615920547,
