,Unnamed: 0.1,field_1,Unnamed: 0,cinema_name,15_total_route,15_total_duration,15_walk_to,15_walk_from,15_total_changes,18_total_route,18_total_duration,18_walk_to,18_walk_from,18_total_changes,21_total_route,21_total_duration,21_walk_to,21_walk_from,21_total_changes,car_duration,foot_duration,example_for,start_location,distance_start_centroid,distance_start_cinema,geometry
0,0,0,0.0,Nickel-Odeon Kino-Center,"Nickel-Odeon Kino-Center_Aue,Landratsamt_15.csv",846.3,405.4,320.9,0.0,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,251.0,1020.8,Aue-Bad Schlema,POINT (12.695892926533967 50.58974255587068),1903.0344306759268,1115.924594875464,
1,1,1,0.0,Nickel-Odeon Kino-Center,"Nickel-Odeon Kino-Center_Aue,Klinikum,Gartenstr_15.csv",664.7,163.8,320.9,0.0,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,434.6,693.1,Aue-Bad Schlema,POINT (12.707017279391307 50.59180609123247),2205.7796147785225,627.8787978506432,
2,2,2,0.0,Nickel-Odeon Kino-Center,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,484.5,2343.2,Aue-Bad Schlema,POINT (12.676418536763842 50.59495965176486),1234.4450275829038,2609.8620711517106,
3,3,3,0.0,Nickel-Odeon Kino-Center,"Nickel-Odeon Kino-Center_Aue,Linden-Bergmannstr_15.csv",748.2,178.7,449.5,0.0,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,201.0,808.8,Aue-Bad Schlema,POINT (12.698301512535814 50.587908852152346),2162.9311017366726,903.530033435185,
4,4,4,0.0,Nickel-Odeon Kino-Center,"Nickel-Odeon Kino-Center_Aue,BockauerTalstraße_15.csv",701.5,132.0,449.5,0.0,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,190.2,762.0,Aue-Bad Schlema,POINT (12.698837384723909 50.5874305059607),2227.826407985383,859.6047409074763,
5,5,5,0.0,Nickel-Odeon Kino-Center,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,355.2,1672.2,Aue-Bad Schlema,POINT (12.688887188478855 50.593862266559924),1292.0252914988678,1750.6832114788683,
6,6,6,0.0,Nickel-Odeon Kino-Center,"Nickel-Odeon Kino-Center_Aue,Stadion_15.csv",1050.6,549.7,320.9,0.0,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,371.9,1351.7,Aue-Bad Schlema,POINT (12.69977129570141 50.59715805539103),1429.8194798034317,1402.8251487185455,
7,7,7,0.0,Nickel-Odeon Kino-Center,"Nickel-Odeon Kino-Center_Aue,Linden-Bergmannstr_15.csv",604.8,35.3,449.5,0.0,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,283.1,753.6,Aue-Bad Schlema,POINT (12.699564235115714 50.58733472874653),2262.1724604038336,807.3848234952628,
8,8,8,0.0,Nickel-Odeon Kino-Center,"Nickel-Odeon Kino-Center_Aue,Nicolaikirche_15.csv",788.4,218.9,449.5,0.0,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,220.7,843.1,Aue-Bad Schlema,POINT (12.698411646707044 50.585273263335864),2428.354846007596,901.2906459497206,
9,9,9,0.0,Nickel-Odeon Kino-Center,"Nickel-Odeon Kino-Center_Aue,Gabelsberger-Kantstr_15.csv",858.8,289.3,449.5,0.0,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,173.9,679.4,Aue-Bad Schlema,POINT (12.701090480446753 50.585101495270514),2531.85484552,720.0692786098889,
10,10,0,0.0,Nickel-Odeon Kino-Center,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,446.7,2376.4,Aue-Bad Schlema,POINT (12.68145242445313 50.59758999756365),842.2391665881331,2411.652767954263,
