,Unnamed: 0.1,field_1,Unnamed: 0,cinema_name,15_total_route,15_total_duration,15_walk_to,15_walk_from,15_total_changes,18_total_route,18_total_duration,18_walk_to,18_walk_from,18_total_changes,21_total_route,21_total_duration,21_walk_to,21_walk_from,21_total_changes,car_duration,foot_duration,example_for,start_location,distance_start_centroid,distance_start_cinema,geometry
0,0,0,0.0,CasaBlanca Art House,CasaBlanca Art House_SulzbachNordbahnhofBusVBadSodenSU02_15.csv,510.0,108.3,41.7,0,CasaBlanca Art House_SulzbachNordbahnhofBusVBadSodenSU02_18.csv,510.0,108.3,41.7,0,CasaBlanca Art House_SulzbachNordbahnhofBusVBadSodenSU02_21.csv,510.0,108.3,41.7,0,223.8,1149.9,Bad Soden am Taunus,POINT (8.510325969842526 50.13441726731864),2588.488422665352,1343.8754250597276,
1,1,1,0.0,CasaBlanca Art House,CasaBlanca Art House_BadSodenRosenthalstraßeNSulzbach_15.csv,1328.5,926.8,41.7,0,CasaBlanca Art House_BadSodenRosenthalstraßeNSulzbach_18.csv,1328.5,926.8,41.7,0,CasaBlanca Art House_BadSodenRosenthalstraßeNSulzbach_21.csv,1328.5,926.8,41.7,0,207.5,910.5,Bad Soden am Taunus,POINT (8.513233469689604 50.13901184737268),2371.765283476326,1110.6377117305428,
2,2,2,0.0,CasaBlanca Art House,CasaBlanca Art House_BadSodenAlleestraßeNr.22VBahnhof_15.csv,328.8,227.1,41.7,0,CasaBlanca Art House_BadSodenAlleestraßeNr.22VBahnhof_18.csv,347.0,185.3,41.7,0,CasaBlanca Art House_BadSodenAlleestraßeNr.22VBahnhof_21.csv,347.0,185.3,41.7,0,80.2,330.9,Bad Soden am Taunus,POINT (8.502472900000003 50.14180005000001),1599.3615652128276,353.8502629944845,
3,3,3,0.0,CasaBlanca Art House,CasaBlanca Art House_BadSodenThermalbadNReitplatz_15.csv,172.8,71.1,41.7,0,CasaBlanca Art House_BadSodenThermalbadNReitplatz_18.csv,361.2,139.5,41.7,0,CasaBlanca Art House_BadSodenThermalbadNReitplatz_21.csv,361.2,139.5,41.7,0,74.6,405.7,Bad Soden am Taunus,POINT (8.50469543247953 50.141342446731485),1745.2808978351568,481.09678997290223,
4,4,4,0.0,CasaBlanca Art House,CasaBlanca Art House_BadSodenThermalbadVReitplatz_15.csv,285.9,124.2,41.7,0,CasaBlanca Art House_BadSodenThermalbadVReitplatz_18.csv,285.9,124.2,41.7,0,CasaBlanca Art House_BadSodenThermalbadVReitplatz_21.csv,285.9,124.2,41.7,0,68.8,283.4,Bad Soden am Taunus,POINT (8.502906949442654 50.14219066479537),1588.570151201582,329.9112859304085,
5,5,5,0.0,CasaBlanca Art House,CasaBlanca Art House_BadSodenAltenheimNT-Heuss-Schule_15.csv,1300.7,899.0,41.7,0,CasaBlanca Art House_BadSodenAltenheimNT-Heuss-Schule_18.csv,1300.7,899.0,41.7,0,CasaBlanca Art House_BadSodenAltenheimNT-Heuss-Schule_21.csv,1300.7,899.0,41.7,0,207.2,928.6,Bad Soden am Taunus,POINT (8.514079451264235 50.13924788029544),2402.668741785617,1146.6855986707355,
6,6,6,0.0,CasaBlanca Art House,CasaBlanca Art House_BadSodenParkstraßeVKurpark_15.csv,486.9,325.2,41.7,0,CasaBlanca Art House_BadSodenParkstraßeVKurpark_18.csv,486.9,325.2,41.7,0,CasaBlanca Art House_BadSodenParkstraßeVKurpark_21.csv,486.9,325.2,41.7,0,223.3,1143.9,Bad Soden am Taunus,POINT (8.495783154649772 50.15456700308327),632.2150526576285,1145.967240589717,
7,7,7,0.0,CasaBlanca Art House,CasaBlanca Art House_BadSodenFriedrich-Uhde-Str.VBahnhof_15.csv,1351.2,949.5,41.7,0,CasaBlanca Art House_BadSodenFriedrich-Uhde-Str.VBahnhof_18.csv,1351.2,949.5,41.7,0,CasaBlanca Art House_BadSodenFriedrich-Uhde-Str.VBahnhof_21.csv,1351.2,949.5,41.7,0,224.3,989.8,Bad Soden am Taunus,POINT (8.514310750000002 50.139898249999995),2372.272663492851,1124.586136627579,
8,8,8,0.0,CasaBlanca Art House,CasaBlanca Art House_KönigsteinKlinikHainerbergNKelkheim_15.csv,1502.0,294.4,67.6,0,CasaBlanca Art House_KönigsteinKlinikHainerbergNKelkheim_18.csv,1502.0,294.4,67.6,0,CasaBlanca Art House_KönigsteinKlinikHainerbergNKelkheim_21.csv,2002.8,1601.1,41.7,0,467.7,2371.8,Bad Soden am Taunus,POINT (8.471038914966828 50.15646354217438),1257.53917603588,2475.58116243774,
9,9,9,0.0,CasaBlanca Art House,CasaBlanca Art House_NeuenhainSandwieseNKönigstein_15.csv,1620.6,413.0,67.6,0,CasaBlanca Art House_NeuenhainSandwieseNKönigstein_18.csv,1620.6,413.0,67.6,0,CasaBlanca Art House_NeuenhainSandwieseNKönigstein_21.csv,1691.0,1349.3,41.7,0,455.1,2021.4,Bad Soden am Taunus,POINT (8.475615366031471 50.153826684959526),863.8163044558314,2044.585395090379,
