,Unnamed: 0.1,field_1,Unnamed: 0,cinema_name,15_total_route,15_total_duration,15_walk_to,15_walk_from,15_total_changes,18_total_route,18_total_duration,18_walk_to,18_walk_from,18_total_changes,21_total_route,21_total_duration,21_walk_to,21_walk_from,21_total_changes,car_duration,foot_duration,example_for,start_location,distance_start_centroid,distance_start_cinema,geometry
0,0,0,0.0,Puschkino,Puschkino_Hauptbahnhof_15.csv,892.8,151.5,141.3,0.0,Puschkino_Hauptbahnhof_18.csv,832.8,151.5,141.3,0.0,Puschkino_Hauptbahnhof_21.csv,1166.6,605.3,141.3,0.0,464.4,2167.6,Halle (Saale),POINT (11.995105571321263 51.47971521227283),1856.5294668380973,2334.646913241231,
1,1,1,1.0,CinemaxX,CinemaxX_Hauptbahnhof_15.csv,647.4,151.5,195.9,0.0,CinemaxX_Hauptbahnhof_18.csv,647.4,151.5,195.9,0.0,CinemaxX_Hauptbahnhof_21.csv,587.4,151.5,195.9,0.0,282.5,949.0,Halle (Saale),POINT (11.995105571321263 51.47971521227283),1856.5294668380973,1021.9013364300072,
2,2,2,2.0,Bel Etage,Bel Etage_Hauptbahnhof_15.csv,786.5,151.5,335.0,0.0,Bel Etage_Hauptbahnhof_18.csv,786.5,151.5,335.0,0.0,Bel Etage_Hauptbahnhof_21.csv,728.7,151.5,337.2,0.0,298.0,1014.7,Halle (Saale),POINT (11.995105571321263 51.47971521227283),1856.5294668380973,985.6681257201318,
3,3,3,3.0,Prisma Cinema Halle-Neustadt,Prisma Cinema Halle-Neustadt_Hauptbahnhof_15.csv,1404.6,605.3,79.3,0.0,Prisma Cinema Halle-Neustadt_Hauptbahnhof_18.csv,1404.6,605.3,79.3,0.0,Prisma Cinema Halle-Neustadt_Hauptbahnhof_21.csv,1404.6,605.3,79.3,0.0,696.6,4150.6,Halle (Saale),POINT (11.995105571321263 51.47971521227283),1856.5294668380973,5214.310681311668,
4,4,4,4.0,Luchs,Luchs_Hauptbahnhof_15.csv,1394.1,605.3,68.8,0.0,Luchs_Hauptbahnhof_18.csv,1060.3,151.5,68.8,0.0,Luchs_Hauptbahnhof_21.csv,1480.3,151.5,68.8,2.0,713.5,3411.8,Halle (Saale),POINT (11.995105571321263 51.47971521227283),1856.5294668380973,3771.520022250907,
5,5,5,0.0,Puschkino,Puschkino_S-BahnhofSilberhöhe_15.csv,1186.9,205.6,141.3,0.0,Puschkino_S-BahnhofSilberhöhe_18.csv,1186.9,205.6,141.3,1.0,Puschkino_S-BahnhofSilberhöhe_21.csv,1584.7,123.4,141.3,0.0,761.1,3426.2,Halle (Saale),POINT (11.96164517351852 51.453134440456346),3061.2324331356617,4320.908945624599,
6,6,6,1.0,CinemaxX,CinemaxX_S-BahnhofSilberhöhe_15.csv,1361.5,205.6,195.9,0.0,CinemaxX_S-BahnhofSilberhöhe_18.csv,1001.5,205.6,195.9,0.0,CinemaxX_S-BahnhofSilberhöhe_21.csv,1339.3,123.4,195.9,0.0,585.8,2802.5,Halle (Saale),POINT (11.96164517351852 51.453134440456346),3061.2324331356617,3292.931807357075,
7,7,7,2.0,Bel Etage,Bel Etage_S-BahnhofSilberhöhe_15.csv,1142.8,205.6,337.2,0.0,Bel Etage_S-BahnhofSilberhöhe_18.csv,1142.8,205.6,337.2,0.0,Bel Etage_S-BahnhofSilberhöhe_21.csv,1120.6,123.4,337.2,0.0,427.2,2568.1,Halle (Saale),POINT (11.96164517351852 51.453134440456346),3061.2324331356617,2870.222361165956,
8,8,8,3.0,Prisma Cinema Halle-Neustadt,Prisma Cinema Halle-Neustadt_S-BahnhofSilberhöhe_15.csv,1904.9,205.6,79.3,1.0,Prisma Cinema Halle-Neustadt_S-BahnhofSilberhöhe_18.csv,2242.7,123.4,79.3,1.0,Prisma Cinema Halle-Neustadt_S-BahnhofSilberhöhe_21.csv,2842.7,123.4,79.3,2.0,818.3,4465.5,Halle (Saale),POINT (11.96164517351852 51.453134440456346),3061.2324331356617,4100.750319223152,
9,9,9,4.0,Luchs,Luchs_S-BahnhofSilberhöhe_15.csv,1594.4,205.6,68.8,0.0,Luchs_S-BahnhofSilberhöhe_18.csv,1534.4,205.6,68.8,0.0,Luchs_S-BahnhofSilberhöhe_21.csv,2107.3,418.5,68.8,1.0,902.8,4723.5,Halle (Saale),POINT (11.96164517351852 51.453134440456346),3061.2324331356617,5884.351143636132,
