,Unnamed: 0.1,field_1,Unnamed: 0,cinema_name,15_total_route,15_total_duration,15_walk_to,15_walk_from,15_total_changes,18_total_route,18_total_duration,18_walk_to,18_walk_from,18_total_changes,21_total_route,21_total_duration,21_walk_to,21_walk_from,21_total_changes,car_duration,foot_duration,example_for,start_location,distance_start_centroid,distance_start_cinema,geometry
0,0,0,0.0,Die Kamera,"Die Kamera_Heidelberg,Betriebshof_15.csv",614.5,167.4,27.1,1.0,"Die Kamera_Heidelberg,Betriebshof_18.csv",614.5,167.4,27.1,1,"Die Kamera_Heidelberg,Betriebshof_21.csv",567.5,240.4,27.1,0.0,428.1,1705.7,Heidelberg,POINT (8.66896525072801 49.40736757451792),1848.3935898960804,1913.868080256846,
1,1,1,1.0,Gloria & Gloriette,"Gloria & Gloriette_Heidelberg,Betriebshof_15.csv",1193.9,465.1,128.8,0.0,"Gloria & Gloriette_Heidelberg,Betriebshof_18.csv",1193.9,465.1,128.8,0,"Gloria & Gloriette_Heidelberg,Betriebshof_21.csv",1322.6,293.8,128.8,1.0,671.7,2273.8,Heidelberg,POINT (8.66896525072801 49.40736757451792),1848.3935898960804,2822.919790463671,
2,2,2,2.0,Karlstorkino,"Karlstorkino_Heidelberg,Betriebshof_15.csv",783.5,240.4,123.1,0.0,"Karlstorkino_Heidelberg,Betriebshof_18.csv",783.5,240.4,123.1,0,"Karlstorkino_Heidelberg,Betriebshof_21.csv",783.5,240.4,123.1,0.0,673.9,2204.3,Heidelberg,POINT (8.66896525072801 49.40736757451792),1848.3935898960804,2440.2019990115937,
3,3,3,3.0,Luxor Filmpalast Heidelberg,"Luxor Filmpalast Heidelberg_Heidelberg,Betriebshof_15.csv",712.9,240.4,352.5,0.0,"Luxor Filmpalast Heidelberg_Heidelberg,Betriebshof_18.csv",712.9,240.4,352.5,0,"Luxor Filmpalast Heidelberg_Heidelberg,Betriebshof_21.csv",712.9,240.4,352.5,0.0,170.7,506.2,Heidelberg,POINT (8.66896525072801 49.40736757451792),1848.3935898960804,250.60684169445864,
4,4,4,0.0,Die Kamera,"Die Kamera_Handschuhsheim,AmZapfenberg_15.csv",490.5,163.4,27.1,0.0,"Die Kamera_Handschuhsheim,AmZapfenberg_18.csv",490.5,163.4,27.1,0,"Die Kamera_Handschuhsheim,AmZapfenberg_21.csv",490.5,163.4,27.1,0.0,281.0,1719.2,Heidelberg,POINT (8.682260506674263 49.43300106269923),3182.22367575777,2082.559155631869,
5,5,5,1.0,Gloria & Gloriette,"Gloria & Gloriette_Handschuhsheim,AmZapfenberg_15.csv",1552.2,163.4,128.8,1.0,"Gloria & Gloriette_Handschuhsheim,AmZapfenberg_18.csv",1552.2,163.4,128.8,1,"Gloria & Gloriette_Handschuhsheim,AmZapfenberg_21.csv",1372.2,163.4,128.8,1.0,797.1,2963.1,Heidelberg,POINT (8.682260506674263 49.43300106269923),3182.22367575777,2986.782109804496,
6,6,6,2.0,Karlstorkino,"Karlstorkino_Handschuhsheim,AmZapfenberg_15.csv",1426.5,163.4,123.1,1.0,"Karlstorkino_Handschuhsheim,AmZapfenberg_18.csv",1426.5,163.4,123.1,1,"Karlstorkino_Handschuhsheim,AmZapfenberg_21.csv",1666.5,163.4,123.1,0.0,938.6,4261.8,Heidelberg,POINT (8.682260506674263 49.43300106269923),3182.22367575777,5129.4643770542425,
7,7,7,3.0,Luxor Filmpalast Heidelberg,"Luxor Filmpalast Heidelberg_Handschuhsheim,AmZapfenberg_15.csv",1295.9,163.4,352.5,1.0,"Luxor Filmpalast Heidelberg_Handschuhsheim,AmZapfenberg_18.csv",1295.9,163.4,352.5,1,"Luxor Filmpalast Heidelberg_Handschuhsheim,AmZapfenberg_21.csv",1439.5,427.0,352.5,1.0,537.0,2928.6,Heidelberg,POINT (8.682260506674263 49.43300106269923),3182.22367575777,3238.4077863387697,
8,8,8,0.0,Die Kamera,"Die Kamera_Kirchheim,Albert-Fritz-Straße_15.csv",1071.1,24.0,27.1,0.0,"Die Kamera_Kirchheim,Albert-Fritz-Straße_18.csv",1071.1,24.0,27.1,0,"Die Kamera_Kirchheim,Albert-Fritz-Straße_21.csv",1011.1,24.0,27.1,0.0,869.0,3902.6,Heidelberg,POINT (8.665880424678265 49.377722618584365),3709.9598999659497,4609.867779292834,
9,9,9,1.0,Gloria & Gloriette,"Gloria & Gloriette_Kirchheim,Albert-Fritz-Straße_15.csv",1772.8,24.0,128.8,1.0,"Gloria & Gloriette_Kirchheim,Albert-Fritz-Straße_18.csv",1772.8,24.0,128.8,1,"Gloria & Gloriette_Kirchheim,Albert-Fritz-Straße_21.csv",1892.8,24.0,128.8,2.0,1008.7,4161.2,Heidelberg,POINT (8.665880424678265 49.377722618584365),3709.9598999659497,4826.010632830317,
