,Unnamed: 0.1,field_1,Unnamed: 0,cinema_name,15_total_route,15_total_duration,15_walk_to,15_walk_from,15_total_changes,18_total_route,18_total_duration,18_walk_to,18_walk_from,18_total_changes,21_total_route,21_total_duration,21_walk_to,21_walk_from,21_total_changes,car_duration,foot_duration,example_for,start_location,distance_start_centroid,distance_start_cinema,geometry
0,0,0,0.0,Ostseekino,Ostseekino_Bastorf_15.csv,1754.1,822.0,752.1,0,Ostseekino_Bastorf_18.csv,1754.1,822.0,752.1,0,Ostseekino_Bastorf_21.csv,1754.1,822.0,752.1,0,359.3,1138.5,Kühlungsborn,POINT (11.7256568 54.14168625000001),1263.6075470537105,1128.2446557599676,
1,1,1,0.0,Ostseekino,"Ostseekino_Kühlungsborn,Ost_15.csv",1496.9,564.8,752.1,0,"Ostseekino_Kühlungsborn,Ost_18.csv",1496.9,564.8,752.1,0,"Ostseekino_Kühlungsborn,Ost_21.csv",1496.9,564.8,752.1,0,245.9,741.8,Kühlungsborn,POINT (11.732496514368211 54.15051267172215),1440.2917201528742,787.5295835722379,
2,2,2,0.0,Ostseekino,"Ostseekino_Mechelsdorf,Abzweig_15.csv",2589.7,1657.6,752.1,0,"Ostseekino_Mechelsdorf,Abzweig_18.csv",2589.7,1657.6,752.1,0,"Ostseekino_Mechelsdorf,Abzweig_21.csv",2589.7,1657.6,752.1,0,282.6,773.7,Kühlungsborn,POINT (11.70646875244348 54.15287706578111),2895.021393391226,934.050709212396,
3,3,3,0.0,Ostseekino,Ostseekino_Bastorf_15.csv,1661.2,729.1,752.1,0,Ostseekino_Bastorf_18.csv,1661.2,729.1,752.1,0,Ostseekino_Bastorf_21.csv,1661.2,729.1,752.1,0,217.9,787.6,Kühlungsborn,POINT (11.723761189488888 54.1447357177669),1477.3898918945597,767.5467976261533,
4,4,4,0.0,Ostseekino,Ostseekino_KühlungsbornOsttrainstation_15.csv,1496.7,564.6,752.1,0,Ostseekino_KühlungsbornOsttrainstation_18.csv,1496.7,564.6,752.1,0,Ostseekino_KühlungsbornOsttrainstation_21.csv,1496.7,564.6,752.1,0,408.5,1314.0,Kühlungsborn,POINT (11.7305848 54.142153900000004),961.1578326056864,1217.7371291990528,
5,5,5,0.0,Ostseekino,Ostseekino_KühlungsbornZurAsbeck_15.csv,1341.9,409.8,752.1,0,Ostseekino_KühlungsbornZurAsbeck_18.csv,1341.9,409.8,752.1,0,Ostseekino_KühlungsbornZurAsbeck_21.csv,1341.9,409.8,752.1,0,546.8,2205.3,Kühlungsborn,POINT (11.76062015188238 54.145962295058766),1249.5984287682622,2687.629333853692,
6,6,6,0.0,Ostseekino,Ostseekino_Bastorf_15.csv,1518.3,586.2,752.1,0,Ostseekino_Bastorf_18.csv,1518.3,586.2,752.1,0,Ostseekino_Bastorf_21.csv,1518.3,586.2,752.1,0,206.1,477.3,Kühlungsborn,POINT (11.724114049999999 54.149201100000006),1708.7287823728889,335.9332661118669,
7,7,7,0.0,Ostseekino,"Ostseekino_Kühlungsborn,Ost_15.csv",1322.6,390.5,752.1,0,"Ostseekino_Kühlungsborn,Ost_18.csv",1322.6,390.5,752.1,0,"Ostseekino_Kühlungsborn,Ost_21.csv",1322.6,390.5,752.1,0,308.4,1422.1,Kühlungsborn,POINT (11.74098420536721 54.143040645913366),440.6382542612772,1626.2869212570404,
8,8,8,0.0,Ostseekino,Ostseekino_KühlungsbornZurAsbeck_15.csv,1466.7,534.6,752.1,0,Ostseekino_KühlungsbornZurAsbeck_18.csv,1466.7,534.6,752.1,0,Ostseekino_KühlungsbornZurAsbeck_21.csv,1466.7,534.6,752.1,0,569.1,2384.2,Kühlungsborn,POINT (11.762314161045149 54.14308056544596),1209.4029796305178,2881.7933630765465,
9,9,9,0.0,Ostseekino,Ostseekino_KühlungsbornZurAsbeck_15.csv,1599.5,727.4,752.1,0,Ostseekino_KühlungsbornZurAsbeck_18.csv,1599.5,727.4,752.1,0,Ostseekino_KühlungsbornZurAsbeck_21.csv,1599.5,727.4,752.1,0,385.0,2142.8,Kühlungsborn,POINT (11.7539113 54.14147515),631.9200860088059,2443.291130294445,
10,10,0,0.0,Ostseekino,Ostseekino_KühlungsbornZurAsbeck_15.csv,1731.4,859.3,752.1,0,Ostseekino_KühlungsbornZurAsbeck_18.csv,1731.4,859.3,752.1,0,Ostseekino_KühlungsbornZurAsbeck_21.csv,1731.4,859.3,752.1,0,535.8,2274.7,Kühlungsborn,POINT (11.753777600000001 54.14053565000002),599.5159478725036,2484.5366387720496,
11,11,1,0.0,Ostseekino,Ostseekino_KühlungsbornOsttrainstation_15.csv,1146.1,214.0,752.1,0,Ostseekino_KühlungsbornOsttrainstation_18.csv,1146.1,214.0,752.1,0,Ostseekino_KühlungsbornOsttrainstation_21.csv,1146.1,214.0,752.1,0,305.1,1230.7,Kühlungsborn,POINT (11.733500600000001 54.14440025),897.3974838580903,1148.5928782650842,
12,12,2,0.0,Ostseekino,"Ostseekino_Kühlungsborn,West_15.csv",1619.2,687.1,752.1,0,"Ostseekino_Kühlungsborn,West_18.csv",1619.2,687.1,752.1,0,"Ostseekino_Kühlungsborn,West_21.csv",1619.2,687.1,752.1,0,345.3,1718.6,Kühlungsborn,POINT (11.747172615751728 54.142162226303036),314.21901017240964,2019.907232030672,
13,13,3,0.0,Ostseekino,"Ostseekino_Kühlungsborn,Schloßstraße_15.csv",3019.6,701.4,2078.2,0,"Ostseekino_Kühlungsborn,Schloßstraße_18.csv",3019.6,701.4,2078.2,0,"Ostseekino_Kühlungsborn,Schloßstraße_21.csv",3019.6,701.4,2078.2,0,250.6,1230.3,Kühlungsborn,POINT (11.720963550000002 54.14152425),1564.278465788958,1095.7799771212146,
