,Unnamed: 0.1,field_1,Unnamed: 0,cinema_name,15_total_route,15_total_duration,15_walk_to,15_walk_from,15_total_changes,18_total_route,18_total_duration,18_walk_to,18_walk_from,18_total_changes,21_total_route,21_total_duration,21_walk_to,21_walk_from,21_total_changes,car_duration,foot_duration,example_for,start_location,distance_start_centroid,distance_start_cinema,geometry
0,0,0,0.0,Filmwelt Landau,"Filmwelt Landau_Landau,Stadtbibliothek_15.csv",1155.3,365.2,130.1,0,"Filmwelt Landau_Landau,Stadtbibliothek_18.csv",1024.8,114.7,130.1,0.0,"Filmwelt Landau_Landau,Stadtbibliothek_21.csv",1242.4,452.3,130.1,0.0,402.4,1544.0,Landau in der Pfalz,POINT (8.115673491812512 49.19820397155789),5633.452374043448,1646.718078347756,
1,1,1,1.0,Universum Kinocenter,"Universum Kinocenter_Landau,Stadtbibliothek_15.csv",535.3,169.7,185.6,0,"Universum Kinocenter_Landau,Stadtbibliothek_18.csv",535.3,169.7,185.6,0.0,"Universum Kinocenter_Landau,Stadtbibliothek_21.csv",556.7,306.4,190.3,0.0,231.6,181.3,Landau in der Pfalz,POINT (8.115673491812512 49.19820397155789),5633.452374043448,177.06595546487367,
2,2,2,0.0,Filmwelt Landau,"Filmwelt Landau_Landau,Zoo(Abzw.Uni)_15.csv",941.8,391.7,130.1,0,"Filmwelt Landau_Landau,Zoo(Abzw.Uni)_18.csv",825.1,215.0,130.1,0.0,"Filmwelt Landau_Landau,Zoo(Abzw.Uni)_21.csv",921.1,191.0,130.1,0.0,387.6,1613.7,Landau in der Pfalz,POINT (8.109358799999999 49.19468679999999),5484.237745156789,1805.7455371813865,
3,3,3,1.0,Universum Kinocenter,"Universum Kinocenter_Landau,Zoo(Abzw.Uni)_15.csv",460.6,215.0,185.6,0,"Universum Kinocenter_Landau,Zoo(Abzw.Uni)_18.csv",460.5,150.2,190.3,0.0,"Universum Kinocenter_Landau,Zoo(Abzw.Uni)_21.csv",520.5,150.2,190.3,0.0,239.5,427.9,Landau in der Pfalz,POINT (8.109358799999999 49.19468679999999),5484.237745156789,464.3146863679499,
4,4,4,0.0,Filmwelt Landau,"Filmwelt Landau_Landau,Vinzentius-Krankenhaus_15.csv",1043.4,313.3,130.1,0,"Filmwelt Landau_Landau,Vinzentius-Krankenhaus_18.csv",1501.2,363.1,658.1,0.0,"Filmwelt Landau_Landau,Vinzentius-Krankenhaus_21.csv",1571.4,313.3,658.1,0.0,506.9,1551.3,Landau in der Pfalz,POINT (8.114063257142952 49.19702713679676),5606.9895542400345,1648.6244327086056,
5,5,5,1.0,Universum Kinocenter,"Universum Kinocenter_Landau,Vinzentius-Krankenhaus_15.csv",799.3,549.0,190.3,0,"Universum Kinocenter_Landau,Vinzentius-Krankenhaus_18.csv",898.5,380.2,398.3,0.0,"Universum Kinocenter_Landau,Vinzentius-Krankenhaus_21.csv",958.5,380.2,398.3,0.0,47.3,93.0,Landau in der Pfalz,POINT (8.114063257142952 49.19702713679676),5606.9895542400345,75.59874765148108,
6,6,6,0.0,Filmwelt Landau,"Filmwelt Landau_Landau(Pfalz),Feuerwehr_15.csv",1121.3,571.2,130.1,0,"Filmwelt Landau_Landau(Pfalz),Feuerwehr_18.csv",1843.2,284.4,778.8,0.0,"Filmwelt Landau_Landau(Pfalz),Feuerwehr_21.csv",1921.7,603.6,658.1,0.0,454.8,1358.4,Landau in der Pfalz,POINT (8.11615755 49.19612099999999),5789.81852994908,1466.4956639385646,
7,7,7,1.0,Universum Kinocenter,"Universum Kinocenter_Landau(Pfalz),Feuerwehr_15.csv",668.4,90.1,398.3,0,"Universum Kinocenter_Landau(Pfalz),Feuerwehr_18.csv",668.4,90.1,398.3,0.0,"Universum Kinocenter_Landau(Pfalz),Feuerwehr_21.csv",402.7,152.4,190.3,0.0,111.5,100.1,Landau in der Pfalz,POINT (8.11615755 49.19612099999999),5789.81852994908,107.41122384913128,
8,8,8,0.0,Filmwelt Landau,"Filmwelt Landau_Landau,Westring_15.csv",1151.0,420.9,130.1,0,"Filmwelt Landau_Landau,Westring_18.csv",1120.5,510.4,130.1,0.0,"Filmwelt Landau_Landau,Westring_21.csv",1151.0,420.9,130.1,0.0,409.7,1556.7,Landau in der Pfalz,POINT (8.115137773909515 49.19806543842663),5608.8155479712805,1664.3233738313952,
9,9,9,1.0,Universum Kinocenter,"Universum Kinocenter_Landau,Westring_15.csv",756.0,510.4,185.6,0,"Universum Kinocenter_Landau,Westring_18.csv",833.8,420.9,292.9,0.0,"Universum Kinocenter_Landau,Westring_21.csv",844.1,431.2,292.9,0.0,238.9,159.5,Landau in der Pfalz,POINT (8.115137773909515 49.19806543842663),5608.8155479712805,154.36279661308456,
10,10,10,0.0,Filmwelt Landau,"Filmwelt Landau_Landau,Synagogenmahnmal_15.csv",836.8,346.7,130.1,0,"Filmwelt Landau_Landau,Synagogenmahnmal_18.csv",1005.6,395.5,130.1,0.0,"Filmwelt Landau_Landau,Synagogenmahnmal_21.csv",1360.5,630.4,130.1,0.0,456.9,1554.4,Landau in der Pfalz,POINT (8.110049977166405 49.19017828833361),5846.033923735532,1608.805386191982,
11,11,11,1.0,Universum Kinocenter,"Universum Kinocenter_Landau,Synagogenmahnmal_15.csv",597.0,346.7,190.3,0,"Universum Kinocenter_Landau,Synagogenmahnmal_18.csv",720.9,470.6,190.3,0.0,"Universum Kinocenter_Landau,Synagogenmahnmal_21.csv",780.9,470.6,190.3,0.0,308.9,746.2,Landau in der Pfalz,POINT (8.110049977166405 49.19017828833361),5846.033923735532,806.629349093966,
12,12,12,0.0,Filmwelt Landau,"Filmwelt Landau_Landau,Finanzamt_15.csv",1253.8,343.7,130.1,0,"Filmwelt Landau_Landau,Finanzamt_18.csv",1253.8,343.7,130.1,0.0,"Filmwelt Landau_Landau,Finanzamt_21.csv",1468.8,210.7,658.1,0.0,487.4,1729.3,Landau in der Pfalz,POINT (8.111555241647704 49.197966659676695),5397.147564534484,1857.07006326057,
13,13,13,1.0,Universum Kinocenter,"Universum Kinocenter_Landau,Finanzamt_15.csv",1482.5,343.7,358.8,1,"Universum Kinocenter_Landau,Finanzamt_18.csv",906.2,467.0,379.2,0.0,"Universum Kinocenter_Landau,Finanzamt_21.csv",772.6,467.0,185.6,0.0,339.3,271.0,Landau in der Pfalz,POINT (8.111555241647704 49.197966659676695),5397.147564534484,286.0666066942318,
14,14,14,0.0,Filmwelt Landau,"Filmwelt Landau_Landau,Stadtbibliothek_15.csv",688.6,438.5,130.1,0,"Filmwelt Landau_Landau,Stadtbibliothek_18.csv",2033.1,474.3,778.8,0.0,"Filmwelt Landau_Landau,Stadtbibliothek_21.csv",2105.1,787.0,658.1,0.0,304.3,1251.2,Landau in der Pfalz,POINT (8.116937957401461 49.19394016975103),5975.182440178258,1279.4798733116208,
15,15,15,1.0,Universum Kinocenter,"Universum Kinocenter_Landau,Stadtbibliothek_15.csv",898.6,320.3,398.3,0,"Universum Kinocenter_Landau,Stadtbibliothek_18.csv",898.6,320.3,398.3,0.0,"Universum Kinocenter_Landau,Stadtbibliothek_21.csv",348.2,97.9,190.3,0.0,164.8,283.6,Landau in der Pfalz,POINT (8.116937957401461 49.19394016975103),5975.182440178258,337.2578494102712,
16,16,16,0.0,Filmwelt Landau,"Filmwelt Landau_Landau,Westring_15.csv",1238.3,508.2,130.1,0,"Filmwelt Landau_Landau,Westring_18.csv",1202.8,592.7,130.1,0.0,"Filmwelt Landau_Landau,Westring_21.csv",1139.0,348.9,130.1,0.0,434.5,1639.0,Landau in der Pfalz,POINT (8.115199700000002 49.19911675000001),5550.415299943896,1742.98613706444,
17,17,17,1.0,Universum Kinocenter,"Universum Kinocenter_Landau,Westring_15.csv",761.8,348.9,292.9,0,"Universum Kinocenter_Landau,Westring_18.csv",761.8,348.9,292.9,0.0,"Universum Kinocenter_Landau,Westring_21.csv",761.8,348.9,292.9,0.0,295.5,241.7,Landau in der Pfalz,POINT (8.115199700000002 49.19911675000001),5550.415299943896,271.25660719086613,
18,18,18,0.0,Filmwelt Landau,"Filmwelt Landau_Landau,DeutschesTor_15.csv",1329.4,59.3,130.1,0,"Filmwelt Landau_Landau,DeutschesTor_18.csv",1329.4,59.3,130.1,0.0,"Filmwelt Landau_Landau,DeutschesTor_21.csv",2513.9,463.8,130.1,1.0,541.4,2184.5,Landau in der Pfalz,POINT (8.119029849999999 49.20749880000001),5381.740936766667,2375.0536606496094,
19,19,19,1.0,Universum Kinocenter,"Universum Kinocenter_Landau,DeutschesTor_15.csv",1012.2,59.3,292.9,0,"Universum Kinocenter_Landau,DeutschesTor_18.csv",1002.1,409.2,292.9,0.0,no routes possible to this cinema,,,,,402.4,1055.9,Landau in der Pfalz,POINT (8.119029849999999 49.20749880000001),5381.740936766667,1238.611315205147,
20,20,0,0.0,Filmwelt Landau,"Filmwelt Landau_Queichheim,Otto-Hahn-Straße_15.csv",446.1,256.0,130.1,0,"Filmwelt Landau_Queichheim,Otto-Hahn-Straße_18.csv",446.1,256.0,130.1,0.0,"Filmwelt Landau_Queichheim,Otto-Hahn-Straße_21.csv",1003.4,813.3,130.1,0.0,284.8,1034.8,Landau in der Pfalz,POINT (8.1347797 49.197627649999994),6878.518377570379,1107.415322211829,
