,Unnamed: 0.1,field_1,Unnamed: 0,cinema_name,15_total_route,15_total_duration,15_walk_to,15_walk_from,15_total_changes,18_total_route,18_total_duration,18_walk_to,18_walk_from,18_total_changes,21_total_route,21_total_duration,21_walk_to,21_walk_from,21_total_changes,car_duration,foot_duration,example_for,start_location,distance_start_centroid,distance_start_cinema,geometry
0,0,0,0.0,Filmtheater Hasetor,Filmtheater Hasetor_Kameradschaftsweg_15.csv,1851.5,405.5,6.0,1.0,Filmtheater Hasetor_Kameradschaftsweg_18.csv,1431.5,405.5,6.0,2.0,Filmtheater Hasetor_Kameradschaftsweg_21.csv,1611.5,405.5,6.0,1.0,694.6,3623.9,Osnabrück,POINT (8.098355433538945 52.29700930162381),4040.613858091296,4129.118674181616,
1,1,1,1.0,Hall of Fame,Hall of Fame_Kameradschaftsweg_15.csv,1322.6,426.6,56.0,0.0,Hall of Fame_Kameradschaftsweg_18.csv,1322.6,426.6,56.0,0.0,Hall of Fame_Kameradschaftsweg_21.csv,1322.6,426.6,56.0,0.0,737.9,3218.1,Osnabrück,POINT (8.098355433538945 52.29700930162381),4040.613858091296,3861.314116687444,
2,2,2,2.0,3-Seiten-Kino,3-Seiten-Kino_Kameradschaftsweg_15.csv,880.3,426.6,333.7,0.0,3-Seiten-Kino_Kameradschaftsweg_18.csv,880.3,426.6,333.7,0.0,no routes possible to this cinema,,,,,767.4,4847.5,Osnabrück,POINT (8.098355433538945 52.29700930162381),4040.613858091296,5620.961773912055,
3,3,3,3.0,Cinema Arthouse,Cinema Arthouse_Kameradschaftsweg_15.csv,1198.7,426.6,232.1,0.0,Cinema Arthouse_Kameradschaftsweg_18.csv,1198.7,426.6,232.1,0.0,Cinema Arthouse_Kameradschaftsweg_21.csv,1149.0,405.5,203.5,0.0,677.1,3264.1,Osnabrück,POINT (8.098355433538945 52.29700930162381),4040.613858091296,3928.910052265592,
4,4,4,0.0,Filmtheater Hasetor,Filmtheater Hasetor_Bergerskamp_15.csv,1629.3,303.3,6.0,1.0,Filmtheater Hasetor_Bergerskamp_18.csv,1629.3,303.3,6.0,1.0,Filmtheater Hasetor_Bergerskamp_21.csv,1389.3,303.3,6.0,1.0,611.3,2816.3,Osnabrück,POINT (8.03554612503724 52.252051557520225),3035.885960410433,3258.641446314514,
5,5,5,1.0,Hall of Fame,Hall of Fame_Bergerskamp_15.csv,1499.3,303.3,56.0,2.0,Hall of Fame_Bergerskamp_18.csv,1559.3,303.3,56.0,1.0,Hall of Fame_Bergerskamp_21.csv,1611.8,655.8,56.0,1.0,430.6,2300.8,Osnabrück,POINT (8.03554612503724 52.252051557520225),3035.885960410433,2745.5719416801853,
6,6,6,2.0,3-Seiten-Kino,3-Seiten-Kino_Bergerskamp_15.csv,2257.0,303.3,333.7,1.0,3-Seiten-Kino_Bergerskamp_18.csv,2257.0,303.3,333.7,1.0,3-Seiten-Kino_Bergerskamp_21.csv,2369.5,655.8,333.7,1.0,716.6,2219.7,Osnabrück,POINT (8.03554612503724 52.252051557520225),3035.885960410433,2367.466205742328,
7,7,7,3.0,Cinema Arthouse,Cinema Arthouse_Bergerskamp_15.csv,1315.4,303.3,232.1,0.0,Cinema Arthouse_Bergerskamp_18.csv,1315.4,303.3,232.1,0.0,Cinema Arthouse_Bergerskamp_21.csv,1195.4,303.3,232.1,1.0,559.3,2626.4,Osnabrück,POINT (8.03554612503724 52.252051557520225),3035.885960410433,3006.127377714274,
8,8,8,0.0,Filmtheater Hasetor,Filmtheater Hasetor_LipperStraße_15.csv,1689.6,543.6,6.0,1.0,Filmtheater Hasetor_LipperStraße_18.csv,2049.6,543.6,6.0,1.0,no routes possible to this cinema,,,,,728.7,3453.5,Osnabrück,POINT (8.005411426610497 52.256298067489325),3778.462363230007,3789.4298227515487,
9,9,9,1.0,Hall of Fame,Hall of Fame_LipperStraße_15.csv,1559.6,543.6,56.0,1.0,Hall of Fame_LipperStraße_18.csv,1919.6,543.6,56.0,1.0,Hall of Fame_LipperStraße_21.csv,1919.6,543.6,56.0,1.0,753.0,3684.6,Osnabrück,POINT (8.005411426610497 52.256298067489325),3778.462363230007,4046.722435463687,
10,10,10,2.0,3-Seiten-Kino,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,760.5,4716.2,Osnabrück,POINT (8.005411426610497 52.256298067489325),3778.462363230007,4471.492956476059,
11,11,11,3.0,Cinema Arthouse,Cinema Arthouse_LipperStraße_15.csv,1647.1,543.6,203.5,0.0,Cinema Arthouse_LipperStraße_18.csv,1647.1,543.6,203.5,0.0,no routes possible to this cinema,,,,,767.6,3670.5,Osnabrück,POINT (8.005411426610497 52.256298067489325),3778.462363230007,3868.3917254182575,
12,12,12,0.0,Filmtheater Hasetor,Filmtheater Hasetor_Graf-Stauffenberg-Gymn._15.csv,1735.1,469.1,6.0,1.0,Filmtheater Hasetor_Graf-Stauffenberg-Gymn._18.csv,1735.1,469.1,6.0,1.0,Filmtheater Hasetor_Graf-Stauffenberg-Gymn._21.csv,1615.1,469.1,6.0,1.0,574.2,2393.9,Osnabrück,POINT (8.043324945065656 52.25377890090723),2746.300568577799,3017.4557306163947,
13,13,13,1.0,Hall of Fame,Hall of Fame_Graf-Stauffenberg-Gymn._15.csv,1468.9,261.0,67.9,2.0,Hall of Fame_Graf-Stauffenberg-Gymn._18.csv,1580.7,261.0,119.7,1.0,Hall of Fame_Graf-Stauffenberg-Gymn._21.csv,1348.2,328.5,119.7,1.0,393.5,1854.0,Osnabrück,POINT (8.043324945065656 52.25377890090723),2746.300568577799,2305.4525215728736,
14,14,14,2.0,3-Seiten-Kino,3-Seiten-Kino_Graf-Stauffenberg-Gymn._15.csv,2441.7,608.0,333.7,1.0,3-Seiten-Kino_Graf-Stauffenberg-Gymn._18.csv,2441.7,608.0,333.7,1.0,3-Seiten-Kino_Graf-Stauffenberg-Gymn._21.csv,2261.7,608.0,333.7,1.0,681.0,1898.3,Osnabrück,POINT (8.043324945065656 52.25377890090723),2746.300568577799,1879.5110419467967,
15,15,15,3.0,Cinema Arthouse,Cinema Arthouse_Graf-Stauffenberg-Gymn._15.csv,1500.1,608.0,232.1,0.0,Cinema Arthouse_Graf-Stauffenberg-Gymn._18.csv,1500.1,608.0,232.1,0.0,Cinema Arthouse_Graf-Stauffenberg-Gymn._21.csv,1380.1,608.0,232.1,0.0,522.1,2265.9,Osnabrück,POINT (8.043324945065656 52.25377890090723),2746.300568577799,2682.525971046436,
16,16,16,0.0,Filmtheater Hasetor,Filmtheater Hasetor_KinderhospitalJugendhbg._15.csv,1000.0,214.0,6.0,0.0,Filmtheater Hasetor_KinderhospitalJugendhbg._18.csv,1000.0,214.0,6.0,0.0,Filmtheater Hasetor_KinderhospitalJugendhbg._21.csv,1180.0,214.0,6.0,0.0,508.4,2332.3,Osnabrück,POINT (8.067155009595895 52.25852846276014),2577.2730358702256,2954.9595321973457,
17,17,17,1.0,Hall of Fame,Hall of Fame_KinderhospitalJugendhbg._15.csv,1496.0,255.7,100.3,2.0,Hall of Fame_KinderhospitalJugendhbg._18.csv,1496.0,255.7,100.3,2.0,Hall of Fame_KinderhospitalJugendhbg._21.csv,671.7,255.7,56.0,0.0,323.9,1379.3,Osnabrück,POINT (8.067155009595895 52.25852846276014),2577.2730358702256,1628.9854089652745,
