,Unnamed: 0.1,field_1,Unnamed: 0,cinema_name,15_total_route,15_total_duration,15_walk_to,15_walk_from,15_total_changes,18_total_route,18_total_duration,18_walk_to,18_walk_from,18_total_changes,21_total_route,21_total_duration,21_walk_to,21_walk_from,21_total_changes,car_duration,foot_duration,example_for,start_location,distance_start_centroid,distance_start_cinema,geometry
0,0,0,0.0,Kino Breitwand Schloss Seefeld,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,159.3,1082.4,Seefeld,POINT (11.19463715 48.036521150000006),685015.9778903382,949.2214729445408,
1,1,1,0.0,Kino Breitwand Schloss Seefeld,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,141.6,1325.1,Seefeld,POINT (11.19008685 48.0398516),684595.2971455914,1449.5075513500058,
2,2,2,0.0,Kino Breitwand Schloss Seefeld,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,141.9,1061.6,Seefeld,POINT (11.216723572277145 48.03722871353938),685209.0417718362,1169.7887938537324,
3,3,3,0.0,Kino Breitwand Schloss Seefeld,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,251.0,2167.3,Seefeld,POINT (11.17650905 48.0416296),684235.8685735546,2385.527660296372,
4,4,4,0.0,Kino Breitwand Schloss Seefeld,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,271.6,3497.6,Seefeld,POINT (11.249743476447941 48.02731914697246),686706.1003365585,3419.406112349221,
5,5,5,0.0,Kino Breitwand Schloss Seefeld,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,119.5,1093.2,Seefeld,POINT (11.217883933119174 48.036822350917895),685267.9140954126,1214.834611086383,
6,6,6,0.0,Kino Breitwand Schloss Seefeld,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,253.9,1380.3,Seefeld,POINT (11.218278306726347 48.04040247724383),684880.2218127274,1490.0359512924265,
7,7,7,0.0,Kino Breitwand Schloss Seefeld,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,155.4,1291.4,Seefeld,POINT (11.219941 48.03661325),685316.239148809,1334.9931052839554,
8,8,8,0.0,Kino Breitwand Schloss Seefeld,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,276.4,1619.6,Seefeld,POINT (11.200536311176547 48.04468523317918),684192.5094900379,1558.0562668260643,
9,9,9,0.0,Kino Breitwand Schloss Seefeld,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,262.2,1727.2,Seefeld,POINT (11.185931312124824 48.0342227816611),685162.370356177,1412.1448606587237,
10,10,0,0.0,Kino Breitwand Schloss Seefeld,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,244.6,1470.3,Seefeld,POINT (11.189190485664847 48.034952881816054),685121.7935549082,1207.309091725828,
11,11,1,0.0,Kino Breitwand Schloss Seefeld,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,122.5,972.0,Seefeld,POINT (11.19551725 48.037685899999985),684898.9379675898,995.3004315326034,
12,12,2,0.0,Kino Breitwand Schloss Seefeld,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,138.4,935.2,Seefeld,POINT (11.21017335739118 48.04063079293345),684755.3304747882,1170.987888739604,
13,13,3,0.0,Kino Breitwand Schloss Seefeld,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,181.8,1404.8,Seefeld,POINT (11.215252081507579 48.04150184291066),684722.3356965987,1439.0799596438535,
14,14,4,0.0,Kino Breitwand Schloss Seefeld,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,81.1,334.6,Seefeld,POINT (11.20930598365517 48.0320436987365),685686.3818494148,401.5490512266813,
15,15,5,0.0,Kino Breitwand Schloss Seefeld,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,400.1,3190.2,Seefeld,POINT (11.2385772 48.054889300000006),683544.4005949782,3699.79775101685,
16,16,6,0.0,Kino Breitwand Schloss Seefeld,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,244.6,1329.0,Seefeld,POINT (11.219271372858737 48.04016451917471),684918.5792463808,1525.0794303768362,
17,17,7,0.0,Kino Breitwand Schloss Seefeld,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,141.9,1270.9,Seefeld,POINT (11.19179695 48.038248949999996),684791.8887279499,1235.1202924751296,
18,18,8,0.0,Kino Breitwand Schloss Seefeld,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,66.6,437.8,Seefeld,POINT (11.210012933799147 48.03286744690984),685604.7215801657,485.83326431879567,
19,19,9,0.0,Kino Breitwand Schloss Seefeld,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,470.2,2141.0,Seefeld,POINT (11.182245733377323 48.0263810001893),685978.1274585495,1712.609508138223,
20,20,0,0.0,Kino Breitwand Schloss Seefeld,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,355.2,1873.7,Seefeld,POINT (11.206269533739023 48.04756874850179),683946.5289203663,1860.8537999896569,
21,21,1,0.0,Kino Breitwand Schloss Seefeld,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,429.8,1894.0,Seefeld,POINT (11.185346919449236 48.0286741941789),685764.0192095874,1427.703321588372,
22,22,2,0.0,Kino Breitwand Schloss Seefeld,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,215.6,1455.0,Seefeld,POINT (11.201577060579432 48.04420083655253),684258.3702097202,1492.916189961646,
23,23,3,0.0,Kino Breitwand Schloss Seefeld,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,199.7,1341.3,Seefeld,POINT (11.21749618943424 48.04036418464202),684874.7649566209,1446.444484739697,
24,24,4,0.0,Kino Breitwand Schloss Seefeld,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,322.6,1776.2,Seefeld,POINT (11.20459265 48.046839000000006),684005.982276835,1773.5690722840443,
25,25,5,0.0,Kino Breitwand Schloss Seefeld,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,299.8,2385.6,Seefeld,POINT (11.22324875 48.053464950000006),683509.5519192877,2883.854886779939,
26,26,6,0.0,Kino Breitwand Schloss Seefeld,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,175.7,1395.4,Seefeld,POINT (11.19064485 48.0377331),684834.4700683939,1265.429606871389,
27,27,7,0.0,Kino Breitwand Schloss Seefeld,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,224.2,1569.2,Seefeld,POINT (11.188074116183905 48.03546480235392),685052.0897890391,1305.9833667843975,
28,28,8,0.0,Kino Breitwand Schloss Seefeld,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,209.6,1083.9,Seefeld,POINT (11.21566675 48.0395207),684944.6872087001,1285.1438607673451,
29,29,9,0.0,Kino Breitwand Schloss Seefeld,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,191.9,2052.4,Seefeld,POINT (11.224945801351714 48.02152978351928),687031.9430099413,1864.4279645188008,
30,30,0,0.0,Kino Breitwand Schloss Seefeld,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,133.1,1003.7,Seefeld,POINT (11.195100998360763 48.037399732984525),684925.2557756228,992.335370441696,
31,31,1,0.0,Kino Breitwand Schloss Seefeld,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,277.7,2282.4,Seefeld,POINT (11.2252726479334 48.0526863163528),683620.0350128481,2888.0587050556123,
32,32,2,0.0,Kino Breitwand Schloss Seefeld,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,173.7,1125.5,Seefeld,POINT (11.194034683729402 48.03611440318754),685053.2593654124,955.278875903196,
33,33,3,0.0,Kino Breitwand Schloss Seefeld,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,93.3,808.2,Seefeld,POINT (11.213189783242028 48.03346355053787),685578.3929739197,728.6723487567881,
34,34,4,0.0,Kino Breitwand Schloss Seefeld,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,195.3,1000.4,Seefeld,POINT (11.21416939103352 48.03830311522795),685059.7505979025,1109.8140384533217,
35,35,5,0.0,Kino Breitwand Schloss Seefeld,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,185.5,1443.7,Seefeld,POINT (11.190967916627224 48.03856710004811),684746.9098409954,1304.9405964089617,
36,36,6,0.0,Kino Breitwand Schloss Seefeld,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,179.4,1280.2,Seefeld,POINT (11.217026799190153 48.040064833367325),684901.796301287,1398.2234489852638,
37,37,7,0.0,Kino Breitwand Schloss Seefeld,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,69.9,304.7,Seefeld,POINT (11.2081778 48.032710249999994),685599.4410835549,358.9003417730743,
