,15_total_duration,15_walk_to,15_walk_from,15_total_changes,18_total_duration,18_walk_to,18_walk_from,18_total_changes,21_total_duration,21_walk_to,21_walk_from,21_total_changes,car_duration,foot_duration,distance_start_centroid,distance_start_cinema,average duration,15_speed,18_speed,21_speed,average speed,average duration difference to car,15_trip_duration,15_transit_dur,15_walk_share,18_trip_duration,18_transit_dur,18_walk_share,21_trip_duration,21_transit_dur,21_walk_share,average transit duration,average walk share,population,cinemas,population aggr,population density,built-up area,transit departures,transit stops,area,osm_cinemas,start_location,15 transit is reasonable,18 transit is reasonable,21 transit is reasonable,15 min cinema dur,15 most accessible cinema,18 min cinema dur,18 most accessible cinema,21 min cinema dur,21 most accessible cinema,15 max cinema dur,15 least accessible cinema,18 max cinema dur,18 least accessible cinema,21 max cinema dur,21 least accessible cinema,average changes,area average changes,level,level_dummy
0,826.2,278.325,157.875,0.25,826.2,278.325,157.875,0.25,846.625,253.75,157.875,0.25,486.1,1672.5,1848.39358989608,1856.89917785664,2499.025,2.23624639542079,2.23624639542079,2.24321167028667,2.23856815370942,2012.925,774.525,390,52.7395032325242,774.525,390,52.7395032325242,794.95,435,52.1626270080711,1215,157.64163347312,4917,5,162273,1491.07,30.58,47709,238,Heidelberg,4,POINT (8.66896525072801 49.40736757451792),75,75,75,614.5,Die Kamera,614.5,Die Kamera,567.5,Die Kamera,1193.9,Gloria & Gloriette,1193.9,Gloria & Gloriette,1322.6,Gloria & Gloriette,0.75,1.85737179487179,top,3
1,1191.275,163.4,157.875,0.75,1191.275,163.4,157.875,0.75,1242.175,229.3,157.875,0.5,638.425,2968.175,3182.22367575777,3359.30335720735,3624.725,3.06620415560625,3.06620415560625,2.93752193585367,3.02331008235539,2986.3,1191.275,870,29.3892766758197,1191.275,870,29.3892766758197,1242.175,855,32.8686646050771,2595,91.6472179567165,3059.5,5,162273,1491.07,30.58,47709,238,Heidelberg,4,POINT (8.682260506674263 49.43300106269923),100,100,100,490.5,Die Kamera,490.5,Die Kamera,490.5,Die Kamera,1552.2,Gloria & Gloriette,1552.2,Gloria & Gloriette,1666.5,Karlstorkino,2,1.85737179487179,top,3
2,1066.875,24,157.875,0.25,1066.875,24,157.875,0.25,1081.875,24,157.875,0.5,734.525,3103.925,3709.95989996595,3511.14991411574,3215.625,3.47331193181966,3.47331193181966,3.49401470313418,3.48021285559117,2481.1,1066.875,885,21.9286536216431,1066.875,885,21.9286536216431,1081.875,900,21.862820690118,2670,65.7201279334042,5671.75,5,162273,1491.07,30.58,47709,238,Heidelberg,4,POINT (8.665880424678265 49.377722618584365),100,100,100,387.1,Karlstorkino,387.1,Karlstorkino,387.1,Karlstorkino,1772.8,Gloria & Gloriette,1772.8,Gloria & Gloriette,1892.8,Gloria & Gloriette,1,1.85737179487179,top,3
3,999.775,91.9,157.875,0.75,999.775,91.9,157.875,0.75,984.775,91.9,157.875,0.75,675.925,2604.7,2686.65352279157,2907.13682744695,2984.325,3.38236438786204,3.38236438786204,3.37001453363562,3.37824776978657,2308.4,999.775,750,28.4167186668973,999.775,750,28.4167186668973,984.775,735,28.6494586943086,2235,85.4828960281032,3720.75,5,162273,1491.07,30.58,47709,238,Heidelberg,4,POINT (8.683975120477092 49.42868445131181),100,100,100,299,Die Kamera,299,Die Kamera,299,Die Kamera,1360.7,Gloria & Gloriette,1360.7,Gloria & Gloriette,1355,Karlstorkino,2.25,1.85737179487179,top,3
4,1016.8,213.925,157.875,0.5,1016.8,213.925,157.875,0.5,1091.4,223.833333333333,167.566666666667,0.333333333333333,473.35,1992.275,1902.0913515458,2272.50446311185,2994.2,2.2741438046903,2.2741438046903,2.13117375770364,2.20871433822076,2562.16666666667,1016.8,645,43.4961473050002,1016.8,645,43.4961473050002,1485.775,700,46.9517773214142,1820,145.738975301002,5279.75,5,162273,1491.07,30.58,47709,238,Heidelberg,4,POINT (8.69009575 49.388581800000004),100,100,75,486.2,Karlstorkino,486.2,Karlstorkino,486.2,Karlstorkino,1556.7,Luxor Filmpalast Heidelberg,1556.7,Luxor Filmpalast Heidelberg,1976.7,Luxor Filmpalast Heidelberg,1.33333333333333,1.85737179487179,top,3
5,1312.1,452.325,229.775,0.5,1312.1,452.325,229.775,0.5,2683.125,263.35,229.775,2,718.725,2581.6,3299.21034261518,3005.2442194272,5307.325,2.26156034098517,2.26156034098517,1.19989501688931,1.90767189961989,4588.6,1312.1,630,52.7859963593316,1312.1,630,52.7859963593316,2342,2190,31.0265485892696,3450,136.598541307933,6267,5,162273,1491.07,30.58,47709,238,Heidelberg,4,POINT (8.6495801 49.4000123),100,100,50,1114.9,Karlstorkino,1114.9,Karlstorkino,1271.9,Luxor Filmpalast Heidelberg,1540.6,Gloria & Gloriette,1540.6,Gloria & Gloriette,4223.7,Gloria & Gloriette,3,1.85737179487179,top,3
6,949.4,416.525,157.875,0.25,917.075,369.2,157.875,0.25,1046.875,369.2,182.675,0.25,425.275,1618.975,713.748144391974,1815.58287341815,2913.35,2.13745668782901,2.38746383596979,2.3294211370672,2.284780553622,2488.075,949.4,375,62.9631227727525,917.075,390,56.9638231792005,1029.25,495,55.1080604910379,1260,175.035006442991,1158,5,162273,1491.07,30.58,47709,238,Heidelberg,4,POINT (8.693478588608912 49.39907296382343),100,100,75,554.3,Die Kamera,425,Die Kamera,425,Die Kamera,1478.5,Luxor Filmpalast Heidelberg,1478.5,Luxor Filmpalast Heidelberg,1898.5,Luxor Filmpalast Heidelberg,0.75,1.85737179487179,top,3
7,1181.025,186.25,229.775,1,1181.025,186.25,229.775,1,1121.025,186.25,229.775,0.75,611.25,2116.95,2361.30653292034,2245.03576953977,3483.075,1.96004261238067,1.96004261238067,2.00957241514629,1.97655254663588,2871.825,1181.025,765,41.1406277826864,1181.025,765,41.1406277826864,1121.025,705,41.5438175689551,2235,123.825073134328,3230.75,5,162273,1491.07,30.58,47709,238,Heidelberg,4,POINT (8.662535461305172 49.41017340846859),100,100,100,724.9,Die Kamera,724.9,Die Kamera,724.9,Die Kamera,1840.9,Karlstorkino,1840.9,Karlstorkino,1540.9,Karlstorkino,2.75,1.85737179487179,top,3
8,1337.275,294.4,157.875,0.25,1337.275,294.4,157.875,0.25,1352.275,294.4,157.875,0.5,812.1,3376.825,4118.8371882794,3911.10996824561,4026.825,2.96264981598962,2.96264981598962,2.97105041518196,2.9654500157204,3214.725,1337.275,885,39.4188076367351,1337.275,885,39.4188076367351,1352.275,900,39.4120775157003,2670,118.249692789171,2165,5,162273,1491.07,30.58,47709,238,Heidelberg,4,POINT (8.663877976033179 49.37418578964827),100,100,100,657.5,Karlstorkino,657.5,Karlstorkino,657.5,Karlstorkino,2043.2,Gloria & Gloriette,2043.2,Gloria & Gloriette,2163.2,Gloria & Gloriette,1,1.85737179487179,top,3
9,1214.675,246.8,157.875,0.75,1214.675,246.8,157.875,0.75,1205.025,282.15,157.875,0.75,678.9,2745.425,3000.50555013785,3162.10753096048,3634.375,2.79718585670748,2.79718585670748,2.78313128058462,2.79250099799986,2955.475,1214.675,810,37.0186383834592,1214.675,810,37.0186383834592,1205.025,765,39.6157232163432,2385,113.652999983262,2718.5,5,162273,1491.07,30.58,47709,238,Heidelberg,4,POINT (8.679410698918648 49.430658041954835),100,100,100,513.9,Die Kamera,513.9,Die Kamera,513.9,Die Kamera,1575.6,Gloria & Gloriette,1575.6,Gloria & Gloriette,1580.6,Karlstorkino,2.25,1.85737179487179,top,3
