,cinema_name,15_total_route,15_total_duration,15_walk_to,15_walk_from,15_total_changes,18_total_route,18_total_duration,18_walk_to,18_walk_from,18_total_changes,21_total_route,21_total_duration,21_walk_to,21_walk_from,21_total_changes,car_duration,foot_duration,area,start_location,distance_start_centroid,distance_start_cinema,geometry,average duration,15_speed,18_speed,21_speed,average speed,average duration difference to car,15_fastest_mode,15_trip_duration,15_fastest_overall_mode,15_transit_dur,15_walk_share,18_fastest_mode,18_trip_duration,18_fastest_overall_mode,18_transit_dur,18_walk_share,21_fastest_mode,21_trip_duration,21_fastest_overall_mode,21_transit_dur,21_walk_share,average transit duration,average walk share,average changes,osm_cinemas,area average changes,level,level_dummy,cinemas,population aggr,population density,built-up area,transit departures,transit stops
0,Gloria Kinocenter Ankum,"Gloria Kinocenter Ankum_Sitter,Sitterweg,Mast1_15.csv",450.5,221.6,108.9,0.0,"Gloria Kinocenter Ankum_Sitter,Sitterweg,Mast1_18.csv",450.5,221.6,108.9,0.0,"Gloria Kinocenter Ankum_Sitter,Sitterweg,Mast1_21.csv",527.8,221.6,126.2,0.0,153.0,864.0,Ankum,POINT (7.882132250000001 52.54461360000002),1163.1164917627834,963.164756885486,,1428.8,2.1379905813218336,2.1379905813218336,1.824866913386673,2.0336160253434468,1275.8,transit,450.5,car,120.0,73.36293007769146,transit,450.5,car,120.0,73.36293007769146,transit,527.8,car,179.99999999999994,65.89617279272453,420.0,70.87401098270249,0.0,1,0.0,base,1,1,8035,121.19,12.58,796.0,43.0
1,Gloria Kinocenter Ankum,"Gloria Kinocenter Ankum_Ankum,NeuerMarkt,Mast1_15.csv",1743.7,1497.5,126.2,0.0,"Gloria Kinocenter Ankum_Ankum,NeuerMarkt,Mast1_18.csv",1743.7,1497.5,126.2,0.0,"Gloria Kinocenter Ankum_Ankum,NeuerMarkt,Mast1_21.csv",1743.7,1497.5,126.2,0.0,199.9,1551.7,Ankum,POINT (7.8665160292884 52.52722459129126),1042.9261212294064,1606.0208359130777,,5231.1,0.9210419429449318,0.9210419429449318,0.9210419429449318,0.921041942944932,5031.200000000001,foot,1551.7,car,120.0,93.11808223891724,foot,1551.7,car,120.0,93.11808223891724,foot,1551.7,car,120.0,93.11808223891724,360.0,93.11808223891724,0.0,1,0.0,base,1,1,8035,121.19,12.58,796.0,43.0
2,Gloria Kinocenter Ankum,"Gloria Kinocenter Ankum_Ankum,Kattenboll,Mast1_15.csv",910.5,681.6,108.9,0.0,"Gloria Kinocenter Ankum_Ankum,Kattenboll,Mast1_18.csv",910.5,681.6,108.9,0.0,"Gloria Kinocenter Ankum_Ankum,Kattenboll,Mast1_21.csv",987.8,681.6,126.2,0.0,185.9,560.0,Ankum,POINT (7.874594388634287 52.54599262568492),1186.097539652396,626.6763019320364,,2808.8,0.6882771026161849,0.6882771026161849,0.6344161793197372,0.670323461517369,2622.9,foot,560.0,car,120.0,86.82042833607908,foot,560.0,car,120.0,86.82042833607908,foot,560.0,car,179.9999999999999,81.77768779105082,419.9999999999999,85.13951482106967,0.0,1,0.0,base,1,1,8035,121.19,12.58,796.0,43.0
3,Gloria Kinocenter Ankum,"Gloria Kinocenter Ankum_Ankum,AmBrunning,Mast2_15.csv",834.1,665.2,108.9,0.0,"Gloria Kinocenter Ankum_Ankum,AmBrunning,Mast2_18.csv",834.1,665.2,108.9,0.0,"Gloria Kinocenter Ankum_Ankum,AmBrunning,Mast2_21.csv",971.4,665.2,126.2,0.0,186.7,499.3,Ankum,POINT (7.872215350000001 52.54599235),1193.7034723400482,540.7544168521124,,2639.6,0.6483088560749459,0.6483088560749459,0.556675331328096,0.617764347825996,2452.9,foot,499.3,car,60.0,92.8066179115214,foot,499.3,car,60.0,92.8066179115214,foot,499.3,car,179.9999999999999,81.47004323656579,299.9999999999999,89.0277596865362,0.0,1,0.0,base,1,1,8035,121.19,12.58,796.0,43.0
4,Gloria Kinocenter Ankum,"Gloria Kinocenter Ankum_Ahausen,Ort,Mast1_15.csv",1357.3,1128.4,108.9,0.0,"Gloria Kinocenter Ankum_Ahausen,Ort,Mast1_18.csv",1357.3,1128.4,108.9,0.0,"Gloria Kinocenter Ankum_Ahausen,Ort,Mast1_21.csv",1434.6,1128.4,126.2,0.0,293.5,2015.2,Ankum,POINT (7.900789799999998 52.54584909999999),2147.6733844726627,2219.100018220671,,4149.2,1.634937020718095,1.634937020718095,1.5468423380877394,1.6055721265079763,3855.7,transit,1357.3,car,119.99999999999976,91.15891844102264,transit,1357.3,car,119.99999999999976,91.15891844102264,transit,1434.6,car,179.99999999999977,87.4529485570891,419.9999999999993,89.92359514637812,0.0,1,0.0,base,1,1,8035,121.19,12.58,796.0,43.0
5,Gloria Kinocenter Ankum,"Gloria Kinocenter Ankum_Tütingen,Eilfort,Mast2_15.csv",723.1,476.9,126.2,0.0,"Gloria Kinocenter Ankum_Tütingen,Eilfort,Mast2_18.csv",723.1,476.9,126.2,0.0,"Gloria Kinocenter Ankum_Tütingen,Eilfort,Mast2_21.csv",723.1,476.9,126.2,0.0,138.9,475.2,Ankum,POINT (7.862306332238615 52.53976174597449),947.3459011410404,486.6835603364028,,2169.3,0.6730515286079419,0.6730515286079419,0.6730515286079419,0.6730515286079419,2030.4,foot,475.2,car,120.0,83.4047849536717,foot,475.2,car,120.0,83.4047849536717,foot,475.2,car,120.0,83.4047849536717,360.0,83.4047849536717,0.0,1,0.0,base,1,1,8035,121.19,12.58,796.0,43.0
6,Gloria Kinocenter Ankum,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,500.1,3713.9,Ankum,POINT (7.8976984386234905 52.580707115965126),5292.271198874806,4771.166715141143,,,,,,,,foot,3713.9,car,,,foot,3713.9,car,,,foot,3713.9,car,,,,,,1,0.0,base,1,1,8035,121.19,12.58,796.0,43.0
7,Gloria Kinocenter Ankum,"Gloria Kinocenter Ankum_Aslage,Ziegelei,Mast1_15.csv",2431.3,2082.4,108.9,0.0,"Gloria Kinocenter Ankum_Aslage,Ziegelei,Mast1_18.csv",2431.3,2082.4,108.9,0.0,"Gloria Kinocenter Ankum_Aslage,Ziegelei,Mast1_21.csv",2431.3,2082.4,108.9,0.0,258.1,1560.4,Ankum,POINT (7.8499447784567105 52.553848989993085),2637.5294928253115,1870.2048802665329,,7293.900000000001,0.7692201210325886,0.7692201210325886,0.7692201210325886,0.7692201210325886,7035.8,foot,1560.4,car,240.0,90.12873771233495,foot,1560.4,car,240.0,90.12873771233495,foot,1560.4,car,240.0,90.12873771233495,720.0,90.12873771233495,0.0,1,0.0,base,1,1,8035,121.19,12.58,796.0,43.0
8,Gloria Kinocenter Ankum,"Gloria Kinocenter Ankum_Ankum,NeuerMarkt,Mast1_15.csv",1314.8,668.0,526.8,0.0,"Gloria Kinocenter Ankum_Ankum,NeuerMarkt,Mast1_18.csv",1314.8,668.0,526.8,0.0,"Gloria Kinocenter Ankum_Ankum,NeuerMarkt,Mast1_21.csv",1314.8,668.0,526.8,0.0,167.5,627.4,Ankum,POINT (7.87599810685702 52.545770447805765),1167.2725763181618,672.8559414643546,,3944.4,0.5117553555402758,0.5117553555402758,0.5117553555402758,0.5117553555402758,3776.9,foot,627.4,car,120.0,90.87313659872224,foot,627.4,car,120.0,90.87313659872224,foot,627.4,car,120.0,90.87313659872224,360.0,90.87313659872224,0.0,1,0.0,base,1,1,8035,121.19,12.58,796.0,43.0
9,Gloria Kinocenter Ankum,"Gloria Kinocenter Ankum_Ankum,Krankenhaus,Mast1_15.csv",755.9,527.0,108.9,0.0,"Gloria Kinocenter Ankum_Ankum,Krankenhaus,Mast1_18.csv",755.9,527.0,108.9,0.0,"Gloria Kinocenter Ankum_Ankum,Krankenhaus,Mast1_21.csv",833.2,527.0,126.2,0.0,283.5,1401.0,Ankum,POINT (7.886950615517662 52.548790800179674),1727.7451856833368,1467.1301615920547,,2345.0,1.940905095372476,1.940905095372476,1.760837927978942,1.8808827062412985,2061.5,transit,755.9,car,120.0,84.1248842439476,transit,755.9,car,120.0,84.1248842439476,transit,833.2,car,180.0,78.39654344695151,420.0,82.21543731161557,0.0,1,0.0,base,1,1,8035,121.19,12.58,796.0,43.0
