,cinema_name,15_total_route,15_total_duration,15_walk_to,15_walk_from,15_total_changes,18_total_route,18_total_duration,18_walk_to,18_walk_from,18_total_changes,21_total_route,21_total_duration,21_walk_to,21_walk_from,21_total_changes,car_duration,foot_duration,area,start_location,distance_start_centroid,distance_start_cinema,geometry,average duration,15_speed,18_speed,21_speed,average speed,average duration difference to car,15_fastest_mode,15_trip_duration,15_fastest_overall_mode,15_transit_dur,15_walk_share,18_fastest_mode,18_trip_duration,18_fastest_overall_mode,18_transit_dur,18_walk_share,21_fastest_mode,21_trip_duration,21_fastest_overall_mode,21_transit_dur,21_walk_share,average transit duration,average walk share,average changes,osm_cinemas,area average changes,level,level_dummy,cinemas,population aggr,population density,built-up area,transit departures,transit stops
0,CasaBlanca Art House,CasaBlanca Art House_SulzbachNordbahnhofBusVBadSodenSU02_15.csv,510.0,108.3,41.7,0,CasaBlanca Art House_SulzbachNordbahnhofBusVBadSodenSU02_18.csv,510.0,108.3,41.7,0,CasaBlanca Art House_SulzbachNordbahnhofBusVBadSodenSU02_21.csv,510.0,108.3,41.7,0,223.8,1149.9,Bad Soden am Taunus,POINT (8.510325969842526 50.13441726731864),2588.488422665352,1343.8754250597276,,1530.0,2.6350498530582893,2.6350498530582893,2.6350498530582893,2.6350498530582893,1306.2,transit,510.0,car,360.0,29.41176470588235,transit,510.0,car,360.0,29.41176470588235,transit,510.0,car,360.0,29.41176470588235,1080.0,29.411764705882348,0,1,0.038461538461538464,mid,2,1,23162,1852.96,40.8,2117,33
1,CasaBlanca Art House,CasaBlanca Art House_BadSodenRosenthalstraßeNSulzbach_15.csv,1328.5,926.8,41.7,0,CasaBlanca Art House_BadSodenRosenthalstraßeNSulzbach_18.csv,1328.5,926.8,41.7,0,CasaBlanca Art House_BadSodenRosenthalstraßeNSulzbach_21.csv,1328.5,926.8,41.7,0,207.5,910.5,Bad Soden am Taunus,POINT (8.513233469689604 50.13901184737268),2371.765283476326,1110.6377117305428,,3985.5,0.8360088157550191,0.8360088157550191,0.8360088157550191,0.836008815755019,3778.0,foot,910.5,car,360.0,72.90176891230712,foot,910.5,car,360.0,72.90176891230712,foot,910.5,car,360.0,72.90176891230712,1080.0,72.90176891230712,0,1,0.038461538461538464,mid,2,1,23162,1852.96,40.8,2117,33
2,CasaBlanca Art House,CasaBlanca Art House_BadSodenAlleestraßeNr.22VBahnhof_15.csv,328.8,227.1,41.7,0,CasaBlanca Art House_BadSodenAlleestraßeNr.22VBahnhof_18.csv,347.0,185.3,41.7,0,CasaBlanca Art House_BadSodenAlleestraßeNr.22VBahnhof_21.csv,347.0,185.3,41.7,0,80.2,330.9,Bad Soden am Taunus,POINT (8.502472900000003 50.14180005000001),1599.3615652128276,353.8502629944845,,1022.8,1.0761869312484322,1.019741391914941,1.019741391914941,1.0385565716927714,942.6,transit,328.8,car,60.0,81.75182481751825,foot,330.9,car,120.0,65.4178674351585,foot,330.9,car,120.0,65.4178674351585,300.0,70.86251989594508,0,1,0.038461538461538464,mid,2,1,23162,1852.96,40.8,2117,33
3,CasaBlanca Art House,CasaBlanca Art House_BadSodenThermalbadNReitplatz_15.csv,172.8,71.1,41.7,0,CasaBlanca Art House_BadSodenThermalbadNReitplatz_18.csv,361.2,139.5,41.7,0,CasaBlanca Art House_BadSodenThermalbadNReitplatz_21.csv,361.2,139.5,41.7,0,74.6,405.7,Bad Soden am Taunus,POINT (8.50469543247953 50.141342446731485),1745.2808978351568,481.09678997290223,,895.2,2.784124941972814,1.331940171575034,1.331940171575034,1.8160017617076272,820.6,transit,172.8,car,60.000000000000014,65.27777777777777,transit,361.2,car,180.0,50.16611295681063,transit,361.2,car,180.0,50.16611295681063,420.0,55.20333456379968,0,1,0.038461538461538464,mid,2,1,23162,1852.96,40.8,2117,33
4,CasaBlanca Art House,CasaBlanca Art House_BadSodenThermalbadVReitplatz_15.csv,285.9,124.2,41.7,0,CasaBlanca Art House_BadSodenThermalbadVReitplatz_18.csv,285.9,124.2,41.7,0,CasaBlanca Art House_BadSodenThermalbadVReitplatz_21.csv,285.9,124.2,41.7,0,68.8,283.4,Bad Soden am Taunus,POINT (8.502906949442654 50.14219066479537),1588.570151201582,329.9112859304085,,857.6999999999999,1.1539394401203515,1.1539394401203515,1.1539394401203515,1.1539394401203515,788.9,foot,283.4,car,119.99999999999996,58.02728226652677,foot,283.4,car,119.99999999999996,58.02728226652677,foot,283.4,car,119.99999999999996,58.02728226652677,359.9999999999999,58.02728226652677,0,1,0.038461538461538464,mid,2,1,23162,1852.96,40.8,2117,33
5,CasaBlanca Art House,CasaBlanca Art House_BadSodenAltenheimNT-Heuss-Schule_15.csv,1300.7,899.0,41.7,0,CasaBlanca Art House_BadSodenAltenheimNT-Heuss-Schule_18.csv,1300.7,899.0,41.7,0,CasaBlanca Art House_BadSodenAltenheimNT-Heuss-Schule_21.csv,1300.7,899.0,41.7,0,207.2,928.6,Bad Soden am Taunus,POINT (8.514079451264235 50.13924788029544),2402.668741785617,1146.6855986707355,,3902.1,0.8815911422086072,0.8815911422086072,0.8815911422086072,0.8815911422086073,3694.900000000001,foot,928.6,car,360.0,72.32259552548628,foot,928.6,car,360.0,72.32259552548628,foot,928.6,car,360.0,72.32259552548628,1080.0,72.32259552548628,0,1,0.038461538461538464,mid,2,1,23162,1852.96,40.8,2117,33
6,CasaBlanca Art House,CasaBlanca Art House_BadSodenParkstraßeVKurpark_15.csv,486.9,325.2,41.7,0,CasaBlanca Art House_BadSodenParkstraßeVKurpark_18.csv,486.9,325.2,41.7,0,CasaBlanca Art House_BadSodenParkstraßeVKurpark_21.csv,486.9,325.2,41.7,0,223.3,1143.9,Bad Soden am Taunus,POINT (8.495783154649772 50.15456700308327),632.2150526576285,1145.967240589717,,1460.6999999999998,2.353598768925276,2.353598768925276,2.353598768925276,2.353598768925276,1237.4,transit,486.9,car,120.0,75.35428219346889,transit,486.9,car,120.0,75.35428219346889,transit,486.9,car,120.0,75.35428219346889,360.0,75.35428219346889,0,1,0.038461538461538464,mid,2,1,23162,1852.96,40.8,2117,33
7,CasaBlanca Art House,CasaBlanca Art House_BadSodenFriedrich-Uhde-Str.VBahnhof_15.csv,1351.2,949.5,41.7,0,CasaBlanca Art House_BadSodenFriedrich-Uhde-Str.VBahnhof_18.csv,1351.2,949.5,41.7,0,CasaBlanca Art House_BadSodenFriedrich-Uhde-Str.VBahnhof_21.csv,1351.2,949.5,41.7,0,224.3,989.8,Bad Soden am Taunus,POINT (8.514310750000002 50.139898249999995),2372.272663492851,1124.586136627579,,4053.6,0.8322869572436197,0.8322869572436197,0.8322869572436197,0.8322869572436197,3829.3,foot,989.8,car,360.0,73.35701598579041,foot,989.8,car,360.0,73.35701598579041,foot,989.8,car,360.0,73.35701598579041,1080.0,73.35701598579041,0,1,0.038461538461538464,mid,2,1,23162,1852.96,40.8,2117,33
8,CasaBlanca Art House,CasaBlanca Art House_KönigsteinKlinikHainerbergNKelkheim_15.csv,1502.0,294.4,67.6,0,CasaBlanca Art House_KönigsteinKlinikHainerbergNKelkheim_18.csv,1502.0,294.4,67.6,0,CasaBlanca Art House_KönigsteinKlinikHainerbergNKelkheim_21.csv,2002.8,1601.1,41.7,0,467.7,2371.8,Bad Soden am Taunus,POINT (8.471038914966828 50.15646354217438),1257.53917603588,2475.58116243774,,5006.8,1.6481898551516243,1.6481898551516243,1.236060097082954,1.5108132691287344,4539.1,transit,1502.0,car,1140.0,24.101198402130496,transit,1502.0,car,1140.0,24.101198402130496,transit,2002.8,car,360.0,82.02516476932294,2640.0,43.40918719119465,0,1,0.038461538461538464,mid,2,1,23162,1852.96,40.8,2117,33
9,CasaBlanca Art House,CasaBlanca Art House_NeuenhainSandwieseNKönigstein_15.csv,1620.6,413.0,67.6,0,CasaBlanca Art House_NeuenhainSandwieseNKönigstein_18.csv,1620.6,413.0,67.6,0,CasaBlanca Art House_NeuenhainSandwieseNKönigstein_21.csv,1691.0,1349.3,41.7,0,455.1,2021.4,Bad Soden am Taunus,POINT (8.475615366031471 50.153826684959526),863.8163044558314,2044.585395090379,,4932.2,1.2616224824696898,1.2616224824696898,1.2090984004082668,1.244114455115882,4477.099999999999,transit,1620.6,car,1140.0,29.655683080340616,transit,1620.6,car,1140.0,29.655683080340616,transit,1691.0,car,300.0,82.25901833234772,2580.0,47.19012816434298,0,1,0.038461538461538464,mid,2,1,23162,1852.96,40.8,2117,33
