,cinema_name,15_total_route,15_total_duration,15_walk_to,15_walk_from,15_total_changes,18_total_route,18_total_duration,18_walk_to,18_walk_from,18_total_changes,21_total_route,21_total_duration,21_walk_to,21_walk_from,21_total_changes,car_duration,foot_duration,area,start_location,distance_start_centroid,distance_start_cinema,geometry,average duration,15_speed,18_speed,21_speed,average speed,average duration difference to car,15_fastest_mode,15_trip_duration,15_fastest_overall_mode,15_transit_dur,15_walk_share,18_fastest_mode,18_trip_duration,18_fastest_overall_mode,18_transit_dur,18_walk_share,21_fastest_mode,21_trip_duration,21_fastest_overall_mode,21_transit_dur,21_walk_share,average transit duration,average walk share,population,level,level_dummy,cinemas,population aggr,population density,built-up area,transit departures,transit stops,osm_cinemas,average changes,area average changes
0,Filmwelt Landau,"Filmwelt Landau_Landau,Stadtbibliothek_15.csv",1155.3,365.2,130.1,0,"Filmwelt Landau_Landau,Stadtbibliothek_18.csv",1024.8,114.7,130.1,0.0,"Filmwelt Landau_Landau,Stadtbibliothek_21.csv",1242.4,452.3,130.1,0.0,402.4,1544.0,Landau in der Pfalz,POINT (8.115673491812512 49.19820397155789),5633.452374043448,1646.718078347756,,3422.5,1.4253597146609158,1.6068677579505817,1.3254330959012846,1.452553522837594,3020.1,transit,1155.3,car,660.0,42.87198130355752,transit,1024.8,car,780.0,23.88758782201405,transit,1242.4,car,660.0000000000001,46.877012234385056,2100.0,113.63658135995664,4154.0,mid,2,2,47610,574.03,24.95,6234,90,2,0.0,0.4072164948453608
1,Universum Kinocenter,"Universum Kinocenter_Landau,Stadtbibliothek_15.csv",535.3,169.7,185.6,0,"Universum Kinocenter_Landau,Stadtbibliothek_18.csv",535.3,169.7,185.6,0.0,"Universum Kinocenter_Landau,Stadtbibliothek_21.csv",556.7,306.4,190.3,0.0,231.6,181.3,Landau in der Pfalz,POINT (8.115673491812512 49.19820397155789),5633.452374043448,177.06595546487367,,1627.3,0.3307789192319703,0.3307789192319703,0.3180635090082157,0.3265404491573854,1395.7,foot,181.3,car,180.0,66.37399589015506,foot,181.3,car,180.0,66.37399589015506,foot,181.3,car,60.00000000000006,89.22220226333752,420.00000000000006,221.97019404364764,4907.0,mid,2,2,47610,574.03,24.95,6234,90,2,0.0,0.4072164948453608
2,Filmwelt Landau,"Filmwelt Landau_Landau,Zoo(Abzw.Uni)_15.csv",941.8,391.7,130.1,0,"Filmwelt Landau_Landau,Zoo(Abzw.Uni)_18.csv",825.1,215.0,130.1,0.0,"Filmwelt Landau_Landau,Zoo(Abzw.Uni)_21.csv",921.1,191.0,130.1,0.0,387.6,1613.7,Landau in der Pfalz,POINT (8.109358799999999 49.19468679999999),5484.237745156789,1805.7455371813865,,2688.0,1.9173343992157428,2.188517194499317,1.9604229043332824,2.022091499349447,2300.4,transit,941.8,car,420.0,55.40454448927585,transit,825.1,car,480.0,41.825233305053935,transit,921.1,car,600.0,34.86049288893714,1500.0,132.0902706832669,4154.0,mid,2,2,47610,574.03,24.95,6234,90,2,0.0,0.4072164948453608
3,Universum Kinocenter,"Universum Kinocenter_Landau,Zoo(Abzw.Uni)_15.csv",460.6,215.0,185.6,0,"Universum Kinocenter_Landau,Zoo(Abzw.Uni)_18.csv",460.5,150.2,190.3,0.0,"Universum Kinocenter_Landau,Zoo(Abzw.Uni)_21.csv",520.5,150.2,190.3,0.0,239.5,427.9,Landau in der Pfalz,POINT (8.109358799999999 49.19468679999999),5484.237745156789,464.3146863679499,,1441.6,1.0080648857315455,1.0082837923299672,0.892055113098847,0.9694679303867866,1202.1,foot,427.9,car,60.0,86.97351280937907,foot,427.9,car,120.0,73.9413680781759,foot,427.9,car,180.0,65.4178674351585,360.0,226.33274832271348,4154.0,mid,2,2,47610,574.03,24.95,6234,90,2,0.0,0.4072164948453608
4,Filmwelt Landau,"Filmwelt Landau_Landau,Vinzentius-Krankenhaus_15.csv",1043.4,313.3,130.1,0,"Filmwelt Landau_Landau,Vinzentius-Krankenhaus_18.csv",1501.2,363.1,658.1,0.0,"Filmwelt Landau_Landau,Vinzentius-Krankenhaus_21.csv",1571.4,313.3,658.1,0.0,506.9,1551.3,Landau in der Pfalz,POINT (8.114063257142952 49.19702713679676),5606.9895542400345,1648.6244327086056,,4116.0,1.580050251781297,1.0982043916257698,1.049143714336646,1.2424661192479045,3609.1,transit,1043.4,car,600.0000000000001,42.49568717653823,transit,1501.2,car,480.0,68.0255795363709,foot,1551.3,car,600.0,61.81748759068347,1680.0,172.3387543035926,4154.0,mid,2,2,47610,574.03,24.95,6234,90,2,0.0,0.4072164948453608
5,Universum Kinocenter,"Universum Kinocenter_Landau,Vinzentius-Krankenhaus_15.csv",799.3,549.0,190.3,0,"Universum Kinocenter_Landau,Vinzentius-Krankenhaus_18.csv",898.5,380.2,398.3,0.0,"Universum Kinocenter_Landau,Vinzentius-Krankenhaus_21.csv",958.5,380.2,398.3,0.0,47.3,93.0,Landau in der Pfalz,POINT (8.114063257142952 49.19702713679676),5606.9895542400345,75.59874765148108,,2656.3,0.0945811931083211,0.0841388399014814,0.0788719328653949,0.0858639886250658,2609.0,foot,93.0,car,60.0,92.49343175278368,foot,93.0,car,120.0,86.64440734557596,foot,93.0,car,180.0,81.2206572769953,360.0,260.3584963753549,7153.0,mid,2,2,47610,574.03,24.95,6234,90,2,0.0,0.4072164948453608
6,Filmwelt Landau,"Filmwelt Landau_Landau(Pfalz),Feuerwehr_15.csv",1121.3,571.2,130.1,0,"Filmwelt Landau_Landau(Pfalz),Feuerwehr_18.csv",1843.2,284.4,778.8,0.0,"Filmwelt Landau_Landau(Pfalz),Feuerwehr_21.csv",1921.7,603.6,658.1,0.0,454.8,1358.4,Landau in der Pfalz,POINT (8.11615755 49.19612099999999),5789.81852994908,1466.4956639385646,,4886.2,1.307853084757482,0.7956248176750025,0.7631241421338214,0.9555340148554354,4431.4,transit,1121.3,car,419.9999999999999,62.54347632212612,foot,1358.4,car,780.0000000000002,57.68229166666666,foot,1358.4,car,660.0,65.6554092730395,1860.0,185.88117726183225,4907.0,mid,2,2,47610,574.03,24.95,6234,90,2,0.0,0.4072164948453608
7,Universum Kinocenter,"Universum Kinocenter_Landau(Pfalz),Feuerwehr_15.csv",668.4,90.1,398.3,0,"Universum Kinocenter_Landau(Pfalz),Feuerwehr_18.csv",668.4,90.1,398.3,0.0,"Universum Kinocenter_Landau(Pfalz),Feuerwehr_21.csv",402.7,152.4,190.3,0.0,111.5,100.1,Landau in der Pfalz,POINT (8.11615755 49.19612099999999),5789.81852994908,107.41122384913128,,1739.5,0.1606990183260492,0.1606990183260492,0.266727647998836,0.1960418948836448,1628.0,foot,100.1,car,180.0,73.07001795332135,foot,100.1,car,180.0,73.07001795332135,foot,100.1,car,59.99999999999994,85.1005711447728,420.0,231.2406070514155,4154.0,mid,2,2,47610,574.03,24.95,6234,90,2,0.0,0.4072164948453608
8,Filmwelt Landau,"Filmwelt Landau_Landau,Westring_15.csv",1151.0,420.9,130.1,0,"Filmwelt Landau_Landau,Westring_18.csv",1120.5,510.4,130.1,0.0,"Filmwelt Landau_Landau,Westring_21.csv",1151.0,420.9,130.1,0.0,409.7,1556.7,Landau in der Pfalz,POINT (8.115137773909515 49.19806543842663),5608.8155479712805,1664.3233738313952,,3422.5,1.4459803421645483,1.4853399141734898,1.4459803421645483,1.459100199500862,3012.8,transit,1151.0,car,600.0,47.87141615986099,transit,1120.5,car,480.0,57.1619812583668,transit,1151.0,car,600.0,47.87141615986099,1680.0,152.90481357808878,4154.0,mid,2,2,47610,574.03,24.95,6234,90,2,0.0,0.4072164948453608
9,Universum Kinocenter,"Universum Kinocenter_Landau,Westring_15.csv",756.0,510.4,185.6,0,"Universum Kinocenter_Landau,Westring_18.csv",833.8,420.9,292.9,0.0,"Universum Kinocenter_Landau,Westring_21.csv",844.1,431.2,292.9,0.0,238.9,159.5,Landau in der Pfalz,POINT (8.115137773909515 49.19806543842663),5608.8155479712805,154.36279661308456,,2433.9,0.204183593403551,0.185131682193673,0.182872641408701,0.1907293056686416,2195.0,foot,159.5,car,60.0,92.06349206349206,foot,159.5,car,120.0,85.60805948668745,foot,159.5,car,120.00000000000011,85.78367492003316,300.0000000000001,263.45522647021266,660.0,mid,2,2,47610,574.03,24.95,6234,90,2,0.0,0.4072164948453608
10,Filmwelt Landau,"Filmwelt Landau_Landau,Synagogenmahnmal_15.csv",836.8,346.7,130.1,0,"Filmwelt Landau_Landau,Synagogenmahnmal_18.csv",1005.6,395.5,130.1,0.0,"Filmwelt Landau_Landau,Synagogenmahnmal_21.csv",1360.5,630.4,130.1,0.0,456.9,1554.4,Landau in der Pfalz,POINT (8.110049977166405 49.19017828833361),5846.033923735532,1608.805386191982,,3202.9,1.922568578145294,1.5998462472076194,1.182510390438796,1.5683084052639034,2746.0,transit,836.8,car,360.0,56.97896749521989,transit,1005.6,car,480.0,52.2673031026253,transit,1360.5,car,600.0,55.898566703417856,1440.0,165.14483730126304,2394.0,mid,2,2,47610,574.03,24.95,6234,90,2,0.0,0.4072164948453608
11,Universum Kinocenter,"Universum Kinocenter_Landau,Synagogenmahnmal_15.csv",597.0,346.7,190.3,0,"Universum Kinocenter_Landau,Synagogenmahnmal_18.csv",720.9,470.6,190.3,0.0,"Universum Kinocenter_Landau,Synagogenmahnmal_21.csv",780.9,470.6,190.3,0.0,308.9,746.2,Landau in der Pfalz,POINT (8.110049977166405 49.19017828833361),5846.033923735532,806.629349093966,,2098.8,1.3511379381808477,1.1189198905451048,1.032948327691082,1.167668718805678,1789.9,transit,597.0,car,60.0,89.9497487437186,transit,720.9,car,59.999999999999886,91.67707032875576,foot,746.2,car,119.99999999999989,84.63311563580486,239.99999999999977,266.2599347082792,4907.0,mid,2,2,47610,574.03,24.95,6234,90,2,0.0,0.4072164948453608
12,Filmwelt Landau,"Filmwelt Landau_Landau,Finanzamt_15.csv",1253.8,343.7,130.1,0,"Filmwelt Landau_Landau,Finanzamt_18.csv",1253.8,343.7,130.1,0.0,"Filmwelt Landau_Landau,Finanzamt_21.csv",1468.8,210.7,658.1,0.0,487.4,1729.3,Landau in der Pfalz,POINT (8.111555241647704 49.197966659676695),5397.147564534484,1857.07006326057,,3976.4,1.4811533444413545,1.4811533444413545,1.264345086642545,1.4088839251750844,3488.9999999999995,transit,1253.8,car,780.0,37.789121071941295,transit,1253.8,car,780.0,37.789121071941295,transit,1468.8,car,600.0,59.15032679738562,2160.0,134.7285689412682,4907.0,mid,2,2,47610,574.03,24.95,6234,90,2,0.0,0.4072164948453608
13,Universum Kinocenter,"Universum Kinocenter_Landau,Finanzamt_15.csv",1482.5,343.7,358.8,1,"Universum Kinocenter_Landau,Finanzamt_18.csv",906.2,467.0,379.2,0.0,"Universum Kinocenter_Landau,Finanzamt_21.csv",772.6,467.0,185.6,0.0,339.3,271.0,Landau in der Pfalz,POINT (8.111555241647704 49.197966659676695),5397.147564534484,286.0666066942318,,3161.3,0.1929622979387735,0.3156771206071858,0.370264828752565,0.2929680824328414,2821.9999999999995,foot,271.0,car,780.0,47.38617200674536,foot,271.0,car,60.0,93.37894504524388,foot,271.0,car,120.0,84.46803002847528,960.0,225.23314708046453,4907.0,mid,2,2,47610,574.03,24.95,6234,90,2,1.0,0.4072164948453608
