,15_total_duration,15_walk_to,15_walk_from,15_total_changes,18_total_duration,18_walk_to,18_walk_from,18_total_changes,21_total_duration,21_walk_to,21_walk_from,21_total_changes,car_duration,foot_duration,distance_start_centroid,distance_start_cinema,average duration,15_speed,18_speed,21_speed,average speed,average duration difference to car,15_trip_duration,15_transit_dur,15_walk_share,18_trip_duration,18_transit_dur,18_walk_share,21_trip_duration,21_transit_dur,21_walk_share,average transit duration,average walk share,average changes,area,start_location,15 fastest mode,18 fastest mode,21 fastest mode,15 transit is fastest,18 transit is fastest,21 transit is fastest,15 min cinema dur,15 most accessible cinema,18 min cinema dur,18 most accessible cinema,21 min cinema dur,21 most accessible cinema,15 max cinema dur,15 least accessible cinema,18 max cinema dur,18 least accessible cinema,21 max cinema dur,21 least accessible cinema,area average changes,level,level_dummy,cinemas,population aggr,population density,built-up area,transit departures,transit stops
0,6796.9,2355.3,1861.6,0.0,6796.9,2355.3,1861.6,2.0,,,,,562.9,2687.6,3092.0501240760045,3244.068562132125,,0.4772864926852131,0.4772864926852131,,,,2687.6,2580.0,62.04151892774647,2687.6,2580.0,62.04151892774647,2687.6,,,,,,Alfeld (Leine),POINT (9.797634397476363 51.96419932071918),foot,foot,foot,0.0,0.0,0.0,6796.9,Kinowelt Alfeld,6796.9,Kinowelt Alfeld,,,6796.9,Kinowelt Alfeld,6796.9,Kinowelt Alfeld,,,0.2909090909090909,mid,2,1,18723,256.9,18.8,2264,65
1,3109.2,140.7,448.5,1.0,6400.2,2081.9,178.3,1.0,,,,,558.2,4345.8,5602.472644782313,5488.688740966634,,1.765305783148924,0.8575808163755249,,,,3109.2,2520.0,18.95021227325357,4345.8,4140.0,35.31452142120559,4345.8,,,,,,Alfeld (Leine),POINT (9.772352122800779 52.025336963728314),transit,foot,foot,100.0,0.0,0.0,3109.2,Kinowelt Alfeld,6400.2,Kinowelt Alfeld,,,3109.2,Kinowelt Alfeld,6400.2,Kinowelt Alfeld,,,0.2909090909090909,mid,2,1,18723,256.9,18.8,2264,65
2,3940.3000000000006,874.4,965.9,0.0,4367.4,1249.1,898.2999999999998,0.0,1806.1,1295.4,390.7,0.0,487.5,2034.6,2340.013077533068,2497.675758843271,10308.3,0.6371457274548478,0.5718907722771606,1.3829111117010526,0.852954644216277,9820.8,2034.6,2100.0,46.42995501246165,2034.6,2220.0,49.16884187388377,1958.4333333333327,119.99999999999976,93.35584962072976,4440.0,63.9120871942156,0.0,Alfeld (Leine),POINT (9.806258499603212 51.96874259679973),foot,foot,foot,0.0,0.0,33.333333333333336,3551.3,Kinowelt Alfeld,4367.4,Kinowelt Alfeld,1806.1,Kinowelt Alfeld,4134.8,Kinowelt Alfeld,4367.4,Kinowelt Alfeld,1806.1,Kinowelt Alfeld,0.2909090909090909,mid,2,1,18723,256.9,18.8,2264,65
3,805.1,566.8,178.3,0.0,805.1,566.8,178.3,0.0,805.1,566.8,178.3,0.0,664.6,1032.3,1139.9179612090393,985.9273107787008,2415.3,1.2246022988184089,1.2246022988184089,1.2246022988184089,1.2246022988184089,1750.7000000000005,805.1,60.000000000000114,92.54750962613338,805.1,60.000000000000114,92.54750962613338,805.1,60.000000000000114,92.54750962613338,180.00000000000034,92.54750962613338,0.0,Alfeld (Leine),POINT (9.833298832298972 51.99520149047929),transit,transit,transit,100.0,100.0,100.0,805.1,Kinowelt Alfeld,805.1,Kinowelt Alfeld,805.1,Kinowelt Alfeld,805.1,Kinowelt Alfeld,805.1,Kinowelt Alfeld,805.1,Kinowelt Alfeld,0.2909090909090909,mid,2,1,18723,256.9,18.8,2264,65
4,1017.8,250.4,407.4,0.0,1017.8,250.4,407.4,0.0,2848.2,2489.9,178.3,0.0,491.7,2683.0,3359.213844178816,3417.102382041476,4883.799999999999,3.357341699785298,3.357341699785298,1.1997410231168726,2.6381414742291565,4392.099999999999,1017.8,360.0,64.62959324032227,1017.8,360.0,64.62959324032227,2683.0,179.99999999999957,93.68021908573836,899.9999999999995,74.31313518879429,0.0,Alfeld (Leine),POINT (9.868164772422205 51.97304781120711),transit,transit,foot,100.0,100.0,0.0,1017.8,Kinowelt Alfeld,1017.8,Kinowelt Alfeld,2848.2,Kinowelt Alfeld,1017.8,Kinowelt Alfeld,1017.8,Kinowelt Alfeld,2848.2,Kinowelt Alfeld,0.2909090909090909,mid,2,1,18723,256.9,18.8,2264,65
5,1059.1,291.7,407.4,0.0,1059.1,291.7,407.4,0.0,2475.2,2116.9,178.3,0.0,427.5,2173.9,2712.693213778062,2770.6864958133656,4593.4,2.616076381657413,2.616076381657413,1.1193788363822583,2.117177199899028,4165.9,1059.1,360.0,66.00887546029648,1059.1,360.0,66.00887546029648,2173.9,179.99999999999957,92.72786037491922,899.9999999999995,74.91520376517073,0.0,Alfeld (Leine),POINT (9.859834378242951 51.975756409407204),transit,transit,foot,100.0,100.0,0.0,1059.1,Kinowelt Alfeld,1059.1,Kinowelt Alfeld,2475.2,Kinowelt Alfeld,1059.1,Kinowelt Alfeld,1059.1,Kinowelt Alfeld,2475.2,Kinowelt Alfeld,0.2909090909090909,mid,2,1,18723,256.9,18.8,2264,65
6,579.2,340.9,178.3,0.0,579.2,340.9,178.3,0.0,693.9,395.6,178.3,0.0,200.9,437.2,656.3600190985525,497.5577649914287,1852.3,0.85904310254045,0.85904310254045,0.7170453451382458,0.8117105167397153,1651.4,437.2,60.0,89.64088397790054,437.2,60.0,89.64088397790054,437.2,119.99999999999989,82.70644185041073,239.9999999999999,87.32940326873727,0.0,Alfeld (Leine),POINT (9.8225852147337 51.992337167398965),foot,foot,foot,0.0,0.0,0.0,579.2,Kinowelt Alfeld,579.2,Kinowelt Alfeld,693.9,Kinowelt Alfeld,579.2,Kinowelt Alfeld,579.2,Kinowelt Alfeld,693.9,Kinowelt Alfeld,0.2909090909090909,mid,2,1,18723,256.9,18.8,2264,65
7,853.3,615.0,178.3,0.0,853.3,615.0,178.3,0.0,853.3,615.0,178.3,0.0,389.7,1091.2,1227.4084768309378,1193.7168135223014,2559.9,1.398941537000236,1.398941537000236,1.398941537000236,1.398941537000236,2170.2,853.3,60.0,92.9684753310676,853.3,60.0,92.9684753310676,853.3,60.0,92.9684753310676,180.0,92.9684753310676,0.0,Alfeld (Leine),POINT (9.84214884551809 51.987908335771635),transit,transit,transit,100.0,100.0,100.0,853.3,Kinowelt Alfeld,853.3,Kinowelt Alfeld,853.3,Kinowelt Alfeld,853.3,Kinowelt Alfeld,853.3,Kinowelt Alfeld,853.3,Kinowelt Alfeld,0.2909090909090909,mid,2,1,18723,256.9,18.8,2264,65
8,6388.9,1947.3,1861.6,0.0,6388.9,1947.3,1861.6,2.0,,,,,552.0,2169.2,2383.835289666168,2535.592309768111,,0.3968746278339168,0.3968746278339168,,,,2169.2,2580.0,59.617461534849504,2169.2,2580.0,59.617461534849504,2169.2,,,,,,Alfeld (Leine),POINT (9.80356794780091 51.96940890818943),foot,foot,foot,0.0,0.0,0.0,6388.9,Kinowelt Alfeld,6388.9,Kinowelt Alfeld,,,6388.9,Kinowelt Alfeld,6388.9,Kinowelt Alfeld,,,0.2909090909090909,mid,2,1,18723,256.9,18.8,2264,65
9,5718.049999999999,1867.05,1511.0,0.0,7147.95,1296.35,1861.6,1.5,2349.5,1838.8,390.7,0.0,571.3,2578.0,2976.541955276484,3129.9971144082742,14565.7,0.5661106695503759,0.4391951635487605,1.3321971118996698,0.8054954553284077,13994.4,2578.0,2340.0,58.46669987249879,2578.0,3990.0,45.09271031872052,2463.75,120.0,94.8925303256012,7620.0,59.45547714279398,1.0,Alfeld (Leine),POINT (9.799278579769586 51.96474534984012),foot,foot,both,0.0,0.0,50.0,4678.2,Kinowelt Alfeld,6757.9,Kinowelt Alfeld,2349.5,Kinowelt Alfeld,6757.9,Kinowelt Alfeld,7538.0,Kinowelt Alfeld,2349.5,Kinowelt Alfeld,0.2909090909090909,mid,2,1,18723,256.9,18.8,2264,65
