,15_total_duration,15_walk_to,15_walk_from,15_total_changes,18_total_duration,18_walk_to,18_walk_from,18_total_changes,21_total_duration,21_walk_to,21_walk_from,21_total_changes,car_duration,foot_duration,distance_start_centroid,distance_start_cinema,average duration,15_speed,18_speed,21_speed,average speed,average duration difference to car,15_trip_duration,15_transit_dur,15_walk_share,18_trip_duration,18_transit_dur,18_walk_share,21_trip_duration,21_transit_dur,21_walk_share,average transit duration,average walk share,population,cinemas,population aggr,population density,built-up area,transit departures,transit stops,area,osm_cinemas,start_location,15 transit is reasonable,18 transit is reasonable,21 transit is reasonable,15 min cinema dur,15 most accessible cinema,18 min cinema dur,18 most accessible cinema,21 min cinema dur,21 most accessible cinema,15 max cinema dur,15 least accessible cinema,18 max cinema dur,18 least accessible cinema,21 max cinema dur,21 least accessible cinema,average changes,area average changes,level,level_dummy
0,450.5,221.6,108.9,0.0,450.5,221.6,108.9,0.0,527.8,221.6,126.2,0.0,153.0,864.0,1163.1164917627834,963.164756885486,1428.8,2.1379905813218336,2.1379905813218336,1.824866913386673,2.0336160253434468,1275.8,450.5,120.0,73.36293007769146,450.5,120.0,73.36293007769146,527.8,179.99999999999994,65.89617279272453,420.0,212.62203294810743,1021.0,1.0,8035.0,121.19,12.58,796.0,43.0,Ankum,1,POINT (7.882132250000001 52.54461360000002),100.0,100.0,100.0,450.5,Gloria Kinocenter Ankum,450.5,Gloria Kinocenter Ankum,527.8,Gloria Kinocenter Ankum,450.5,Gloria Kinocenter Ankum,450.5,Gloria Kinocenter Ankum,527.8,Gloria Kinocenter Ankum,0.0,0.0,base,1
1,1743.7,1497.5,126.2,0.0,1743.7,1497.5,126.2,0.0,1743.7,1497.5,126.2,0.0,199.9,1551.7,1042.9261212294064,1606.0208359130777,5231.1,0.9210419429449318,0.9210419429449318,0.9210419429449318,0.921041942944932,5031.200000000001,1551.7,120.0,93.11808223891724,1551.7,120.0,93.11808223891724,1551.7,120.0,93.11808223891724,360.0,279.35424671675173,640.0,1.0,8035.0,121.19,12.58,796.0,43.0,Ankum,1,POINT (7.8665160292884 52.52722459129126),0.0,0.0,0.0,1743.7,Gloria Kinocenter Ankum,1743.7,Gloria Kinocenter Ankum,1743.7,Gloria Kinocenter Ankum,1743.7,Gloria Kinocenter Ankum,1743.7,Gloria Kinocenter Ankum,1743.7,Gloria Kinocenter Ankum,0.0,0.0,base,1
2,910.5,681.6,108.9,0.0,910.5,681.6,108.9,0.0,987.8,681.6,126.2,0.0,185.9,560.0,1186.097539652396,626.6763019320364,2808.8,0.6882771026161849,0.6882771026161849,0.6344161793197372,0.670323461517369,2622.9,560.0,120.0,86.82042833607908,560.0,120.0,86.82042833607908,560.0,179.9999999999999,81.77768779105082,419.9999999999999,255.41854446320897,1021.0,1.0,8035.0,121.19,12.58,796.0,43.0,Ankum,1,POINT (7.874594388634287 52.54599262568492),0.0,0.0,0.0,910.5,Gloria Kinocenter Ankum,910.5,Gloria Kinocenter Ankum,987.8,Gloria Kinocenter Ankum,910.5,Gloria Kinocenter Ankum,910.5,Gloria Kinocenter Ankum,987.8,Gloria Kinocenter Ankum,0.0,0.0,base,1
3,834.1,665.2,108.9,0.0,834.1,665.2,108.9,0.0,971.4,665.2,126.2,0.0,186.7,499.3,1193.7034723400482,540.7544168521124,2639.6,0.6483088560749459,0.6483088560749459,0.556675331328096,0.617764347825996,2452.9,499.3,60.0,92.8066179115214,499.3,60.0,92.8066179115214,499.3,179.9999999999999,81.47004323656579,299.9999999999999,267.08327905960857,1021.0,1.0,8035.0,121.19,12.58,796.0,43.0,Ankum,1,POINT (7.872215350000001 52.54599235),0.0,0.0,0.0,834.1,Gloria Kinocenter Ankum,834.1,Gloria Kinocenter Ankum,971.4,Gloria Kinocenter Ankum,834.1,Gloria Kinocenter Ankum,834.1,Gloria Kinocenter Ankum,971.4,Gloria Kinocenter Ankum,0.0,0.0,base,1
4,1357.3,1128.4,108.9,0.0,1357.3,1128.4,108.9,0.0,1434.6,1128.4,126.2,0.0,293.5,2015.2,2147.6733844726627,2219.100018220671,4149.2,1.634937020718095,1.634937020718095,1.5468423380877394,1.6055721265079763,3855.7,1357.3,119.99999999999976,91.15891844102264,1357.3,119.99999999999976,91.15891844102264,1434.6,179.99999999999977,87.4529485570891,419.9999999999993,269.7707854391344,42.0,1.0,8035.0,121.19,12.58,796.0,43.0,Ankum,1,POINT (7.900789799999998 52.54584909999999),100.0,100.0,100.0,1357.3,Gloria Kinocenter Ankum,1357.3,Gloria Kinocenter Ankum,1434.6,Gloria Kinocenter Ankum,1357.3,Gloria Kinocenter Ankum,1357.3,Gloria Kinocenter Ankum,1434.6,Gloria Kinocenter Ankum,0.0,0.0,base,1
5,723.1,476.9,126.2,0.0,723.1,476.9,126.2,0.0,723.1,476.9,126.2,0.0,138.9,475.2,947.3459011410404,486.6835603364028,2169.3,0.6730515286079419,0.6730515286079419,0.6730515286079419,0.6730515286079419,2030.4,475.2,120.0,83.4047849536717,475.2,120.0,83.4047849536717,475.2,120.0,83.4047849536717,360.0,250.21435486101507,2091.0,1.0,8035.0,121.19,12.58,796.0,43.0,Ankum,1,POINT (7.862306332238615 52.53976174597449),0.0,0.0,0.0,723.1,Gloria Kinocenter Ankum,723.1,Gloria Kinocenter Ankum,723.1,Gloria Kinocenter Ankum,723.1,Gloria Kinocenter Ankum,723.1,Gloria Kinocenter Ankum,723.1,Gloria Kinocenter Ankum,0.0,0.0,base,1
6,,,,,,,,,,,,,500.1,3713.9,5292.271198874806,4771.166715141143,,,,,,,3713.9,,,3713.9,,,3713.9,,,,,11.0,1.0,8035.0,121.19,12.58,796.0,43.0,Ankum,1,POINT (7.8976984386234905 52.580707115965126),0.0,0.0,0.0,,,,,,,,,,,,,,0.0,base,1
7,2431.3,2082.4,108.9,0.0,2431.3,2082.4,108.9,0.0,2431.3,2082.4,108.9,0.0,258.1,1560.4,2637.5294928253115,1870.2048802665329,7293.900000000001,0.7692201210325886,0.7692201210325886,0.7692201210325886,0.7692201210325886,7035.8,1560.4,240.0,90.12873771233495,1560.4,240.0,90.12873771233495,1560.4,240.0,90.12873771233495,720.0,270.3862131370049,30.0,1.0,8035.0,121.19,12.58,796.0,43.0,Ankum,1,POINT (7.8499447784567105 52.553848989993085),0.0,0.0,0.0,2431.3,Gloria Kinocenter Ankum,2431.3,Gloria Kinocenter Ankum,2431.3,Gloria Kinocenter Ankum,2431.3,Gloria Kinocenter Ankum,2431.3,Gloria Kinocenter Ankum,2431.3,Gloria Kinocenter Ankum,0.0,0.0,base,1
8,1314.8,668.0,526.8,0.0,1314.8,668.0,526.8,0.0,1314.8,668.0,526.8,0.0,167.5,627.4,1167.2725763181618,672.8559414643546,3944.4,0.5117553555402758,0.5117553555402758,0.5117553555402758,0.5117553555402758,3776.9,627.4,120.0,90.87313659872224,627.4,120.0,90.87313659872224,627.4,120.0,90.87313659872224,360.0,272.6194097961667,1021.0,1.0,8035.0,121.19,12.58,796.0,43.0,Ankum,1,POINT (7.87599810685702 52.545770447805765),0.0,0.0,0.0,1314.8,Gloria Kinocenter Ankum,1314.8,Gloria Kinocenter Ankum,1314.8,Gloria Kinocenter Ankum,1314.8,Gloria Kinocenter Ankum,1314.8,Gloria Kinocenter Ankum,1314.8,Gloria Kinocenter Ankum,0.0,0.0,base,1
9,755.9,527.0,108.9,0.0,755.9,527.0,108.9,0.0,833.2,527.0,126.2,0.0,283.5,1401.0,1727.7451856833368,1467.1301615920547,2345.0,1.940905095372476,1.940905095372476,1.760837927978942,1.8808827062412985,2061.5,755.9,120.0,84.1248842439476,755.9,120.0,84.1248842439476,833.2,180.0,78.39654344695151,420.0,246.64631193484672,43.0,1.0,8035.0,121.19,12.58,796.0,43.0,Ankum,1,POINT (7.886950615517662 52.548790800179674),100.0,100.0,100.0,755.9,Gloria Kinocenter Ankum,755.9,Gloria Kinocenter Ankum,833.2,Gloria Kinocenter Ankum,755.9,Gloria Kinocenter Ankum,755.9,Gloria Kinocenter Ankum,833.2,Gloria Kinocenter Ankum,0.0,0.0,base,1
