,15_total_duration,15_walk_to,15_walk_from,15_total_changes,18_total_duration,18_walk_to,18_walk_from,18_total_changes,21_total_duration,21_walk_to,21_walk_from,21_total_changes,car_duration,foot_duration,distance_start_centroid,distance_start_cinema,average duration,15_speed,18_speed,21_speed,average speed,average duration difference to car,15_trip_duration,15_transit_dur,15_walk_share,18_trip_duration,18_transit_dur,18_walk_share,21_trip_duration,21_transit_dur,21_walk_share,average transit duration,average walk share,population,cinemas,population aggr,population density,built-up area,transit departures,transit stops,area,osm_cinemas,start_location,15 transit is reasonable,18 transit is reasonable,21 transit is reasonable,15 min cinema dur,15 most accessible cinema,18 min cinema dur,18 most accessible cinema,21 min cinema dur,21 most accessible cinema,15 max cinema dur,15 least accessible cinema,18 max cinema dur,18 least accessible cinema,21 max cinema dur,21 least accessible cinema,average changes,area average changes,level,level_dummy
0,846.3,405.4,320.9,0.0,,,,,,,,,251.0,1020.8,1903.0344306759268,1115.924594875464,,1.318592218924098,,,,,846.3,120.0,85.8206309819213,1020.8,,,1020.8,,,,,1704.0,1.0,19864.0,545.26,38.32,3531.0,72.0,Aue-Bad Schlema,1,POINT (12.695892926533967 50.58974255587068),100.0,0.0,0.0,846.3,Nickel-Odeon Kino-Center,,,,,846.3,Nickel-Odeon Kino-Center,,,,,,,mid,2
1,664.7,163.8,320.9,0.0,,,,,,,,,434.6,693.1,2205.7796147785225,627.8787978506432,,0.9446047808795596,,,,,664.7,180.00000000000006,72.920114337295,693.1,,,693.1,,,,,501.0,1.0,19864.0,545.26,38.32,3531.0,72.0,Aue-Bad Schlema,1,POINT (12.707017279391307 50.59180609123247),100.0,0.0,0.0,664.7,Nickel-Odeon Kino-Center,,,,,664.7,Nickel-Odeon Kino-Center,,,,,,,mid,2
2,,,,,,,,,,,,,484.5,2343.2,1234.4450275829038,2609.8620711517106,,,,,,,2343.2,,,2343.2,,,2343.2,,,,,1002.0,1.0,19864.0,545.26,38.32,3531.0,72.0,Aue-Bad Schlema,1,POINT (12.676418536763842 50.59495965176486),0.0,0.0,0.0,,,,,,,,,,,,,,,mid,2
3,748.2,178.7,449.5,0.0,,,,,,,,,201.0,808.8,2162.9311017366726,903.530033435185,,1.2076049631584935,,,,,748.2,120.0,83.96150761828389,808.8,,,808.8,,,,,3582.0,1.0,19864.0,545.26,38.32,3531.0,72.0,Aue-Bad Schlema,1,POINT (12.698301512535814 50.587908852152346),100.0,0.0,0.0,748.2,Nickel-Odeon Kino-Center,,,,,748.2,Nickel-Odeon Kino-Center,,,,,,,mid,2
4,701.5,132.0,449.5,0.0,,,,,,,,,190.2,762.0,2227.826407985383,859.6047409074763,,1.225380956389845,,,,,701.5,120.0,82.89379900213828,762.0,,,762.0,,,,,3582.0,1.0,19864.0,545.26,38.32,3531.0,72.0,Aue-Bad Schlema,1,POINT (12.698837384723909 50.5874305059607),100.0,0.0,0.0,701.5,Nickel-Odeon Kino-Center,,,,,701.5,Nickel-Odeon Kino-Center,,,,,,,mid,2
5,,,,,,,,,,,,,355.2,1672.2,1292.0252914988678,1750.6832114788683,,,,,,,1672.2,,,1672.2,,,1672.2,,,,,285.0,1.0,19864.0,545.26,38.32,3531.0,72.0,Aue-Bad Schlema,1,POINT (12.688887188478855 50.593862266559924),0.0,0.0,0.0,,,,,,,,,,,,,,,mid,2
6,1050.6,549.7,320.9,0.0,,,,,,,,,371.9,1351.7,1429.8194798034317,1402.8251487185455,,1.3352609449062876,,,,,1050.6,179.9999999999999,82.86693318103941,1351.7,,,1351.7,,,,,1704.0,1.0,19864.0,545.26,38.32,3531.0,72.0,Aue-Bad Schlema,1,POINT (12.69977129570141 50.59715805539103),100.0,0.0,0.0,1050.6,Nickel-Odeon Kino-Center,,,,,1050.6,Nickel-Odeon Kino-Center,,,,,,,mid,2
7,604.8,35.3,449.5,0.0,,,,,,,,,283.1,753.6,2262.1724604038336,807.3848234952628,,1.3349616790596277,,,,,604.8,119.99999999999994,80.15873015873017,753.6,,,753.6,,,,,3582.0,1.0,19864.0,545.26,38.32,3531.0,72.0,Aue-Bad Schlema,1,POINT (12.699564235115714 50.58733472874653),100.0,0.0,0.0,604.8,Nickel-Odeon Kino-Center,,,,,604.8,Nickel-Odeon Kino-Center,,,,,,,mid,2
8,1065.45,560.25,385.2,0.0,,,,,,,,,220.7,843.1,2428.354846007596,901.2906459497206,,0.9072709962303775,,,,,815.75,120.0,87.92037618087974,843.1,,,843.1,,,,,3582.0,1.0,19864.0,545.26,38.32,3531.0,72.0,Aue-Bad Schlema,2,POINT (12.698411646707044 50.585273263335864),50.0,0.0,0.0,788.4,Nickel-Odeon Kino-Center,,,,,1342.5,Nickel-Odeon Kino-Center,,,,,,,mid,2
9,858.8,289.3,449.5,0.0,,,,,,,,,173.9,679.4,2531.85484552,720.0692786098889,,0.8384598027595354,,,,,679.4,120.0,86.02701443875175,679.4,,,679.4,,,,,3582.0,1.0,19864.0,545.26,38.32,3531.0,72.0,Aue-Bad Schlema,1,POINT (12.701090480446753 50.585101495270514),0.0,0.0,0.0,858.8,Nickel-Odeon Kino-Center,,,,,858.8,Nickel-Odeon Kino-Center,,,,,,,mid,2
