,15_total_duration,15_walk_to,15_walk_from,15_total_changes,18_total_duration,18_walk_to,18_walk_from,18_total_changes,21_total_duration,21_walk_to,21_walk_from,21_total_changes,car_duration,foot_duration,distance_start_centroid,distance_start_cinema,average duration,15_speed,18_speed,21_speed,average speed,average duration difference to car,15_trip_duration,15_transit_dur,15_walk_share,18_trip_duration,18_transit_dur,18_walk_share,21_trip_duration,21_transit_dur,21_walk_share,average transit duration,average walk share,average changes,area,start_location,15 fastest mode,18 fastest mode,21 fastest mode,15 transit is fastest,18 transit is fastest,21 transit is fastest,15 min cinema dur,15 most accessible cinema,18 min cinema dur,18 most accessible cinema,21 min cinema dur,21 most accessible cinema,15 max cinema dur,15 least accessible cinema,18 max cinema dur,18 least accessible cinema,21 max cinema dur,21 least accessible cinema,area average changes,level,level_dummy,cinemas,population aggr,population density,built-up area,transit departures,transit stops
0,510.0,108.3,41.7,0.0,510.0,108.3,41.7,0.0,510.0,108.3,41.7,0.0,223.8,1149.9,2588.488422665352,1343.8754250597276,1530.0,2.6350498530582893,2.6350498530582893,2.6350498530582893,2.6350498530582893,1306.2,510.0,360.0,29.41176470588235,510.0,360.0,29.41176470588235,510.0,360.0,29.41176470588235,1080.0,29.411764705882348,0.0,Bad Soden am Taunus,POINT (8.510325969842526 50.13441726731864),transit,transit,transit,100.0,100.0,100.0,510.0,CasaBlanca Art House,510.0,CasaBlanca Art House,510.0,CasaBlanca Art House,510.0,CasaBlanca Art House,510.0,CasaBlanca Art House,510.0,CasaBlanca Art House,0.043478260869565216,mid,2,1,23162,1852.96,40.8,2117,33
1,1122.3666666666668,660.6,301.76666666666665,0.0,1086.1666666666667,659.6666666666666,186.5,0.0,1086.1666666666667,659.6666666666666,186.5,0.0,207.5,910.5,2371.765283476326,1110.6377117305428,3294.7000000000003,1.00507511997128,1.0459495442710465,1.0459495442710465,1.032324736171124,3087.2000000000003,910.5,160.0,87.04299455584378,910.5,240.0,78.5320231434806,910.5,240.0,78.5320231434806,640.0,81.36901361426833,0.0,Bad Soden am Taunus,POINT (8.513233469689604 50.13901184737268),foot,foot,foot,0.0,0.0,0.0,1019.3,CasaBlanca Art House,965.0,CasaBlanca Art House,965.0,CasaBlanca Art House,1328.5,CasaBlanca Art House,1328.5,CasaBlanca Art House,1328.5,CasaBlanca Art House,0.043478260869565216,mid,2,1,23162,1852.96,40.8,2117,33
2,328.8,227.1,41.7,0.0,347.0,185.3,41.7,0.0,347.0,185.3,41.7,0.0,80.2,330.9,1599.3615652128276,353.8502629944845,1022.8,1.0761869312484322,1.019741391914941,1.019741391914941,1.0385565716927714,942.6,328.8,60.0,81.75182481751825,330.9,120.0,65.4178674351585,330.9,120.0,65.4178674351585,300.0,70.86251989594508,0.0,Bad Soden am Taunus,POINT (8.502472900000003 50.14180005000001),transit,foot,foot,100.0,0.0,0.0,328.8,CasaBlanca Art House,347.0,CasaBlanca Art House,347.0,CasaBlanca Art House,328.8,CasaBlanca Art House,347.0,CasaBlanca Art House,347.0,CasaBlanca Art House,0.043478260869565216,mid,2,1,23162,1852.96,40.8,2117,33
3,367.85,71.1,236.75,0.0,469.8,139.5,150.29999999999998,0.0,469.8,139.5,150.29999999999998,0.0,74.6,405.7,1745.2808978351568,481.09678997290223,1307.4499999999998,1.819400177482145,1.0818559692357383,1.0818559692357383,1.3277040386512071,1232.85,289.25,60.00000000000001,77.30934545310988,383.45,180.0,59.52289050330158,383.45,180.0,59.52289050330158,420.0,65.45170881990435,0.0,Bad Soden am Taunus,POINT (8.50469543247953 50.141342446731485),both,both,both,50.0,50.0,50.0,172.8,CasaBlanca Art House,361.2,CasaBlanca Art House,361.2,CasaBlanca Art House,562.9,CasaBlanca Art House,578.4,CasaBlanca Art House,578.4,CasaBlanca Art House,0.043478260869565216,mid,2,1,23162,1852.96,40.8,2117,33
4,285.9,124.2,41.7,0.0,285.9,124.2,41.7,0.0,285.9,124.2,41.7,0.0,68.8,283.4,1588.570151201582,329.9112859304085,857.6999999999999,1.1539394401203515,1.1539394401203515,1.1539394401203515,1.1539394401203515,788.9,283.4,119.99999999999996,58.02728226652677,283.4,119.99999999999996,58.02728226652677,283.4,119.99999999999996,58.02728226652677,359.9999999999999,58.02728226652677,0.0,Bad Soden am Taunus,POINT (8.502906949442654 50.14219066479537),foot,foot,foot,0.0,0.0,0.0,285.9,CasaBlanca Art House,285.9,CasaBlanca Art House,285.9,CasaBlanca Art House,285.9,CasaBlanca Art House,285.9,CasaBlanca Art House,285.9,CasaBlanca Art House,0.043478260869565216,mid,2,1,23162,1852.96,40.8,2117,33
5,1141.95,721.65,150.29999999999998,0.0,1141.95,721.65,150.29999999999998,0.0,1141.95,721.65,150.29999999999998,0.0,207.2,928.6,2402.668741785617,1146.6855986707355,3425.8500000000004,1.023935114773311,1.023935114773311,1.023935114773311,1.023935114773311,3218.6500000000005,928.6,270.00000000000006,77.00751419887007,928.6,270.00000000000006,77.00751419887007,928.6,270.00000000000006,77.00751419887007,810.0000000000002,77.00751419887007,0.0,Bad Soden am Taunus,POINT (8.514079451264235 50.13924788029544),foot,foot,foot,0.0,0.0,0.0,983.2,CasaBlanca Art House,983.2,CasaBlanca Art House,983.2,CasaBlanca Art House,1300.7,CasaBlanca Art House,1300.7,CasaBlanca Art House,1300.7,CasaBlanca Art House,0.043478260869565216,mid,2,1,23162,1852.96,40.8,2117,33
6,499.85,325.2,54.65,0.0,499.85,325.2,54.65,0.0,499.85,325.2,54.65,0.0,223.3,1143.9,632.2150526576285,1145.967240589717,1499.55,2.294162138547776,2.294162138547776,2.294162138547776,2.294162138547776,1276.25,499.85,120.0,75.9766730780137,499.85,120.0,75.9766730780137,499.85,120.0,75.9766730780137,360.0,75.9766730780137,0.0,Bad Soden am Taunus,POINT (8.495783154649772 50.15456700308327),transit,transit,transit,100.0,100.0,100.0,486.9,CasaBlanca Art House,486.9,CasaBlanca Art House,486.9,CasaBlanca Art House,512.8,CasaBlanca Art House,512.8,CasaBlanca Art House,512.8,CasaBlanca Art House,0.043478260869565216,mid,2,1,23162,1852.96,40.8,2117,33
7,1351.2,949.5,41.7,0.0,1351.2,949.5,41.7,0.0,1351.2,949.5,41.7,0.0,224.3,989.8,2372.272663492851,1124.586136627579,4053.6,0.8322869572436197,0.8322869572436197,0.8322869572436197,0.8322869572436197,3829.3,989.8,360.0,73.35701598579041,989.8,360.0,73.35701598579041,989.8,360.0,73.35701598579041,1080.0,73.35701598579041,0.0,Bad Soden am Taunus,POINT (8.514310750000002 50.139898249999995),foot,foot,foot,0.0,0.0,0.0,1351.2,CasaBlanca Art House,1351.2,CasaBlanca Art House,1351.2,CasaBlanca Art House,1351.2,CasaBlanca Art House,1351.2,CasaBlanca Art House,1351.2,CasaBlanca Art House,0.043478260869565216,mid,2,1,23162,1852.96,40.8,2117,33
8,1502.0,294.4,67.6,0.0,1502.0,294.4,67.6,0.0,2002.8,1601.1,41.7,0.0,467.7,2371.8,1257.53917603588,2475.58116243774,5006.8,1.6481898551516243,1.6481898551516243,1.236060097082954,1.5108132691287344,4539.1,1502.0,1140.0,24.101198402130496,1502.0,1140.0,24.101198402130496,2002.8,360.0,82.02516476932294,2640.0,43.40918719119465,0.0,Bad Soden am Taunus,POINT (8.471038914966828 50.15646354217438),transit,transit,transit,100.0,100.0,100.0,1502.0,CasaBlanca Art House,1502.0,CasaBlanca Art House,2002.8,CasaBlanca Art House,1502.0,CasaBlanca Art House,1502.0,CasaBlanca Art House,2002.8,CasaBlanca Art House,0.043478260869565216,mid,2,1,23162,1852.96,40.8,2117,33
9,1620.6,413.0,67.6,0.0,1620.6,413.0,67.6,0.0,1691.0,1349.3,41.7,0.0,455.1,2021.4,863.8163044558314,2044.585395090379,4932.2,1.2616224824696898,1.2616224824696898,1.2090984004082668,1.244114455115882,4477.099999999999,1620.6,1140.0,29.655683080340616,1620.6,1140.0,29.655683080340616,1691.0,300.0,82.25901833234772,2580.0,47.19012816434298,0.0,Bad Soden am Taunus,POINT (8.475615366031471 50.153826684959526),transit,transit,transit,100.0,100.0,100.0,1620.6,CasaBlanca Art House,1620.6,CasaBlanca Art House,1691.0,CasaBlanca Art House,1620.6,CasaBlanca Art House,1620.6,CasaBlanca Art House,1691.0,CasaBlanca Art House,0.043478260869565216,mid,2,1,23162,1852.96,40.8,2117,33
10,378.5,36.8,41.7,0.0,378.5,36.8,41.7,0.0,378.5,36.8,41.7,0.0,126.6,790.5,2226.869958681585,967.1838941911336,1135.5,2.555307514375518,2.555307514375518,2.555307514375518,2.555307514375518,1008.9,378.5,300.0,20.73976221928666,378.5,300.0,20.73976221928666,378.5,300.0,20.73976221928666,900.0,20.73976221928666,0.0,Bad Soden am Taunus,POINT (8.508637697683524 50.137774783376535),transit,transit,transit,100.0,100.0,100.0,378.5,CasaBlanca Art House,378.5,CasaBlanca Art House,378.5,CasaBlanca Art House,378.5,CasaBlanca Art House,378.5,CasaBlanca Art House,378.5,CasaBlanca Art House,0.043478260869565216,mid,2,1,23162,1852.96,40.8,2117,33
11,583.6,361.9,41.7,0.0,583.6,361.9,41.7,0.0,583.6,361.9,41.7,0.0,184.1,746.3,2136.659767984762,869.1567828897724,1750.8000000000002,1.4893022325047505,1.4893022325047505,1.4893022325047505,1.4893022325047505,1566.7000000000005,583.6,180.00000000000006,69.15695681973955,583.6,180.00000000000006,69.15695681973955,583.6,180.00000000000006,69.15695681973955,540.0000000000002,69.15695681973955,0.0,Bad Soden am Taunus,POINT (8.50936523244458 50.13938000254652),transit,transit,transit,100.0,100.0,100.0,583.6,CasaBlanca Art House,583.6,CasaBlanca Art House,583.6,CasaBlanca Art House,583.6,CasaBlanca Art House,583.6,CasaBlanca Art House,583.6,CasaBlanca Art House,0.043478260869565216,mid,2,1,23162,1852.96,40.8,2117,33
12,531.85,235.1,236.75,0.0,564.0,233.7,150.29999999999998,0.0,564.0,233.7,150.29999999999998,0.0,129.7,618.0,1997.304077236873,730.7705254689107,1659.85,1.587535458596017,1.3455822114814049,1.3455822114814049,1.4262332938529418,1530.15,477.4,60.0,86.96552143305985,536.7,180.00000000000003,66.8562442483243,536.7,180.00000000000003,66.8562442483243,420.00000000000006,73.55933664323615,0.0,Bad Soden am Taunus,POINT (8.5083612 50.14053110000001),both,both,both,50.0,50.0,50.0,336.8,CasaBlanca Art House,455.4,CasaBlanca Art House,455.4,CasaBlanca Art House,726.9,CasaBlanca Art House,672.6,CasaBlanca Art House,672.6,CasaBlanca Art House,0.043478260869565216,mid,2,1,23162,1852.96,40.8,2117,33
13,1163.5500000000002,153.1,170.45,0.0,1163.5500000000002,153.1,170.45,0.0,3847.45,153.1,214.35,0.0,272.5,1009.3,1994.3334593218656,1123.8603346186117,6174.55,0.9734954440043122,0.9734954440043122,0.2921681423385154,0.7463863434490466,5902.05,1009.3,840.0,27.23863030176915,1009.3,840.0,27.23863030176915,1009.3,3480.0,9.531006298654372,5160.0,21.33608896739756,0.0,Bad Soden am Taunus,POINT (8.495009607196144 50.13523046695378),foot,foot,foot,0.0,0.0,0.0,1060.7,CasaBlanca Art House,1060.7,CasaBlanca Art House,3791.0,CasaBlanca Art House,1266.4,CasaBlanca Art House,1266.4,CasaBlanca Art House,3903.9,CasaBlanca Art House,0.043478260869565216,mid,2,1,23162,1852.96,40.8,2117,33
