,15_total_duration,15_walk_to,15_walk_from,15_total_changes,18_total_duration,18_walk_to,18_walk_from,18_total_changes,21_total_duration,21_walk_to,21_walk_from,21_total_changes,car_duration,foot_duration,distance_start_centroid,distance_start_cinema,average duration,15_speed,18_speed,21_speed,average speed,average duration difference to car,15_trip_duration,15_transit_dur,15_walk_share,18_trip_duration,18_transit_dur,18_walk_share,21_trip_duration,21_transit_dur,21_walk_share,average transit duration,average walk share,average changes,area,start_location,15 fastest mode,18 fastest mode,21 fastest mode,15 transit is fastest,18 transit is fastest,21 transit is fastest,15 min cinema dur,15 most accessible cinema,18 min cinema dur,18 most accessible cinema,21 min cinema dur,21 most accessible cinema,15 max cinema dur,15 least accessible cinema,18 max cinema dur,18 least accessible cinema,21 max cinema dur,21 least accessible cinema,area average changes,level,level_dummy,cinemas,population aggr,population density,built-up area,transit departures,transit stops
0,1025.08,333.02,164.06,0.0,946.32,242.26,164.06,0.0,1073.52,333.02,164.5,0.4,491.0,2338.74,1856.529466838097,2665.609415790789,3044.92,2.372865831837668,2.5808829591226385,2.270739996340688,2.408162929100332,2553.92,1025.08,528.0,49.081290568943416,946.32,540.0,44.03852345530375,1073.52,576.0,50.7653066516852,1644.0,47.96170689197745,0.4,Halle (Saale),POINT (11.995105571321263 51.47971521227283),transit,transit,transit,100.0,100.0,100.0,647.4,CinemaxX,647.4,CinemaxX,587.4,CinemaxX,1404.6,Prisma Cinema Halle-Neustadt,1404.6,Prisma Cinema Halle-Neustadt,1480.3,Luchs,1.5962783171521038,top,3,6,242083,1792.81,52.92,60209,290
1,1438.1,205.6,164.5,0.2,1421.66,189.16,164.5,0.4,1798.9199999999996,182.42,164.5,0.6,699.04,3597.16,3061.2324331356617,4093.832915401383,4658.68,2.8828100129400465,3.020702034161089,2.3963168189584048,2.766609622019847,3959.64,1438.1,1068.0,27.67614181633639,1421.66,1068.0,28.7472127450214,1798.9199999999996,1452.0,22.380438395838024,3588.0,26.267930985731944,1.2,Halle (Saale),POINT (11.96164517351852 51.453134440456346),transit,transit,transit,100.0,100.0,100.0,1142.8,Bel Etage,1001.5,CinemaxX,1120.6,Bel Etage,1904.9,Prisma Cinema Halle-Neustadt,2242.7,Prisma Cinema Halle-Neustadt,2842.7,Prisma Cinema Halle-Neustadt,1.5962783171521038,top,3,6,242083,1792.81,52.92,60209,290
2,592.6,116.1,164.5,0.0,564.44,87.94000000000001,164.5,0.0,636.4399999999999,87.94,164.5,0.2,530.6800000000001,1693.2,329.837446095303,2005.576742992156,1793.48,3.286041215062768,3.394690356863772,3.0518157467319087,3.244182439552816,1262.8,592.6,312.0,51.25667263126068,564.44,312.0,49.46411763332593,636.4399999999999,384.0,44.34673217245064,1008.0,48.35584081234575,0.2,Halle (Saale),POINT (11.96987903548722 51.47750306836637),transit,transit,transit,100.0,100.0,100.0,432.0,CinemaxX,361.6,CinemaxX,432.0,CinemaxX,844.9,Luchs,844.9,Luchs,954.5,Luchs,1.5962783171521038,top,3,6,242083,1792.81,52.92,60209,290
3,1392.9199999999998,327.9,177.02,0.4,1785.4,327.9,221.5,0.6,1649.58,381.08,164.5,0.8,678.2,3193.72,3909.6567007042977,3559.9911542589134,4827.900000000001,2.7682935691334984,2.196126235324124,2.553882757276156,2.5061008539112586,4149.7,1392.9199999999998,888.0,37.75505146459966,1676.9,1236.0,31.7095869673022,1639.8399999999997,1104.0,35.59215614768534,3228.0,35.018931526529066,1.8,Halle (Saale),POINT (11.929675609930161 51.50581844633511),transit,transit,transit,100.0,80.0,80.0,604.9,Luchs,1037.4,Puschkino,604.9,Luchs,2037.0,Prisma Cinema Halle-Neustadt,2544.4,Luchs,2840.3,Prisma Cinema Halle-Neustadt,1.5962783171521038,top,3,6,242083,1792.81,52.92,60209,290
4,1566.0,441.5,164.5,0.4,1599.76,487.2600000000001,164.5,0.4,1726.0400000000002,481.54,164.5,1.2,743.98,3592.8,3064.973064219531,4136.585989313378,4891.8,2.640869387182045,2.6109331331306644,2.490858071586499,2.580886863966403,4147.820000000001,1566.0,960.0,43.081753944978,1599.76,948.0,44.59090084960168,1726.0400000000002,1080.0,42.61100986695032,2988.0,43.42788822051,2.0,Halle (Saale),POINT (11.980824964657042 51.453890562501),transit,transit,transit,100.0,100.0,100.0,1003.7,Bel Etage,1003.7,Bel Etage,1003.7,Bel Etage,2310.8,Prisma Cinema Halle-Neustadt,2479.6,Prisma Cinema Halle-Neustadt,2950.5,Prisma Cinema Halle-Neustadt,1.5962783171521038,top,3,6,242083,1792.81,52.92,60209,290
5,970.36,361.86,164.5,0.2,898.1,313.6,164.5,0.2,929.02,392.52,164.5,0.2,413.38,1593.9,1297.0816254672825,1843.9292011477685,2797.4800000000005,1.7873047330305003,2.013428550175923,1.9042609571937124,1.9016647468000456,2384.1,894.3799999999999,444.0,60.35252203283155,837.4200000000001,420.0,58.97898011029279,868.3399999999999,372.0,67.1831542655257,1236.0,62.17155213621668,0.6,Halle (Saale),POINT (11.970888753859356 51.4918734922076),transit,transit,transit,80.0,80.0,80.0,565.6,Puschkino,489.1,Puschkino,489.1,Puschkino,1876.1,Prisma Cinema Halle-Neustadt,1876.1,Prisma Cinema Halle-Neustadt,1731.9,Prisma Cinema Halle-Neustadt,1.5962783171521038,top,3,6,242083,1792.81,52.92,60209,290
6,2382.9999999999995,1581.98,177.02,0.4,1391.6,255.1,164.5,1.0,1301.1,260.6,164.5,1.0,482.04,2171.18,2760.189240953125,2483.641246874903,5075.7,1.6632330475563084,1.783992575663735,1.7686380034177156,1.738621208879253,4593.66,1454.16,624.0,58.93677534382105,1361.3,972.0,42.94452665907649,1270.8,876.0,42.20178550392688,2472.0,48.02769583560814,2.4,Halle (Saale),POINT (11.957517918744701 51.5041776115696),transit,transit,transit,60.0,80.0,80.0,449.4,Luchs,449.4,Luchs,449.4,Luchs,8029.4,Prisma Cinema Halle-Neustadt,2952.4,Prisma Cinema Halle-Neustadt,2079.9,Prisma Cinema Halle-Neustadt,1.5962783171521038,top,3,6,242083,1792.81,52.92,60209,290
7,1504.4,307.9,164.5,0.6,1252.4,307.9,164.5,0.4,1438.7,307.9,185.8,1.75,629.3199999999999,2423.8,1514.7452806080282,2756.545701474716,3971.1,1.969940167715812,2.156954456744387,1.766980981568294,1.941843885892548,3380.0,1296.28,1032.0,32.366801657985384,1237.78,780.0,42.23137626549676,1748.48,945.0,34.38299404933119,2490.0,38.99645753498103,2.25,Halle (Saale),POINT (11.974330083868953 51.46722016717327),transit,transit,foot,60.0,80.0,40.0,989.2,Puschkino,863.8,CinemaxX,1169.2,Puschkino,1845.1,Bel Etage,1947.2,Prisma Cinema Halle-Neustadt,1605.1,Bel Etage,1.5962783171521038,top,3,6,242083,1792.81,52.92,60209,290
8,760.42,199.92,164.5,0.0,760.42,199.92,164.5,0.0,809.7,201.2,164.5,0.8,425.52,1527.9,914.194363450007,1783.3021727295277,2330.54,2.257511207163537,2.257511207163537,2.230600416620768,2.2485409436492807,1905.02,760.42,396.0,50.59662009047226,760.42,396.0,50.59662009047226,809.7,444.0,48.74064411145462,1236.0,49.97796143079971,0.8,Halle (Saale),POINT (11.967499729434381 51.48851690155432),transit,transit,transit,100.0,100.0,100.0,308.4,Puschkino,308.4,Puschkino,308.4,Puschkino,1310.5,Prisma Cinema Halle-Neustadt,1310.5,Prisma Cinema Halle-Neustadt,1376.9,Prisma Cinema Halle-Neustadt,1.5962783171521038,top,3,6,242083,1792.81,52.92,60209,290
9,1151.36,590.86,164.5,0.0,1151.36,590.86,164.5,0.0,1182.14,573.64,164.5,0.8,531.82,1557.36,162.05625640857215,1863.0851213378028,3484.8600000000006,1.7332677569454442,1.7332677569454442,1.7600678872750326,1.7422011337219736,2953.04,949.02,396.0,66.0251371370502,949.02,396.0,66.0251371370502,931.8,444.0,63.07418961010431,1236.0,65.04148796140157,0.8,Halle (Saale),POINT (11.969989347919947 51.481387860696394),transit,transit,transit,60.0,60.0,60.0,872.3,Puschkino,872.3,Puschkino,872.3,Puschkino,1488.2,Bel Etage,1488.2,Bel Etage,1608.2,Bel Etage,1.5962783171521038,top,3,6,242083,1792.81,52.92,60209,290
