,15_total_duration,15_walk_to,15_walk_from,15_total_changes,18_total_duration,18_walk_to,18_walk_from,18_total_changes,21_total_duration,21_walk_to,21_walk_from,21_total_changes,car_duration,foot_duration,distance_start_centroid,distance_start_cinema,average duration,15_speed,18_speed,21_speed,average speed,average duration difference to car,15_trip_duration,15_transit_dur,15_walk_share,18_trip_duration,18_transit_dur,18_walk_share,21_trip_duration,21_transit_dur,21_walk_share,average transit duration,average walk share,population,cinemas,population aggr,population density,transit departures,transit stops,osm_cinemas,average changes,area,start_location,15 fastest mode,18 fastest mode,21 fastest mode,15 transit is fastest,18 transit is fastest,21 transit is fastest,15 min cinema dur,15 most accessible cinema,18 min cinema dur,18 most accessible cinema,21 min cinema dur,21 most accessible cinema,15 max cinema dur,15 least accessible cinema,18 max cinema dur,18 least accessible cinema,21 max cinema dur,21 least accessible cinema
0,826.2,278.325,157.875,0.25,826.2,278.325,157.875,0.25,846.625,253.75,157.875,0.25,486.1000000000001,1672.5,1848.3935898960804,1856.8991778566422,2499.0249999999996,2.2362463954207934,2.2362463954207934,2.2432116702866685,2.2385681537094184,2012.9250000000002,774.525,390.0,52.739503232524186,774.525,390.0,52.739503232524186,794.9499999999999,435.0,52.16262700807113,1215.0,157.6416334731195,4917.0,5.0,162273.0,1491.07,47709.0,238.0,4.0,0.75,Heidelberg,POINT (8.66896525072801 49.40736757451792),transit,transit,transit,75.0,75.0,75.0,614.5,Die Kamera,614.5,Die Kamera,567.5,Die Kamera,1193.9,Gloria & Gloriette,1193.9,Gloria & Gloriette,1322.6,Gloria & Gloriette
0,1191.275,163.4,157.875,0.75,1191.275,163.4,157.875,0.75,1242.175,229.3,157.875,0.5,638.425,2968.175,3182.22367575777,3359.3033572073446,3624.7250000000004,3.0662041556062496,3.0662041556062496,2.937521935853665,3.0233100823553882,2986.3,1191.275,870.0,29.389276675819694,1191.275,870.0,29.389276675819694,1242.175,855.0,32.86866460507711,2595.0,91.64721795671649,3059.5,5.0,162273.0,1491.07,47709.0,238.0,4.0,2.0,Heidelberg,POINT (8.682260506674263 49.43300106269923),transit,transit,transit,100.0,100.0,100.0,490.5,Die Kamera,490.5,Die Kamera,490.5,Die Kamera,1552.2,Gloria & Gloriette,1552.2,Gloria & Gloriette,1666.5,Karlstorkino
0,1066.875,24.0,157.875,0.25,1066.875,24.0,157.875,0.25,1081.875,24.0,157.875,0.5,734.525,3103.925,3709.9598999659497,3511.1499141157383,3215.625,3.4733119318196604,3.4733119318196604,3.4940147031341855,3.480212855591169,2481.1000000000004,1066.875,885.0,21.92865362164312,1066.875,885.0,21.92865362164312,1081.875,900.0,21.862820690117964,2670.0,65.7201279334042,5671.75,5.0,162273.0,1491.07,47709.0,238.0,4.0,1.0,Heidelberg,POINT (8.665880424678265 49.377722618584365),transit,transit,transit,100.0,100.0,100.0,387.1,Karlstorkino,387.1,Karlstorkino,387.1,Karlstorkino,1772.8,Gloria & Gloriette,1772.8,Gloria & Gloriette,1892.8,Gloria & Gloriette
0,999.775,91.9,157.875,0.75,999.775,91.9,157.875,0.75,984.775,91.9,157.875,0.75,675.925,2604.7000000000003,2686.653522791569,2907.136827446947,2984.3250000000003,3.3823643878620437,3.3823643878620437,3.370014533635619,3.378247769786569,2308.4,999.775,750.0,28.41671866689728,999.775,750.0,28.41671866689728,984.775,735.0,28.649458694308642,2235.0,85.48289602810321,3720.75,5.0,162273.0,1491.07,47709.0,238.0,4.0,2.25,Heidelberg,POINT (8.683975120477092 49.42868445131181),transit,transit,transit,100.0,100.0,100.0,299.0,Die Kamera,299.0,Die Kamera,299.0,Die Kamera,1360.7,Gloria & Gloriette,1360.7,Gloria & Gloriette,1355.0,Karlstorkino
0,1016.8,213.925,157.875,0.5,1016.8,213.925,157.875,0.5,1091.3999999999999,223.83333333333334,167.56666666666666,0.3333333333333333,473.35,1992.275,1902.091351545798,2272.504463111847,2994.2000000000003,2.2741438046903055,2.2741438046903055,2.131173757703641,2.208714338220756,2562.1666666666665,1016.8,645.0,43.49614730500018,1016.8,645.0,43.49614730500018,1485.7749999999999,700.0,46.95177732141418,1820.0,145.73897530100245,5279.75,5.0,162273.0,1491.07,47709.0,238.0,4.0,1.0,Heidelberg,POINT (8.69009575 49.388581800000004),transit,transit,transit,100.0,100.0,75.0,486.2,Karlstorkino,486.2,Karlstorkino,486.2,Karlstorkino,1556.7,Luxor Filmpalast Heidelberg,1556.7,Luxor Filmpalast Heidelberg,1976.7,Luxor Filmpalast Heidelberg
0,1312.1,452.325,229.775,0.5,1312.1,452.325,229.775,0.5,2683.125,263.35,229.775,2.0,718.7249999999999,2581.6,3299.210342615182,3005.244219427202,5307.325,2.261560340985171,2.261560340985171,1.1998950168893143,1.9076718996198854,4588.6,1312.1,630.0,52.78599635933163,1312.1,630.0,52.78599635933163,2342.0,2190.0,31.026548589269616,3450.0,136.59854130793286,6267.0,5.0,162273.0,1491.07,47709.0,238.0,4.0,3.0,Heidelberg,POINT (8.6495801 49.4000123),transit,transit,both,100.0,100.0,50.0,1114.9,Karlstorkino,1114.9,Karlstorkino,1271.9,Luxor Filmpalast Heidelberg,1540.6,Gloria & Gloriette,1540.6,Gloria & Gloriette,4223.7,Gloria & Gloriette
0,949.4,416.525,157.875,0.25,917.075,369.2,157.875,0.25,1046.875,369.2,182.675,0.25,425.275,1618.975,713.7481443919743,1815.5828734181546,2913.3500000000004,2.13745668782901,2.387463835969787,2.3294211370671976,2.2847805536219985,2488.0750000000003,949.4,375.0,62.96312277275253,917.075,390.0,56.96382317920051,1029.25,495.0,55.108060491037904,1260.0,175.03500644299092,1158.0,5.0,162273.0,1491.07,47709.0,238.0,4.0,0.75,Heidelberg,POINT (8.693478588608912 49.39907296382343),transit,transit,transit,100.0,100.0,75.0,554.3,Die Kamera,425.0,Die Kamera,425.0,Die Kamera,1478.5,Luxor Filmpalast Heidelberg,1478.5,Luxor Filmpalast Heidelberg,1898.5,Luxor Filmpalast Heidelberg
0,1181.025,186.25,229.775,1.0,1181.025,186.25,229.775,1.0,1121.025,186.25,229.775,0.75,611.25,2116.95,2361.3065329203355,2245.035769539771,3483.075,1.9600426123806705,1.9600426123806705,2.0095724151462924,1.976552546635878,2871.8250000000003,1181.025,765.0,41.14062778268642,1181.025,765.0,41.14062778268642,1121.025,705.0,41.54381756895505,2235.0,123.8250731343279,3230.75,5.0,162273.0,1491.07,47709.0,238.0,4.0,2.75,Heidelberg,POINT (8.662535461305172 49.41017340846859),transit,transit,transit,100.0,100.0,100.0,724.9,Die Kamera,724.9,Die Kamera,724.9,Die Kamera,1840.9,Karlstorkino,1840.9,Karlstorkino,1540.9,Karlstorkino
0,1337.275,294.4,157.875,0.25,1337.275,294.4,157.875,0.25,1352.275,294.4,157.875,0.5,812.1,3376.825,4118.837188279403,3911.1099682456115,4026.825,2.9626498159896157,2.9626498159896157,2.9710504151819648,2.9654500157203985,3214.725,1337.275,885.0,39.41880763673512,1337.275,885.0,39.41880763673512,1352.275,900.0,39.41207751570034,2670.0,118.24969278917058,2165.0,5.0,162273.0,1491.07,47709.0,238.0,4.0,1.0,Heidelberg,POINT (8.663877976033179 49.37418578964827),transit,transit,transit,100.0,100.0,100.0,657.5,Karlstorkino,657.5,Karlstorkino,657.5,Karlstorkino,2043.2,Gloria & Gloriette,2043.2,Gloria & Gloriette,2163.2,Gloria & Gloriette
0,1214.675,246.8,157.875,0.75,1214.675,246.8,157.875,0.75,1205.025,282.15,157.875,0.75,678.9,2745.425,3000.5055501378533,3162.107530960485,3634.3749999999995,2.797185856707478,2.797185856707478,2.7831312805846173,2.7925009979998583,2955.475,1214.675,810.0,37.01863838345925,1214.675,810.0,37.01863838345925,1205.025,765.0,39.61572321634324,2385.0,113.65299998326172,2718.5,5.0,162273.0,1491.07,47709.0,238.0,4.0,2.25,Heidelberg,POINT (8.679410698918648 49.430658041954835),transit,transit,transit,100.0,100.0,100.0,513.9,Die Kamera,513.9,Die Kamera,513.9,Die Kamera,1575.6,Gloria & Gloriette,1575.6,Gloria & Gloriette,1580.6,Karlstorkino
0,807.9749999999999,230.09999999999997,157.875,0.5,807.9749999999999,230.09999999999997,157.875,0.5,891.9749999999999,209.10000000000002,157.875,0.5,450.775,1458.8,837.2770860351412,1659.4572911004927,2507.925,2.381116911950347,2.381116911950347,2.2239403624419007,2.328724728780865,2057.1499999999996,807.9749999999999,420.0,43.090753789688165,807.9749999999999,420.0,43.090753789688165,891.9749999999999,525.0,38.05450427934963,1365.0,124.23601185872594,3602.5,5.0,162273.0,1491.07,47709.0,238.0,4.0,1.5,Heidelberg,POINT (8.68402727611882 49.40201190450954),transit,transit,transit,100.0,100.0,100.0,384.5,Die Kamera,384.5,Die Kamera,384.5,Die Kamera,1012.8,Luxor Filmpalast Heidelberg,1012.8,Luxor Filmpalast Heidelberg,1185.1,Gloria & Gloriette
0,1460.675,372.8,157.875,0.5,1460.675,372.8,157.875,0.5,1625.675,372.8,157.875,0.5,1114.35,3788.925,3408.5514388416723,4072.8302151485336,4547.025,2.8861521998088593,2.8861521998088593,2.8195055355219454,2.8639366450465547,3432.675,1460.675,930.0,40.46830904241008,1460.675,930.0,40.46830904241008,1625.675,1095.0,40.51080757572595,2955.0,121.44742566054612,2529.75,5.0,162273.0,1491.07,47709.0,238.0,4.0,1.5,Heidelberg,POINT (8.738858608025605 49.415160523169746),transit,transit,transit,100.0,100.0,100.0,861.6,Gloria & Gloriette,861.6,Gloria & Gloriette,801.6,Gloria & Gloriette,2115.9,Karlstorkino,2115.9,Karlstorkino,2835.9,Karlstorkino
0,1134.975,377.1,157.875,0.75,1119.975,377.1,157.875,0.75,1137.4250000000002,424.54999999999995,157.875,0.5,574.575,2011.65,1882.700755525639,2183.431017021396,3392.375,1.8660928389512295,1.8880913305520899,1.836061926054231,1.8634153651858503,2817.8,1134.975,600.0,49.529509187244294,1119.975,585.0,50.31653241685625,1137.4250000000002,555.0,56.90073507720933,1740.0,156.74677668130988,3663.75,5.0,162273.0,1491.07,47709.0,238.0,4.0,2.0,Heidelberg,POINT (8.6828708 49.42068340000001),transit,transit,transit,100.0,100.0,100.0,644.2,Die Kamera,644.2,Die Kamera,654.0,Die Kamera,1405.9,Gloria & Gloriette,1405.9,Gloria & Gloriette,1400.2,Karlstorkino
0,1433.75,570.875,157.875,0.75,1433.75,570.875,157.875,0.75,1423.775,530.9,157.875,0.75,766.3500000000001,2747.15,2818.422538987737,3087.086693767213,4291.275,2.186491776549976,2.186491776549976,2.1710070086950335,2.1813301872649955,3524.925,1433.75,705.0,54.49260453721587,1433.75,705.0,54.49260453721587,1423.775,735.0,52.50790968391992,2145.0,161.49311875835164,4387.25,5.0,162273.0,1491.07,47709.0,238.0,4.0,2.25,Heidelberg,POINT (8.690803315148495 49.430721747281325),transit,transit,transit,100.0,100.0,100.0,738.0,Die Kamera,738.0,Die Kamera,738.0,Die Kamera,1779.6,Gloria & Gloriette,1779.6,Gloria & Gloriette,1794.0,Karlstorkino
0,943.1499999999999,245.27499999999998,157.875,0.5,943.1499999999999,245.27499999999998,157.875,0.5,1048.1499999999999,245.27499999999998,157.875,0.75,492.1,1722.35,987.8940106671844,1929.7905703519907,2934.45,2.1469032549113485,2.1469032549113485,2.008445419800727,2.1007506432078085,2442.35,943.1499999999999,540.0,50.05083898517827,943.1499999999999,540.0,50.05083898517827,1048.1499999999999,645.0,47.530143024732155,1725.0,147.6318209950887,3815.25,5.0,162273.0,1491.07,47709.0,238.0,4.0,1.75,Heidelberg,POINT (8.707173195498811 49.40832765805713),transit,transit,transit,100.0,100.0,100.0,324.0,Gloria & Gloriette,324.0,Gloria & Gloriette,324.0,Gloria & Gloriette,1838.6,Karlstorkino,1838.6,Karlstorkino,2018.6,Karlstorkino
0,1044.575,391.7,157.875,0.0,1044.575,391.7,157.875,0.0,1029.575,391.7,157.875,0.0,531.525,1834.9750000000001,1589.1992351486165,1979.420933872698,3118.725,1.790470142490891,1.790470142490891,1.8142152425918443,1.7983851758578755,2587.2000000000003,1044.575,495.0,60.21905158496807,1044.575,495.0,60.21905158496807,1029.575,480.0,61.47171268239565,1470.0,181.9098158523318,4511.5,5.0,162273.0,1491.07,47709.0,238.0,4.0,0.0,Heidelberg,POINT (8.687520210940228 49.41906954978757),transit,transit,transit,100.0,100.0,100.0,361.4,Die Kamera,361.4,Die Kamera,361.4,Die Kamera,1417.4,Karlstorkino,1417.4,Karlstorkino,1417.4,Karlstorkino
