,15_total_duration,15_walk_to,15_walk_from,15_total_changes,18_total_duration,18_walk_to,18_walk_from,18_total_changes,21_total_duration,21_walk_to,21_walk_from,21_total_changes,car_duration,foot_duration,distance_start_centroid,distance_start_cinema,average duration,15_speed,18_speed,21_speed,average speed,average duration difference to car,15_trip_duration,15_transit_dur,15_walk_share,18_trip_duration,18_transit_dur,18_walk_share,21_trip_duration,21_transit_dur,21_walk_share,average transit duration,average walk share,average changes,area,start_location,15 fastest mode,18 fastest mode,21 fastest mode,15 transit is fastest,18 transit is fastest,21 transit is fastest,15 min cinema dur,15 most accessible cinema,18 min cinema dur,18 most accessible cinema,21 min cinema dur,21 most accessible cinema,15 max cinema dur,15 least accessible cinema,18 max cinema dur,18 least accessible cinema,21 max cinema dur,21 least accessible cinema,area average changes,level,level_dummy,cinemas,population aggr,population density,built-up area,transit departures,transit stops
0,1754.1,822.0,752.1,0.0,1754.1,822.0,752.1,0.0,1754.1,822.0,752.1,0.0,359.3,1138.5,1263.6075470537105,1128.2446557599676,5262.299999999999,0.6432042960834432,0.6432042960834432,0.6432042960834432,0.6432042960834432,4902.999999999999,1138.5,180.0,89.73832734735763,1138.5,180.0,89.73832734735763,1138.5,180.0,89.73832734735763,540.0,89.73832734735763,0.0,Kühlungsborn,POINT (11.7256568 54.14168625000001),foot,foot,foot,0.0,0.0,0.0,1754.1,Ostseekino,1754.1,Ostseekino,1754.1,Ostseekino,1754.1,Ostseekino,1754.1,Ostseekino,1754.1,Ostseekino,0.0,base,1,1,8037,497.03,29.62,363.0,11.0
1,1496.9,564.8,752.1,0.0,1496.9,564.8,752.1,0.0,1496.9,564.8,752.1,0.0,245.9,741.8,1440.2917201528742,787.5295835722379,4490.700000000001,0.5261070102025772,0.5261070102025772,0.5261070102025772,0.5261070102025772,4244.800000000001,741.8,180.0,87.97514864052374,741.8,180.0,87.97514864052374,741.8,180.0,87.97514864052374,540.0,87.97514864052374,0.0,Kühlungsborn,POINT (11.732496514368211 54.15051267172215),foot,foot,foot,0.0,0.0,0.0,1496.9,Ostseekino,1496.9,Ostseekino,1496.9,Ostseekino,1496.9,Ostseekino,1496.9,Ostseekino,1496.9,Ostseekino,0.0,base,1,1,8037,497.03,29.62,363.0,11.0
2,2589.7,1657.6,752.1,0.0,2589.7,1657.6,752.1,0.0,2589.7,1657.6,752.1,0.0,282.6,773.7,2895.021393391226,934.050709212396,7769.099999999999,0.3606791169681415,0.3606791169681415,0.3606791169681415,0.3606791169681415,7486.499999999999,773.7,180.0,93.04938795999536,773.7,180.0,93.04938795999536,773.7,180.0,93.04938795999536,540.0,93.04938795999536,0.0,Kühlungsborn,POINT (11.70646875244348 54.15287706578111),foot,foot,foot,0.0,0.0,0.0,2589.7,Ostseekino,2589.7,Ostseekino,2589.7,Ostseekino,2589.7,Ostseekino,2589.7,Ostseekino,2589.7,Ostseekino,0.0,base,1,1,8037,497.03,29.62,363.0,11.0
3,1661.2,729.1,752.1,0.0,1661.2,729.1,752.1,0.0,1661.2,729.1,752.1,0.0,217.9,787.6,1477.3898918945597,767.5467976261533,4983.6,0.4620435815230877,0.4620435815230877,0.4620435815230877,0.4620435815230876,4765.700000000001,787.6,180.0,89.1644594269203,787.6,180.0,89.1644594269203,787.6,180.0,89.1644594269203,540.0,89.1644594269203,0.0,Kühlungsborn,POINT (11.723761189488888 54.1447357177669),foot,foot,foot,0.0,0.0,0.0,1661.2,Ostseekino,1661.2,Ostseekino,1661.2,Ostseekino,1661.2,Ostseekino,1661.2,Ostseekino,1661.2,Ostseekino,0.0,base,1,1,8037,497.03,29.62,363.0,11.0
4,1496.7,564.6,752.1,0.0,1496.7,564.6,752.1,0.0,1496.7,564.6,752.1,0.0,408.5,1314.0,961.1578326056864,1217.7371291990528,4490.1,0.8136147051507,0.8136147051507,0.8136147051507,0.8136147051506999,4081.6,1314.0,180.0,87.97354179194227,1314.0,180.0,87.97354179194227,1314.0,180.0,87.97354179194227,540.0,87.97354179194227,0.0,Kühlungsborn,POINT (11.7305848 54.142153900000004),foot,foot,foot,0.0,0.0,0.0,1496.7,Ostseekino,1496.7,Ostseekino,1496.7,Ostseekino,1496.7,Ostseekino,1496.7,Ostseekino,1496.7,Ostseekino,0.0,base,1,1,8037,497.03,29.62,363.0,11.0
5,1341.9,409.8,752.1,0.0,1341.9,409.8,752.1,0.0,1341.9,409.8,752.1,0.0,546.8,2205.3,1249.5984287682622,2687.629333853692,4025.7,2.0028536655888605,2.0028536655888605,2.0028536655888605,2.0028536655888605,3478.9000000000005,1341.9,180.0,86.58618376928237,1341.9,180.0,86.58618376928237,1341.9,180.0,86.58618376928237,540.0,86.58618376928237,0.0,Kühlungsborn,POINT (11.76062015188238 54.145962295058766),transit,transit,transit,100.0,100.0,100.0,1341.9,Ostseekino,1341.9,Ostseekino,1341.9,Ostseekino,1341.9,Ostseekino,1341.9,Ostseekino,1341.9,Ostseekino,0.0,base,1,1,8037,497.03,29.62,363.0,11.0
6,1518.3,586.2,752.1,0.0,1518.3,586.2,752.1,0.0,1518.3,586.2,752.1,0.0,206.1,477.3,1708.7287823728889,335.9332661118669,4554.9,0.2212561852808186,0.2212561852808186,0.2212561852808186,0.2212561852808185,4348.799999999999,477.3,179.99999999999977,88.14463544754003,477.3,179.99999999999977,88.14463544754003,477.3,179.99999999999977,88.14463544754003,539.9999999999993,88.14463544754003,0.0,Kühlungsborn,POINT (11.724114049999999 54.149201100000006),foot,foot,foot,0.0,0.0,0.0,1518.3,Ostseekino,1518.3,Ostseekino,1518.3,Ostseekino,1518.3,Ostseekino,1518.3,Ostseekino,1518.3,Ostseekino,0.0,base,1,1,8037,497.03,29.62,363.0,11.0
7,1322.6,390.5,752.1,0.0,1322.6,390.5,752.1,0.0,1322.6,390.5,752.1,0.0,308.4,1422.1,440.6382542612772,1626.2869212570404,3967.8,1.2296135802639048,1.2296135802639048,1.2296135802639048,1.2296135802639048,3659.4,1322.6,180.0,86.39044306668683,1322.6,180.0,86.39044306668683,1322.6,180.0,86.39044306668683,540.0,86.39044306668683,0.0,Kühlungsborn,POINT (11.74098420536721 54.143040645913366),transit,transit,transit,100.0,100.0,100.0,1322.6,Ostseekino,1322.6,Ostseekino,1322.6,Ostseekino,1322.6,Ostseekino,1322.6,Ostseekino,1322.6,Ostseekino,0.0,base,1,1,8037,497.03,29.62,363.0,11.0
8,1466.7,534.6,752.1,0.0,1466.7,534.6,752.1,0.0,1466.7,534.6,752.1,0.0,569.1,2384.2,1209.4029796305178,2881.7933630765465,4400.1,1.9648144563145475,1.9648144563145475,1.9648144563145475,1.964814456314547,3831.000000000001,1466.7,180.0,87.7275516465535,1466.7,180.0,87.7275516465535,1466.7,180.0,87.7275516465535,540.0,87.7275516465535,0.0,Kühlungsborn,POINT (11.762314161045149 54.14308056544596),transit,transit,transit,100.0,100.0,100.0,1466.7,Ostseekino,1466.7,Ostseekino,1466.7,Ostseekino,1466.7,Ostseekino,1466.7,Ostseekino,1466.7,Ostseekino,0.0,base,1,1,8037,497.03,29.62,363.0,11.0
9,1599.5,727.4,752.1,0.0,1599.5,727.4,752.1,0.0,1599.5,727.4,752.1,0.0,385.0,2142.8,631.9200860088059,2443.291130294445,4798.5,1.5275343109061863,1.5275343109061863,1.5275343109061863,1.5275343109061863,4413.5,1599.5,120.0,92.49765551734916,1599.5,120.0,92.49765551734916,1599.5,120.0,92.49765551734916,360.0,92.49765551734916,0.0,Kühlungsborn,POINT (11.7539113 54.14147515),transit,transit,transit,100.0,100.0,100.0,1599.5,Ostseekino,1599.5,Ostseekino,1599.5,Ostseekino,1599.5,Ostseekino,1599.5,Ostseekino,1599.5,Ostseekino,0.0,base,1,1,8037,497.03,29.62,363.0,11.0
