,15_total_duration,15_walk_to,15_walk_from,15_total_changes,18_total_duration,18_walk_to,18_walk_from,18_total_changes,21_total_duration,21_walk_to,21_walk_from,21_total_changes,car_duration,foot_duration,distance_start_centroid,distance_start_cinema,average duration,15_speed,18_speed,21_speed,average speed,average duration difference to car,15_trip_duration,15_transit_dur,15_walk_share,18_trip_duration,18_transit_dur,18_walk_share,21_trip_duration,21_transit_dur,21_walk_share,average transit duration,average walk share,average changes,area,start_location,15 fastest mode,18 fastest mode,21 fastest mode,15 transit is fastest,18 transit is fastest,21 transit is fastest,15 min cinema dur,15 most accessible cinema,18 min cinema dur,18 most accessible cinema,21 min cinema dur,21 most accessible cinema,15 max cinema dur,15 least accessible cinema,18 max cinema dur,18 least accessible cinema,21 max cinema dur,21 least accessible cinema,area average changes,level,level_dummy,cinemas,population aggr,population density,built-up area,transit departures,transit stops
0,1313.275,421.3250000000001,156.95,0.25,1208.275,421.3250000000001,156.95,0.5,1361.0333333333333,412.5333333333333,88.5,0.3333333333333333,719.25,3738.4,4040.613858091296,4385.076154261677,4136.233333333333,3.703139381163449,3.866719905281472,2.967062385104553,2.9344516420448024,3433.033333333333,1313.275,735.0,50.008359443365634,1208.275,630.0,51.638571384123374,2232.65,860.0,38.34218697162245,2600.0,38.764190793935406,1.3333333333333333,Osnabrück,POINT (8.098355433538945 52.29700930162381),transit,transit,transit,100.0,100.0,75.0,880.3,3-Seiten-Kino,880.3,3-Seiten-Kino,1149.0,Cinema Arthouse,1851.5,Filmtheater Hasetor,1431.5,Filmtheater Hasetor,1611.5,Filmtheater Hasetor,2.2099358974358974,top,3,5,167366,1397.05,50.2,60580,317
1,1675.25,303.3,156.95,1.0,1690.25,303.3,156.95,0.75,1641.5,479.55,156.95,1.0,579.45,2490.8,3035.885960410433,2844.451742862825,5007.0,1.7913845991968254,1.773768657384538,1.8907087484518,1.818620668344388,4427.55,1665.9249999999995,1215.0,27.96847064148293,1680.9249999999995,1230.0,27.73793915195723,1604.0499999999995,1005.0,38.24325928434886,3450.0,31.31655635926301,2.75,Osnabrück,POINT (8.03554612503724 52.252051557520225),transit,transit,transit,75.0,75.0,75.0,1315.4,Cinema Arthouse,1315.4,Cinema Arthouse,1195.4,Cinema Arthouse,2257.0,3-Seiten-Kino,2257.0,3-Seiten-Kino,2369.5,3-Seiten-Kino,2.2099358974358974,top,3,5,167366,1397.05,50.2,60580,317
2,1632.0999999999997,543.6,88.5,0.6666666666666666,1872.1,543.6,88.5,0.6666666666666666,1919.6,543.6,56.0,1.0,752.4499999999999,3881.2,3778.462363230007,4044.009235027388,5398.799999999999,2.3953742839854613,2.101859306662032,2.108107124121529,2.270310801278866,4645.799999999999,2403.125,1000.0,38.777557769069,2583.125,1240.0,34.4697237611964,3439.95,1320.0,31.23567409877058,3600.0,33.63903450647286,3.0,Osnabrück,POINT (8.005411426610497 52.256298067489325),transit,transit,foot,75.0,75.0,25.0,1559.6,Hall of Fame,1647.1,Cinema Arthouse,1919.6,Hall of Fame,1689.6,Filmtheater Hasetor,2049.6,Filmtheater Hasetor,1919.6,Hall of Fame,2.2099358974358974,top,3,5,167366,1397.05,50.2,60580,317
3,1786.4499999999998,486.525,159.925,1.0,1814.4,486.525,172.875,0.75,1651.275,503.4,172.875,0.75,542.7,2103.025,2746.300568577799,2471.2363162956253,5252.124999999999,1.4666408457553968,1.438888716414656,1.5882590250025466,1.497929529057533,4709.425,1650.6,1140.0,36.08573414352964,1678.5500000000002,1155.0,36.50907456992008,1560.4250000000002,975.0,41.29242085046581,3270.0,37.96240985463851,2.5,Osnabrück,POINT (8.043324945065656 52.25377890090723),transit,transit,transit,75.0,75.0,75.0,1468.9,Hall of Fame,1500.1,Cinema Arthouse,1348.2,Hall of Fame,2441.7,3-Seiten-Kino,2441.7,3-Seiten-Kino,2261.7,3-Seiten-Kino,2.2099358974358974,top,3,5,167366,1397.05,50.2,60580,317
4,1047.875,234.85,168.025,0.5,1047.875,234.85,168.025,0.5,861.375,224.425,156.95,0.0,443.8,1649.9250000000002,2577.2730358702256,2000.6300965332723,2957.125,1.9761756333830471,1.9761756333830471,2.2593227005061944,2.0705579890907626,2513.325,1018.7,645.0,44.800400078111416,1018.7,645.0,44.800400078111416,861.375,480.0,50.103559894146606,1770.0,46.56812001678982,1.0,Osnabrück,POINT (8.067155009595895 52.25852846276014),transit,transit,transit,75.0,75.0,100.0,649.4,3-Seiten-Kino,649.4,3-Seiten-Kino,607.7,3-Seiten-Kino,1496.0,Hall of Fame,1496.0,Hall of Fame,1180.0,Filmtheater Hasetor,2.2099358974358974,top,3,5,167366,1397.05,50.2,60580,317
5,2522.8250000000003,520.875,156.95,1.0,2747.8250000000003,520.875,156.95,1.5,3439.0,835.975,218.025,1.25,1011.025,5200.2,5474.671710068336,6459.050845726691,8709.65,2.714926049206701,2.404857533483657,2.2395064566812417,2.453096679790533,7698.625,2522.8250000000003,1845.0,27.11106511195558,2747.8250000000003,2070.0,24.341751837103704,2927.125,2385.0,27.32041873672864,6300.0,26.25774522859597,3.75,Osnabrück,POINT (7.975933523824302 52.300551449563606),transit,transit,transit,100.0,100.0,75.0,1356.4,Filmtheater Hasetor,2126.4,Hall of Fame,2246.4,Hall of Fame,3124.1,3-Seiten-Kino,3198.3,Filmtheater Hasetor,6111.6,Filmtheater Hasetor,2.2099358974358974,top,3,5,167366,1397.05,50.2,60580,317
6,1661.275,634.325,156.95,0.75,1637.45,647.65,149.8,1.25,1542.9499999999998,621.0,156.95,0.5,663.175,2833.15,4645.597343198626,3583.755842206668,4841.675,2.039742965324796,2.0765106658922647,2.195448660010851,2.103900763742637,4178.5,1653.775,870.0,52.94594834618259,1629.95,840.0,53.86259991661343,1535.4499999999998,765.0,54.84358235775866,2475.0,53.884043540184905,2.5,Osnabrück,POINT (8.075702746919154 52.240307911492465),transit,transit,transit,75.0,75.0,75.0,1014.7,3-Seiten-Kino,1014.7,3-Seiten-Kino,1014.7,3-Seiten-Kino,1930.3,Hall of Fame,2137.8,Cinema Arthouse,1753.1,Cinema Arthouse,2.2099358974358974,top,3,5,167366,1397.05,50.2,60580,317
7,1178.225,346.275,156.95,0.25,1274.15,419.35,149.8,1.25,1075.8,393.85,156.95,0.25,439.125,1944.5,3293.743496363888,2449.617600637912,3528.175,1.9280435333039403,1.7852922058925618,2.111141598285536,1.941492445827346,3089.05,1145.1750000000002,675.0,48.347393926285605,1241.1,705.0,50.220844404484055,1042.75,525.0,56.35519415119242,1905.0,51.64114416065403,1.75,Osnabrück,POINT (8.06228896429074 52.25013557338104),transit,transit,transit,75.0,75.0,75.0,703.0,3-Seiten-Kino,703.0,3-Seiten-Kino,703.0,3-Seiten-Kino,1365.4,Hall of Fame,1752.9,Cinema Arthouse,1285.3,Cinema Arthouse,2.2099358974358974,top,3,5,167366,1397.05,50.2,60580,317
8,2024.35,724.3,220.05,1.75,2052.3,724.3,233.0,1.5,1786.15,668.1500000000001,233.0,1.0,536.35,2347.175,2766.7659805038693,2625.8996052256,5862.8,1.469638442589409,1.4389585225916068,1.5556156799072898,1.4880708816961017,5326.45,1730.8250000000005,1080.0,44.01596245373251,1758.775,1095.0,44.46580571047575,1715.5750000000005,885.0,49.84743931468234,3060.0,46.10973582629687,4.25,Osnabrück,POINT (8.037237374769843 52.25427665556391),transit,transit,transit,75.0,75.0,75.0,1447.4,Hall of Fame,1492.1,Cinema Arthouse,1372.1,Cinema Arthouse,3338.7,3-Seiten-Kino,3338.7,3-Seiten-Kino,2446.9,3-Seiten-Kino,2.2099358974358974,top,3,5,167366,1397.05,50.2,60580,317
9,2383.35,291.4,156.95,1.0,2682.425,590.475,156.95,1.25,2503.35,291.4,156.95,1.0,1113.4500000000005,5633.65,6926.808590357409,6598.914870662596,7569.125,3.090527605770542,2.973269677608509,2.9446397534081985,3.00281234559575,6455.675,2383.35,1935.0,20.24991417264218,2682.425,1935.0,25.524378862019727,2503.35,2055.0,19.496057121333813,5925.0,21.756783385331907,3.25,Osnabrück,POINT (8.149075463618473 52.27823395748375),transit,transit,transit,100.0,100.0,100.0,1543.5,Cinema Arthouse,1543.5,Cinema Arthouse,1543.5,Cinema Arthouse,3445.1,3-Seiten-Kino,4641.4,3-Seiten-Kino,3625.1,3-Seiten-Kino,2.2099358974358974,top,3,5,167366,1397.05,50.2,60580,317
10,1684.7,536.2,88.5,0.6666666666666666,2471.9,612.1,149.8,1.0,1866.9,537.1500000000001,129.75,1.0,987.15,4268.025,4465.166166801097,4865.91080117672,5358.8,2.755920235836052,2.1585845283206586,2.5479674037890927,2.6722492981760286,4363.8,2594.1000000000004,1060.0,37.12447678971714,2471.9,1710.0,31.96671752532132,3198.4500000000003,1200.0,36.06273661662781,3360.0,37.65402639538144,2.0,Osnabrück,POINT (7.989944030706337 52.25929580484371),transit,transit,both,75.0,100.0,50.0,1612.2,Hall of Fame,1699.7,Cinema Arthouse,1761.6,Cinema Arthouse,1742.2,Filmtheater Hasetor,4113.5,3-Seiten-Kino,1972.2,Hall of Fame,2.2099358974358974,top,3,5,167366,1397.05,50.2,60580,317
11,1635.725,293.775,156.95,0.5,1567.6,247.8,149.8,0.75,1770.9,541.1,149.8,0.0,775.5749999999999,3721.15,3467.769706337731,4496.466312372981,4974.225,2.962177281575849,3.047542555163581,2.595143726675441,2.868287854471624,4198.65,1635.725,1185.0,28.0444773560992,1567.6,1170.0,26.584821589337785,1770.9,1080.0,40.74424811484368,3435.0,31.791182353426883,1.25,Osnabrück,POINT (8.039915119487086 52.30915380551389),transit,transit,transit,100.0,100.0,100.0,733.8,Filmtheater Hasetor,733.8,Filmtheater Hasetor,977.7,Filmtheater Hasetor,2445.4,3-Seiten-Kino,2261.5,3-Seiten-Kino,2565.4,3-Seiten-Kino,2.2099358974358974,top,3,5,167366,1397.05,50.2,60580,317
12,1270.175,265.375,149.8,0.5,1186.4,331.6,149.8,0.0,1277.525,272.725,149.8,0.0,622.85,3508.875,4891.68704623351,4047.24833414423,3734.1,3.2649224436637176,3.4987578749864987,3.2055559277580605,3.3230787488027587,3111.25,1270.175,855.0,36.30572203542972,1186.4,705.0,42.6416961456121,1277.525,855.0,35.58901162262544,2415.0,38.17880993455576,0.5,Osnabrück,POINT (8.104409220832283 52.251556816041614),transit,transit,transit,100.0,100.0,100.0,862.5,Hall of Fame,862.5,Hall of Fame,900.2,3-Seiten-Kino,1670.0,Cinema Arthouse,1737.4,Filmtheater Hasetor,1857.4,Filmtheater Hasetor,2.2099358974358974,top,3,5,167366,1397.05,50.2,60580,317
13,1196.775,293.75,168.025,0.5,1196.775,293.75,168.025,0.5,989.475,292.525,156.95,0.0,504.825,2153.475,3294.492419046465,2460.361738953462,3383.025,1.9883181228535265,1.9883181228535265,2.3666223088140064,2.114419518173686,2878.2,1196.775,735.0,46.17113076513833,1196.775,735.0,46.17113076513833,989.475,540.0,52.00968776606194,2010.0,48.11731643211287,1.0,Osnabrück,POINT (8.076979949999998 52.25485455),transit,transit,transit,100.0,100.0,100.0,631.2,3-Seiten-Kino,631.2,3-Seiten-Kino,631.2,3-Seiten-Kino,1597.8,Hall of Fame,1597.8,Hall of Fame,1436.0,Filmtheater Hasetor,2.2099358974358974,top,3,5,167366,1397.05,50.2,60580,317
14,1341.3249999999998,299.375,156.95,0.0,1341.3249999999998,299.375,156.95,0.0,1356.3249999999998,299.375,156.95,0.0,662.6,3805.675,4915.5998129511845,4176.801099800065,4038.975,3.085702172324708,3.085702172324708,3.0689747906970606,3.080126378448825,3376.375,1341.3249999999998,885.0,36.17165925176821,1341.3249999999998,885.0,36.17165925176821,1356.3249999999998,900.0,36.19661550567852,2670.0,36.17997800307164,0.0,Osnabrück,POINT (8.109663714995849 52.2559562778661),transit,transit,transit,100.0,100.0,100.0,989.2,3-Seiten-Kino,989.2,3-Seiten-Kino,929.2,3-Seiten-Kino,1547.6,Cinema Arthouse,1547.6,Cinema Arthouse,1621.5,Filmtheater Hasetor,2.2099358974358974,top,3,5,167366,1397.05,50.2,60580,317
15,1171.375,339.425,156.95,0.25,1274.15,419.35,149.8,1.25,1068.9499999999998,387.0,156.95,0.25,440.825,1951.325,3311.1005223221578,2463.031234495607,3514.475,1.950920915215774,1.794889959091791,2.1338350213938657,1.9598819652338104,3073.65,1138.3,675.0,48.077081908198565,1241.0749999999998,705.0,50.23913003816877,1035.875,525.0,56.02050136786602,1905.0,51.445571104744445,1.75,Osnabrück,POINT (8.06225617326061 52.24996534441122),transit,transit,transit,75.0,75.0,75.0,689.3,3-Seiten-Kino,689.3,3-Seiten-Kino,689.3,3-Seiten-Kino,1379.1,Hall of Fame,1766.6,Cinema Arthouse,1271.6,Cinema Arthouse,2.2099358974358974,top,3,5,167366,1397.05,50.2,60580,317
16,1445.35,373.4,156.95,0.75,1372.125,390.175,156.95,0.75,1430.35,373.4,156.95,0.5,422.175,2149.25,2306.373598270835,2331.799247465302,4247.825,1.789045158386575,1.8313075936373584,1.793189413464659,1.804514055162864,3825.65,1388.35,915.0,41.00404816363817,1372.125,825.0,43.25610760877996,1403.35,900.0,41.15947603855803,2640.0,41.80654393699206,2.0,Osnabrück,POINT (8.081126979508829 52.27593659705309),transit,transit,transit,75.0,100.0,75.0,845.5,Cinema Arthouse,845.5,Cinema Arthouse,845.5,Cinema Arthouse,1967.1,3-Seiten-Kino,1967.1,3-Seiten-Kino,2027.1,3-Seiten-Kino,2.2099358974358974,top,3,5,167366,1397.05,50.2,60580,317
17,1476.5749999999998,584.625,156.95,0.25,1419.15,587.2,156.95,0.75,1454.3,425.8,88.5,0.6666666666666666,703.025,3030.025,3120.5294937988115,3517.032466121007,4648.933333333333,2.6864252222877107,2.736434748354878,2.172353697610568,2.048300092858456,4017.933333333334,1476.5749999999998,735.0,53.15934764301219,1419.15,675.0,55.15826350649338,2176.725,940.0,37.61634493962125,2660.0,43.79372126920989,2.0,Osnabrück,POINT (8.087343230135609 52.29216856766803),transit,transit,transit,100.0,100.0,75.0,999.5,3-Seiten-Kino,999.5,3-Seiten-Kino,1109.3,Cinema Arthouse,1957.1,Hall of Fame,1774.6,Filmtheater Hasetor,1681.8,Hall of Fame,2.2099358974358974,top,3,5,167366,1397.05,50.2,60580,317
18,1522.7,285.175,382.525,0.5,1465.45,377.225,383.225,0.0,1659.425,542.6,261.825,0.0,561.2249999999999,3058.875,4503.616551973344,3632.746121637968,4647.575,2.3617308270297723,2.4508128629794084,2.170216857276648,2.327586849095276,4086.35,1522.7,855.0,47.878538249460526,1465.45,705.0,54.66313420771318,1659.425,855.0,50.21049886098591,2415.0,50.91739043938653,0.5,Osnabrück,POINT (8.097076 52.2515754),transit,transit,transit,100.0,100.0,100.0,1124.5,3-Seiten-Kino,1124.5,3-Seiten-Kino,1306.9,Hall of Fame,1957.4,Filmtheater Hasetor,1992.7,Filmtheater Hasetor,2112.7,Filmtheater Hasetor,2.2099358974358974,top,3,5,167366,1397.05,50.2,60580,317
19,773.25,391.3,156.95,0.0,763.55,381.6,156.95,0.0,813.4,386.45,156.95,0.25,391.775,1261.0,992.9758224644434,1386.2037586139538,2350.2,1.7049867873327815,1.7176467345683823,1.6891228164411496,1.7039187794474375,1958.425,714.05,225.0,74.85247700255381,709.1999999999999,225.0,74.58015840541138,699.05,270.0,69.94229111623464,720.0,73.12497550806661,0.25,Osnabrück,POINT (8.061528799999998 52.2758481),transit,transit,transit,75.0,75.0,75.0,444.6,Cinema Arthouse,444.6,Cinema Arthouse,444.6,Cinema Arthouse,1373.0,3-Seiten-Kino,1353.6,3-Seiten-Kino,1313.0,3-Seiten-Kino,2.2099358974358974,top,3,5,167366,1397.05,50.2,60580,317
20,1865.925,681.625,314.3,0.5,1811.9,777.5999999999999,314.3,0.0,1917.975,840.075,192.9,0.0,663.225,3562.5,5191.447620220854,4248.60968068802,5595.799999999999,2.265347903360446,2.339123896507444,2.1883303113378645,2.264267370401918,4932.575000000001,1865.925,870.0000000000001,55.789252118022524,1811.9,720.0000000000001,61.80409958962839,1917.975,885.0,55.51312330220483,2475.0000000000005,57.70215833661858,0.5,Osnabrück,POINT (8.102579500000001 52.246112),transit,transit,transit,100.0,100.0,100.0,1476.8,Hall of Fame,1476.8,Hall of Fame,1593.5,3-Seiten-Kino,2225.8,Filmtheater Hasetor,2298.3,Filmtheater Hasetor,2418.3,Filmtheater Hasetor,2.2099358974358974,top,3,5,167366,1397.05,50.2,60580,317
21,1659.2000000000005,414.9500000000001,389.25,0.25,1658.1,571.125,321.975,0.25,1691.6750000000002,462.425,389.25,0.0,661.7750000000001,3492.45,4788.426800254739,4011.859973629013,5008.975,2.436489896280896,2.4378320097678854,2.373777217133093,2.4160330410606248,4347.200000000001,1659.2000000000005,855.0,51.03252109081889,1658.1,765.0,55.64979449632154,1691.6750000000002,840.0,53.596451881344656,2460.0,53.42625582282837,0.5,Osnabrück,POINT (8.1060836 52.25459435000001),transit,transit,transit,100.0,100.0,100.0,1245.5,Hall of Fame,1245.5,Hall of Fame,1292.3,3-Seiten-Kino,2169.3,Filmtheater Hasetor,2169.3,Filmtheater Hasetor,2289.3,Filmtheater Hasetor,2.2099358974358974,top,3,5,167366,1397.05,50.2,60580,317
