,15_total_duration,15_walk_to,15_walk_from,15_total_changes,18_total_duration,18_walk_to,18_walk_from,18_total_changes,21_total_duration,21_walk_to,21_walk_from,21_total_changes,car_duration,foot_duration,distance_start_centroid,distance_start_cinema,average duration,15_speed,18_speed,21_speed,average speed,average duration difference to car,15_trip_duration,15_transit_dur,15_walk_share,18_trip_duration,18_transit_dur,18_walk_share,21_trip_duration,21_transit_dur,21_walk_share,average transit duration,average walk share,average changes,area,start_location,15 fastest mode,18 fastest mode,21 fastest mode,15 transit is fastest,18 transit is fastest,21 transit is fastest,15 min cinema dur,15 most accessible cinema,18 min cinema dur,18 most accessible cinema,21 min cinema dur,21 most accessible cinema,15 max cinema dur,15 least accessible cinema,18 max cinema dur,18 least accessible cinema,21 max cinema dur,21 least accessible cinema,area average changes,level,level_dummy,cinemas,population aggr,population density,built-up area,transit departures,transit stops
0,,,,,,,,,,,,,159.3,1082.4,685015.9778903382,949.2214729445408,,,,,,,1082.4,,,1082.4,,,1082.4,,,,,,Seefeld,POINT (11.19463715 48.036521150000006),foot,foot,foot,0.0,0.0,0.0,,,,,,,,,,,,,,base,1,1,7694,220.77,12.83,1562.0,24.0
1,,,,,,,,,,,,,141.6,1325.1,684595.2971455914,1449.5075513500058,,,,,,,1325.1,,,1325.1,,,1325.1,,,,,,Seefeld,POINT (11.19008685 48.0398516),foot,foot,foot,0.0,0.0,0.0,,,,,,,,,,,,,,base,1,1,7694,220.77,12.83,1562.0,24.0
2,,,,,,,,,,,,,141.9,1061.6,685209.0417718362,1169.7887938537324,,,,,,,1061.6,,,1061.6,,,1061.6,,,,,,Seefeld,POINT (11.216723572277145 48.03722871353938),foot,foot,foot,0.0,0.0,0.0,,,,,,,,,,,,,,base,1,1,7694,220.77,12.83,1562.0,24.0
3,,,,,,,,,,,,,251.0,2167.3,684235.8685735546,2385.527660296372,,,,,,,2167.3,,,2167.3,,,2167.3,,,,,,Seefeld,POINT (11.17650905 48.0416296),foot,foot,foot,0.0,0.0,0.0,,,,,,,,,,,,,,base,1,1,7694,220.77,12.83,1562.0,24.0
4,,,,,,,,,,,,,271.6,3497.6,686706.1003365585,3419.406112349221,,,,,,,3497.6,,,3497.6,,,3497.6,,,,,,Seefeld,POINT (11.249743476447941 48.02731914697246),foot,foot,foot,0.0,0.0,0.0,,,,,,,,,,,,,,base,1,1,7694,220.77,12.83,1562.0,24.0
5,,,,,,,,,,,,,119.5,1093.2,685267.9140954126,1214.834611086383,,,,,,,1093.2,,,1093.2,,,1093.2,,,,,,Seefeld,POINT (11.217883933119174 48.036822350917895),foot,foot,foot,0.0,0.0,0.0,,,,,,,,,,,,,,base,1,1,7694,220.77,12.83,1562.0,24.0
6,,,,,,,,,,,,,253.9,1380.3,684880.2218127274,1490.0359512924265,,,,,,,1380.3,,,1380.3,,,1380.3,,,,,,Seefeld,POINT (11.218278306726347 48.04040247724383),foot,foot,foot,0.0,0.0,0.0,,,,,,,,,,,,,,base,1,1,7694,220.77,12.83,1562.0,24.0
7,,,,,,,,,,,,,155.4,1291.4,685316.239148809,1334.9931052839554,,,,,,,1291.4,,,1291.4,,,1291.4,,,,,,Seefeld,POINT (11.219941 48.03661325),foot,foot,foot,0.0,0.0,0.0,,,,,,,,,,,,,,base,1,1,7694,220.77,12.83,1562.0,24.0
8,,,,,,,,,,,,,276.4,1619.6,684192.5094900379,1558.0562668260643,,,,,,,1619.6,,,1619.6,,,1619.6,,,,,,Seefeld,POINT (11.200536311176547 48.04468523317918),foot,foot,foot,0.0,0.0,0.0,,,,,,,,,,,,,,base,1,1,7694,220.77,12.83,1562.0,24.0
9,,,,,,,,,,,,,262.2,1727.2,685162.370356177,1412.1448606587237,,,,,,,1727.2,,,1727.2,,,1727.2,,,,,,Seefeld,POINT (11.185931312124824 48.0342227816611),foot,foot,foot,0.0,0.0,0.0,,,,,,,,,,,,,,base,1,1,7694,220.77,12.83,1562.0,24.0
