,total duration,total changes,speed,fastest mode,fastest overall mode,walk share,population,departure time
0,6796.9,0.0,0.4772864926852131,foot,car,62.04151892774647,933,15
1,3109.2,1.0,1.765305783148924,transit,car,18.95021227325357,3,15
2,3551.3,0.0,0.7033130850233072,foot,car,40.86672486131839,896,15
3,805.1,0.0,1.2246022988184089,transit,car,92.54750962613338,480,15
4,1017.8,0.0,3.357341699785298,transit,car,64.62959324032227,13,15
5,1059.1,0.0,2.616076381657413,transit,car,66.00887546029648,550,15
6,579.2,0.0,0.85904310254045,foot,car,89.64088397790054,1179,15
7,853.3,0.0,1.398941537000236,transit,car,92.9684753310676,480,15
8,6388.9,0.0,0.3968746278339168,foot,car,59.617461534849504,896,15
9,6757.9,0.0,0.4631612060563598,foot,car,61.82245963982894,933,15
10,4053.3,0.0,0.755451858574054,foot,car,48.19036340759381,933,15
11,6530.4,0.0,0.4404833961753008,foot,car,60.49246600514517,933,15
12,4134.8,0.0,0.604062048670618,foot,car,49.21157008803328,896,15
13,1007.6,0.0,2.821426052461588,transit,car,64.27153632393807,550,15
14,805.1,0.0,1.2246022988184089,transit,car,92.54750962613338,480,15
15,6826.1,1.0,0.5584830937359694,foot,car,63.08287309005142,478,15
16,578.3,0.0,0.8453074966014069,foot,car,89.62476223413454,1179,15
17,666.1,0.0,0.6676502992892375,foot,car,90.99234349196816,1179,15
18,4535.7,0.0,0.6237489549837403,foot,car,53.70064157682386,933,15
19,4579.3,0.0,0.6685696282659725,foot,car,54.14146266896688,933,15
20,849.0,0.0,3.835916118216451,transit,car,57.59717314487633,13,15
21,4120.7,0.0,0.6019560313695154,foot,car,46.12565826194578,896,15
22,3743.4,0.0,0.7073393015765389,foot,car,43.90126622856227,13,15
23,4732.3,0.0,0.6576269377406269,foot,car,55.6241151237242,933,15
24,4147.7,0.0,0.5633212131119446,foot,car,49.36953010101985,896,15
25,4120.6,0.0,0.5815957751154239,foot,car,49.03654807552298,896,15
26,4032.5,0.0,0.6139565473756698,foot,car,44.9473031618103,896,15
27,4112.0,0.0,0.5760963041988679,foot,car,46.011673151750976,896,15
28,6847.9,1.0,0.5534566969811431,foot,car,63.20039720206194,478,15
29,752.0,0.0,1.3097647699300683,transit,car,92.02127659574468,480,15
30,1115.4,0.0,2.414130923508551,transit,car,67.72458310919849,550,15
31,3138.6,1.0,1.7604045529468832,transit,car,19.70942458420952,3,15
32,853.3,0.0,1.398941537000236,transit,car,92.9684753310676,480,15
33,853.1,0.0,3.584550079491715,transit,car,57.80096120032821,13,15
34,4579.3,0.0,0.6685696282659725,foot,car,54.14146266896688,933,15
35,6562.0,0.0,0.4228290108415151,foot,car,60.682718683328254,933,15
36,4740.6,0.0,0.6539383000950383,foot,car,55.70180989748134,933,15
37,947.0,0.0,3.087210092087663,transit,car,61.98521647307286,13,15
38,792.6,0.0,1.2675908642200604,transit,car,92.42997728993186,0,15
39,4045.3,0.0,0.611617923474875,foot,car,45.12149902355821,90,15
40,3919.7,0.0,0.7313870614518294,foot,car,46.42447126055565,933,15
41,809.0,0.0,1.2843451177034588,transit,car,92.58343634116191,0,15
42,450.4,0.0,1.530080879352593,transit,car,86.6785079928952,1179,15
43,1070.9,0.0,3.257799175569001,transit,car,66.38341581847044,13,15
44,6376.2,0.0,0.392242231781268,foot,car,59.537028324080175,896,15
45,670.3,0.0,0.6140089530289224,foot,car,91.04878412651053,1179,15
46,6677.3,1.0,0.5913196682753736,foot,car,62.26019498899256,478,15
47,453.5,0.0,2.066258370366845,transit,car,73.53914002205072,3051,15
48,4592.6,0.0,0.670617835985411,foot,car,54.27426729956888,933,15
49,1026.1,0.0,2.7482468936692226,transit,car,64.91570022414969,550,15
50,453.0,0.0,1.4326502696045034,transit,car,86.75496688741721,1179,15
51,6789.4,0.0,0.4763851082052827,foot,car,61.99958759242348,933,15
52,4593.1,1.0,1.0041657919697449,foot,car,47.74770851930069,0,15
