,total duration,total changes,speed,fastest mode,fastest overall mode,walk share,population,departure time
0,846.3,0.0,1.318592218924098,transit,car,85.8206309819213,1704,15
1,664.7,0.0,0.9446047808795596,transit,car,72.920114337295,501,15
2,,,,foot,car,,1002,15
3,748.2,0.0,1.2076049631584935,transit,car,83.96150761828389,3582,15
4,701.5,0.0,1.225380956389845,transit,car,82.89379900213828,3582,15
5,,,,foot,car,,285,15
6,1050.6,0.0,1.3352609449062876,transit,car,82.86693318103941,1704,15
7,604.8,0.0,1.3349616790596277,transit,car,80.15873015873017,3582,15
8,788.4,0.0,1.1431895559991383,transit,car,84.77929984779298,3582,15
9,858.8,0.0,0.8384598027595354,foot,car,86.02701443875175,3582,15
10,,,,foot,car,,285,15
11,504.7,0.0,1.4654121248394807,transit,car,76.22349910838122,1704,15
12,1119.3,0.0,0.3904776250667963,foot,car,83.91852050388636,501,15
13,1148.1,0.0,0.1921217865364965,foot,car,84.32192317742359,501,15
14,1123.6,0.0,0.7263338125583786,foot,car,83.98006407974368,501,15
15,761.9,0.0,1.2545455202940938,transit,car,84.24990156188477,1704,15
16,787.0,0.0,1.266551996661447,transit,car,77.12833545108006,501,15
17,923.4,0.0,1.3268132966801982,transit,car,87.00454840805718,1704,15
18,507.4,0.0,1.269990104067242,transit,car,76.3500197083169,1704,15
19,1097.5,0.0,1.0738960630427663,foot,car,83.5990888382688,501,15
20,1601.7,0.0,0.83139923356332,foot,car,92.50796029218957,1582,15
21,1321.9,0.0,0.6693716556247084,foot,car,90.92215750056737,3582,15
22,609.3,0.0,1.3011969182708716,transit,car,80.30526834071885,1704,15
23,583.7,0.0,1.2491181227681338,transit,car,69.16224087716292,501,15
24,662.5,0.0,1.1555548626759558,transit,car,72.83018867924528,501,15
25,670.0,0.0,0.8698691477328588,foot,car,73.13432835820895,501,15
26,1276.7,0.0,1.2107895752427271,transit,car,90.600767603979,988,15
27,1621.4,0.0,0.4166272132626324,foot,car,92.59898852843224,511,15
28,,,,foot,car,,1002,15
29,,,,foot,car,,1042,15
30,709.0,0.0,0.8337733672208143,foot,car,83.07475317348378,1704,15
31,1021.1,0.0,0.4793558141518296,foot,car,88.24796787777888,511,15
32,680.8,0.0,0.8360497113921084,foot,car,73.56051703877792,501,15
33,2176.0,0.0,0.8268505618663972,foot,car,94.48529411764709,1582,15
34,1513.5,0.0,0.6998907203305034,foot,car,92.0713577799802,3582,15
35,1829.6,0.0,0.7045298241866323,foot,car,93.44118933100133,1582,15
36,803.4,0.0,0.5833650459248015,foot,car,77.59522031366691,501,15
37,,,,foot,car,,285,15
38,,,,foot,car,,1002,15
39,1202.8,0.0,0.6929781828950656,foot,car,90.0232790156302,1704,15
40,1004.9,0.0,0.8769126340950643,foot,car,88.05851328490398,3582,15
41,1344.0,0.0,0.590372961384158,foot,car,91.07142857142856,3582,15
42,601.9,0.0,1.2728296786952638,transit,car,70.09470011629838,501,15
43,1352.2,0.0,0.63531042290599,foot,car,91.12557314006804,3582,15
44,738.6,0.0,0.7088713080238233,foot,car,75.62956945572704,501,15
45,,,,foot,car,,285,15
46,1966.9,0.0,0.2846198672297401,foot,car,78.64660125069908,511,15
47,654.9,0.0,1.3579869421581432,transit,car,72.51488776912505,501,15
48,1286.2,0.0,0.0882155566668431,foot,car,90.67019126107914,511,15
49,,,,foot,car,,1064,15
50,870.8,0.0,1.1812448953087449,transit,car,86.21956821313735,1704,15
51,654.9,0.0,1.3579869421581432,transit,car,72.51488776912505,501,15
52,935.3,0.0,1.05167011357438,transit,car,80.75483801988666,501,15
53,789.2,0.0,1.053156568823907,transit,car,84.79472883933096,501,15
54,1271.2,0.0,0.6063676260343381,foot,car,90.56010069225928,3582,15
55,807.8,0.0,1.0132436202829405,foot,car,77.71725674671949,1704,15
56,984.6,0.0,0.3390249929306619,foot,car,81.71846435100548,501,15
57,703.1,0.0,0.9071925899159524,foot,car,74.39908974541316,501,15
58,1167.4,0.0,0.7607242675552567,foot,car,89.72074695905431,501,15
59,961.8,0.0,1.156249912740562,transit,car,87.52339363693075,1704,15
60,1709.2,0.0,1.0547817760281446,transit,car,92.97917154224196,285,15
61,504.7,0.0,1.4654121248394807,transit,car,76.22349910838122,1704,15
62,,,,foot,car,,2518,15
63,925.7,0.0,0.4490924184074773,foot,car,80.5552554823377,501,15
64,1342.5,0.0,0.6713524364616168,foot,car,91.06145251396649,3582,15
65,616.4,0.0,1.306251743136034,transit,car,80.53212199870214,3582,15
66,1004.9,0.0,0.8769126340950643,foot,car,88.05851328490398,3582,15
67,1327.6,0.0,0.1206126176944603,foot,car,90.9611328713468,511,15
68,2236.1,0.0,0.158357157478256,foot,car,81.21729797415142,511,15
69,,,,foot,car,,285,15
70,1353.6,0.0,0.5805005906068179,foot,car,91.13475177304964,3582,15
71,,,,foot,car,,285,15
72,1327.6,0.0,0.1206126176944603,foot,car,90.9611328713468,511,15
73,1124.3,0.0,1.0766356211626746,foot,car,83.99003824601975,591,15
74,1271.9,0.0,0.5911779437115608,foot,car,90.56529601383755,3582,15
75,1923.1,0.0,0.3143993497082021,foot,car,93.76007487910144,511,15
76,601.4,0.0,1.298060215249125,transit,car,80.04655803126039,1704,15
77,1408.6,0.0,0.6859981406316553,foot,car,91.48090302427944,3582,15
78,,,,foot,car,,285,15
79,848.2,0.0,1.1504323514378312,transit,car,85.85239330346616,1704,15
80,1097.5,0.0,1.0738960630427663,foot,car,83.5990888382688,501,15
81,1394.8,0.0,0.6110491771514178,foot,car,91.39661600229424,3582,15
82,1971.5,0.0,0.980332990369382,foot,car,93.91326401217349,285,15
83,738.9,0.0,0.883395393028442,foot,car,75.6394640682095,501,15
84,1639.4,0.0,0.8082230442044392,foot,car,92.68024887153835,3582,15
85,,,,foot,car,,285,15
86,590.6,0.0,1.289375323893747,transit,car,69.52251947172365,501,15
87,554.5,0.0,1.3970999227297596,transit,car,78.35888187556357,1704,15
88,710.3,0.0,1.2343773516499217,transit,car,83.10572997325073,3582,15
89,1312.0,0.0,0.7172194436577369,foot,car,90.85365853658536,501,15
90,743.2,0.0,1.2759271984933698,transit,car,83.85360602798708,1704,15
91,863.8,0.0,0.6536738397865409,foot,car,86.10789534614494,501,15
92,1258.9,0.0,0.6034599647917966,foot,car,90.4678687743268,3582,15
