,total duration,total changes,speed,fastest mode,fastest overall mode,walk share,population,departure time
0,510.0,0,2.6350498530582893,transit,car,29.41176470588235,4433,15
1,1328.5,0,0.8360088157550191,foot,car,72.90176891230712,1151,15
2,328.8,0,1.0761869312484322,transit,car,81.75182481751825,4433,15
3,172.8,0,2.784124941972814,transit,car,65.27777777777777,4433,15
4,285.9,0,1.1539394401203515,foot,car,58.02728226652677,4433,15
5,1300.7,0,0.8815911422086072,foot,car,72.32259552548628,1151,15
6,486.9,0,2.353598768925276,transit,car,75.35428219346889,396,15
7,1351.2,0,0.8322869572436197,foot,car,73.35701598579041,1151,15
8,1502.0,0,1.6481898551516243,transit,car,24.101198402130496,1384,15
9,1620.6,0,1.2616224824696898,transit,car,29.655683080340616,1384,15
10,378.5,0,2.555307514375518,transit,car,20.73976221928666,4433,15
11,583.6,0,1.4893022325047505,transit,car,69.15695681973955,4433,15
12,336.8,0,2.169746215762799,transit,car,82.1852731591449,4433,15
13,1060.7,0,1.059545898575103,foot,car,20.80701423588196,4293,15
14,921.6,0,1.1509941712599223,transit,car,86.97916666666667,396,15
15,1123.8,0,0.5602485722603586,foot,car,30.592632140950347,4433,15
16,343.1,0,2.160250512502784,transit,car,82.51238705916643,4433,15
17,1286.1,0,0.8986832815110114,foot,car,34.68626078843014,4293,15
18,488.8,0,1.1647892300426854,transit,car,75.45008183306055,1039,15
19,1457.8,0,1.6426521876202866,transit,car,21.799972561393883,1384,15
20,667.6,0,2.7407548138875275,transit,car,73.03774715398443,1987,15
21,1268.6,0,0.948669729504036,foot,car,33.78527510641653,4293,15
22,861.3,0,0.986987341882582,foot,car,93.03378613723442,4433,15
23,535.8,0,1.96981648901658,transit,car,66.40537513997761,4433,15
24,1371.8,0,0.7781825145918543,foot,car,38.766584050153085,4433,15
25,512.8,0,2.2347255081702757,transit,car,76.5990639625585,396,15
26,785.6,0,0.7869411694776389,foot,car,84.72505091649694,3602,15
27,1061.4,0,1.061734535079044,foot,car,83.04126625211983,1151,15
28,1124.0,0,0.5226855753952181,foot,car,30.60498220640569,4433,15
29,1192.3,1,0.7392895768528714,foot,car,19.483351505493587,4433,15
30,1274.7,0,0.8850355242729573,foot,car,34.10214168039539,4293,15
31,1138.5,0,0.4984995979471054,foot,car,94.72990777338605,1039,15
32,921.0,0,0.7625693312553277,foot,car,28.338762214983717,4433,15
33,1104.0,0,0.8957955562680608,foot,car,34.78260869565217,4433,15
34,742.9,0,2.622695683526341,transit,car,75.77062861757977,1705,15
35,520.0,0,2.3719935486450643,transit,car,76.92307692307693,396,15
36,496.9,0,0.4384964330153794,foot,car,75.85027168444356,4433,15
37,999.4,0,0.9897482292921816,foot,car,69.98198919351611,1151,15
38,360.7,0,0.9335221074056828,foot,car,66.73135569725534,1039,15
39,354.3,0,1.086054931227695,foot,car,66.13039796782387,4433,15
40,726.9,0,1.0053247014292348,foot,car,91.7457697069748,4433,15
41,1315.3,0,0.7850995504738627,foot,car,36.13624268227781,4433,15
42,1019.3,0,1.0896082720794102,foot,car,94.11360737761208,1151,15
43,1325.8,0,0.7547378228355623,foot,car,77.37215266254337,1151,15
44,1369.4,1,0.4798840459833068,foot,car,29.89630495107346,4433,15
45,1104.0,0,0.8957955562680608,foot,car,34.78260869565217,4433,15
46,798.8,0,1.0548086598019564,foot,car,92.48873309964948,4433,15
47,975.4,0,1.0669367884366658,foot,car,93.84867746565511,1151,15
48,752.0,0,1.0549243122442962,foot,car,92.02127659574468,4433,15
49,886.8,0,0.555695234397798,foot,car,25.57510148849797,4433,15
50,747.4,0,1.0018451723669193,foot,car,91.97217018999196,4433,15
51,1264.9,0,0.8106515551620058,foot,car,33.59158826784726,4433,15
52,389.3,0,2.070502345170956,transit,car,84.58772155150268,4433,15
53,690.7,0,1.8384034440669823,transit,car,47.8789633704937,1151,15
54,1338.7,0,0.9093949413022684,foot,car,37.25255845222978,4293,15
55,535.3,0,1.9938025297071755,transit,car,66.37399589015506,4433,15
56,1138.5,0,0.4984995979471054,foot,car,94.72990777338605,1039,15
57,444.1,0,3.7979768124069184,transit,car,59.46858815582077,1987,15
58,631.5,0,1.9138421357333808,transit,car,80.99762470308788,396,15
59,867.9,0,1.5396428535826836,transit,car,65.43380573798825,1987,15
60,1210.6,0,0.8815430705719998,foot,car,30.61291921361309,4293,15
61,1018.8,0,0.7261467539421512,foot,car,94.11071849234392,4433,15
62,994.9,0,0.9318353158716832,foot,car,69.84621570007037,1151,15
63,639.8,0,1.8805697828386716,transit,car,81.24413879337293,396,15
64,1789.6,0,1.4029397559942614,transit,car,36.29861421546715,1384,15
65,1016.7,0,0.9387442679864804,foot,car,70.49277072882856,1151,15
66,391.1,0,2.093202605738892,transit,car,84.65865507542827,4433,15
67,1091.6,0,0.7560241797914558,foot,car,94.50348112861856,4433,15
68,233.8,0,1.028292248278647,foot,car,48.67408041060735,1039,15
69,1325.0,0,0.9901591899243978,foot,car,23.0188679245283,3723,15
70,1709.3,0,1.6413194375755538,transit,car,33.30603170888668,985,15
71,1266.4,0,0.8874449894335215,foot,car,33.67024636765634,4293,15
72,451.2,0,1.887393249133624,transit,car,86.70212765957447,4433,15
73,514.3,0,1.1439873605495925,transit,car,76.66731479681121,1039,15
74,544.7,0,1.983194238825946,transit,car,66.95428676335597,4433,15
75,1019.3,0,1.0896082720794102,foot,car,94.11360737761208,1151,15
76,827.9,0,0.6844728424807252,foot,car,20.28022708056528,4433,15
77,535.8,0,1.96981648901658,transit,car,66.40537513997761,4433,15
78,1088.2,0,0.6295371862084713,foot,car,94.48630766403237,1039,15
79,945.2,0,1.146377185852223,foot,car,80.95641134151502,1151,15
80,703.0,0,1.5573264775075544,transit,car,74.3954480796586,4433,15
81,1220.2,0,0.8632152860196666,foot,car,31.15882642189805,4293,15
82,783.5,0,1.1543004778387664,foot,car,77.02616464582003,1151,15
83,2084.2,0,1.2694510294520875,foot,car,51.06035889070147,1705,15
84,442.1,0,1.8415613218982676,transit,car,86.42840986202215,4433,15
85,264.6,0,0.7379437895294197,foot,car,54.64852607709751,1039,15
86,1134.0,0,0.6362641261423313,foot,car,36.507936507936506,4293,15
87,1057.1,0,0.54619308167442,foot,car,26.21322486046732,4433,15
88,562.9,0,0.8546754129914768,foot,car,89.340913128442,4433,15
89,1025.7,0,0.6643209443567154,foot,car,94.15033635565956,4433,15
90,1216.8,0,0.8605549356490073,foot,car,30.96646942800789,4293,15
91,626.0,0,2.971075284759172,transit,car,71.24600638977635,1987,15
92,655.5,0,2.089377823134228,transit,car,81.6933638443936,396,15
93,1000.6,0,1.0357444291830944,foot,car,94.00359784129522,1151,15
94,1263.8,0,0.9257928550174938,foot,car,33.5337869916126,4293,15
95,983.2,0,1.1662790873380142,foot,car,81.69243287225385,1151,15
96,862.5,0,0.5857431185910238,foot,car,86.08695652173913,1039,15
97,451.2,0,1.887393249133624,transit,car,86.70212765957447,4433,15
98,599.4,0,1.846285891385529,transit,car,69.96996996996997,4433,15
99,1847.6,0,1.6176600143977378,transit,car,38.29833297250487,985,15
100,821.4,0,1.6904636642348656,transit,car,63.47699050401753,2733,15
101,1337.8,0,0.9939515913011524,foot,car,23.7554193451936,3723,15
102,2153.6,0,1.2718394547279532,foot,car,52.637444279346205,1705,15
103,1847.6,0,1.6176600143977378,transit,car,38.29833297250487,985,15
0,510.0,0,2.6350498530582893,transit,car,29.41176470588235,4433,18
1,1328.5,0,0.8360088157550191,foot,car,72.90176891230712,1151,18
2,347.0,0,1.019741391914941,foot,car,65.4178674351585,4433,18
3,361.2,0,1.331940171575034,transit,car,50.16611295681063,4433,18
4,285.9,0,1.1539394401203515,foot,car,58.02728226652677,4433,18
5,1300.7,0,0.8815911422086072,foot,car,72.32259552548628,1151,18
6,486.9,0,2.353598768925276,transit,car,75.35428219346889,396,18
7,1351.2,0,0.8322869572436197,foot,car,73.35701598579041,1151,18
8,1502.0,0,1.6481898551516243,transit,car,24.101198402130496,1384,18
9,1620.6,0,1.2616224824696898,transit,car,29.655683080340616,1384,18
10,378.5,0,2.555307514375518,transit,car,20.73976221928666,4433,18
11,583.6,0,1.4893022325047505,transit,car,69.15695681973955,4433,18
12,455.4,0,1.6046783607134625,transit,car,60.47430830039526,4433,18
13,1060.7,0,1.059545898575103,foot,car,20.80701423588196,4293,18
14,921.6,0,1.1509941712599223,transit,car,86.97916666666667,396,18
15,1123.8,0,0.5602485722603586,foot,car,30.592632140950347,4433,18
16,461.8,0,1.6049847354692617,transit,car,61.0220874837592,4433,18
17,1286.1,0,0.8986832815110114,foot,car,34.68626078843014,4293,18
18,488.8,0,1.1647892300426854,transit,car,75.45008183306055,1039,18
19,1457.8,0,1.6426521876202866,transit,car,21.799972561393883,1384,18
20,667.6,0,2.7407548138875275,transit,car,73.03774715398443,1987,18
21,1268.6,0,0.948669729504036,foot,car,33.78527510641653,4293,18
22,796.4,0,1.0674186307929028,foot,car,84.93219487694627,4433,18
23,535.8,0,1.96981648901658,transit,car,66.40537513997761,4433,18
24,1371.8,0,0.7781825145918543,foot,car,38.766584050153085,4433,18
25,512.8,0,2.2347255081702757,transit,car,76.5990639625585,396,18
26,785.6,0,0.7869411694776389,foot,car,84.72505091649694,3602,18
27,1061.4,0,1.061734535079044,foot,car,83.04126625211983,1151,18
28,1124.0,0,0.5226855753952181,foot,car,30.60498220640569,4433,18
29,1416.5,0,0.6222767119531794,foot,car,40.69890575361807,4433,18
30,1274.7,0,0.8850355242729573,foot,car,34.10214168039539,4293,18
31,1167.7,0,0.4860339061940391,foot,car,84.58508178470497,1039,18
32,689.8,0,1.0181593999509375,foot,car,82.60365323282113,4433,18
33,1104.0,0,0.8957955562680608,foot,car,34.78260869565217,4433,18
34,742.9,0,2.622695683526341,transit,car,75.77062861757977,1705,18
35,520.0,0,2.3719935486450643,transit,car,76.92307692307693,396,18
36,496.9,0,0.4384964330153794,foot,car,75.85027168444356,4433,18
37,999.4,0,0.9897482292921816,foot,car,69.98198919351611,1151,18
38,360.7,0,0.9335221074056828,foot,car,66.73135569725534,1039,18
39,354.3,0,1.086054931227695,foot,car,66.13039796782387,4433,18
40,672.6,0,1.0864860622493469,foot,car,73.23818019625334,4433,18
41,1315.3,0,0.7850995504738627,foot,car,36.13624268227781,4433,18
42,965.0,0,1.15091990852906,foot,car,81.34715025906735,1151,18
43,1325.8,0,0.7547378228355623,foot,car,77.37215266254337,1151,18
44,1528.2,0,0.4300178069425078,foot,car,45.03337259521005,4433,18
45,1104.0,0,0.8957955562680608,foot,car,34.78260869565217,4433,18
46,744.5,0,1.131740977098459,foot,car,75.82269979852249,4433,18
47,921.1,0,1.1298340499849353,foot,car,80.45814786668113,1151,18
48,697.7,0,1.1370260610688128,foot,car,74.2009459653146,4433,18
49,566.6,0,0.869732675368809,foot,car,78.8210377691493,4433,18
50,693.2,0,1.0801775560113034,foot,car,74.0334679746105,4433,18
51,1264.9,0,0.8106515551620058,foot,car,33.59158826784726,4433,18
52,725.1,0,1.1116350337540384,foot,car,75.17583781547371,4433,18
53,690.7,0,1.8384034440669823,transit,car,47.8789633704937,1151,18
54,1338.7,0,0.9093949413022684,foot,car,37.25255845222978,4293,18
55,535.3,0,1.9938025297071755,transit,car,66.37399589015506,4433,18
56,1167.7,0,0.4860339061940391,foot,car,84.58508178470497,1039,18
