,total duration,total changes,speed,fastest mode,fastest overall mode,walk share,population,departure time
0,614.5,1.0,3.114512742484697,transit,car,31.65174938974776,4870.0,15
1,1193.9,0.0,2.3644524587182096,transit,car,49.74453471815061,4733.0,15
2,783.5,0.0,3.1144888309018426,transit,car,46.394384173580086,9445.0,15
3,712.9,0.0,0.3515315495784242,foot,car,83.16734464861831,620.0,15
4,490.5,0.0,4.245788288749988,transit,car,38.83792048929664,652.0,15
5,1552.2,1.0,1.924225041750094,transit,car,18.82489369926556,2810.0,15
6,1426.5,1.0,3.5958390305322414,transit,car,20.084121976866456,6446.0,15
7,1295.9,1.0,2.4989642613926764,transit,car,39.81017053785013,2330.0,15
8,1071.1,0.0,4.303863112027667,transit,car,4.770796377555785,9445.0,15
9,1772.8,1.0,2.722253290179556,transit,car,8.619133574007222,4733.0,15
10,387.1,0.0,3.8636593379992674,transit,transit,38.00051666236114,7474.0,15
11,1036.5,0.0,3.003471987072152,transit,car,36.32416787264834,1035.0,15
12,299.0,0.0,5.318489946953077,transit,transit,39.79933110367893,10733.0,15
13,1360.7,1.0,1.864977622013808,transit,car,16.21959285661792,620.0,15
14,1235.0,1.0,3.768242180109421,transit,car,17.408906882591094,2701.0,15
15,1104.4,1.0,2.577747802371869,transit,car,40.23904382470119,829.0,15
16,811.3,0.0,3.6858942403199766,transit,car,26.04461974608653,7255.0,15
17,1213.0,1.0,2.354121333323282,transit,car,25.8037922506183,4870.0,15
18,486.2,0.0,1.414333228958883,transit,car,87.65939942410532,1520.0,15
19,1556.7,1.0,1.6422264161590805,transit,car,34.4767777991906,7474.0,15
20,1321.0,0.0,2.679839112730638,transit,car,50.03785011355034,3156.0,15
21,1540.6,1.0,2.846092948127935,transit,car,33.792029079579386,6446.0,15
22,1114.9,1.0,2.42842540563312,transit,car,46.18351421652166,4733.0,15
23,1271.9,0.0,1.091883897448992,transit,car,81.13059202767514,10733.0,15
24,554.3,0.0,3.2870236027789703,transit,car,67.52661013891395,570.0,15
25,995.7,0.0,1.731256864025612,transit,car,87.94817716179573,829.0,15
26,769.1,0.0,2.121326938974146,transit,car,53.19204264725003,2751.0,15
27,1478.5,1.0,1.410219345537313,transit,car,43.18566114305039,482.0,15
28,724.9,1.0,3.082836316760188,transit,car,25.50696647813492,3156.0,15
29,1300.4,1.0,2.501214835055186,transit,car,30.79052599200246,6446.0,15
30,1840.9,2.0,1.5842222941309894,transit,car,15.258840784398933,2751.0,15
31,857.9,0.0,0.671897003576318,transit,car,93.00617787620936,570.0,15
32,1341.5,0.0,3.748061884602345,transit,car,23.9657100260902,1001.0,15
33,2043.2,1.0,2.5576659712841616,transit,car,20.71260767423649,620.0,15
34,657.5,0.0,2.8580238696468085,transit,car,63.49809885931559,3715.0,15
35,1306.9,0.0,2.686847538425148,transit,car,49.498813987298185,3324.0,15
36,513.9,0.0,3.758486872155005,transit,car,53.29830706363106,570.0,15
37,1575.6,1.0,1.855578845890048,transit,car,23.83853769992384,2701.0,15
38,1449.9,1.0,3.358509873332754,transit,car,25.512104283054,129.0,15
39,1319.3,1.0,2.2161678354521053,transit,car,45.42560448722807,7474.0,15
40,384.5,0.0,4.18291686403345,transit,transit,21.976592977893368,129.0,15
41,934.1,1.0,2.1435120412474125,transit,car,42.19034364629055,3156.0,15
42,900.5,1.0,1.8854016560363804,transit,car,20.044419766796224,10555.0,15
43,1012.8,0.0,1.3126370864841446,transit,car,88.1516587677725,570.0,15
44,939.9,0.0,3.595690378825262,transit,car,42.54707947654006,7474.0,15
45,861.6,0.0,2.693312524718184,transit,car,58.21727019498608,1242.0,15
46,2115.9,1.0,2.4793041514338667,transit,car,23.436835389196087,574.0,15
47,1925.3,1.0,2.776301744258124,transit,car,37.67205110891809,829.0,15
48,644.2,0.0,1.3917913083447495,transit,car,62.74448928904068,829.0,15
49,1405.9,1.0,1.4482435709583068,transit,car,35.98406714560068,2701.0,15
50,1280.2,1.0,2.938372080211922,transit,car,39.07201999687549,570.0,15
51,1209.6,1.0,1.6859643962899398,transit,car,60.31746031746032,10555.0,15
52,738.0,0.0,2.306175922940509,transit,car,75.60975609756098,4733.0,15
53,1779.6,1.0,1.3667763345817292,transit,car,46.05529332434254,620.0,15
54,1674.0,1.0,2.9432056773966533,transit,car,39.06810035842294,2751.0,15
55,1543.4,1.0,2.1298091712810123,transit,car,57.23726836853699,9445.0,15
56,402.3,0.0,3.330155789477678,transit,car,40.34302759134973,1677.0,15
57,324.0,0.0,1.1502087559937355,transit,car,81.48148148148148,8908.0,15
58,1838.6,1.0,1.6586606246619215,transit,car,37.9963015337757,1520.0,15
59,1207.7,1.0,2.448587849512059,transit,car,40.38254533410616,3156.0,15
60,361.4,0.0,1.467055424540258,transit,car,83.39789706696183,620.0,15
61,1052.7,0.0,1.571450724681096,transit,car,82.90111142775719,3156.0,15
62,1417.4,0.0,2.5476353730105563,transit,car,28.03725130520672,3715.0,15
63,1346.8,0.0,1.5757390477316533,transit,car,46.53994653994654,10555.0,15
64,2340.7,1.0,1.9312188535053447,transit,car,30.78993463493827,4870.0,15
65,2444.1,1.0,2.200559634984875,transit,car,58.26684669203387,10555.0,15
66,2427.6,1.0,1.409501693706203,transit,car,75.28423133959465,6446.0,15
67,1625.2,0.0,1.4617475517592946,transit,car,85.23258675855278,3156.0,15
68,811.2,0.0,3.211824217854183,transit,car,33.43195266272189,2701.0,15
69,1212.9,1.0,2.8479260625970286,transit,car,30.74449666089537,10733.0,15
70,787.2,1.0,2.959825953614551,transit,car,46.64634146341463,4733.0,15
71,944.2,0.0,0.4804394968407891,foot,car,93.64541410718068,2911.0,15
72,656.2,0.0,3.0952728707930453,transit,car,54.282231027125874,1001.0,15
73,1145.8,1.0,1.9477448088318807,transit,car,37.16180834351545,2810.0,15
74,630.8,0.0,1.9803770518838968,transit,car,80.97653772986683,1158.0,15
75,1103.0,0.0,1.457471084348447,transit,car,78.24116047144152,9445.0,15
76,961.8,0.0,1.555353055351714,transit,car,68.80848409232688,570.0,15
77,1067.4,1.0,1.8320635564996408,transit,car,49.40978077571669,2751.0,15
78,1396.0,1.0,1.3084845939588683,transit,car,48.42406876790831,2911.0,15
79,1516.4,0.0,0.8379832011613805,foot,car,92.08652070693748,2751.0,15
80,624.1,0.0,0.1351837659847589,foot,car,90.3861560647332,56.0,15
81,845.8,0.0,1.4507135551467147,transit,car,78.71837313785765,570.0,15
82,1500.1,0.0,2.2327440827320566,transit,car,44.00373308446104,10555.0,15
83,1309.5,0.0,1.6551598493741877,transit,car,67.92668957617411,7474.0,15
84,365.6,0.0,3.419656281844224,transit,car,50.76586433260393,2123.0,15
85,707.3,0.0,2.326871098674138,transit,car,40.61925632687686,4466.0,15
86,1142.7,1.0,1.7777993673064052,transit,car,26.489892360199526,6446.0,15
87,811.0,0.0,1.8597506392116707,transit,car,63.00863131935881,620.0,15
88,1279.5,0.0,1.559970372603328,transit,car,76.55334114888629,8908.0,15
89,2002.8,1.0,1.4790108450454695,transit,car,37.08807669263032,6446.0,15
90,2326.5,1.0,2.1351461158331344,transit,car,50.999355254674406,3324.0,15
91,1809.8,1.0,1.6761299561695746,transit,car,56.90131506243785,2911.0,15
92,784.9,0.0,1.2368957056413703,transit,car,69.42285641482991,3156.0,15
93,1546.6,1.0,1.3486900504822452,transit,car,41.80783654467864,3715.0,15
94,1420.9,1.0,2.736382128721867,transit,car,45.10521500457457,829.0,15
95,1350.3,1.0,1.5944700415705664,transit,car,64.45234392357254,1355.0,15
96,1966.4,0.0,2.0991915134212724,transit,car,66.43612693246541,3715.0,15
97,1906.1,1.0,2.6454157294498337,transit,car,46.487592466292426,9445.0,15
98,1889.6,1.0,1.8005213871006966,transit,car,68.24724809483489,620.0,15
99,1087.2,0.0,1.8546065794664683,transit,car,77.92494481236204,620.0,15
100,495.5,0.0,0.5602968598238691,foot,car,87.89101917255297,1242.0,15
101,814.9,0.0,1.7466865999359396,transit,car,77.91140017180022,0.0,15
102,1679.6,0.0,2.047091225555363,transit,car,49.988092402953086,0.0,15
103,1489.0,0.0,1.4163195216436295,transit,car,71.79314976494291,3.0,15
104,1553.6,0.0,2.9221265281402307,transit,car,53.65602471678682,,15
105,1955.3,1.0,2.1834077067691533,transit,car,47.83409195519869,,15
106,1961.9,0.0,0.8046952831747227,foot,car,96.94174014985474,,15
107,2299.0,1.0,1.7041877504581593,transit,car,50.41322314049587,,15
108,634.0,0.0,2.662306669783805,transit,car,71.60883280757098,,15
109,426.0,0.0,1.316033614349032,transit,car,85.91549295774648,,15
110,1810.0,1.0,2.068893748214411,transit,car,30.386740331491712,,15
111,1489.7,1.0,2.4058076096369416,transit,car,39.58515137275962,,15
112,380.7,0.0,2.042908341708154,transit,car,84.23955870764382,,15
113,761.6,0.0,1.6502749050630436,transit,car,84.24369747899159,,15
114,1136.7,0.0,2.2063315877371026,transit,car,36.65874901029295,,15
115,946.1,0.0,1.8748364054568925,transit,car,68.29087834266991,,15
116,597.9,0.0,2.611723275128829,transit,car,69.89463120923232,,15
117,939.6,0.0,1.938051503541157,transit,car,55.30012771392082,,15
118,1412.1,0.0,1.217562795594396,transit,car,49.01210962396432,,15
119,1043.3,0.0,1.500955173380593,transit,car,71.24508770248251,,15
120,1456.2,0.0,3.033124318090456,transit,car,50.55624227441286,,15
121,1857.9,1.0,2.242463440587765,transit,car,45.09930566768933,,15
122,1864.5,0.0,0.7734157025154621,foot,car,96.78197908286404,,15
123,2201.6,1.0,1.7173222669071082,transit,car,48.219476744186046,,15
124,1782.3,3.0,2.271541714252708,transit,car,42.7705773438815,,15
125,1727.9,1.0,2.849171284441593,transit,car,40.96880606516581,,15
126,1302.2,1.0,2.425893954673822,transit,car,53.924128398095526,,15
127,1171.6,0.0,1.6294184662583455,transit,car,79.5151928986002,,15
128,844.5,0.0,3.86976143832919,transit,car,14.742451154529308,,15
129,1366.2,1.0,3.2442705947318995,transit,car,16.55687307861221,,15
130,2161.9,2.0,2.151938091230241,transit,car,16.739904713446503,,15
131,749.9,0.0,3.09488827031823,transit,car,59.994665955460725,,15
132,812.6,0.0,1.7125454063454293,transit,car,70.46517351710558,,15
133,1874.3,1.0,1.1797520664030798,transit,car,35.97609774315744,,15
134,1748.6,1.0,2.6282970228329,transit,car,38.23630332837699,,15
135,1618.0,1.0,1.834061647324228,transit,car,55.50061804697157,,15
136,1030.1,0.0,3.7564169436652297,transit,car,24.279196194544223,,15
137,1731.8,1.0,2.3352277184042496,transit,car,20.314124032798247,,15
138,406.1,0.0,1.7698957114267684,transit,transit,85.2253139620783,,15
139,995.5,0.0,2.5853029889528747,transit,car,57.81014565544952,,15
140,1431.2,1.0,1.942274585044174,transit,car,49.69256567915037,,15
141,2012.9,1.0,1.887639557944537,transit,car,40.38451984698693,,15
142,2547.2,2.0,1.233818992091532,transit,car,31.68969849246232,,15
143,1276.6,0.0,0.735151624827145,foot,car,81.20006266645777,,15
144,1884.7,3.0,2.2239520900851075,transit,car,33.145858757361914,,15
