,total duration,total changes,speed,fastest mode,fastest overall mode,walk share,population,departure time
0,,,,foot,car,,931,15
1,,,,foot,car,,931,15
2,,,,foot,car,,49,15
3,,,,foot,car,,668,15
4,,,,foot,car,,299,15
5,,,,foot,car,,49,15
6,,,,foot,car,,49,15
7,,,,foot,car,,49,15
8,,,,foot,car,,22,15
9,,,,foot,car,,668,15
10,,,,foot,car,,931,15
11,,,,foot,car,,931,15
12,,,,foot,car,,984,15
13,,,,foot,car,,190,15
14,,,,foot,car,,2208,15
15,,,,foot,car,,42,15
16,,,,foot,car,,49,15
17,,,,foot,car,,931,15
18,,,,foot,car,,984,15
19,,,,foot,car,,1330,15
20,,,,foot,car,,22,15
21,,,,foot,car,,1330,15
22,,,,foot,car,,22,15
23,,,,foot,car,,49,15
24,,,,foot,car,,22,15
25,,,,foot,car,,70,15
26,,,,foot,car,,931,15
27,,,,foot,car,,931,15
28,,,,foot,car,,49,15
29,,,,foot,car,,200,15
30,,,,foot,car,,931,15
31,,,,foot,car,,70,15
32,,,,foot,car,,931,15
33,,,,foot,car,,49,15
34,,,,foot,car,,49,15
35,,,,foot,car,,931,15
36,,,,foot,car,,49,15
37,,,,foot,car,,984,15
38,,,,foot,car,,49,15
39,,,,foot,car,,984,15
40,,,,foot,car,,931,15
41,,,,foot,car,,49,15
42,,,,foot,car,,22,15
43,,,,foot,car,,0,15
44,,,,foot,car,,668,15
45,,,,foot,car,,22,15
46,,,,foot,car,,100,15
47,,,,foot,car,,931,15
48,,,,foot,car,,22,15
49,,,,foot,car,,984,15
50,,,,foot,car,,668,15
51,,,,foot,car,,931,15
52,,,,foot,car,,7,15
53,,,,foot,car,,931,15
54,,,,foot,car,,668,15
55,,,,foot,car,,931,15
56,,,,foot,car,,35,15
57,,,,foot,car,,49,15
58,,,,foot,car,,984,15
59,,,,foot,car,,931,15
60,,,,foot,car,,668,15
61,,,,foot,car,,7,15
62,,,,foot,car,,49,15
63,,,,foot,car,,22,15
64,,,,foot,car,,668,15
65,,,,foot,car,,931,15
66,,,,foot,car,,1330,15
67,,,,foot,car,,49,15
68,,,,foot,car,,2208,15
69,,,,foot,car,,931,15
70,,,,foot,car,,2208,15
71,,,,foot,car,,984,15
72,,,,foot,car,,931,15
73,,,,foot,car,,151,15
74,,,,foot,car,,67,15
75,,,,foot,car,,1330,15
76,,,,foot,car,,70,15
77,,,,foot,car,,668,15
78,,,,foot,car,,70,15
79,,,,foot,car,,931,15
80,,,,foot,car,,49,15
81,,,,foot,car,,668,15
82,,,,foot,car,,668,15
83,,,,foot,car,,931,15
84,,,,foot,car,,151,15
85,,,,foot,car,,931,15
86,,,,foot,car,,200,15
87,,,,foot,car,,984,15
88,,,,foot,car,,49,15
89,,,,foot,car,,22,15
90,,,,foot,car,,18,15
91,,,,foot,car,,70,15
92,,,,foot,car,,931,15
93,,,,foot,car,,35,15
94,,,,foot,car,,299,15
95,,,,foot,car,,931,15
96,,,,foot,car,,299,15
97,,,,foot,car,,668,15
98,,,,foot,car,,49,15
99,,,,foot,car,,70,15
100,,,,foot,car,,97,15
101,,,,foot,car,,97,15
102,,,,foot,car,,97,15
103,,,,foot,car,,97,15
0,,,,foot,car,,931,18
1,,,,foot,car,,931,18
2,,,,foot,car,,49,18
3,,,,foot,car,,668,18
4,,,,foot,car,,299,18
5,,,,foot,car,,49,18
6,,,,foot,car,,49,18
7,,,,foot,car,,49,18
8,,,,foot,car,,22,18
9,,,,foot,car,,668,18
10,,,,foot,car,,931,18
11,,,,foot,car,,931,18
12,,,,foot,car,,984,18
13,,,,foot,car,,190,18
14,,,,foot,car,,2208,18
15,,,,foot,car,,42,18
16,,,,foot,car,,49,18
17,,,,foot,car,,931,18
18,,,,foot,car,,984,18
19,,,,foot,car,,1330,18
20,,,,foot,car,,22,18
21,,,,foot,car,,1330,18
22,,,,foot,car,,22,18
23,,,,foot,car,,49,18
24,,,,foot,car,,22,18
25,,,,foot,car,,70,18
26,,,,foot,car,,931,18
27,,,,foot,car,,931,18
28,,,,foot,car,,49,18
29,,,,foot,car,,200,18
30,,,,foot,car,,931,18
31,,,,foot,car,,70,18
32,,,,foot,car,,931,18
33,,,,foot,car,,49,18
34,,,,foot,car,,49,18
35,,,,foot,car,,931,18
36,,,,foot,car,,49,18
37,,,,foot,car,,984,18
38,,,,foot,car,,49,18
39,,,,foot,car,,984,18
40,,,,foot,car,,931,18
41,,,,foot,car,,49,18
42,,,,foot,car,,22,18
43,,,,foot,car,,0,18
44,,,,foot,car,,668,18
45,,,,foot,car,,22,18
