,variable,dependent,correlation,p_value
0,15_total_duration,average duration,0.9344852853153349,4.209092477942583e-47
1,15_total_changes,average duration,0.6367693208620906,4.834222484061724e-13
2,18_total_duration,average duration,0.9587051548249818,5.805330286307631e-57
3,18_total_changes,average duration,0.5747026949186823,2.1806922262034959e-10
4,21_total_duration,average duration,0.9272608784379582,6.911937529196635e-45
5,21_total_changes,average duration,0.563273045372238,5.870828757838054e-10
6,car_duration,average duration,0.7401000422434293,4.1947867752842825e-19
7,foot_duration,average duration,0.7604071188268652,1.2065043119383146e-20
8,distance_start_centroid,average duration,0.7275472985024561,3.2031975427356514e-18
9,distance_start_cinema,average duration,0.7661289046341766,4.163228571317332e-21
10,15_speed,average duration,-0.14030890575521104,0.15747804611004457
11,18_speed,average duration,-0.18151819917446213,0.06650548725214293
12,21_speed,average duration,-0.16971429229805982,0.08655672014586138
13,average speed,average duration,-0.16681891043241215,0.0921453059219462
14,average duration difference to car,average duration,0.9975310291970443,2.493080277019865e-118
15,15_trip_duration,average duration,0.9466975291282375,1.7073407005156292e-51
16,15_transit_dur,average duration,0.7728436889554987,1.1483499148648432e-21
17,15_walk_share,average duration,-0.38184065360122477,6.895584068557292e-05
18,18_trip_duration,average duration,0.9403203400283183,4.382448178848147e-49
19,18_transit_dur,average duration,0.7983063144813978,5.646030482195869e-24
20,18_walk_share,average duration,-0.3278346960938835,0.0007235829080999825
21,21_trip_duration,average duration,0.933223879168052,1.0683517815259875e-46
22,21_transit_dur,average duration,0.8647632716781848,5.586936890584184e-32
23,21_walk_share,average duration,-0.3980385775978731,3.130540726891604e-05
24,average transit duration,average duration,0.8439689768430987,4.450423910626367e-29
25,population,average duration,0.4646742492830198,0.033812320232530106
26,population aggr,average duration,,
27,population density,average duration,,
28,built-up area,average duration,,
29,transit departures,average duration,,
30,transit stops,average duration,,
31,15 transit is reasonable,average duration,0.04322913848769563,0.6645961566775203
32,18 transit is reasonable,average duration,0.026936031170882578,0.7870959506880516
33,21 transit is reasonable,average duration,-0.14269724001200518,0.1504584082505634
34,average changes,average duration,0.6619774342190021,2.666474484020111e-14
35,area average changes,average duration,,
36,level_dummy,average duration,,
