,variable,dependent,correlation,p_value
0,15_total_duration,average duration,0.9653784647302218,2.420983658358726e-61
1,15_total_changes,average duration,0.48720961751937986,1.5640389353073024e-07
2,18_total_duration,average duration,0.8578348358421951,2.9750922551886056e-31
3,18_total_changes,average duration,0.4010829835371817,2.449644270908977e-05
4,21_total_duration,average duration,0.976689375288994,5.5555487403161604e-70
5,21_total_changes,average duration,0.439210841092254,3.097518258903713e-06
6,car_duration,average duration,0.5874290250754856,5.570101022007217e-11
7,foot_duration,average duration,0.6216719746788616,1.8880951146975313e-12
8,distance_start_centroid,average duration,0.5501259585811186,1.45652612136501e-09
9,distance_start_cinema,average duration,0.6589838186969361,2.8568795302176976e-14
10,15_speed,average duration,0.09337857626438108,0.3457673499089338
11,18_speed,average duration,0.032803219164071556,0.7409660536936845
12,21_speed,average duration,-0.07076002501909034,0.4753586855390782
13,average speed,average duration,0.03869177060269345,0.6965681347700995
14,average duration difference to car,average duration,0.997954294562524,1.2031196881705364e-123
15,15_trip_duration,average duration,0.7289668933766109,1.743888315755806e-18
16,15_transit_dur,average duration,0.7748269829565142,4.89693195320406e-22
17,15_walk_share,average duration,-0.19559632685692405,0.04660692350568846
18,18_trip_duration,average duration,0.7202420287050475,6.8592609870612066e-18
19,18_transit_dur,average duration,0.6018191652115595,1.4106646474098946e-11
20,18_walk_share,average duration,-0.07887776454237537,0.42607996488765904
21,21_trip_duration,average duration,0.6478582403075158,1.0592663428391052e-13
22,21_transit_dur,average duration,0.7934118525318651,1.0062583398887797e-23
23,21_walk_share,average duration,-0.19809602061360637,0.043821118936308946
24,average transit duration,average duration,0.8094117534495061,2.5441581255201293e-25
25,population,average duration,-0.18985807045227213,0.35290656672647713
26,population aggr,average duration,,
27,population density,average duration,,
28,built-up area,average duration,,
29,transit departures,average duration,,
30,transit stops,average duration,,
31,15 transit is reasonable,average duration,-0.02020505914386078,0.8386798770589116
32,18 transit is reasonable,average duration,-0.18236247889281423,0.06390650214407431
33,21 transit is reasonable,average duration,-0.26808547924881243,0.005933044880962246
34,average changes,average duration,0.5093513549382335,3.357050674704452e-08
35,area average changes,average duration,,
36,level_dummy,average duration,,
37,15_total_duration,average speed,0.04435238802065973,0.6548311595393054
38,15_total_changes,average speed,-0.06017031469038854,0.5440148332673989
39,18_total_duration,average speed,0.20984305423068106,0.03251769435202737
