,variable,dependent,correlation,p_value,,,,
0,15_total_duration,average duration,0.949959668194907,0,,average speed,-0.0391312700825753,0.255286887584648
1,15_total_changes,average duration,0.208272846495502,9.37522907696339E-10,,average speed,0.471474617798625,4.30544222796215E-48
2,18_total_duration,average duration,0.929392817199953,0,,average speed,-0.0205857762067836,0.549645169014737
3,18_total_changes,average duration,0.32635561662439,1.80427131120671E-22,,average speed,0.41195484466863,4.97006674486935E-36
4,21_total_duration,average duration,0.808522870516588,8.79438776949722E-197,,average speed,0.0176185036051235,0.608624082890804
5,21_total_changes,average duration,0.298103826585048,7.6283798044843E-19,,average speed,0.453302492714358,3.74627366796948E-44
6,car_duration,average duration,0.487494977130366,1.04201060821249E-51,,average speed,0.66304090406981,2.98577246835268E-108
7,foot_duration,average duration,0.545177720176204,9.5975885554557E-67,,average speed,0.708228562796704,6.59098464946462E-130
8,distance_start_centroid,average duration,0.302697042668731,2.08625262602874E-19,,average speed,0.274493742301008,4.16719302687918E-16
9,distance_start_cinema,average duration,0.550284608528111,3.24828895127403E-68,,average speed,0.713951120492452,6.23112699483908E-133
10,15_speed,average duration,-0.0474892106368382,0.167331516273843,,average speed,-0.0364822729752541,0.28889977796458
11,18_speed,average duration,-0.0643625362568601,0.0611602407026223,,average speed,0.979611488223146,0
12,21_speed,average duration,-0.00217399284779803,0.949625618617998,,average speed,0.971753962923039,0
13,average speed,average duration,-0.0364822729752541,0.28889977796458,,average speed,0.942077108838329,0
14,average duration difference to car,average duration,0.995776554070213,0,,average speed,-0.107026941898864,0.00182485144898605
15,15_trip_duration,average duration,0.792361151951296,1.4939218792206E-183,,average speed,0.332648090059459,2.48090281595439E-23
16,15_transit_dur,average duration,0.689341159876458,1.9945312248139E-120,,average speed,0.349206179674176,1.07058342715673E-25
17,15_walk_share,average duration,-0.188215063854105,3.40972250773126E-08,,average speed,-0.550542244840772,2.73397757130515E-68
18,18_trip_duration,average duration,0.788669741949834,1.07517939306471E-180,,average speed,0.323454519149422,4.43435187556726E-22
19,18_transit_dur,average duration,0.674060372407164,2.83674036803388E-113,,average speed,0.334087698647854,1.56542358969995E-23
20,18_walk_share,average duration,-0.160028001848364,2.85958544036399E-06,,average speed,-0.580556449801967,1.77962396133595E-77
21,21_trip_duration,average duration,0.720016582101732,3.20999864460743E-136,,average speed,0.402711479951675,2.30525349760032E-34
22,21_transit_dur,average duration,0.406429175881153,4.99797357083443E-35,,average speed,0.264910215989807,4.54751675492584E-15
23,21_walk_share,average duration,-0.0338373197860255,0.32531034774688,,average speed,-0.541732056619645,9.1225024553152E-66
24,average transit duration,average duration,0.663527056805625,1.37224569613533E-108,,average speed,0.335955909792124,8.58084375714196E-24
25,population,average duration,-0.201329628441676,8.23631119105141E-06,,average speed,0.199917990437825,9.55375327075937E-06
26,population aggr,average duration,-0.0311318258197943,0.365508265745992,,average speed,0.525140036920889,3.26645042747206E-61
27,population density,average duration,-0.119700976888269,0.000481029344707317,,average speed,0.414550584974434,1.65553871173102E-36
28,built-up area,average duration,0.00325177950466656,0.924713660003788,,average speed,0.411357667176758,6.3915477557906E-36
29,transit departures,average duration,-0.0370934220641764,0.280892530801405,,average speed,0.535953730108453,3.75748569110511E-64
30,transit stops,average duration,-0.0359541935940787,0.295941153148503,,average speed,0.524589526236679,4.5801754934625E-61
31,15 transit is reasonable,average duration,-0.118844274236173,0.000528383823014686,,average speed,0.73135379236866,1.32030035972764E-142
32,18 transit is reasonable,average duration,-0.108813232728418,0.00151619844936737,,average speed,0.729485911108948,1.56707318553234E-141
33,21 transit is reasonable,average duration,0.0555129090351126,0.106426385260697,,average speed,0.611499862773771,5.29291522775275E-88
34,level_dummy,average duration,0.00389939925127236,0.909778381194577,,average speed,0.525802517653642,2.17296442578003E-61
35,15_total_duration,average speed,-0.0391312700825753,0.255286887584648,,,,
36,15_total_changes,average speed,0.471474617798625,4.30544222796215E-48,,,,
37,18_total_duration,average speed,-0.0205857762067836,0.549645169014737,,,,
38,18_total_changes,average speed,0.41195484466863,4.97006674486935E-36,,,,
39,21_total_duration,average speed,0.0176185036051235,0.608624082890804,,,,
40,21_total_changes,average speed,0.453302492714358,3.74627366796948E-44,,,,
41,car_duration,average speed,0.66304090406981,2.98577246835268E-108,,,,
42,foot_duration,average speed,0.708228562796704,6.59098464946462E-130,,,,
43,distance_start_centroid,average speed,0.274493742301008,4.16719302687918E-16,,,,
44,distance_start_cinema,average speed,0.713951120492452,6.23112699483908E-133,,,,
45,average duration,average speed,-0.0364822729752541,0.28889977796458,,,,
46,15_speed,average speed,0.979611488223146,0,,,,
47,18_speed,average speed,0.971753962923039,0,,,,
48,21_speed,average speed,0.942077108838329,0,,,,
49,average duration difference to car,average speed,-0.107026941898864,0.00182485144898605,,,,
50,15_trip_duration,average speed,0.332648090059459,2.48090281595439E-23,,,,
51,15_transit_dur,average speed,0.349206179674176,1.07058342715673E-25,,,,
52,15_walk_share,average speed,-0.550542244840772,2.73397757130515E-68,,,,
53,18_trip_duration,average speed,0.323454519149422,4.43435187556726E-22,,,,
54,18_transit_dur,average speed,0.334087698647854,1.56542358969995E-23,,,,
55,18_walk_share,average speed,-0.580556449801967,1.77962396133595E-77,,,,
56,21_trip_duration,average speed,0.402711479951675,2.30525349760032E-34,,,,
57,21_transit_dur,average speed,0.264910215989807,4.54751675492584E-15,,,,
58,21_walk_share,average speed,-0.541732056619645,9.1225024553152E-66,,,,
59,average transit duration,average speed,0.335955909792124,8.58084375714196E-24,,,,
60,population,average speed,0.199917990437825,9.55375327075937E-06,,,,
61,population aggr,average speed,0.525140036920889,3.26645042747206E-61,,,,
62,population density,average speed,0.414550584974434,1.65553871173102E-36,,,,
63,built-up area,average speed,0.411357667176758,6.3915477557906E-36,,,,
64,transit departures,average speed,0.535953730108453,3.75748569110511E-64,,,,
65,transit stops,average speed,0.524589526236679,4.5801754934625E-61,,,,
66,15 transit is reasonable,average speed,0.73135379236866,1.32030035972764E-142,,,,
67,18 transit is reasonable,average speed,0.729485911108948,1.56707318553234E-141,,,,
68,21 transit is reasonable,average speed,0.611499862773771,5.29291522775275E-88,,,,
69,level_dummy,average speed,0.525802517653642,2.17296442578003E-61,,,,
