,cinema_name,15_total_route,15_total_duration,15_walk_to,15_walk_from,15_total_changes,18_total_route,18_total_duration,18_walk_to,18_walk_from,18_total_changes,21_total_route,21_total_duration,21_walk_to,21_walk_from,21_total_changes,car_duration,foot_duration,area,start_location,distance_start_centroid,distance_start_cinema,geometry,average duration,15_speed,18_speed,21_speed,average speed,average duration difference to car,15_fastest_mode,15_trip_duration,15_fastest_overall_mode,15_transit_dur,15_walk_share,18_fastest_mode,18_trip_duration,18_fastest_overall_mode,18_transit_dur,18_walk_share,21_fastest_mode,21_trip_duration,21_fastest_overall_mode,21_transit_dur,21_walk_share,average transit duration,average walk share,average changes,15_chosen_route,18_chosen_route,21_chosen_route,average_chosen_route,15_visit_time,15_likely_women,15_possible_women,18_visit_time,18_likely_women,18_possible_women,21_visit_time,21_likely_women,21_possible_women,average_visit_time,average_likely_women,dummy_women,average_possible_women,dummy_possible_women,15_likely_men,15_possible_men,18_likely_men,18_possible_men,21_likely_men,21_possible_men,average_likely_men,dummy_men,average_possible_men,15_likely_children 10-17,15_possible_children 10-17,18_likely_children 10-17,18_possible_children 10-17,21_likely_children 10-17,21_possible_children 10-17,average_likely_children 10-17,average_possible_children 10-17,15_likely_45-64,15_possible_45-64,18_likely_45-64,18_possible_45-64,21_likely_45-64,21_possible_45-64,average_likely_45-64,average_possible_45-64,15_likely_65 and over,15_possible_65 and over,18_likely_65 and over,18_possible_65 and over,21_likely_65 and over,21_possible_65 and over,average_likely_65 and over,average_possible_65 and over
0,Apollo Kino,Apollo Kino_AachenHbf_15.csv,1373.8,98,75.8,1,Apollo Kino_AachenHbf_18.csv,1373.8,98,75.8,1,Apollo Kino_AachenHbf_21.csv,2023.3,387.5,75.8,2,603.9,1731,Aachen,POINT (6.08836505650297 50.762223831835016),1659.15517492188,2158.34170725049,,4770.9,1.57107417910212,1.57107417910212,1.06674329424726,1.4029638841505,4167,transit,1373.8,car,1200,12.6510409084292,transit,1373.8,car,1200,12.6510409084292,foot,1731,car,1560,22.8982355557752,3960,16.0667724575445,4,1373.8,1373.8,1731,1492.86666666667,8147.6,no,yes,8147.6,no,yes,8862,no,yes,8385.73333333333,no,no,yes,1,no,yes,no,yes,no,yes,no,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes
1,Capitol,Capitol_AachenHbf_15.csv,1217.5,98,99.5,1,Capitol_AachenHbf_18.csv,1217.5,98,99.5,1,Capitol_AachenHbf_21.csv,917.5,98,99.5,0,483.1,1601.5,Aachen,POINT (6.08836505650297 50.762223831835016),1659.15517492188,1802.52402910841,,3352.5,1.4805125495757,1.4805125495757,1.96460384643968,1.64187631519703,2869.4,transit,1217.5,car,1020,16.2217659137577,transit,1217.5,car,1020,16.2217659137577,transit,917.5,car,720,21.5258855585831,2760,17.9898057953662,2,1217.5,1217.5,917.5,1117.5,7835,no,yes,7835,no,yes,7235,no,yes,7635,no,no,yes,1,no,yes,no,yes,no,yes,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes
2,,nan_AachenHbf_15.csv,870.7,98,172.7,0,nan_AachenHbf_18.csv,870.7,98,172.7,1,nan_AachenHbf_21.csv,750.7,98,172.7,0,378.7,975.9,Aachen,POINT (6.08836505650297 50.762223831835016),1659.15517492188,1235.61197281771,,2492.1,1.41910184083807,1.41910184083807,1.64594641377076,1.4947166984823,2113.4,transit,870.7,car,600,31.089927644424,transit,870.7,car,600,31.089927644424,transit,750.7,car,480,36.0596776342081,1680,32.746510974352,1,870.7,870.7,750.7,830.7,7141.4,no,yes,7141.4,no,yes,6901.4,no,yes,7061.4,no,no,yes,1,no,yes,no,yes,no,yes,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes
3,Cineplex Aachen,Cineplex Aachen_AachenHbf_15.csv,748,98,170,0,Cineplex Aachen_AachenHbf_18.csv,688,98,170,0,Cineplex Aachen_AachenHbf_21.csv,688,98,170,0,264.8,913.3,Aachen,POINT (6.08836505650297 50.762223831835016),1659.15517492188,1029.47770863264,,2124,1.37630709710246,1.49633387882651,1.49633387882651,1.45632495158516,1859.2,transit,748,car,480,35.8288770053476,transit,688,car,420,38.953488372093,transit,688,car,420,38.953488372093,1320,37.9119512498445,0,748,688,688,708,6896,no,yes,6776,yes,yes,6776,yes,yes,6816,yes,1,yes,1,no,yes,no,yes,no,yes,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes
4,Eden Palast,Eden Palast_AachenHbf_15.csv,922.6,98,224.6,0,Eden Palast_AachenHbf_18.csv,864.9,98,166.9,0,Eden Palast_AachenHbf_21.csv,802.6,98,224.6,0,256,798.6,Aachen,POINT (6.08836505650297 50.762223831835016),1659.15517492188,993.137262981488,,2590.1,1.07645486991273,1.14826831192217,1.2374000286338,1.15404107015624,2334.1,foot,798.6,car,600,34.9663993063083,foot,798.6,car,600,30.6278182448838,foot,798.6,car,480,40.1943683030152,1680,35.2628619514024,0,798.6,798.6,798.6,798.6,6997.2,no,yes,6997.2,no,yes,6997.2,no,yes,6997.2,no,no,yes,1,no,yes,no,yes,no,yes,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes
5,Apollo Kino,Apollo Kino_Rosenquellesw_15.csv,1000.4,444.6,75.8,1,Apollo Kino_Rosenquellesw_18.csv,1000.4,444.6,75.8,1,Apollo Kino_Rosenquellesw_21.csv,1017.4,521.6,75.8,0,510.1,1712,Aachen,POINT (6.1014451 50.770694450000015),1493.51027631707,1937.02271614757,,3018.2,1.93624821686083,1.93624821686083,1.90389494411988,1.92546379261384,2508.1,transit,1000.4,car,480,52.0191923230708,transit,1000.4,car,480,52.0191923230708,transit,1017.4,car,420,58.7183015529782,1380,54.2522287330399,2,1000.4,1000.4,1017.4,1006.06666666667,7400.8,no,yes,7400.8,no,yes,7434.8,no,yes,7412.13333333333,no,no,yes,1,no,yes,no,yes,no,yes,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes
6,Capitol,Capitol_Rosenquellesw_15.csv,904.1,444.6,99.5,2,Capitol_Rosenquellesw_18.csv,904.1,444.6,99.5,2,Capitol_Rosenquellesw_21.csv,810.7,171.2,99.5,0,401.3,1163.5,Aachen,POINT (6.1014451 50.770694450000015),1493.51027631707,1306.51574571919,,2618.9,1.44510092436588,1.44510092436588,1.61158967030861,1.50059717301345,2217.6,transit,904.1,car,360,60.1813958632895,transit,904.1,car,360,60.1813958632895,transit,810.7,car,540,33.39089675589,1260,51.2512294941563,4,904.1,904.1,810.7,872.966666666667,7208.2,no,yes,7208.2,no,yes,7021.4,no,yes,7145.93333333333,no,no,yes,1,no,yes,no,yes,no,yes,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes
7,,nan_Rosenquellesw_15.csv,763.9,171.2,172.7,0,nan_Rosenquellesw_18.csv,763.9,171.2,172.7,0,nan_Rosenquellesw_21.csv,643.9,171.2,172.7,0,374.5,1054.6,Aachen,POINT (6.1014451 50.770694450000015),1493.51027631707,1195.00507986102,,2171.7,1.56434753221759,1.56434753221759,1.85588613117102,1.66152706520207,1797.2,transit,763.9,car,420,45.0189815420867,transit,763.9,car,420,45.0189815420867,transit,643.9,car,300,53.4089144277062,1140,47.8156258372932,0,763.9,763.9,643.9,723.9,6927.8,no,yes,6927.8,no,yes,6687.8,yes,yes,6847.8,no,no,yes,1,no,yes,no,yes,no,yes,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes
8,Cineplex Aachen,Cineplex Aachen_Rosenquellesw_15.csv,761.2,171.2,170,0,Cineplex Aachen_Rosenquellesw_18.csv,761.2,171.2,170,0,Cineplex Aachen_Rosenquellesw_21.csv,641.2,171.2,170,0,303.7,955.7,Aachen,POINT (6.1014451 50.770694450000015),1493.51027631707,1019.67805669911,,2163.6,1.33956654847492,1.33956654847492,1.59026521631177,1.42313277108721,1859.9,transit,761.2,car,420,44.8239621650026,transit,761.2,car,420,44.8239621650026,transit,641.2,car,300,53.2127261384903,1140,47.6202168228319,0,761.2,761.2,641.2,721.2,6922.4,no,yes,6922.4,no,yes,6682.4,yes,yes,6842.4,no,no,yes,1,no,yes,no,yes,no,yes,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes
9,Eden Palast,Eden Palast_Rosenquellesw_15.csv,1105.9,444.6,121.3,3,Eden Palast_Rosenquellesw_18.csv,712.5,171.2,121.3,0,Eden Palast_Rosenquellesw_21.csv,592.5,171.2,121.3,0,395.4,1142.7,Aachen,POINT (6.1014451 50.770694450000015),1493.51027631707,1136.94739636157,,2410.9,1.02807432531112,1.59571564401624,1.91889855926003,1.51422950952913,2015.5,transit,1105.9,car,540,51.1709919522561,transit,712.5,car,420,41.0526315789474,transit,592.5,car,300,49.3670886075949,1260,47.1969040462661,3,1105.9,712.5,592.5,803.633333333333,7611.8,no,yes,6825,yes,yes,6585,yes,yes,7007.26666666667,no,no,yes,1,no,yes,no,yes,no,yes,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes
