,cinema_name,15_total_route,15_total_duration,15_walk_to,15_walk_from,15_total_changes,18_total_route,18_total_duration,18_walk_to,18_walk_from,18_total_changes,21_total_route,21_total_duration,21_walk_to,21_walk_from,21_total_changes,car_duration,foot_duration,area,start_location,distance_start_centroid,distance_start_cinema,geometry,average duration,15_speed,18_speed,21_speed,average speed,average duration difference to car,15_fastest_mode,15_trip_duration,15_fastest_overall_mode,15_transit_dur,15_walk_share,18_fastest_mode,18_trip_duration,18_fastest_overall_mode,18_transit_dur,18_walk_share,21_fastest_mode,21_trip_duration,21_fastest_overall_mode,21_transit_dur,21_walk_share,average transit duration,average walk share,average changes,15_chosen_route,18_chosen_route,21_chosen_route,average_chosen_route,15_visit_time,15_likely_women,15_possible_women,18_visit_time,18_likely_women,18_possible_women,21_visit_time,21_likely_women,21_possible_women,average_visit_time,average_likely_women,average_possible_women,15_likely_men,15_possible_men,18_likely_men,18_possible_men,21_likely_men,21_possible_men,average_likely_men,average_possible_men,15_likely_children 10-17,15_possible_children 10-17,18_likely_children 10-17,18_possible_children 10-17,21_likely_children 10-17,21_possible_children 10-17,average_likely_children 10-17,average_possible_children 10-17,15_likely_45-64,15_possible_45-64,18_likely_45-64,18_possible_45-64,21_likely_45-64,21_possible_45-64,average_likely_45-64,average_possible_45-64,15_likely_65 and over,15_possible_65 and over,18_likely_65 and over,18_possible_65 and over,21_likely_65 and over,21_possible_65 and over,average_likely_65 and over,average_possible_65 and over
0,Nickel-Odeon Kino-Center,"Nickel-Odeon Kino-Center_Aue,Landratsamt_15.csv",846.3,405.4,320.9,0.0,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,251.0,1020.8,Aue-Bad Schlema,POINT (12.695892926533967 50.58974255587068),1903.0344306759268,1115.924594875464,,,1.318592218924098,,,,,transit,846.3,car,120.0,85.8206309819213,foot,1020.8,car,,,foot,1020.8,car,,,,,,846.3,1020.8,1020.8,962.6333333333332,7092.6,no,yes,7441.6,no,yes,7441.6,no,yes,7325.266666666666,no,yes,no,yes,no,yes,no,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes
1,Nickel-Odeon Kino-Center,"Nickel-Odeon Kino-Center_Aue,Klinikum,Gartenstr_15.csv",664.7,163.8,320.9,0.0,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,434.6,693.1,Aue-Bad Schlema,POINT (12.707017279391307 50.59180609123247),2205.7796147785225,627.8787978506432,,,0.9446047808795596,,,,,transit,664.7,car,180.00000000000006,72.920114337295,foot,693.1,car,,,foot,693.1,car,,,,,,664.7,693.1,693.1,683.6333333333333,6729.4,yes,yes,6786.2,yes,yes,6786.2,yes,yes,6767.266666666666,yes,yes,no,yes,no,yes,no,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes
2,Nickel-Odeon Kino-Center,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,484.5,2343.2,Aue-Bad Schlema,POINT (12.676418536763842 50.59495965176486),1234.4450275829038,2609.8620711517106,,,,,,,,foot,2343.2,car,,,foot,2343.2,car,,,foot,2343.2,car,,,,,,2343.2,2343.2,2343.2,2343.2,10086.4,no,yes,10086.4,no,yes,10086.4,no,yes,10086.4,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes
3,Nickel-Odeon Kino-Center,"Nickel-Odeon Kino-Center_Aue,Linden-Bergmannstr_15.csv",748.2,178.7,449.5,0.0,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,201.0,808.8,Aue-Bad Schlema,POINT (12.698301512535814 50.587908852152346),2162.9311017366726,903.530033435185,,,1.2076049631584935,,,,,transit,748.2,car,120.0,83.96150761828389,foot,808.8,car,,,foot,808.8,car,,,,,,748.2,808.8,808.8,788.6,6896.4,no,yes,7017.6,no,yes,7017.6,no,yes,6977.2,no,yes,no,yes,no,yes,no,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes
4,Nickel-Odeon Kino-Center,"Nickel-Odeon Kino-Center_Aue,BockauerTalstraße_15.csv",701.5,132.0,449.5,0.0,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,190.2,762.0,Aue-Bad Schlema,POINT (12.698837384723909 50.5874305059607),2227.826407985383,859.6047409074763,,,1.225380956389845,,,,,transit,701.5,car,120.0,82.89379900213828,foot,762.0,car,,,foot,762.0,car,,,,,,701.5,762.0,762.0,741.8333333333334,6803.0,yes,yes,6924.0,no,yes,6924.0,no,yes,6883.666666666667,no,yes,no,yes,no,yes,no,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes
5,Nickel-Odeon Kino-Center,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,355.2,1672.2,Aue-Bad Schlema,POINT (12.688887188478855 50.593862266559924),1292.0252914988678,1750.6832114788683,,,,,,,,foot,1672.2,car,,,foot,1672.2,car,,,foot,1672.2,car,,,,,,1672.2,1672.2,1672.2,1672.2,8744.4,no,yes,8744.4,no,yes,8744.4,no,yes,8744.4,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes
6,Nickel-Odeon Kino-Center,"Nickel-Odeon Kino-Center_Aue,Stadion_15.csv",1050.6,549.7,320.9,0.0,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,371.9,1351.7,Aue-Bad Schlema,POINT (12.69977129570141 50.59715805539103),1429.8194798034317,1402.8251487185455,,,1.3352609449062876,,,,,transit,1050.6,car,179.9999999999999,82.86693318103941,foot,1351.7,car,,,foot,1351.7,car,,,,,,1050.6,1351.7,1351.7,1251.3333333333333,7501.2,no,yes,8103.4,no,yes,8103.4,no,yes,7902.666666666666,no,yes,no,yes,no,yes,no,yes,no,yes,yes,yes,no,yes,no,yes,yes,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes
7,Nickel-Odeon Kino-Center,"Nickel-Odeon Kino-Center_Aue,Linden-Bergmannstr_15.csv",604.8,35.3,449.5,0.0,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,283.1,753.6,Aue-Bad Schlema,POINT (12.699564235115714 50.58733472874653),2262.1724604038336,807.3848234952628,,,1.3349616790596277,,,,,transit,604.8,car,119.99999999999994,80.15873015873017,foot,753.6,car,,,foot,753.6,car,,,,,,604.8,753.6,753.6,704.0,6609.6,yes,yes,6907.2,no,yes,6907.2,no,yes,6808.0,yes,yes,no,yes,no,yes,no,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes
8,Nickel-Odeon Kino-Center,"Nickel-Odeon Kino-Center_Aue,Nicolaikirche_15.csv",788.4,218.9,449.5,0.0,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,220.7,843.1,Aue-Bad Schlema,POINT (12.698411646707044 50.585273263335864),2428.354846007596,901.2906459497206,,,1.1431895559991383,,,,,transit,788.4,car,120.0,84.77929984779298,foot,843.1,car,,,foot,843.1,car,,,,,,788.4,843.1,843.1,824.8666666666667,6976.8,no,yes,7086.2,no,yes,7086.2,no,yes,7049.733333333334,no,yes,no,yes,no,yes,no,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes
9,Nickel-Odeon Kino-Center,"Nickel-Odeon Kino-Center_Aue,Gabelsberger-Kantstr_15.csv",858.8,289.3,449.5,0.0,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,173.9,679.4,Aue-Bad Schlema,POINT (12.701090480446753 50.585101495270514),2531.85484552,720.0692786098889,,,0.8384598027595354,,,,,foot,679.4,car,120.0,86.02701443875175,foot,679.4,car,,,foot,679.4,car,,,,,,679.4,679.4,679.4,679.4,6758.8,yes,yes,6758.8,yes,yes,6758.8,yes,yes,6758.8,yes,yes,no,yes,no,yes,no,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes
