,cinema_name,15_total_route,15_total_duration,15_walk_to,15_walk_from,15_total_changes,18_total_route,18_total_duration,18_walk_to,18_walk_from,18_total_changes,21_total_route,21_total_duration,21_walk_to,21_walk_from,21_total_changes,car_duration,foot_duration,area,start_location,distance_start_centroid,distance_start_cinema,geometry,average duration,15_speed,18_speed,21_speed,average speed,average duration difference to car,15_fastest_mode,15_trip_duration,15_fastest_overall_mode,15_transit_dur,15_walk_share,18_fastest_mode,18_trip_duration,18_fastest_overall_mode,18_transit_dur,18_walk_share,21_fastest_mode,21_trip_duration,21_fastest_overall_mode,21_transit_dur,21_walk_share,average transit duration,average walk share,population,level,level_dummy,cinemas,population aggr,population density,built-up area,transit departures,transit stops,osm_cinemas,average changes,area average changes,15_chosen_route,18_chosen_route,21_chosen_route,average_chosen_route,15_visit_time,15_likely_women,15_possible_women,18_visit_time,18_likely_women,18_possible_women,21_visit_time,21_likely_women,21_possible_women,average_visit_time,average_likely_women,average_possible_women,15_likely_men,15_possible_men,18_likely_men,18_possible_men,21_likely_men,21_possible_men,average_likely_men,average_possible_men,15_likely_children 10-17,15_possible_children 10-17,18_likely_children 10-17,18_possible_children 10-17,21_likely_children 10-17,21_possible_children 10-17,average_likely_children 10-17,average_possible_children 10-17,15_likely_45-64,15_possible_45-64,18_likely_45-64,18_possible_45-64,21_likely_45-64,21_possible_45-64,average_likely_45-64,average_possible_45-64,15_likely_65 and over,15_possible_65 and over,18_likely_65 and over,18_possible_65 and over,21_likely_65 and over,21_possible_65 and over,average_likely_65 and over,average_possible_65 and over
0,Puschkino,Puschkino_Hauptbahnhof_15.csv,892.8,151.5,141.3,0.0,Puschkino_Hauptbahnhof_18.csv,832.8,151.5,141.3,0.0,Puschkino_Hauptbahnhof_21.csv,1166.6,605.3,141.3,0.0,464.4,2167.6,Halle (Saale),POINT (11.995105571321263 51.47971521227283),1856.5294668380973,2334.646913241231,,2892.2,2.614971901031845,2.803370452979384,2.0012402822228963,2.4731942120780417,2427.8,transit,892.8,car,600.0,32.795698924731184,transit,832.8,car,540.0,35.158501440922194,transit,1166.6,car,420.0,63.99794273958512,1560.0,131.9521431052385,97.0,top,3,6,242083,1792.81,52.92,60209,290,5,0.0,1.5779092702169626,892.8,832.8,1166.6,964.0666666666666,7185.6,no,yes,7065.6,no,yes,7733.2,no,yes,7328.133333333333,no,yes,no,yes,no,yes,no,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes
1,CinemaxX,CinemaxX_Hauptbahnhof_15.csv,647.4,151.5,195.9,0.0,CinemaxX_Hauptbahnhof_18.csv,647.4,151.5,195.9,0.0,CinemaxX_Hauptbahnhof_21.csv,587.4,151.5,195.9,0.0,282.5,949.0,Halle (Saale),POINT (11.995105571321263 51.47971521227283),1856.5294668380973,1021.9013364300072,,1882.2,1.5784697813253123,1.5784697813253123,1.7397026496935772,1.6322140707814006,1599.6999999999998,transit,647.4,car,300.0,53.66079703429101,transit,647.4,car,300.0,53.66079703429101,transit,587.4,car,240.0,59.14198161389172,840.0,166.46357568247373,6058.0,top,3,6,242083,1792.81,52.92,60209,290,5,0.0,1.5779092702169626,647.4,647.4,587.4,627.4,6694.8,yes,yes,6694.8,yes,yes,6574.8,yes,yes,6654.8,yes,yes,no,yes,no,yes,no,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes
2,Bel Etage,Bel Etage_Hauptbahnhof_15.csv,786.5,151.5,335.0,0.0,Bel Etage_Hauptbahnhof_18.csv,786.5,151.5,335.0,0.0,Bel Etage_Hauptbahnhof_21.csv,728.7,151.5,337.2,0.0,298.0,1014.7,Halle (Saale),POINT (11.995105571321263 51.47971521227283),1856.5294668380973,985.6681257201318,,2301.7,1.253233471989996,1.253233471989996,1.3526391185949385,1.286368687524977,2003.7,transit,786.5,car,300.0,61.85632549268913,transit,786.5,car,300.0,61.85632549268913,transit,728.7,car,240.00000000000009,67.0646356525319,840.0,190.77728663791007,6246.0,top,3,6,242083,1792.81,52.92,60209,290,5,0.0,1.5779092702169626,786.5,786.5,728.7,767.2333333333332,6973.0,no,yes,6973.0,no,yes,6857.4,no,yes,6934.466666666666,no,yes,no,yes,no,yes,no,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes
3,Prisma Cinema Halle-Neustadt,Prisma Cinema Halle-Neustadt_Hauptbahnhof_15.csv,1404.6,605.3,79.3,0.0,Prisma Cinema Halle-Neustadt_Hauptbahnhof_18.csv,1404.6,605.3,79.3,0.0,Prisma Cinema Halle-Neustadt_Hauptbahnhof_21.csv,1404.6,605.3,79.3,0.0,696.6,4150.6,Halle (Saale),POINT (11.995105571321263 51.47971521227283),1856.5294668380973,5214.310681311668,,4213.799999999999,3.7123100393789454,3.7123100393789454,3.7123100393789454,3.7123100393789454,3517.2,transit,1404.6,car,720.0,48.73985476292183,transit,1404.6,car,720.0,48.73985476292183,transit,1404.6,car,720.0,48.73985476292183,2160.0,146.2195642887655,828.0,top,3,6,242083,1792.81,52.92,60209,290,5,0.0,1.5779092702169626,1404.6,1404.6,1404.6,1404.5999999999997,8209.2,no,yes,8209.2,no,yes,8209.2,no,yes,8209.199999999999,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes
4,Luchs,Luchs_Hauptbahnhof_15.csv,1394.1,605.3,68.8,0.0,Luchs_Hauptbahnhof_18.csv,1060.3,151.5,68.8,0.0,Luchs_Hauptbahnhof_21.csv,1480.3,151.5,68.8,2.0,713.5,3411.8,Halle (Saale),POINT (11.995105571321263 51.47971521227283),1856.5294668380973,3771.520022250907,,3934.7,2.705343965462239,3.5570310499395523,2.547807891813083,2.936727635738292,3221.2,transit,1394.1,car,720.0,48.35377663008392,transit,1060.3,car,840.0,20.777138545694616,transit,1480.3,car,1260.0,14.882118489495374,2820.0,84.01303366527391,943.0,top,3,6,242083,1792.81,52.92,60209,290,5,2.0,1.5779092702169626,1394.1,1060.3,1480.3,1311.5666666666666,8188.2,no,yes,7520.6,no,yes,8360.6,no,yes,8023.133333333333,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,yes,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes
5,Puschkino,Puschkino_S-BahnhofSilberhöhe_15.csv,1186.9,205.6,141.3,0.0,Puschkino_S-BahnhofSilberhöhe_18.csv,1186.9,205.6,141.3,1.0,Puschkino_S-BahnhofSilberhöhe_21.csv,1584.7,123.4,141.3,0.0,761.1,3426.2,Halle (Saale),POINT (11.96164517351852 51.453134440456346),3061.2324331356617,4320.908945624599,,3958.5,3.640499575048108,3.640499575048108,2.7266416013280743,3.335880250474763,3197.4,transit,1186.9,car,840.0000000000001,29.227399106917176,transit,1186.9,car,840.0000000000001,29.227399106917176,transit,1584.7,car,1320.0,16.703476998801037,3000.0,75.15827521263539,7811.0,top,3,6,242083,1792.81,52.92,60209,290,5,1.0,1.5779092702169626,1186.9,1186.9,1584.7,1319.5,7773.8,no,yes,7773.8,no,yes,8569.4,no,yes,8039.0,no,yes,no,yes,no,yes,no,yes,no,yes,yes,yes,yes,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes
6,CinemaxX,CinemaxX_S-BahnhofSilberhöhe_15.csv,1361.5,205.6,195.9,0.0,CinemaxX_S-BahnhofSilberhöhe_18.csv,1001.5,205.6,195.9,0.0,CinemaxX_S-BahnhofSilberhöhe_21.csv,1339.3,123.4,195.9,0.0,585.8,2802.5,Halle (Saale),POINT (11.96164517351852 51.453134440456346),3061.2324331356617,3292.931807357075,,3702.3,2.418605807827451,3.2879998076456065,2.458696190067255,2.721767268513437,3116.5,transit,1361.5,car,960.0,29.489533602644144,transit,1001.5,car,600.0,40.08986520219671,transit,1339.3,car,1020.0,23.84081236466811,2580.0,93.42021116950896,3476.0,top,3,6,242083,1792.81,52.92,60209,290,5,0.0,1.5779092702169626,1361.5,1001.5,1339.3,1234.1000000000001,8123.0,no,yes,7403.0,no,yes,8078.6,no,yes,7868.200000000001,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,yes,yes,no,yes,yes,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes
7,Bel Etage,Bel Etage_S-BahnhofSilberhöhe_15.csv,1142.8,205.6,337.2,0.0,Bel Etage_S-BahnhofSilberhöhe_18.csv,1142.8,205.6,337.2,0.0,Bel Etage_S-BahnhofSilberhöhe_21.csv,1120.6,123.4,337.2,0.0,427.2,2568.1,Halle (Saale),POINT (11.96164517351852 51.453134440456346),3061.2324331356617,2870.222361165956,,3406.2,2.511570144527438,2.511570144527438,2.5613263976137395,2.528155562222872,2979.0,transit,1142.8,car,600.0,47.49737486874344,transit,1142.8,car,600.0,47.49737486874344,transit,1120.6,car,659.9999999999999,41.102980546136,1860.0,136.09773028362287,11639.0,top,3,6,242083,1792.81,52.92,60209,290,5,0.0,1.5779092702169626,1142.8,1142.8,1120.6,1135.3999999999999,7685.6,no,yes,7685.6,no,yes,7641.2,no,yes,7670.799999999999,no,yes,no,yes,no,yes,no,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes
8,Prisma Cinema Halle-Neustadt,Prisma Cinema Halle-Neustadt_S-BahnhofSilberhöhe_15.csv,1904.9,205.6,79.3,1.0,Prisma Cinema Halle-Neustadt_S-BahnhofSilberhöhe_18.csv,2242.7,123.4,79.3,1.0,Prisma Cinema Halle-Neustadt_S-BahnhofSilberhöhe_21.csv,2842.7,123.4,79.3,2.0,818.3,4465.5,Halle (Saale),POINT (11.96164517351852 51.453134440456346),3061.2324331356617,4100.750319223152,,6990.3,2.152737844098457,1.8284881255732608,1.4425547258673626,1.807926898513027,6172.0,transit,1904.9,car,1620.0,14.956165677988343,transit,2242.7,car,2040.0,9.038212868417531,transit,2842.7,car,2640.0,7.130544904492209,6300.0,31.124923450898084,7811.0,top,3,6,242083,1792.81,52.92,60209,290,5,4.0,1.5779092702169626,1904.9,2242.7,2842.7,2330.1,9209.8,no,yes,9885.4,no,yes,11085.4,no,yes,10060.2,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes
9,Luchs,Luchs_S-BahnhofSilberhöhe_15.csv,1594.4,205.6,68.8,0.0,Luchs_S-BahnhofSilberhöhe_18.csv,1534.4,205.6,68.8,0.0,Luchs_S-BahnhofSilberhöhe_21.csv,2107.3,418.5,68.8,1.0,902.8,4723.5,Halle (Saale),POINT (11.96164517351852 51.453134440456346),3061.2324331356617,5884.351143636132,,5236.1,3.6906366931987775,3.834952518011035,2.792365179915594,3.439318130375136,4333.3,transit,1594.4,car,1320.0,17.21023582538886,transit,1534.4,car,1260.0,17.88321167883211,transit,2107.3,car,1620.0000000000002,23.12437716509277,4200.0,58.21782466931375,6246.0,top,3,6,242083,1792.81,52.92,60209,290,5,1.0,1.5779092702169626,1594.4,1534.4,2107.3,1745.3666666666668,8588.8,no,yes,8468.8,no,yes,9614.6,no,yes,8890.733333333334,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes
