,cinema_name,15_total_route,15_total_duration,15_walk_to,15_walk_from,15_total_changes,18_total_route,18_total_duration,18_walk_to,18_walk_from,18_total_changes,21_total_route,21_total_duration,21_walk_to,21_walk_from,21_total_changes,car_duration,foot_duration,area,start_location,distance_start_centroid,distance_start_cinema,geometry,average duration,15_speed,18_speed,21_speed,average speed,average duration difference to car,15_fastest_mode,15_trip_duration,15_fastest_overall_mode,15_transit_dur,15_walk_share,18_fastest_mode,18_trip_duration,18_fastest_overall_mode,18_transit_dur,18_walk_share,21_fastest_mode,21_trip_duration,21_fastest_overall_mode,21_transit_dur,21_walk_share,average transit duration,average walk share,population,level,level_dummy,cinemas,population aggr,population density,built-up area,transit departures,transit stops,osm_cinemas,average changes,area average changes,15_chosen_route,18_chosen_route,21_chosen_route,average_chosen_route,15_visit_time,15_likely_women,15_possible_women,18_visit_time,18_likely_women,18_possible_women,21_visit_time,21_likely_women,21_possible_women,average_visit_time,average_likely_women,average_possible_women,15_likely_men,15_possible_men,18_likely_men,18_possible_men,21_likely_men,21_possible_men,average_likely_men,average_possible_men,15_likely_children 10-17,15_possible_children 10-17,18_likely_children 10-17,18_possible_children 10-17,21_likely_children 10-17,21_possible_children 10-17,average_likely_children 10-17,average_possible_children 10-17,15_likely_45-64,15_possible_45-64,18_likely_45-64,18_possible_45-64,21_likely_45-64,21_possible_45-64,average_likely_45-64,average_possible_45-64,15_likely_65 and over,15_possible_65 and over,18_likely_65 and over,18_possible_65 and over,21_likely_65 and over,21_possible_65 and over,average_likely_65 and over,average_possible_65 and over
0,Die Kamera,"Die Kamera_Heidelberg,Betriebshof_15.csv",614.5,167.4,27.1,1.0,"Die Kamera_Heidelberg,Betriebshof_18.csv",614.5,167.4,27.1,1,"Die Kamera_Heidelberg,Betriebshof_21.csv",567.5,240.4,27.1,0.0,428.1,1705.7,Heidelberg,POINT (8.66896525072801 49.40736757451792),1848.3935898960804,1913.868080256846,,1796.5,3.114512742484697,3.114512742484697,3.372454766972416,3.200493417313937,1368.4,transit,614.5,car,420.0,31.65174938974776,transit,614.5,car,420.0,31.65174938974776,transit,567.5,car,300.0,47.136563876651984,1140.0,110.4400626561475,4870.0,top,3,5,162273,1491.07,30.58,47709,238,4,2.0,1.8141809290953543,614.5,614.5,567.5,598.8333333333334,6629.0,yes,yes,6629.0,yes,yes,6535.0,yes,yes,6597.666666666667,yes,yes,no,yes,no,yes,no,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes
1,Gloria & Gloriette,"Gloria & Gloriette_Heidelberg,Betriebshof_15.csv",1193.9,465.1,128.8,0.0,"Gloria & Gloriette_Heidelberg,Betriebshof_18.csv",1193.9,465.1,128.8,0,"Gloria & Gloriette_Heidelberg,Betriebshof_21.csv",1322.6,293.8,128.8,1.0,671.7,2273.8,Heidelberg,POINT (8.66896525072801 49.40736757451792),1848.3935898960804,2822.919790463671,,3710.4,2.3644524587182096,2.3644524587182096,2.1343715336939897,2.287758817043469,3038.7,transit,1193.9,car,600.0,49.74453471815061,transit,1193.9,car,600.0,49.74453471815061,transit,1322.6,car,899.9999999999999,31.952215333434147,2100.0,131.44128476973535,4733.0,top,3,5,162273,1491.07,30.58,47709,238,4,1.0,1.8141809290953543,1193.9,1193.9,1322.6,1236.8,7787.8,no,yes,7787.8,no,yes,8045.2,no,yes,7873.6,no,yes,no,yes,no,yes,no,yes,no,yes,yes,yes,yes,yes,no,yes,yes,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes
2,Karlstorkino,"Karlstorkino_Heidelberg,Betriebshof_15.csv",783.5,240.4,123.1,0.0,"Karlstorkino_Heidelberg,Betriebshof_18.csv",783.5,240.4,123.1,0,"Karlstorkino_Heidelberg,Betriebshof_21.csv",783.5,240.4,123.1,0.0,673.9,2204.3,Heidelberg,POINT (8.66896525072801 49.40736757451792),1848.3935898960804,2440.2019990115937,,2350.5,3.1144888309018426,3.1144888309018426,3.1144888309018426,3.114488830901842,1676.6,transit,783.5,car,420.0,46.394384173580086,transit,783.5,car,420.0,46.394384173580086,transit,783.5,car,420.0,46.394384173580086,1260.0,139.18315252074026,9445.0,top,3,5,162273,1491.07,30.58,47709,238,4,0.0,1.8141809290953543,783.5,783.5,783.5,783.5,6967.0,no,yes,6967.0,no,yes,6967.0,no,yes,6967.0,no,yes,no,yes,no,yes,no,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes
3,Luxor Filmpalast Heidelberg,"Luxor Filmpalast Heidelberg_Heidelberg,Betriebshof_15.csv",712.9,240.4,352.5,0.0,"Luxor Filmpalast Heidelberg_Heidelberg,Betriebshof_18.csv",712.9,240.4,352.5,0,"Luxor Filmpalast Heidelberg_Heidelberg,Betriebshof_21.csv",712.9,240.4,352.5,0.0,170.7,506.2,Heidelberg,POINT (8.66896525072801 49.40736757451792),1848.3935898960804,250.60684169445864,,2138.7,0.3515315495784242,0.3515315495784242,0.3515315495784242,0.3515315495784242,1968.0,foot,506.2,car,120.0,83.16734464861831,foot,506.2,car,120.0,83.16734464861831,foot,506.2,car,120.0,83.16734464861831,360.0,249.5020339458549,620.0,top,3,5,162273,1491.07,30.58,47709,238,4,0.0,1.8141809290953543,506.2,506.2,506.2,506.2,6412.4,yes,yes,6412.4,yes,yes,6412.4,yes,yes,6412.4,yes,yes,no,yes,no,yes,no,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,no,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes
4,Die Kamera,"Die Kamera_Handschuhsheim,AmZapfenberg_15.csv",490.5,163.4,27.1,0.0,"Die Kamera_Handschuhsheim,AmZapfenberg_18.csv",490.5,163.4,27.1,0,"Die Kamera_Handschuhsheim,AmZapfenberg_21.csv",490.5,163.4,27.1,0.0,281.0,1719.2,Heidelberg,POINT (8.682260506674263 49.43300106269923),3182.22367575777,2082.559155631869,,1471.5,4.245788288749988,4.245788288749988,4.245788288749988,4.245788288749988,1190.5,transit,490.5,car,300.0,38.83792048929664,transit,490.5,car,300.0,38.83792048929664,transit,490.5,car,300.0,38.83792048929664,900.0,116.5137614678899,652.0,top,3,5,162273,1491.07,30.58,47709,238,4,0.0,1.8141809290953543,490.5,490.5,490.5,490.5,6381.0,yes,yes,6381.0,yes,yes,6381.0,yes,yes,6381.0,yes,yes,no,yes,no,yes,no,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,no,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes
5,Gloria & Gloriette,"Gloria & Gloriette_Handschuhsheim,AmZapfenberg_15.csv",1552.2,163.4,128.8,1.0,"Gloria & Gloriette_Handschuhsheim,AmZapfenberg_18.csv",1552.2,163.4,128.8,1,"Gloria & Gloriette_Handschuhsheim,AmZapfenberg_21.csv",1372.2,163.4,128.8,1.0,797.1,2963.1,Heidelberg,POINT (8.682260506674263 49.43300106269923),3182.22367575777,2986.782109804496,,4476.6,1.924225041750094,1.924225041750094,2.1766375964177933,2.0083625599726607,3679.500000000001,transit,1552.2,car,1260.0,18.82489369926556,transit,1552.2,car,1260.0,18.82489369926556,transit,1372.2,car,1080.0,21.294271972015743,3600.0,58.94405937054686,2810.0,top,3,5,162273,1491.07,30.58,47709,238,4,3.0,1.8141809290953543,1552.2,1552.2,1372.2,1492.2,8504.4,no,yes,8504.4,no,yes,8144.4,no,yes,8384.4,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes
6,Karlstorkino,"Karlstorkino_Handschuhsheim,AmZapfenberg_15.csv",1426.5,163.4,123.1,1.0,"Karlstorkino_Handschuhsheim,AmZapfenberg_18.csv",1426.5,163.4,123.1,1,"Karlstorkino_Handschuhsheim,AmZapfenberg_21.csv",1666.5,163.4,123.1,0.0,938.6,4261.8,Heidelberg,POINT (8.682260506674263 49.43300106269923),3182.22367575777,5129.4643770542425,,4519.5,3.5958390305322414,3.5958390305322414,3.077986424875033,3.423221495313172,3580.9,transit,1426.5,car,1140.0,20.084121976866456,transit,1426.5,car,1140.0,20.084121976866456,transit,1666.5,car,1380.0,17.191719171917192,3660.0,57.3599631256501,6446.0,top,3,5,162273,1491.07,30.58,47709,238,4,2.0,1.8141809290953543,1426.5,1426.5,1666.5,1506.5,8253.0,no,yes,8253.0,no,yes,8733.0,no,yes,8413.0,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes
7,Luxor Filmpalast Heidelberg,"Luxor Filmpalast Heidelberg_Handschuhsheim,AmZapfenberg_15.csv",1295.9,163.4,352.5,1.0,"Luxor Filmpalast Heidelberg_Handschuhsheim,AmZapfenberg_18.csv",1295.9,163.4,352.5,1,"Luxor Filmpalast Heidelberg_Handschuhsheim,AmZapfenberg_21.csv",1439.5,427.0,352.5,1.0,537.0,2928.6,Heidelberg,POINT (8.682260506674263 49.43300106269923),3182.22367575777,3238.4077863387697,,4031.3,2.4989642613926764,2.4989642613926764,2.249675433371844,2.415867985385732,3494.3,transit,1295.9,car,780.0000000000001,39.81017053785013,transit,1295.9,car,780.0000000000001,39.81017053785013,transit,1439.5,car,660.0,54.150746787078845,2220.0,133.7710878627791,2330.0,top,3,5,162273,1491.07,30.58,47709,238,4,3.0,1.8141809290953543,1295.9,1295.9,1439.5,1343.7666666666667,7991.8,no,yes,7991.8,no,yes,8279.0,no,yes,8087.533333333333,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes
8,Die Kamera,"Die Kamera_Kirchheim,Albert-Fritz-Straße_15.csv",1071.1,24.0,27.1,0.0,"Die Kamera_Kirchheim,Albert-Fritz-Straße_18.csv",1071.1,24.0,27.1,0,"Die Kamera_Kirchheim,Albert-Fritz-Straße_21.csv",1011.1,24.0,27.1,0.0,869.0,3902.6,Heidelberg,POINT (8.665880424678265 49.377722618584365),3709.9598999659497,4609.867779292834,,3153.3,4.303863112027667,4.303863112027667,4.559259993366466,4.388995405807266,2284.3,transit,1071.1,car,1020.0,4.770796377555785,transit,1071.1,car,1020.0,4.770796377555785,transit,1011.1,car,960.0,5.053901691227376,3000.0,14.595494446338945,9445.0,top,3,5,162273,1491.07,30.58,47709,238,4,0.0,1.8141809290953543,1071.1,1071.1,1011.1,1051.1,7542.2,no,yes,7542.2,no,yes,7422.2,no,yes,7502.2,no,yes,no,yes,no,yes,no,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes
9,Gloria & Gloriette,"Gloria & Gloriette_Kirchheim,Albert-Fritz-Straße_15.csv",1772.8,24.0,128.8,1.0,"Gloria & Gloriette_Kirchheim,Albert-Fritz-Straße_18.csv",1772.8,24.0,128.8,1,"Gloria & Gloriette_Kirchheim,Albert-Fritz-Straße_21.csv",1892.8,24.0,128.8,2.0,1008.7,4161.2,Heidelberg,POINT (8.665880424678265 49.377722618584365),3709.9598999659497,4826.010632830317,,5438.4,2.722253290179556,2.722253290179556,2.5496674940988573,2.66472469148599,4429.7,transit,1772.8,car,1620.0,8.619133574007222,transit,1772.8,car,1620.0,8.619133574007222,transit,1892.8,car,1740.0,8.072696534234996,4980.0,25.31096368224944,4733.0,top,3,5,162273,1491.07,30.58,47709,238,4,4.0,1.8141809290953543,1772.8,1772.8,1892.8,1812.8,8945.6,no,yes,8945.6,no,yes,9185.6,no,yes,9025.6,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes
