,cinema_name,15_total_route,15_total_duration,15_walk_to,15_walk_from,15_total_changes,18_total_route,18_total_duration,18_walk_to,18_walk_from,18_total_changes,21_total_route,21_total_duration,21_walk_to,21_walk_from,21_total_changes,car_duration,foot_duration,area,start_location,distance_start_centroid,distance_start_cinema,geometry,average duration,15_speed,18_speed,21_speed,average speed,average duration difference to car,15_fastest_mode,15_trip_duration,15_fastest_overall_mode,15_transit_dur,15_walk_share,18_fastest_mode,18_trip_duration,18_fastest_overall_mode,18_transit_dur,18_walk_share,21_fastest_mode,21_trip_duration,21_fastest_overall_mode,21_transit_dur,21_walk_share,average transit duration,average walk share,population,level,level_dummy,cinemas,population aggr,population density,built-up area,transit departures,transit stops,osm_cinemas,average changes,area average changes,15_chosen_route,18_chosen_route,21_chosen_route,average_chosen_route,15_visit_time,15_likely_women,15_possible_women,18_visit_time,18_likely_women,18_possible_women,21_visit_time,21_likely_women,21_possible_women,average_visit_time,average_likely_women,average_possible_women,15_likely_men,15_possible_men,18_likely_men,18_possible_men,21_likely_men,21_possible_men,average_likely_men,average_possible_men,15_likely_children 10-17,15_possible_children 10-17,18_likely_children 10-17,18_possible_children 10-17,21_likely_children 10-17,21_possible_children 10-17,average_likely_children 10-17,average_possible_children 10-17,15_likely_45-64,15_possible_45-64,18_likely_45-64,18_possible_45-64,21_likely_45-64,21_possible_45-64,average_likely_45-64,average_possible_45-64,15_likely_65 and over,15_possible_65 and over,18_likely_65 and over,18_possible_65 and over,21_likely_65 and over,21_possible_65 and over,average_likely_65 and over,average_possible_65 and over
0,Ostseekino,Ostseekino_Bastorf_15.csv,1754.1,822.0,752.1,0,Ostseekino_Bastorf_18.csv,1754.1,822.0,752.1,0,Ostseekino_Bastorf_21.csv,1754.1,822.0,752.1,0,359.3,1138.5,Kühlungsborn,POINT (11.7256568 54.14168625000001),1263.6075470537105,1128.2446557599676,,5262.299999999999,0.6432042960834432,0.6432042960834432,0.6432042960834432,0.6432042960834432,4902.999999999999,foot,1138.5,car,180.0,89.73832734735763,foot,1138.5,car,180.0,89.73832734735763,foot,1138.5,car,180.0,89.73832734735763,540.0,269.21498204207285,903,base,1,1,8037,497.03,29.62,363.0,11.0,1,0,0.0,1138.5,1138.5,1138.5,1138.5,7677.0,no,yes,7677.0,no,yes,7677.0,no,yes,7677.0,no,yes,no,yes,no,yes,no,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes
1,Ostseekino,"Ostseekino_Kühlungsborn,Ost_15.csv",1496.9,564.8,752.1,0,"Ostseekino_Kühlungsborn,Ost_18.csv",1496.9,564.8,752.1,0,"Ostseekino_Kühlungsborn,Ost_21.csv",1496.9,564.8,752.1,0,245.9,741.8,Kühlungsborn,POINT (11.732496514368211 54.15051267172215),1440.2917201528742,787.5295835722379,,4490.700000000001,0.5261070102025772,0.5261070102025772,0.5261070102025772,0.5261070102025772,4244.800000000001,foot,741.8,car,180.0,87.97514864052374,foot,741.8,car,180.0,87.97514864052374,foot,741.8,car,180.0,87.97514864052374,540.0,263.9254459215712,0,base,1,1,8037,497.03,29.62,363.0,11.0,1,0,0.0,741.8,741.8,741.8,741.7999999999998,6883.6,no,yes,6883.6,no,yes,6883.6,no,yes,6883.599999999999,no,yes,no,yes,no,yes,no,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes
2,Ostseekino,"Ostseekino_Mechelsdorf,Abzweig_15.csv",2589.7,1657.6,752.1,0,"Ostseekino_Mechelsdorf,Abzweig_18.csv",2589.7,1657.6,752.1,0,"Ostseekino_Mechelsdorf,Abzweig_21.csv",2589.7,1657.6,752.1,0,282.6,773.7,Kühlungsborn,POINT (11.70646875244348 54.15287706578111),2895.021393391226,934.050709212396,,7769.099999999999,0.3606791169681415,0.3606791169681415,0.3606791169681415,0.3606791169681415,7486.499999999999,foot,773.7,car,180.0,93.04938795999536,foot,773.7,car,180.0,93.04938795999536,foot,773.7,car,180.0,93.04938795999536,540.0,279.1481638799861,0,base,1,1,8037,497.03,29.62,363.0,11.0,1,0,0.0,773.7,773.7,773.7,773.7000000000002,6947.4,no,yes,6947.4,no,yes,6947.4,no,yes,6947.400000000001,no,yes,no,yes,no,yes,no,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes
3,Ostseekino,Ostseekino_Bastorf_15.csv,1661.2,729.1,752.1,0,Ostseekino_Bastorf_18.csv,1661.2,729.1,752.1,0,Ostseekino_Bastorf_21.csv,1661.2,729.1,752.1,0,217.9,787.6,Kühlungsborn,POINT (11.723761189488888 54.1447357177669),1477.3898918945597,767.5467976261533,,4983.6,0.4620435815230877,0.4620435815230877,0.4620435815230877,0.4620435815230876,4765.700000000001,foot,787.6,car,180.0,89.1644594269203,foot,787.6,car,180.0,89.1644594269203,foot,787.6,car,180.0,89.1644594269203,540.0,267.4933782807609,903,base,1,1,8037,497.03,29.62,363.0,11.0,1,0,0.0,787.6,787.6,787.6,787.6,6975.2,no,yes,6975.2,no,yes,6975.2,no,yes,6975.2,no,yes,no,yes,no,yes,no,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes
4,Ostseekino,Ostseekino_KühlungsbornOsttrainstation_15.csv,1496.7,564.6,752.1,0,Ostseekino_KühlungsbornOsttrainstation_18.csv,1496.7,564.6,752.1,0,Ostseekino_KühlungsbornOsttrainstation_21.csv,1496.7,564.6,752.1,0,408.5,1314.0,Kühlungsborn,POINT (11.7305848 54.142153900000004),961.1578326056864,1217.7371291990528,,4490.1,0.8136147051507,0.8136147051507,0.8136147051507,0.8136147051506999,4081.6,foot,1314.0,car,180.0,87.97354179194227,foot,1314.0,car,180.0,87.97354179194227,foot,1314.0,car,180.0,87.97354179194227,540.0,263.92062537582683,903,base,1,1,8037,497.03,29.62,363.0,11.0,1,0,0.0,1314.0,1314.0,1314.0,1314.0,8028.0,no,yes,8028.0,no,yes,8028.0,no,yes,8028.0,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes
5,Ostseekino,Ostseekino_KühlungsbornZurAsbeck_15.csv,1341.9,409.8,752.1,0,Ostseekino_KühlungsbornZurAsbeck_18.csv,1341.9,409.8,752.1,0,Ostseekino_KühlungsbornZurAsbeck_21.csv,1341.9,409.8,752.1,0,546.8,2205.3,Kühlungsborn,POINT (11.76062015188238 54.145962295058766),1249.5984287682622,2687.629333853692,,4025.7,2.0028536655888605,2.0028536655888605,2.0028536655888605,2.0028536655888605,3478.9000000000005,transit,1341.9,car,180.0,86.58618376928237,transit,1341.9,car,180.0,86.58618376928237,transit,1341.9,car,180.0,86.58618376928237,540.0,259.75855130784714,1296,base,1,1,8037,497.03,29.62,363.0,11.0,1,0,0.0,1341.9,1341.9,1341.9,1341.9,8083.8,no,yes,8083.8,no,yes,8083.8,no,yes,8083.8,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes
6,Ostseekino,Ostseekino_Bastorf_15.csv,1518.3,586.2,752.1,0,Ostseekino_Bastorf_18.csv,1518.3,586.2,752.1,0,Ostseekino_Bastorf_21.csv,1518.3,586.2,752.1,0,206.1,477.3,Kühlungsborn,POINT (11.724114049999999 54.149201100000006),1708.7287823728889,335.9332661118669,,4554.9,0.2212561852808186,0.2212561852808186,0.2212561852808186,0.2212561852808185,4348.799999999999,foot,477.3,car,179.99999999999977,88.14463544754003,foot,477.3,car,179.99999999999977,88.14463544754003,foot,477.3,car,179.99999999999977,88.14463544754003,539.9999999999993,264.43390634262005,903,base,1,1,8037,497.03,29.62,363.0,11.0,1,0,0.0,477.3,477.3,477.3,477.3,6354.6,yes,yes,6354.6,yes,yes,6354.6,yes,yes,6354.6,yes,yes,no,yes,no,yes,no,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,no,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes
7,Ostseekino,"Ostseekino_Kühlungsborn,Ost_15.csv",1322.6,390.5,752.1,0,"Ostseekino_Kühlungsborn,Ost_18.csv",1322.6,390.5,752.1,0,"Ostseekino_Kühlungsborn,Ost_21.csv",1322.6,390.5,752.1,0,308.4,1422.1,Kühlungsborn,POINT (11.74098420536721 54.143040645913366),440.6382542612772,1626.2869212570404,,3967.8,1.2296135802639048,1.2296135802639048,1.2296135802639048,1.2296135802639048,3659.4,transit,1322.6,car,180.0,86.39044306668683,transit,1322.6,car,180.0,86.39044306668683,transit,1322.6,car,180.0,86.39044306668683,540.0,259.1713292000605,545,base,1,1,8037,497.03,29.62,363.0,11.0,1,0,0.0,1322.6,1322.6,1322.6,1322.6,8045.2,no,yes,8045.2,no,yes,8045.2,no,yes,8045.2,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes
8,Ostseekino,Ostseekino_KühlungsbornZurAsbeck_15.csv,1466.7,534.6,752.1,0,Ostseekino_KühlungsbornZurAsbeck_18.csv,1466.7,534.6,752.1,0,Ostseekino_KühlungsbornZurAsbeck_21.csv,1466.7,534.6,752.1,0,569.1,2384.2,Kühlungsborn,POINT (11.762314161045149 54.14308056544596),1209.4029796305178,2881.7933630765465,,4400.1,1.9648144563145475,1.9648144563145475,1.9648144563145475,1.964814456314547,3831.000000000001,transit,1466.7,car,180.0,87.7275516465535,transit,1466.7,car,180.0,87.7275516465535,transit,1466.7,car,180.0,87.7275516465535,540.0,263.1826549396605,1296,base,1,1,8037,497.03,29.62,363.0,11.0,1,0,0.0,1466.7,1466.7,1466.7,1466.7,8333.4,no,yes,8333.4,no,yes,8333.4,no,yes,8333.4,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes
9,Ostseekino,Ostseekino_KühlungsbornZurAsbeck_15.csv,1599.5,727.4,752.1,0,Ostseekino_KühlungsbornZurAsbeck_18.csv,1599.5,727.4,752.1,0,Ostseekino_KühlungsbornZurAsbeck_21.csv,1599.5,727.4,752.1,0,385.0,2142.8,Kühlungsborn,POINT (11.7539113 54.14147515),631.9200860088059,2443.291130294445,,4798.5,1.5275343109061863,1.5275343109061863,1.5275343109061863,1.5275343109061863,4413.5,transit,1599.5,car,120.0,92.49765551734916,transit,1599.5,car,120.0,92.49765551734916,transit,1599.5,car,120.0,92.49765551734916,360.0,277.4929665520475,1296,base,1,1,8037,497.03,29.62,363.0,11.0,1,0,0.0,1599.5,1599.5,1599.5,1599.5,8599.0,no,yes,8599.0,no,yes,8599.0,no,yes,8599.0,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes
