,cinema_name,15_total_route,15_total_duration,15_walk_to,15_walk_from,15_total_changes,18_total_route,18_total_duration,18_walk_to,18_walk_from,18_total_changes,21_total_route,21_total_duration,21_walk_to,21_walk_from,21_total_changes,car_duration,foot_duration,area,start_location,distance_start_centroid,distance_start_cinema,geometry,average duration,15_speed,18_speed,21_speed,average speed,average duration difference to car,15_fastest_mode,15_trip_duration,15_fastest_overall_mode,15_transit_dur,15_walk_share,18_fastest_mode,18_trip_duration,18_fastest_overall_mode,18_transit_dur,18_walk_share,21_fastest_mode,21_trip_duration,21_fastest_overall_mode,21_transit_dur,21_walk_share,average transit duration,average walk share,average changes,15_chosen_route,18_chosen_route,21_chosen_route,average_chosen_route,15_visit_time,15_likely_women,15_possible_women,18_visit_time,18_likely_women,18_possible_women,21_visit_time,21_likely_women,21_possible_women,average_visit_time,average_likely_women,average_possible_women,15_likely_men,15_possible_men,18_likely_men,18_possible_men,21_likely_men,21_possible_men,average_likely_men,average_possible_men,15_likely_children 10-17,15_possible_children 10-17,18_likely_children 10-17,18_possible_children 10-17,21_likely_children 10-17,21_possible_children 10-17,average_likely_children 10-17,average_possible_children 10-17,15_likely_45-64,15_possible_45-64,18_likely_45-64,18_possible_45-64,21_likely_45-64,21_possible_45-64,average_likely_45-64,average_possible_45-64,15_likely_65 and over,15_possible_65 and over,18_likely_65 and over,18_possible_65 and over,21_likely_65 and over,21_possible_65 and over,average_likely_65 and over,average_possible_65 and over
0,Filmtheater Hasetor,Filmtheater Hasetor_Kameradschaftsweg_15.csv,1851.5,405.5,6.0,1.0,Filmtheater Hasetor_Kameradschaftsweg_18.csv,1431.5,405.5,6.0,2.0,Filmtheater Hasetor_Kameradschaftsweg_21.csv,1611.5,405.5,6.0,1.0,694.6,3623.9,Osnabrück,POINT (8.098355433538945 52.29700930162381),4040.613858091296,4129.118674181616,,4894.5,2.23014781214238,2.884469908614472,2.56228276399728,2.558966828251377,4199.9,transit,1851.5,car,1440.0,22.22522279233054,transit,1431.5,car,1020.0,28.74607055536151,transit,1611.5,car,1200.0,25.53521563760472,3660.0,25.502169661765592,4.0,1851.5,1431.5,1611.5,1631.5,9103.0,no,yes,8263.0,no,yes,8623.0,no,yes,8663.0,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes
1,Hall of Fame,Hall of Fame_Kameradschaftsweg_15.csv,1322.6,426.6,56.0,0.0,Hall of Fame_Kameradschaftsweg_18.csv,1322.6,426.6,56.0,0.0,Hall of Fame_Kameradschaftsweg_21.csv,1322.6,426.6,56.0,0.0,737.9,3218.1,Osnabrück,POINT (8.098355433538945 52.29700930162381),4040.613858091296,3861.314116687444,,3967.8,2.9194874615813124,2.9194874615813124,2.9194874615813124,2.9194874615813124,3229.9,transit,1322.6,car,839.9999999999999,36.48873431120521,transit,1322.6,car,839.9999999999999,36.48873431120521,transit,1322.6,car,839.9999999999999,36.48873431120521,2519.9999999999995,36.48873431120521,0.0,1322.6,1322.6,1322.6,1322.6,8045.2,no,yes,8045.2,no,yes,8045.2,no,yes,8045.2,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes
2,3-Seiten-Kino,3-Seiten-Kino_Kameradschaftsweg_15.csv,880.3,426.6,333.7,0.0,3-Seiten-Kino_Kameradschaftsweg_18.csv,880.3,426.6,333.7,0.0,no routes possible to this cinema,,,,,767.4,4847.5,Osnabrück,POINT (8.098355433538945 52.29700930162381),4040.613858091296,5620.961773912055,,,6.385279761345059,6.385279761345059,,,,transit,880.3,car,120.0,86.36828353970238,transit,880.3,car,120.0,86.36828353970238,foot,4847.5,car,,,,,,880.3,880.3,4847.5,2202.7000000000003,7160.6,no,yes,7160.6,no,yes,15095.0,no,yes,9805.400000000001,no,yes,no,yes,no,yes,no,yes,no,yes,yes,yes,yes,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes
3,Cinema Arthouse,Cinema Arthouse_Kameradschaftsweg_15.csv,1198.7,426.6,232.1,0.0,Cinema Arthouse_Kameradschaftsweg_18.csv,1198.7,426.6,232.1,0.0,Cinema Arthouse_Kameradschaftsweg_21.csv,1149.0,405.5,203.5,0.0,677.1,3264.1,Osnabrück,POINT (8.098355433538945 52.29700930162381),4040.613858091296,3928.910052265592,,3546.4,3.277642489585044,3.277642489585044,3.419416929735067,3.3249006363017184,2869.3,transit,1198.7,car,540.0,54.951197130224415,transit,1198.7,car,540.0,54.951197130224415,transit,1149.0,car,540.0,53.00261096605744,1620.0,54.30166840883543,0.0,1198.7,1198.7,1149.0,1182.1333333333334,7797.4,no,yes,7797.4,no,yes,7698.0,no,yes,7764.266666666666,no,yes,no,yes,no,yes,no,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes
4,Filmtheater Hasetor,Filmtheater Hasetor_Bergerskamp_15.csv,1629.3,303.3,6.0,1.0,Filmtheater Hasetor_Bergerskamp_18.csv,1629.3,303.3,6.0,1.0,Filmtheater Hasetor_Bergerskamp_21.csv,1389.3,303.3,6.0,1.0,611.3,2816.3,Osnabrück,POINT (8.03554612503724 52.252051557520225),3035.885960410433,3258.641446314514,,4647.9,2.0000254381111606,2.0000254381111606,2.3455275651871546,2.1151928138031586,4036.6,transit,1629.3,car,1320.0,18.98361259436568,transit,1629.3,car,1320.0,18.98361259436568,transit,1389.3,car,1080.0,22.263010148995896,3720.0,20.076745112575757,3.0,1629.3,1629.3,1389.3,1549.3,8658.6,no,yes,8658.6,no,yes,8178.6,no,yes,8498.6,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes
5,Hall of Fame,Hall of Fame_Bergerskamp_15.csv,1499.3,303.3,56.0,2.0,Hall of Fame_Bergerskamp_18.csv,1559.3,303.3,56.0,1.0,Hall of Fame_Bergerskamp_21.csv,1611.8,655.8,56.0,1.0,430.6,2300.8,Osnabrück,POINT (8.03554612503724 52.252051557520225),3035.885960410433,2745.5719416801853,,4670.4,1.8312358711933472,1.7607721039441964,1.70341974294589,1.765142572694478,4239.799999999999,transit,1499.3,car,1140.0,23.964516774494765,transit,1559.3,car,1200.0,23.042390816391976,transit,1611.8,car,900.0,44.16180667576622,3240.0,30.389571422217657,4.0,1499.3,1559.3,1611.8,1556.8,8398.6,no,yes,8518.6,no,yes,8623.6,no,yes,8513.6,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes
6,3-Seiten-Kino,3-Seiten-Kino_Bergerskamp_15.csv,2257.0,303.3,333.7,1.0,3-Seiten-Kino_Bergerskamp_18.csv,2257.0,303.3,333.7,1.0,3-Seiten-Kino_Bergerskamp_21.csv,2369.5,655.8,333.7,1.0,716.6,2219.7,Osnabrück,POINT (8.03554612503724 52.252051557520225),3035.885960410433,2367.466205742328,,6883.5,1.0489438217732956,1.0489438217732956,0.999141677882392,1.0323431071429945,6166.9,foot,2219.7,car,1620.0,28.2233052724856,foot,2219.7,car,1620.0,28.2233052724856,foot,2219.7,car,1380.0,41.75986495041148,4620.0,32.73549183179423,3.0,2219.7,2219.7,2219.7,2219.7,9839.4,no,yes,9839.4,no,yes,9839.4,no,yes,9839.4,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes
7,Cinema Arthouse,Cinema Arthouse_Bergerskamp_15.csv,1315.4,303.3,232.1,0.0,Cinema Arthouse_Bergerskamp_18.csv,1315.4,303.3,232.1,0.0,Cinema Arthouse_Bergerskamp_21.csv,1195.4,303.3,232.1,1.0,559.3,2626.4,Osnabrück,POINT (8.03554612503724 52.252051557520225),3035.885960410433,3006.127377714274,,3826.2,2.285333265709498,2.285333265709498,2.5147460077917634,2.36180417973692,3266.9000000000005,transit,1315.4,car,780.0000000000001,40.70244792458567,transit,1315.4,car,780.0000000000001,40.70244792458567,transit,1195.4,car,660.0000000000001,44.78835536222184,2220.0000000000005,42.0644170704644,1.0,1315.4,1315.4,1195.4,1275.4,8030.8,no,yes,8030.8,no,yes,7790.8,no,yes,7950.8,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,yes,yes,yes,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes
8,Filmtheater Hasetor,Filmtheater Hasetor_LipperStraße_15.csv,1689.6,543.6,6.0,1.0,Filmtheater Hasetor_LipperStraße_18.csv,2049.6,543.6,6.0,1.0,no routes possible to this cinema,,,,,728.7,3453.5,Osnabrück,POINT (8.005411426610497 52.256298067489325),3778.462363230007,3789.4298227515487,,,2.242797006836854,1.8488631063385776,,,,transit,1689.6,car,1140.0,32.52840909090909,transit,2049.6,car,1500.0,26.81498829039813,foot,3453.5,car,,,,,,1689.6,2049.6,3453.5,2397.5666666666666,8779.2,no,yes,9499.2,no,yes,12307.0,no,yes,10195.133333333333,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes
9,Hall of Fame,Hall of Fame_LipperStraße_15.csv,1559.6,543.6,56.0,1.0,Hall of Fame_LipperStraße_18.csv,1919.6,543.6,56.0,1.0,Hall of Fame_LipperStraße_21.csv,1919.6,543.6,56.0,1.0,753.0,3684.6,Osnabrück,POINT (8.005411426610497 52.256298067489325),3778.462363230007,4046.722435463687,,5398.799999999999,2.594718155593541,2.108107124121529,2.108107124121529,2.270310801278866,4645.799999999999,transit,1559.6,car,960.0,38.44575532187741,transit,1919.6,car,1320.0,31.23567409877058,transit,1919.6,car,1320.0,31.23567409877058,3600.0,33.63903450647286,3.0,1559.6,1919.6,1919.6,1799.5999999999997,8519.2,no,yes,9239.2,no,yes,9239.2,no,yes,8999.199999999999,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes
