,group,average travel time,average visit time,average likely,average possible,15 travel time,15 visit time,15 mode,15 likely,15 possible,18 travel time,18 visit time,18 mode,18 likely,18 possible,21 travel time,21 visit time,21 mode,21 likely,21 possible
0,,,,yes,yes,,,transit,yes,yes,,,transit,yes,yes,,,transit,yes,yes
0,women,2687.6,10775.2,no,yes,2687.6,10775.2,foot,no,yes,2687.6,10775.2,foot,no,yes,2687.6,10775.2,foot,no,yes
1,women,3933.6,13267.2,no,yes,3109.2,11618.4,transit,no,yes,4345.8,14091.6,foot,no,yes,4345.8,14091.6,foot,no,yes
2,women,2034.5999999999997,9469.199999999999,no,yes,2034.6,9469.2,foot,no,yes,2034.6,9469.2,foot,no,yes,2034.6,9469.2,foot,no,yes
3,women,805.1,7010.2,no,yes,805.1,7010.2,transit,no,yes,805.1,7010.2,transit,no,yes,805.1,7010.2,transit,no,yes
4,women,1572.8666666666668,8545.733333333334,no,yes,1017.8,7435.6,transit,no,yes,1017.8,7435.6,transit,no,yes,2683.0,10766.0,foot,no,yes
5,women,1430.7,8261.4,no,yes,1059.1,7518.2,transit,no,yes,1059.1,7518.2,transit,no,yes,2173.9,9747.8,foot,no,yes
6,women,437.2,6274.4,yes,yes,437.2,6274.4,foot,yes,yes,437.2,6274.4,foot,yes,yes,437.2,6274.4,foot,yes,yes
7,women,853.2999999999998,7106.599999999999,no,yes,853.3,7106.6,transit,no,yes,853.3,7106.6,transit,no,yes,853.3,7106.6,transit,no,yes
8,women,2169.2,9738.4,no,yes,2169.2,9738.4,foot,no,yes,2169.2,9738.4,foot,no,yes,2169.2,9738.4,foot,no,yes
9,women,2578.0,10556.0,no,yes,2578.0,10556.0,foot,no,yes,2578.0,10556.0,foot,no,yes,2578.0,10556.0,foot,no,yes
10,women,2536.7,10473.4,no,yes,2536.7,10473.4,foot,no,yes,2536.7,10473.4,foot,no,yes,2536.7,10473.4,foot,no,yes
