,group,average travel time,average visit time,average likely,average possible,15 travel time,15 visit time,15 mode,15 likely,15 possible,18 travel time,18 visit time,18 mode,18 likely,18 possible,21 travel time,21 visit time,21 mode,21 likely,21 possible
0,,,,yes,yes,,,transit,yes,yes,,,transit,yes,yes,,,transit,yes,yes
0,women,476.26666666666665,6352.533333333333,yes,yes,450.5,6301.0,transit,yes,yes,450.5,6301.0,transit,yes,yes,527.8,6455.6,transit,yes,yes
1,women,1551.7,8503.4,no,yes,1551.7,8503.4,foot,no,yes,1551.7,8503.4,foot,no,yes,1551.7,8503.4,foot,no,yes
2,women,560.0,6520.0,yes,yes,560.0,6520.0,foot,yes,yes,560.0,6520.0,foot,yes,yes,560.0,6520.0,foot,yes,yes
3,women,499.3,6398.6,yes,yes,499.3,6398.6,foot,yes,yes,499.3,6398.6,foot,yes,yes,499.3,6398.6,foot,yes,yes
4,women,1383.0666666666666,8166.133333333333,no,yes,1357.3,8114.6,transit,no,yes,1357.3,8114.6,transit,no,yes,1434.6,8269.2,transit,no,yes
5,women,475.2,6350.4,yes,yes,475.2,6350.4,foot,yes,yes,475.2,6350.4,foot,yes,yes,475.2,6350.4,foot,yes,yes
6,women,3713.9,12827.8,no,yes,3713.9,12827.8,foot,no,yes,3713.9,12827.8,foot,no,yes,3713.9,12827.8,foot,no,yes
7,women,1560.4000000000003,8520.800000000001,no,yes,1560.4,8520.8,foot,no,yes,1560.4,8520.8,foot,no,yes,1560.4,8520.8,foot,no,yes
8,women,627.4,6654.8,yes,yes,627.4,6654.8,foot,yes,yes,627.4,6654.8,foot,yes,yes,627.4,6654.8,foot,yes,yes
9,women,781.6666666666666,6963.333333333333,no,yes,755.9,6911.8,transit,no,yes,755.9,6911.8,transit,no,yes,833.2,7066.4,transit,no,yes
10,women,650.3,6700.6,yes,yes,650.3,6700.6,foot,yes,yes,650.3,6700.6,foot,yes,yes,650.3,6700.6,foot,yes,yes
11,women,1337.5666666666666,8075.133333333333,no,yes,1311.8,8023.6,transit,no,yes,1311.8,8023.6,transit,no,yes,1389.1,8178.2,transit,no,yes
12,women,414.0,6228.0,yes,yes,414.0,6228.0,foot,yes,yes,414.0,6228.0,foot,yes,yes,414.0,6228.0,foot,yes,yes
13,women,467.6000000000001,6335.2,yes,yes,467.6,6335.2,foot,yes,yes,467.6,6335.2,foot,yes,yes,467.6,6335.2,foot,yes,yes
14,women,964.7999999999998,7329.599999999999,no,yes,964.8,7329.6,foot,no,yes,964.8,7329.6,foot,no,yes,964.8,7329.6,foot,no,yes
15,women,938.5,7277.0,no,yes,938.5,7277.0,foot,no,yes,938.5,7277.0,foot,no,yes,938.5,7277.0,foot,no,yes
16,women,3335.9,12071.8,no,yes,3335.9,12071.8,foot,no,yes,3335.9,12071.8,foot,no,yes,3335.9,12071.8,foot,no,yes
17,women,995.6,7391.2,no,yes,1032.0,7464.0,transit,no,yes,1032.0,7464.0,transit,no,yes,922.8,7245.6,transit,no,yes
18,women,3477.1,12354.2,no,yes,3477.1,12354.2,foot,no,yes,3477.1,12354.2,foot,no,yes,3477.1,12354.2,foot,no,yes
19,women,128.8,5657.6,yes,yes,128.8,5657.6,foot,yes,yes,128.8,5657.6,foot,yes,yes,128.8,5657.6,foot,yes,yes
20,women,486.2,6372.4,yes,yes,486.2,6372.4,transit,yes,yes,486.2,6372.4,transit,yes,yes,486.2,6372.4,transit,yes,yes
21,women,696.4,6792.8,yes,yes,696.4,6792.8,foot,yes,yes,696.4,6792.8,foot,yes,yes,696.4,6792.8,foot,yes,yes
22,women,2574.4,10548.8,no,yes,2574.4,10548.8,foot,no,yes,2574.4,10548.8,foot,no,yes,2574.4,10548.8,foot,no,yes
23,women,3477.1,12354.2,no,yes,3477.1,12354.2,foot,no,yes,3477.1,12354.2,foot,no,yes,3477.1,12354.2,foot,no,yes
24,women,1507.1000000000001,8414.2,no,yes,1543.5,8487.0,transit,no,yes,1543.5,8487.0,transit,no,yes,1434.3,8268.6,transit,no,yes
25,women,784.9,6969.8,no,yes,821.3,7042.6,transit,no,yes,821.3,7042.6,transit,no,yes,712.1,6824.2,transit,yes,yes
26,women,902.1,7204.2,no,yes,902.1,7204.2,foot,no,yes,902.1,7204.2,foot,no,yes,902.1,7204.2,foot,no,yes
27,women,251.69999999999996,5903.4,yes,yes,251.7,5903.4,foot,yes,yes,251.7,5903.4,foot,yes,yes,251.7,5903.4,foot,yes,yes
28,women,2707.6,10815.2,no,yes,2707.6,10815.2,foot,no,yes,2707.6,10815.2,foot,no,yes,2707.6,10815.2,foot,no,yes
29,women,194.4,5788.8,yes,yes,194.4,5788.8,foot,yes,yes,194.4,5788.8,foot,yes,yes,194.4,5788.8,foot,yes,yes
30,women,3006.5,11413.0,no,yes,3006.5,11413.0,transit,no,yes,3006.5,11413.0,transit,no,yes,3006.5,11413.0,transit,no,yes
31,women,3546.9,12493.8,no,yes,3546.9,12493.8,foot,no,yes,3546.9,12493.8,foot,no,yes,3546.9,12493.8,foot,no,yes
32,women,3631.3000000000006,12662.600000000002,no,yes,3631.3,12662.6,foot,no,yes,3631.3,12662.6,foot,no,yes,3631.3,12662.6,foot,no,yes
33,women,618.3666666666667,6636.733333333334,yes,yes,592.6,6585.2,transit,yes,yes,592.6,6585.2,transit,yes,yes,669.9,6739.8,transit,yes,yes
34,women,242.1,5884.2,yes,yes,242.1,5884.2,foot,yes,yes,242.1,5884.2,foot,yes,yes,242.1,5884.2,foot,yes,yes
35,women,3797.5,12995.0,no,yes,3797.5,12995.0,foot,no,yes,3797.5,12995.0,foot,no,yes,3797.5,12995.0,foot,no,yes
36,women,995.3000000000001,7390.6,no,yes,962.5,7325.0,transit,no,yes,962.5,7325.0,transit,no,yes,1060.9,7521.8,transit,no,yes
37,women,1341.3,8082.6,no,yes,1341.3,8082.6,foot,no,yes,1341.3,8082.6,foot,no,yes,1341.3,8082.6,foot,no,yes
38,women,3168.0,11736.0,no,yes,3168.0,11736.0,foot,no,yes,3168.0,11736.0,foot,no,yes,3168.0,11736.0,foot,no,yes
39,women,1314.9,8029.8,no,yes,1314.9,8029.8,foot,no,yes,1314.9,8029.8,foot,no,yes,1314.9,8029.8,foot,no,yes
40,women,1218.4,7836.8,no,yes,1218.4,7836.8,foot,no,yes,1218.4,7836.8,foot,no,yes,1218.4,7836.8,foot,no,yes
