,group,average travel time,average visit time,average likely,average possible,15 travel time,15 visit time,15 mode,15 likely,15 possible,18 travel time,18 visit time,18 mode,18 likely,18 possible,21 travel time,21 visit time,21 mode,21 likely,21 possible
0,,,,yes,yes,,,transit,yes,yes,,,transit,yes,yes,,,transit,yes,yes
0,women,510.0,6420.0,yes,yes,510.0,6420.0,transit,yes,yes,510.0,6420.0,transit,yes,yes,510.0,6420.0,transit,yes,yes
1,women,910.5,7221.0,no,yes,910.5,7221.0,foot,no,yes,910.5,7221.0,foot,no,yes,910.5,7221.0,foot,no,yes
2,women,330.2,6060.4,yes,yes,328.8,6057.6,transit,yes,yes,330.9,6061.8,foot,yes,yes,330.9,6061.8,foot,yes,yes
3,women,298.40000000000003,5996.8,yes,yes,172.8,5745.6,transit,yes,yes,361.2,6122.4,transit,yes,yes,361.2,6122.4,transit,yes,yes
4,women,283.4,5966.8,yes,yes,283.4,5966.8,foot,yes,yes,283.4,5966.8,foot,yes,yes,283.4,5966.8,foot,yes,yes
5,women,928.6,7257.2,no,yes,928.6,7257.2,foot,no,yes,928.6,7257.2,foot,no,yes,928.6,7257.2,foot,no,yes
6,women,486.8999999999999,6373.8,yes,yes,486.9,6373.8,transit,yes,yes,486.9,6373.8,transit,yes,yes,486.9,6373.8,transit,yes,yes
7,women,989.7999999999998,7379.599999999999,no,yes,989.8,7379.6,foot,no,yes,989.8,7379.6,foot,no,yes,989.8,7379.6,foot,no,yes
8,women,1668.9333333333334,8737.866666666667,no,yes,1502.0,8404.0,transit,no,yes,1502.0,8404.0,transit,no,yes,2002.8,9405.6,transit,no,yes
9,women,1644.0666666666666,8688.133333333333,no,yes,1620.6,8641.2,transit,no,yes,1620.6,8641.2,transit,no,yes,1691.0,8782.0,transit,no,yes
10,women,378.5,6157.0,yes,yes,378.5,6157.0,transit,yes,yes,378.5,6157.0,transit,yes,yes,378.5,6157.0,transit,yes,yes
11,women,583.6,6567.2,yes,yes,583.6,6567.2,transit,yes,yes,583.6,6567.2,transit,yes,yes,583.6,6567.2,transit,yes,yes
12,women,415.8666666666666,6231.733333333334,yes,yes,336.8,6073.6,transit,yes,yes,455.4,6310.8,transit,yes,yes,455.4,6310.8,transit,yes,yes
13,women,1009.2999999999998,7418.599999999999,no,yes,1009.3,7418.6,foot,no,yes,1009.3,7418.6,foot,no,yes,1009.3,7418.6,foot,no,yes
14,women,921.6,7243.2,no,yes,921.6,7243.2,transit,no,yes,921.6,7243.2,transit,no,yes,921.6,7243.2,transit,no,yes
15,women,610.6,6621.2,yes,yes,610.6,6621.2,foot,yes,yes,610.6,6621.2,foot,yes,yes,610.6,6621.2,foot,yes,yes
16,women,422.23333333333335,6244.466666666667,yes,yes,343.1,6086.2,transit,yes,yes,461.8,6323.6,transit,yes,yes,461.8,6323.6,transit,yes,yes
17,women,1029.0,7458.0,no,yes,1029.0,7458.0,foot,no,yes,1029.0,7458.0,foot,no,yes,1029.0,7458.0,foot,no,yes
18,women,488.8,6377.6,yes,yes,488.8,6377.6,transit,yes,yes,488.8,6377.6,transit,yes,yes,488.8,6377.6,transit,yes,yes
19,women,1421.5,8243.0,no,yes,1457.8,8315.6,transit,no,yes,1457.8,8315.6,transit,no,yes,1348.9,8097.8,transit,no,yes
