,group,average travel time,average visit time,average likely,average possible,15 travel time,15 visit time,15 mode,15 likely,15 possible,18 travel time,18 visit time,18 mode,18 likely,18 possible,21 travel time,21 visit time,21 mode,21 likely,21 possible
0,,,,yes,yes,,,,,,,,,,,,,,,
0,,,,,,,,transit,yes,yes,,,,,,,,,,
0,,,,,,,,,,,,,transit,yes,yes,,,,,
0,,,,,,,,,,,,,,,,,,transit,yes,yes
0,women,598.8333333333334,6597.666666666667,yes,yes,614.5,6629.0,transit,yes,yes,614.5,6629.0,transit,yes,yes,567.5,6535.0,transit,yes,yes
1,women,1236.8,7873.6,no,yes,1193.9,7787.8,transit,no,yes,1193.9,7787.8,transit,no,yes,1322.6,8045.2,transit,no,yes
2,women,783.5,6967.0,no,yes,783.5,6967.0,transit,no,yes,783.5,6967.0,transit,no,yes,783.5,6967.0,transit,no,yes
3,women,506.2,6412.4,yes,yes,506.2,6412.4,foot,yes,yes,506.2,6412.4,foot,yes,yes,506.2,6412.4,foot,yes,yes
4,women,490.5,6381.0,yes,yes,490.5,6381.0,transit,yes,yes,490.5,6381.0,transit,yes,yes,490.5,6381.0,transit,yes,yes
5,women,1492.2,8384.4,no,yes,1552.2,8504.4,transit,no,yes,1552.2,8504.4,transit,no,yes,1372.2,8144.4,transit,no,yes
6,women,1506.5,8413.0,no,yes,1426.5,8253.0,transit,no,yes,1426.5,8253.0,transit,no,yes,1666.5,8733.0,transit,no,yes
7,women,1343.7666666666667,8087.533333333333,no,yes,1295.9,7991.8,transit,no,yes,1295.9,7991.8,transit,no,yes,1439.5,8279.0,transit,no,yes
8,women,1051.1,7502.2,no,yes,1071.1,7542.2,transit,no,yes,1071.1,7542.2,transit,no,yes,1011.1,7422.2,transit,no,yes
9,women,1812.8,9025.6,no,yes,1772.8,8945.6,transit,no,yes,1772.8,8945.6,transit,no,yes,1892.8,9185.6,transit,no,yes
10,women,387.1000000000001,6174.2,yes,yes,387.1,6174.2,transit,yes,yes,387.1,6174.2,transit,yes,yes,387.1,6174.2,transit,yes,yes
11,women,1036.5,7473.0,no,yes,1036.5,7473.0,transit,no,yes,1036.5,7473.0,transit,no,yes,1036.5,7473.0,transit,no,yes
