,group,average travel time,average visit time,average likely,average possible,15 travel time,15 visit time,15 mode,15 likely,15 possible,18 travel time,18 visit time,18 mode,18 likely,18 possible,21 travel time,21 visit time,21 mode,21 likely,21 possible
0,,,,yes,yes,,,transit,yes,yes,,,transit,yes,yes,,,transit,yes,yes
0,women,,,no,no,,,foot,no,no,,,foot,no,no,,,foot,no,no
1,women,,,no,no,,,foot,no,no,,,foot,no,no,,,foot,no,no
2,women,,,no,no,,,foot,no,no,,,foot,no,no,,,foot,no,no
3,women,,,no,no,,,foot,no,no,,,foot,no,no,,,foot,no,no
4,women,,,no,no,,,foot,no,no,,,foot,no,no,,,foot,no,no
5,women,,,no,no,,,foot,no,no,,,foot,no,no,,,foot,no,no
6,women,,,no,no,,,foot,no,no,,,foot,no,no,,,foot,no,no
7,women,,,no,no,,,foot,no,no,,,foot,no,no,,,foot,no,no
8,women,,,no,no,,,foot,no,no,,,foot,no,no,,,foot,no,no
9,women,,,no,no,,,foot,no,no,,,foot,no,no,,,foot,no,no
10,women,,,no,no,,,foot,no,no,,,foot,no,no,,,foot,no,no
11,women,,,no,no,,,foot,no,no,,,foot,no,no,,,foot,no,no
12,women,,,no,no,,,foot,no,no,,,foot,no,no,,,foot,no,no
13,women,,,no,no,,,foot,no,no,,,foot,no,no,,,foot,no,no
14,women,,,no,no,,,foot,no,no,,,foot,no,no,,,foot,no,no
15,women,,,no,no,,,foot,no,no,,,foot,no,no,,,foot,no,no
16,women,,,no,no,,,foot,no,no,,,foot,no,no,,,foot,no,no
17,women,,,no,no,,,foot,no,no,,,foot,no,no,,,foot,no,no
18,women,,,no,no,,,foot,no,no,,,foot,no,no,,,foot,no,no
19,women,,,no,no,,,foot,no,no,,,foot,no,no,,,foot,no,no
20,women,,,no,no,,,foot,no,no,,,foot,no,no,,,foot,no,no
21,women,,,no,no,,,foot,no,no,,,foot,no,no,,,foot,no,no
22,women,,,no,no,,,foot,no,no,,,foot,no,no,,,foot,no,no
23,women,,,no,no,,,foot,no,no,,,foot,no,no,,,foot,no,no
24,women,,,no,no,,,foot,no,no,,,foot,no,no,,,foot,no,no
25,women,,,no,no,,,foot,no,no,,,foot,no,no,,,foot,no,no
26,women,,,no,no,,,foot,no,no,,,foot,no,no,,,foot,no,no
27,women,,,no,no,,,foot,no,no,,,foot,no,no,,,foot,no,no
28,women,,,no,no,,,foot,no,no,,,foot,no,no,,,foot,no,no
29,women,,,no,no,,,foot,no,no,,,foot,no,no,,,foot,no,no
30,women,,,no,no,,,foot,no,no,,,foot,no,no,,,foot,no,no
31,women,,,no,no,,,foot,no,no,,,foot,no,no,,,foot,no,no
32,women,,,no,no,,,foot,no,no,,,foot,no,no,,,foot,no,no
33,women,,,no,no,,,foot,no,no,,,foot,no,no,,,foot,no,no
34,women,,,no,no,,,foot,no,no,,,foot,no,no,,,foot,no,no
35,women,,,no,no,,,foot,no,no,,,foot,no,no,,,foot,no,no
36,women,,,no,no,,,foot,no,no,,,foot,no,no,,,foot,no,no
37,women,,,no,no,,,foot,no,no,,,foot,no,no,,,foot,no,no
38,women,,,no,no,,,foot,no,no,,,foot,no,no,,,foot,no,no
39,women,,,no,no,,,foot,no,no,,,foot,no,no,,,foot,no,no
40,women,,,no,no,,,foot,no,no,,,foot,no,no,,,foot,no,no
41,women,,,no,no,,,foot,no,no,,,foot,no,no,,,foot,no,no
42,women,,,no,no,,,foot,no,no,,,foot,no,no,,,foot,no,no
43,women,,,no,no,,,foot,no,no,,,foot,no,no,,,foot,no,no
44,women,,,no,no,,,foot,no,no,,,foot,no,no,,,foot,no,no
45,women,,,no,no,,,foot,no,no,,,foot,no,no,,,foot,no,no
46,women,,,no,no,,,foot,no,no,,,foot,no,no,,,foot,no,no
47,women,,,no,no,,,foot,no,no,,,foot,no,no,,,foot,no,no
48,women,,,no,no,,,foot,no,no,,,foot,no,no,,,foot,no,no
49,women,,,no,no,,,foot,no,no,,,foot,no,no,,,foot,no,no
50,women,,,no,no,,,foot,no,no,,,foot,no,no,,,foot,no,no
51,women,,,no,no,,,foot,no,no,,,foot,no,no,,,foot,no,no
52,women,,,no,no,,,foot,no,no,,,foot,no,no,,,foot,no,no
53,women,,,no,no,,,foot,no,no,,,foot,no,no,,,foot,no,no
54,women,,,no,no,,,foot,no,no,,,foot,no,no,,,foot,no,no
55,women,,,no,no,,,foot,no,no,,,foot,no,no,,,foot,no,no
56,women,,,no,no,,,foot,no,no,,,foot,no,no,,,foot,no,no
57,women,,,no,no,,,foot,no,no,,,foot,no,no,,,foot,no,no
58,women,,,no,no,,,foot,no,no,,,foot,no,no,,,foot,no,no
59,women,,,no,no,,,foot,no,no,,,foot,no,no,,,foot,no,no
60,women,,,no,no,,,foot,no,no,,,foot,no,no,,,foot,no,no
61,women,,,no,no,,,foot,no,no,,,foot,no,no,,,foot,no,no
62,women,,,no,no,,,foot,no,no,,,foot,no,no,,,foot,no,no
63,women,,,no,no,,,foot,no,no,,,foot,no,no,,,foot,no,no
64,women,,,no,no,,,foot,no,no,,,foot,no,no,,,foot,no,no
65,women,,,no,no,,,foot,no,no,,,foot,no,no,,,foot,no,no
66,women,,,no,no,,,foot,no,no,,,foot,no,no,,,foot,no,no
67,women,,,no,no,,,foot,no,no,,,foot,no,no,,,foot,no,no
68,women,,,no,no,,,foot,no,no,,,foot,no,no,,,foot,no,no
69,women,,,no,no,,,foot,no,no,,,foot,no,no,,,foot,no,no
70,women,,,no,no,,,foot,no,no,,,foot,no,no,,,foot,no,no
71,women,,,no,no,,,foot,no,no,,,foot,no,no,,,foot,no,no
72,women,,,no,no,,,foot,no,no,,,foot,no,no,,,foot,no,no
73,women,,,no,no,,,foot,no,no,,,foot,no,no,,,foot,no,no
74,women,,,no,no,,,foot,no,no,,,foot,no,no,,,foot,no,no
75,women,,,no,no,,,foot,no,no,,,foot,no,no,,,foot,no,no
76,women,,,no,no,,,foot,no,no,,,foot,no,no,,,foot,no,no
77,women,,,no,no,,,foot,no,no,,,foot,no,no,,,foot,no,no
78,women,,,no,no,,,foot,no,no,,,foot,no,no,,,foot,no,no
79,women,,,no,no,,,foot,no,no,,,foot,no,no,,,foot,no,no
80,women,,,no,no,,,foot,no,no,,,foot,no,no,,,foot,no,no
81,women,,,no,no,,,foot,no,no,,,foot,no,no,,,foot,no,no
82,women,,,no,no,,,foot,no,no,,,foot,no,no,,,foot,no,no
83,women,,,no,no,,,foot,no,no,,,foot,no,no,,,foot,no,no
84,women,,,no,no,,,foot,no,no,,,foot,no,no,,,foot,no,no
85,women,,,no,no,,,foot,no,no,,,foot,no,no,,,foot,no,no
86,women,,,no,no,,,foot,no,no,,,foot,no,no,,,foot,no,no
87,women,,,no,no,,,foot,no,no,,,foot,no,no,,,foot,no,no
88,women,,,no,no,,,foot,no,no,,,foot,no,no,,,foot,no,no
89,women,,,no,no,,,foot,no,no,,,foot,no,no,,,foot,no,no
90,women,,,no,no,,,foot,no,no,,,foot,no,no,,,foot,no,no
91,women,,,no,no,,,foot,no,no,,,foot,no,no,,,foot,no,no
92,women,,,no,no,,,foot,no,no,,,foot,no,no,,,foot,no,no
93,women,,,no,no,,,foot,no,no,,,foot,no,no,,,foot,no,no
94,women,,,no,no,,,foot,no,no,,,foot,no,no,,,foot,no,no
95,women,,,no,no,,,foot,no,no,,,foot,no,no,,,foot,no,no
96,women,,,no,no,,,foot,no,no,,,foot,no,no,,,foot,no,no
97,women,,,no,no,,,foot,no,no,,,foot,no,no,,,foot,no,no
98,women,,,no,no,,,foot,no,no,,,foot,no,no,,,foot,no,no
99,women,,,no,no,,,foot,no,no,,,foot,no,no,,,foot,no,no
100,women,,,no,no,,,foot,no,no,,,foot,no,no,,,foot,no,no
101,women,,,no,no,,,foot,no,no,,,foot,no,no,,,foot,no,no
102,women,,,no,no,,,foot,no,no,,,foot,no,no,,,foot,no,no
103,women,,,no,no,,,foot,no,no,,,foot,no,no,,,foot,no,no
