,group,average travel time,average visit time,average likely,average possible,15 travel time,15 visit time,15 mode,15 likely,15 possible,18 travel time,18 visit time,18 mode,18 likely,18 possible,21 travel time,21 visit time,21 mode,21 likely,21 possible
0,,,,yes,yes,,,,,,,,,,,,,,,
0,,,,,,,,transit,yes,yes,,,,,,,,,,
0,,,,,,,,,,,,,transit,yes,yes,,,,,
0,,,,,,,,,,,,,,,,,,transit,yes,yes
0,women,1138.5,7677.0,no,yes,1138.5,7677.0,foot,no,yes,1138.5,7677.0,foot,no,yes,1138.5,7677.0,foot,no,yes
1,women,741.7999999999998,6883.599999999999,no,yes,741.8,6883.6,foot,no,yes,741.8,6883.6,foot,no,yes,741.8,6883.6,foot,no,yes
2,women,773.7000000000002,6947.400000000001,no,yes,773.7,6947.4,foot,no,yes,773.7,6947.4,foot,no,yes,773.7,6947.4,foot,no,yes
3,women,787.6,6975.2,no,yes,787.6,6975.2,foot,no,yes,787.6,6975.2,foot,no,yes,787.6,6975.2,foot,no,yes
4,women,1314.0,8028.0,no,yes,1314.0,8028.0,foot,no,yes,1314.0,8028.0,foot,no,yes,1314.0,8028.0,foot,no,yes
5,women,1341.9,8083.8,no,yes,1341.9,8083.8,transit,no,yes,1341.9,8083.8,transit,no,yes,1341.9,8083.8,transit,no,yes
6,women,477.3,6354.6,yes,yes,477.3,6354.6,foot,yes,yes,477.3,6354.6,foot,yes,yes,477.3,6354.6,foot,yes,yes
7,women,1322.6,8045.2,no,yes,1322.6,8045.2,transit,no,yes,1322.6,8045.2,transit,no,yes,1322.6,8045.2,transit,no,yes
8,women,1466.7,8333.4,no,yes,1466.7,8333.4,transit,no,yes,1466.7,8333.4,transit,no,yes,1466.7,8333.4,transit,no,yes
9,women,1599.5,8599.0,no,yes,1599.5,8599.0,transit,no,yes,1599.5,8599.0,transit,no,yes,1599.5,8599.0,transit,no,yes
10,women,1731.4000000000003,8862.800000000001,no,yes,1731.4,8862.8,transit,no,yes,1731.4,8862.8,transit,no,yes,1731.4,8862.8,transit,no,yes
11,women,1146.1,7692.2,no,yes,1146.1,7692.2,transit,no,yes,1146.1,7692.2,transit,no,yes,1146.1,7692.2,transit,no,yes
