,group,average travel time,average visit time,average likely,average possible,15 travel time,15 visit time,15 mode,15 likely,15 possible,18 travel time,18 visit time,18 mode,18 likely,18 possible,21 travel time,21 visit time,21 mode,21 likely,21 possible
0,,,,yes,yes,,,transit,yes,yes,,,transit,yes,yes,,,transit,yes,yes
0,women,1140.8333333333333,7681.666666666666,no,yes,1155.3,7710.6,transit,no,yes,1024.8,7449.6,transit,no,yes,1242.4,7884.8,transit,no,yes
1,women,181.30000000000004,5762.6,yes,yes,181.3,5762.6,foot,yes,yes,181.3,5762.6,foot,yes,yes,181.3,5762.6,foot,yes,yes
2,women,896.0,7192.0,no,yes,941.8,7283.6,transit,no,yes,825.1,7050.2,transit,no,yes,921.1,7242.2,transit,no,yes
3,women,427.8999999999999,6255.8,yes,yes,427.9,6255.8,foot,yes,yes,427.9,6255.8,foot,yes,yes,427.9,6255.8,foot,yes,yes
4,women,1365.3000000000002,8130.6,no,yes,1043.4,7486.8,transit,no,yes,1501.2,8402.4,transit,no,yes,1551.3,8502.6,foot,no,yes
5,women,93.0,5586.0,yes,yes,93.0,5586.0,foot,yes,yes,93.0,5586.0,foot,yes,yes,93.0,5586.0,foot,yes,yes
6,women,1279.3666666666666,7958.733333333334,no,yes,1121.3,7642.6,transit,no,yes,1358.4,8116.8,foot,no,yes,1358.4,8116.8,foot,no,yes
7,women,100.09999999999998,5600.2,yes,yes,100.1,5600.2,foot,yes,yes,100.1,5600.2,foot,yes,yes,100.1,5600.2,foot,yes,yes
8,women,1140.8333333333333,7681.666666666666,no,yes,1151.0,7702.0,transit,no,yes,1120.5,7641.0,transit,no,yes,1151.0,7702.0,transit,no,yes
9,women,159.5,5719.0,yes,yes,159.5,5719.0,foot,yes,yes,159.5,5719.0,foot,yes,yes,159.5,5719.0,foot,yes,yes
10,women,1067.6333333333334,7535.266666666666,no,yes,836.8,7073.6,transit,no,yes,1005.6,7411.2,transit,no,yes,1360.5,8121.0,transit,no,yes
11,women,688.0333333333334,6776.066666666667,yes,yes,597.0,6594.0,transit,yes,yes,720.9,6841.8,transit,no,yes,746.2,6892.4,foot,no,yes
12,women,1325.4666666666665,8050.9333333333325,no,yes,1253.8,7907.6,transit,no,yes,1253.8,7907.6,transit,no,yes,1468.8,8337.6,transit,no,yes
13,women,271.0,5942.0,yes,yes,271.0,5942.0,foot,yes,yes,271.0,5942.0,foot,yes,yes,271.0,5942.0,foot,yes,yes
14,women,1063.6666666666667,7527.333333333334,no,yes,688.6,6777.2,transit,yes,yes,1251.2,7902.4,foot,no,yes,1251.2,7902.4,foot,no,yes
15,women,283.6,5967.2,yes,yes,283.6,5967.2,foot,yes,yes,283.6,5967.2,foot,yes,yes,283.6,5967.2,foot,yes,yes
16,women,1193.3666666666666,7786.733333333334,no,yes,1238.3,7876.6,transit,no,yes,1202.8,7805.6,transit,no,yes,1139.0,7678.0,transit,no,yes
17,women,241.69999999999996,5883.4,yes,yes,241.7,5883.4,foot,yes,yes,241.7,5883.4,foot,yes,yes,241.7,5883.4,foot,yes,yes
18,women,1614.4333333333334,8628.866666666667,no,yes,1329.4,8058.8,transit,no,yes,1329.4,8058.8,transit,no,yes,2184.5,9769.0,foot,no,yes
19,women,1023.4000000000001,7446.8,no,yes,1012.2,7424.4,transit,no,yes,1002.1,7404.2,transit,no,yes,1055.9,7511.8,foot,no,yes
20,women,631.8666666666667,6663.733333333334,yes,yes,446.1,6292.2,transit,yes,yes,446.1,6292.2,transit,yes,yes,1003.4,7406.8,transit,no,yes
21,women,1156.0,7712.0,no,yes,1101.6,7603.2,transit,no,yes,1101.6,7603.2,transit,no,yes,1264.8,7929.6,foot,no,yes
22,women,1378.8333333333333,8157.666666666666,no,yes,1025.9,7451.8,transit,no,yes,1556.7,8513.4,transit,no,yes,1553.9,8507.8,transit,no,yes
23,women,148.6,5697.2,yes,yes,148.6,5697.2,foot,yes,yes,148.6,5697.2,foot,yes,yes,148.6,5697.2,foot,yes,yes
24,women,1321.7333333333333,8043.466666666667,no,yes,1339.8,8079.6,transit,no,yes,1339.8,8079.6,transit,no,yes,1285.6,7971.2,transit,no,yes
25,women,165.0,5730.0,yes,yes,165.0,5730.0,foot,yes,yes,165.0,5730.0,foot,yes,yes,165.0,5730.0,foot,yes,yes
26,women,1327.1666666666667,8054.333333333334,no,yes,1046.6,7493.2,transit,no,yes,1446.1,8292.2,transit,no,yes,1488.8,8377.6,transit,no,yes
27,women,271.3,5942.6,yes,yes,271.3,5942.6,foot,yes,yes,271.3,5942.6,foot,yes,yes,271.3,5942.6,foot,yes,yes
28,women,1352.2,8104.4,no,yes,1352.2,8104.4,foot,no,yes,1352.2,8104.4,foot,no,yes,1352.2,8104.4,foot,no,yes
29,women,363.3333333333333,6126.666666666667,yes,yes,386.1,6172.2,foot,yes,yes,386.1,6172.2,foot,yes,yes,317.8,6035.6,transit,yes,yes
30,women,1314.5333333333333,8029.066666666667,no,yes,855.6,7111.2,transit,no,yes,1514.9,8429.8,transit,no,yes,1573.1,8546.2,foot,no,yes
31,women,727.4,6854.8,no,yes,727.4,6854.8,foot,no,yes,727.4,6854.8,foot,no,yes,727.4,6854.8,foot,no,yes
32,women,1978.7,9357.4,no,yes,1978.7,9357.4,foot,no,yes,1978.7,9357.4,foot,no,yes,1978.7,9357.4,foot,no,yes
33,women,928.2999999999998,7256.599999999999,no,yes,928.3,7256.6,foot,no,yes,928.3,7256.6,foot,no,yes,928.3,7256.6,foot,no,yes
34,women,1834.5333333333335,9069.066666666668,no,yes,1384.4,8168.8,transit,no,yes,2059.6,9519.2,foot,no,yes,2059.6,9519.2,foot,no,yes
35,women,1140.2,7680.4,no,yes,1140.2,7680.4,foot,no,yes,1140.2,7680.4,foot,no,yes,1140.2,7680.4,foot,no,yes
36,women,1478.2,8356.4,no,yes,1478.2,8356.4,foot,no,yes,1478.2,8356.4,foot,no,yes,1478.2,8356.4,foot,no,yes
37,women,94.90000000000002,5589.8,yes,yes,94.9,5589.8,foot,yes,yes,94.9,5589.8,foot,yes,yes,94.9,5589.8,foot,yes,yes
38,women,1599.0666666666668,8598.133333333333,no,yes,1867.4,9134.8,foot,no,yes,1607.9,8615.8,transit,no,yes,1321.9,8043.8,transit,no,yes
39,women,426.7,6253.4,yes,yes,426.7,6253.4,foot,yes,yes,426.7,6253.4,foot,yes,yes,426.7,6253.4,foot,yes,yes
40,women,1038.8333333333333,7477.666666666666,no,yes,1008.1,7416.2,transit,no,yes,1054.2,7508.4,transit,no,yes,1054.2,7508.4,transit,no,yes
41,women,113.09999999999998,5626.2,yes,yes,113.1,5626.2,foot,yes,yes,113.1,5626.2,foot,yes,yes,113.1,5626.2,foot,yes,yes
