,group,average travel time,average visit time,average likely,average possible,15 travel time,15 visit time,15 mode,15 likely,15 possible,18 travel time,18 visit time,18 mode,18 likely,18 possible,21 travel time,21 visit time,21 mode,21 likely,21 possible
0,,,,yes,yes,,,,,,,,,,,,,,,
0,,,,,,,,transit,yes,yes,,,,,,,,,,
0,,,,,,,,,,,,,transit,yes,yes,,,,,
0,,,,,,,,,,,,,,,,,,transit,yes,yes
0,women,1631.5,8663.0,no,yes,1851.5,9103.0,transit,no,yes,1431.5,8263.0,transit,no,yes,1611.5,8623.0,transit,no,yes
1,women,1322.6,8045.2,no,yes,1322.6,8045.2,transit,no,yes,1322.6,8045.2,transit,no,yes,1322.6,8045.2,transit,no,yes
2,women,2202.7000000000003,9805.400000000001,no,yes,880.3,7160.6,transit,no,yes,880.3,7160.6,transit,no,yes,4847.5,15095.0,foot,no,yes
3,women,1182.1333333333334,7764.266666666666,no,yes,1198.7,7797.4,transit,no,yes,1198.7,7797.4,transit,no,yes,1149.0,7698.0,transit,no,yes
4,women,1549.3,8498.6,no,yes,1629.3,8658.6,transit,no,yes,1629.3,8658.6,transit,no,yes,1389.3,8178.6,transit,no,yes
5,women,1556.8,8513.6,no,yes,1499.3,8398.6,transit,no,yes,1559.3,8518.6,transit,no,yes,1611.8,8623.6,transit,no,yes
6,women,2219.7,9839.4,no,yes,2219.7,9839.4,foot,no,yes,2219.7,9839.4,foot,no,yes,2219.7,9839.4,foot,no,yes
7,women,1275.4,7950.8,no,yes,1315.4,8030.8,transit,no,yes,1315.4,8030.8,transit,no,yes,1195.4,7790.8,transit,no,yes
8,women,2397.5666666666666,10195.133333333333,no,yes,1689.6,8779.2,transit,no,yes,2049.6,9499.2,transit,no,yes,3453.5,12307.0,foot,no,yes
9,women,1799.5999999999997,8999.199999999999,no,yes,1559.6,8519.2,transit,no,yes,1919.6,9239.2,transit,no,yes,1919.6,9239.2,transit,no,yes
10,women,4716.2,14832.4,no,yes,4716.2,14832.4,foot,no,yes,4716.2,14832.4,foot,no,yes,4716.2,14832.4,foot,no,yes
11,women,2321.5666666666666,10043.133333333333,no,yes,1647.1,8694.2,transit,no,yes,1647.1,8694.2,transit,no,yes,3670.5,12741.0,foot,no,yes
