,group,average travel time,average visit time,average likely,average possible,15 travel time,15 visit time,15 mode,15 likely,15 possible,18 travel time,18 visit time,18 mode,18 likely,18 possible,21 travel time,21 visit time,21 mode,21 likely,21 possible
0,,,,yes,yes,,,,,,,,,,,,,,,
0,,,,,,,,transit,yes,yes,,,,,,,,,,
0,,,,,,,,,,,,,transit,yes,yes,,,,,
0,,,,,,,,,,,,,,,,,,transit,yes,yes
0,women,1082.4,7564.8,no,yes,1082.4,7564.8,foot,no,yes,1082.4,7564.8,foot,no,yes,1082.4,7564.8,foot,no,yes
1,women,1325.1,8050.2,no,yes,1325.1,8050.2,foot,no,yes,1325.1,8050.2,foot,no,yes,1325.1,8050.2,foot,no,yes
2,women,1061.6,7523.2,no,yes,1061.6,7523.2,foot,no,yes,1061.6,7523.2,foot,no,yes,1061.6,7523.2,foot,no,yes
3,women,2167.3,9734.6,no,yes,2167.3,9734.6,foot,no,yes,2167.3,9734.6,foot,no,yes,2167.3,9734.6,foot,no,yes
4,women,3497.6,12395.2,no,yes,3497.6,12395.2,foot,no,yes,3497.6,12395.2,foot,no,yes,3497.6,12395.2,foot,no,yes
5,women,1093.2,7586.4,no,yes,1093.2,7586.4,foot,no,yes,1093.2,7586.4,foot,no,yes,1093.2,7586.4,foot,no,yes
6,women,1380.3,8160.6,no,yes,1380.3,8160.6,foot,no,yes,1380.3,8160.6,foot,no,yes,1380.3,8160.6,foot,no,yes
7,women,1291.4,7982.8,no,yes,1291.4,7982.8,foot,no,yes,1291.4,7982.8,foot,no,yes,1291.4,7982.8,foot,no,yes
8,women,1619.5999999999997,8639.199999999999,no,yes,1619.6,8639.2,foot,no,yes,1619.6,8639.2,foot,no,yes,1619.6,8639.2,foot,no,yes
9,women,1727.2,8854.4,no,yes,1727.2,8854.4,foot,no,yes,1727.2,8854.4,foot,no,yes,1727.2,8854.4,foot,no,yes
10,women,1470.3,8340.6,no,yes,1470.3,8340.6,foot,no,yes,1470.3,8340.6,foot,no,yes,1470.3,8340.6,foot,no,yes
11,women,972.0,7344.0,no,yes,972.0,7344.0,foot,no,yes,972.0,7344.0,foot,no,yes,972.0,7344.0,foot,no,yes
