,group,osm_cinemas,likely count,possible count
0,,,0,0
1,,,5,5
0,women,5,1,5
0,women,5,0,5
0,women,5,0,5
0,women,5,0,5
0,women,5,3,5
0,women,5,1,5
0,women,5,0,5
0,women,5,5,5
0,women,5,0,5
0,women,5,4,5
0,women,5,4,5
0,women,5,0,5
0,women,5,0,5
0,women,5,0,5
0,women,5,3,5
0,women,5,5,5
0,women,5,0,5
0,women,5,4,5
0,women,5,0,5
0,women,5,0,5
0,women,5,0,5
0,women,5,0,5
0,women,5,3,5
0,women,5,0,5
0,women,5,5,5
0,women,5,0,5
0,women,5,1,5
0,women,5,1,5
0,women,5,3,5
0,women,5,5,5
0,women,5,0,5
0,women,5,0,5
0,women,5,1,5
0,women,5,4,5
0,women,5,0,5
0,women,5,0,5
0,women,5,1,5
0,women,5,0,5
0,women,5,1,5
0,women,5,0,5
0,women,5,0,5
0,women,5,2,5
0,women,5,4,5
0,women,5,5,5
0,women,5,4,5
0,women,5,1,5
0,women,5,1,5
0,women,5,5,5
0,women,5,5,5
0,women,5,0,5
0,women,5,1,5
0,women,5,3,5
0,women,5,3,5
0,women,5,3,5
0,women,5,3,5
0,women,5,0,5
0,women,5,0,5
0,women,5,0,5
0,women,5,4,5
0,women,5,5,5
0,women,5,1,5
0,women,5,0,5
0,women,5,0,5
0,women,5,0,5
0,women,5,0,5
0,women,5,0,5
0,women,5,0,5
0,women,5,5,5
0,women,5,2,5
0,women,5,0,5
0,women,5,0,5
0,women,5,1,5
0,women,5,0,5
0,women,5,3,5
0,women,5,0,5
0,women,5,0,5
0,women,5,3,5
0,women,5,0,5
0,women,5,4,5
0,women,5,0,5
0,women,5,4,5
0,women,5,4,5
0,women,5,0,5
0,women,5,0,5
0,women,5,0,5
0,women,5,1,5
0,women,5,0,5
0,women,5,0,5
0,women,5,0,5
0,women,5,0,5
0,women,5,2,5
0,women,5,0,5
0,women,5,0,5
0,women,5,0,5
0,women,5,5,5
0,women,5,1,5
0,women,5,0,5
0,women,5,0,5
0,women,5,0,5
0,women,5,1,5
0,women,5,0,5
0,women,5,0,5
0,women,5,0,5
0,women,5,0,5
0,men,5,0,5
0,men,5,0,5
0,men,5,0,5
0,men,5,0,5
0,men,5,0,5
0,men,5,0,5
0,men,5,0,5
0,men,5,2,5
0,men,5,0,5
0,men,5,2,5
0,men,5,2,5
0,men,5,0,5
0,men,5,0,5
0,men,5,0,5
0,men,5,1,5
0,men,5,1,5
0,men,5,0,5
0,men,5,0,5
0,men,5,0,5
0,men,5,0,5
0,men,5,0,5
0,men,5,0,5
0,men,5,2,5
0,men,5,0,5
0,men,5,1,5
0,men,5,0,5
0,men,5,0,5
0,men,5,0,5
0,men,5,1,5
0,men,5,3,5
0,men,5,0,5
0,men,5,0,5
0,men,5,1,5
0,men,5,0,5
0,men,5,0,5
0,men,5,0,5
0,men,5,0,5
0,men,5,0,5
0,men,5,0,5
0,men,5,0,5
0,men,5,0,5
0,men,5,0,5
0,men,5,0,5
0,men,5,3,5
0,men,5,2,5
0,men,5,0,5
