,group,osm_cinemas,likely count,possible count
0,,,0,0
1,,,4,4
0,women,4,2,4
0,women,4,1,4
0,women,4,1,4
0,women,4,1,4
0,women,4,1,4
0,women,4,0,4
0,women,4,1,4
0,women,4,0,4
0,women,4,1,4
0,women,4,1,4
0,women,4,1,4
0,women,4,0,4
0,women,4,1,4
0,women,4,0,4
0,women,4,2,4
0,women,4,1,4
0,women,4,0,4
0,women,4,1,4
0,women,4,2,4
0,women,4,0,4
0,women,4,1,4
0,women,4,1,4
0,women,4,0,4
0,women,4,0,4
0,women,4,0,4
0,women,4,1,4
0,women,4,0,4
0,women,4,2,4
0,women,4,1,4
0,women,4,1,4
0,women,4,0,4
0,women,4,0,4
0,women,4,0,4
0,women,4,0,4
0,women,4,1,4
0,women,4,0,4
0,women,4,0,4
0,women,4,2,4
0,women,4,0,4
0,women,4,0,4
0,women,4,0,4
0,women,4,2,4
0,women,4,0,4
0,women,4,0,4
0,women,4,0,4
0,women,4,0,4
0,women,4,0,4
0,women,4,1,4
0,women,4,1,4
0,women,4,1,4
0,women,4,0,4
0,women,4,1,4
0,women,4,1,4
0,women,4,0,4
0,women,4,1,4
0,women,4,0,4
0,women,4,0,4
0,women,4,0,4
0,women,4,1,4
0,women,4,1,4
0,women,4,0,4
0,women,4,1,4
0,women,4,0,4
0,women,4,0,4
0,women,4,1,4
0,women,4,1,4
0,women,4,0,4
0,women,4,1,4
0,women,4,1,4
0,women,4,1,4
0,women,4,0,4
0,women,4,0,4
0,women,4,0,4
0,women,4,0,4
0,women,4,0,4
0,women,4,0,4
0,women,4,0,4
0,women,4,1,4
0,women,4,0,4
0,women,4,0,4
0,women,4,0,4
0,women,4,0,4
0,women,4,0,4
0,women,4,0,4
0,women,4,0,4
0,women,4,0,4
0,women,4,0,4
0,women,4,0,4
0,women,4,1,4
0,women,4,1,4
0,women,4,0,4
0,women,4,0,4
0,women,4,1,4
0,women,4,1,4
0,women,4,1,4
0,women,4,1,4
0,women,4,1,4
0,women,4,1,4
0,women,4,0,4
0,women,4,0,4
0,women,4,0,4
0,women,4,0,4
0,women,4,0,4
0,women,4,0,4
0,men,4,0,4
0,men,4,0,4
0,men,4,1,4
0,men,4,1,4
0,men,4,0,4
0,men,4,0,4
0,men,4,0,4
0,men,4,0,4
0,men,4,0,4
0,men,4,0,4
0,men,4,1,4
0,men,4,0,4
0,men,4,0,4
0,men,4,0,4
0,men,4,2,4
0,men,4,1,4
0,men,4,0,4
0,men,4,1,4
0,men,4,0,4
0,men,4,0,4
0,men,4,1,4
0,men,4,1,4
0,men,4,0,4
0,men,4,0,4
0,men,4,0,4
0,men,4,1,4
0,men,4,0,4
0,men,4,1,4
0,men,4,1,4
0,men,4,0,4
0,men,4,0,4
0,men,4,0,4
0,men,4,0,4
0,men,4,0,4
0,men,4,1,4
0,men,4,0,4
0,men,4,0,4
0,men,4,1,4
0,men,4,0,4
0,men,4,0,4
0,men,4,0,4
0,men,4,0,4
0,men,4,0,4
0,men,4,0,4
0,men,4,0,4
0,men,4,0,4
0,men,4,0,4
0,men,4,1,4
0,men,4,1,4
0,men,4,1,4
0,men,4,0,4
0,men,4,0,4
0,men,4,0,4
0,men,4,0,4
0,men,4,0,4
0,men,4,0,4
0,men,4,0,4
0,men,4,0,4
0,men,4,1,4
0,men,4,1,4
0,men,4,0,4
0,men,4,1,4
0,men,4,0,4
0,men,4,0,4
0,men,4,1,4
0,men,4,0,4
0,men,4,0,4
0,men,4,1,4
0,men,4,0,4
0,men,4,1,4
0,men,4,0,4
0,men,4,0,4
0,men,4,0,4
0,men,4,0,4
0,men,4,0,4
0,men,4,0,4
0,men,4,0,4
0,men,4,0,4
0,men,4,0,4
0,men,4,0,4
0,men,4,0,4
0,men,4,0,4
0,men,4,0,4
0,men,4,0,4
0,men,4,0,4
0,men,4,0,4
0,men,4,0,4
0,men,4,0,4
0,men,4,0,4
0,men,4,0,4
0,men,4,0,4
0,men,4,0,4
0,men,4,1,4
0,men,4,0,4
0,men,4,1,4
0,men,4,1,4
0,men,4,1,4
0,men,4,0,4
0,men,4,0,4
0,men,4,0,4
0,men,4,0,4
0,men,4,0,4
0,men,4,0,4
0,men,4,0,4
0,children 10-17,4,4,4
0,children 10-17,4,1,4
0,children 10-17,4,3,4
0,children 10-17,4,3,4
0,children 10-17,4,2,4
0,children 10-17,4,2,4
0,children 10-17,4,3,4
0,children 10-17,4,2,4
0,children 10-17,4,1,4
0,children 10-17,4,1,4
0,children 10-17,4,4,4
0,children 10-17,4,2,4
0,children 10-17,4,2,4
0,children 10-17,4,1,4
0,children 10-17,4,3,4
0,children 10-17,4,2,4
0,children 10-17,4,0,4
0,children 10-17,4,3,4
0,children 10-17,4,3,4
0,children 10-17,4,3,4
0,children 10-17,4,2,4
0,children 10-17,4,4,4
0,children 10-17,4,1,4
0,children 10-17,4,1,4
0,children 10-17,4,1,4
0,children 10-17,4,2,4
0,children 10-17,4,0,4
0,children 10-17,4,2,4
0,children 10-17,4,4,4
0,children 10-17,4,3,4
0,children 10-17,4,0,4
0,children 10-17,4,1,4
0,children 10-17,4,2,4
0,children 10-17,4,1,4
0,children 10-17,4,3,4
0,children 10-17,4,1,4
0,children 10-17,4,1,4
0,children 10-17,4,2,4
0,children 10-17,4,0,4
0,children 10-17,4,2,4
0,children 10-17,4,0,4
0,children 10-17,4,2,4
0,children 10-17,4,0,4
0,children 10-17,4,0,4
0,children 10-17,4,2,4
0,children 10-17,4,0,4
0,children 10-17,4,0,4
0,children 10-17,4,2,4
0,children 10-17,4,2,4
0,children 10-17,4,2,4
0,children 10-17,4,0,4
0,children 10-17,4,1,4
0,children 10-17,4,1,4
0,children 10-17,4,1,4
0,children 10-17,4,2,4
0,children 10-17,4,0,4
0,children 10-17,4,0,4
0,children 10-17,4,1,4
0,children 10-17,4,2,4
0,children 10-17,4,2,4
0,children 10-17,4,1,4
0,children 10-17,4,2,4
0,children 10-17,4,1,4
0,children 10-17,4,1,4
0,children 10-17,4,1,4
0,children 10-17,4,1,4
0,children 10-17,4,2,4
0,children 10-17,4,2,4
0,children 10-17,4,2,4
0,children 10-17,4,4,4
0,children 10-17,4,1,4
0,children 10-17,4,1,4
0,children 10-17,4,2,4
0,children 10-17,4,1,4
0,children 10-17,4,1,4
