,group,osm_cinemas,likely count,possible count
0,,,0,0
1,,,5,5
0,women,2,1,2
0,women,2,1,2
0,women,2,1,2
0,women,2,1,2
0,women,2,1,2
0,women,2,1,2
0,women,2,1,2
0,women,2,1,2
0,women,2,1,2
0,women,2,0,2
0,women,2,1,2
0,women,2,0,2
0,women,2,1,2
0,women,2,1,2
0,women,2,1,2
0,women,2,1,2
0,women,2,0,2
0,women,2,0,2
0,women,2,0,2
0,women,2,1,2
0,women,2,1,2
0,women,2,1,2
0,women,2,0,2
0,women,2,0,2
0,women,2,1,2
0,women,2,0,2
0,women,2,1,2
0,women,2,1,2
0,women,2,0,2
0,women,2,0,2
0,women,2,1,2
0,women,2,1,2
0,women,2,1,2
0,women,2,0,2
0,women,2,0,2
0,women,2,1,2
0,women,2,1,2
0,women,2,0,2
0,women,2,0,2
0,women,2,1,2
0,women,2,1,2
0,women,2,1,2
0,women,2,1,2
0,women,2,1,2
0,women,2,0,2
0,women,2,0,2
0,women,2,0,2
0,women,2,1,2
0,women,2,1,2
0,women,2,0,2
0,women,2,0,2
0,women,2,1,2
0,women,2,1,2
0,women,2,1,2
0,women,2,0,2
0,women,2,0,2
0,women,2,0,2
0,women,2,1,2
0,women,2,0,2
0,women,2,0,2
0,women,2,0,2
0,women,2,1,2
0,women,2,1,2
0,women,2,1,2
0,women,2,1,2
0,women,2,1,2
0,women,2,0,2
0,women,2,0,2
0,women,2,1,2
0,women,2,0,2
0,women,2,1,2
0,women,2,1,2
0,women,2,1,2
0,women,2,1,2
0,women,2,0,2
0,women,2,0,2
0,women,2,0,2
0,women,2,1,2
0,women,2,0,2
0,women,2,1,2
0,women,2,1,2
0,women,2,0,2
0,women,2,1,2
0,women,2,0,2
0,women,2,1,2
0,women,2,1,2
0,women,2,1,2
0,women,2,1,2
0,women,2,1,2
0,women,2,0,2
0,women,2,1,2
0,women,2,0,2
0,women,2,0,2
0,women,2,0,2
0,women,2,1,2
0,women,2,0,2
0,women,2,0,2
0,women,2,1,2
0,women,2,1,2
0,women,2,1,2
0,women,2,0,2
0,women,2,0,2
0,women,2,0,0
0,women,2,0,0
0,men,2,1,2
0,men,2,1,2
0,men,2,1,2
0,men,2,1,2
0,men,2,1,2
0,men,2,0,2
0,men,2,1,2
0,men,2,1,2
0,men,2,1,2
0,men,2,0,2
0,men,2,0,2
0,men,2,0,2
0,men,2,1,2
0,men,2,1,2
0,men,2,1,2
0,men,2,1,2
0,men,2,0,2
0,men,2,0,2
0,men,2,0,2
0,men,2,1,2
0,men,2,1,2
0,men,2,1,2
0,men,2,0,2
0,men,2,0,2
0,men,2,0,2
0,men,2,0,2
0,men,2,0,2
0,men,2,0,2
0,men,2,0,2
0,men,2,0,2
0,men,2,1,2
0,men,2,1,2
0,men,2,1,2
0,men,2,0,2
0,men,2,0,2
0,men,2,1,2
0,men,2,1,2
0,men,2,0,2
0,men,2,0,2
0,men,2,1,2
0,men,2,0,2
0,men,2,1,2
0,men,2,1,2
0,men,2,1,2
0,men,2,0,2
0,men,2,0,2
