,osm_cinemas,start_location,15_likely_women,15_possible_women,18_likely_women,18_possible_women,21_likely_women,21_possible_women,average_likely_women,average_possible_women,15_likely_men,15_possible_men,18_likely_men,18_possible_men,21_likely_men,21_possible_men,average_likely_men,average_possible_men,15_likely_children 10-17,15_possible_children 10-17,18_likely_children 10-17,18_possible_children 10-17,21_likely_children 10-17,21_possible_children 10-17,average_likely_children 10-17,average_possible_children 10-17,15_likely_45-64,15_possible_45-64,18_likely_45-64,18_possible_45-64,21_likely_45-64,21_possible_45-64,average_likely_45-64,average_possible_45-64,15_likely_65 and over,15_possible_65 and over,18_likely_65 and over,18_possible_65 and over,21_likely_65 and over,21_possible_65 and over,average_likely_65 and over,average_possible_65 and over,15 transit is reasonable,18 transit is reasonable,21 transit is reasonable,15 transit is more reasonable than car,18 transit is more reasonable than car,21 transit is more reasonable than car
0,5,POINT (6.08836505650297 50.762223831835016),0,5,1,5,1,5,1,5,0,5,0,5,0,5,0,5,4,5,4,5,4,5,4,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,80.0,80.0,60.0,0.0,0.0,0.0
0,5,POINT (6.1014451 50.770694450000015),0,5,1,5,3,5,0,5,0,5,0,5,0,5,0,5,5,5,5,5,5,5,5,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,100.0,100.0,100.0,0.0,0.0,0.0
0,5,POINT (6.104966414083623 50.77082564432684),0,5,0,5,3,5,0,5,0,5,0,5,0,5,0,5,5,5,5,5,5,5,5,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,100.0,100.0,100.0,0.0,0.0,0.0
0,5,POINT (6.0933840986466485 50.786702836388514),0,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,5,5,5,5,5,5,5,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,60.0,60.0,60.0,0.0,0.0,0.0
0,5,POINT (6.061559520674831 50.76946160374323),3,5,3,5,3,5,3,5,0,5,0,5,0,5,0,5,5,5,5,5,5,5,5,5,0,5,0,5,0,5,0,5,1,5,1,5,0,5,0,5,100.0,100.0,100.0,0.0,0.0,0.0
0,5,POINT (6.1096086397654314 50.77530568215149),0,5,0,5,1,5,1,5,0,5,0,5,0,5,0,5,5,5,5,5,5,5,5,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,100.0,100.0,100.0,0.0,0.0,0.0
0,5,POINT (6.111796039414862 50.769584763632345),0,5,0,5,2,5,0,5,0,5,0,5,0,5,0,5,5,5,5,5,5,5,5,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,100.0,100.0,100.0,0.0,0.0,0.0
0,5,POINT (6.080156316240895 50.77981526669621),5,5,5,5,5,5,5,5,2,5,2,5,2,5,2,5,5,5,5,5,5,5,5,5,1,5,1,5,1,5,1,5,4,5,5,5,5,5,5,5,80.0,80.0,80.0,40.0,60.0,60.0
0,5,POINT (6.12853745536601 50.76194999781503),0,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,1,5,1,5,0,5,1,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,100.0,100.0,100.0,0.0,0.0,0.0
0,5,POINT (6.088960003258174 50.76932624778633),4,5,4,5,4,5,4,5,2,5,2,5,2,5,2,5,5,5,5,5,5,5,5,5,1,5,1,5,1,5,1,5,3,5,3,5,3,5,3,5,40.0,40.0,40.0,0.0,0.0,0.0
