,osm_cinemas,start_location,15_likely_women,15_possible_women,18_likely_women,18_possible_women,21_likely_women,21_possible_women,average_likely_women,average_possible_women,15_likely_men,15_possible_men,18_likely_men,18_possible_men,21_likely_men,21_possible_men,average_likely_men,average_possible_men,15_likely_children 10-17,15_possible_children 10-17,18_likely_children 10-17,18_possible_children 10-17,21_likely_children 10-17,21_possible_children 10-17,average_likely_children 10-17,average_possible_children 10-17,15_likely_45-64,15_possible_45-64,18_likely_45-64,18_possible_45-64,21_likely_45-64,21_possible_45-64,average_likely_45-64,average_possible_45-64,15_likely_65 and over,15_possible_65 and over,18_likely_65 and over,18_possible_65 and over,21_likely_65 and over,21_possible_65 and over,average_likely_65 and over,average_possible_65 and over,15 transit is reasonable,18 transit is reasonable,21 transit is reasonable,15 transit is more reasonable than car,18 transit is more reasonable than car,21 transit is more reasonable than car
0,5,POINT (11.995105571321263 51.47971521227283),1,5,1,5,1,5,1,5,0,5,0,5,0,5,0,5,3,5,4,5,3,5,3,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,100.0,100.0,100.0,0.0,0.0,0.0
0,5,POINT (11.96164517351852 51.453134440456346),0,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,2,5,3,5,1,5,2,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,100.0,100.0,100.0,0.0,0.0,0.0
0,5,POINT (11.96987903548722 51.47750306836637),4,5,4,5,4,5,4,5,2,5,2,5,1,5,1,5,5,5,5,5,5,5,5,5,0,5,0,5,0,5,0,5,2,5,2,5,1,5,2,5,100.0,100.0,100.0,60.0,60.0,60.0
0,5,POINT (11.929675609930161 51.50581844633511),1,5,0,5,1,5,0,5,0,5,0,5,0,5,0,5,2,5,1,5,2,5,2,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,100.0,80.0,80.0,0.0,0.0,0.0
0,5,POINT (11.980824964657042 51.453890562501),0,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,2,5,2,5,1,5,1,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,100.0,100.0,100.0,0.0,0.0,0.0
0,5,POINT (11.970888753859356 51.4918734922076),2,5,3,5,2,5,2,5,1,5,1,5,1,5,1,5,4,5,4,5,4,5,4,5,1,5,1,5,1,5,1,5,1,5,2,5,2,5,1,5,80.0,80.0,80.0,0.0,0.0,0.0
0,5,POINT (11.957517918744701 51.5041776115696),2,5,2,5,2,5,2,5,1,5,1,5,1,5,1,5,3,5,2,5,2,5,2,5,0,5,0,5,0,5,0,5,1,5,1,5,1,5,1,5,60.0,80.0,80.0,0.0,0.0,0.0
0,5,POINT (11.974330083868953 51.46722016717327),0,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,2,5,3,5,2,5,3,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,60.0,80.0,40.0,0.0,0.0,0.0
0,5,POINT (11.967499729434381 51.48851690155432),2,5,2,5,2,5,2,5,1,5,1,5,1,5,1,5,4,5,4,5,4,5,4,5,0,5,0,5,0,5,0,5,2,5,2,5,2,5,2,5,100.0,100.0,100.0,0.0,0.0,20.0
0,5,POINT (11.969989347919947 51.481387860696394),1,5,1,5,1,5,1,5,0,5,0,5,0,5,0,5,5,5,5,5,5,5,5,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,60.0,60.0,60.0,0.0,0.0,0.0
0,5,POINT (11.925986123212576 51.49565789750089),0,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,1,5,1,5,0,5,1,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,80.0,80.0,60.0,0.0,0.0,0.0
0,5,POINT (11.904141415799534 51.51084462588773),0,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,1,5,1,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,100.0,100.0,60.0,0.0,0.0,0.0
0,5,POINT (11.967555142461435 51.496124052946996),2,5,2,5,2,5,2,5,0,5,0,5,0,5,0,5,4,5,4,5,2,5,4,5,0,5,0,5,0,5,0,5,2,5,2,5,2,5,2,5,100.0,100.0,100.0,0.0,0.0,0.0
0,5,POINT (11.956881483533735 51.456026628112554),0,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,1,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,100.0,100.0,100.0,0.0,0.0,0.0
