,osm_cinemas,start_location,15_likely_women,15_possible_women,18_likely_women,18_possible_women,21_likely_women,21_possible_women,average_likely_women,average_possible_women,15_likely_men,15_possible_men,18_likely_men,18_possible_men,21_likely_men,21_possible_men,average_likely_men,average_possible_men,15_likely_children 10-17,15_possible_children 10-17,18_likely_children 10-17,18_possible_children 10-17,21_likely_children 10-17,21_possible_children 10-17,average_likely_children 10-17,average_possible_children 10-17,15_likely_45-64,15_possible_45-64,18_likely_45-64,18_possible_45-64,21_likely_45-64,21_possible_45-64,average_likely_45-64,average_possible_45-64,15_likely_65 and over,15_possible_65 and over,18_likely_65 and over,18_possible_65 and over,21_likely_65 and over,21_possible_65 and over,average_likely_65 and over,average_possible_65 and over,15 transit is reasonable,18 transit is reasonable,21 transit is reasonable,15 transit is more reasonable than car,18 transit is more reasonable than car,21 transit is more reasonable than car
0,4,POINT (8.66896525072801 49.40736757451792),2,4,2,4,2,4,2,4,0,4,0,4,0,4,0,4,4,4,4,4,3,4,4,4,0,4,0,4,0,4,0,4,1,4,1,4,1,4,1,4,75.0,75.0,75.0,0.0,0.0,0.0
0,4,POINT (8.682260506674263 49.43300106269923),1,4,1,4,1,4,1,4,0,4,0,4,0,4,0,4,1,4,1,4,1,4,1,4,0,4,0,4,0,4,0,4,1,4,1,4,1,4,1,4,100.0,100.0,100.0,0.0,0.0,0.0
0,4,POINT (8.665880424678265 49.377722618584365),1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,3,4,3,4,3,4,3,4,0,4,0,4,0,4,0,4,1,4,1,4,1,4,1,4,100.0,100.0,100.0,25.0,25.0,25.0
0,4,POINT (8.683975120477092 49.42868445131181),1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,3,4,3,4,3,4,3,4,0,4,0,4,0,4,0,4,1,4,1,4,1,4,1,4,100.0,100.0,100.0,25.0,25.0,25.0
0,4,POINT (8.69009575 49.388581800000004),1,4,1,4,1,4,1,4,0,4,0,4,0,4,0,4,3,4,3,4,2,4,2,4,0,4,0,4,0,4,0,4,1,4,1,4,1,4,1,4,100.0,100.0,75.0,0.0,0.0,0.0
0,4,POINT (8.6495801 49.4000123),0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,2,4,2,4,1,4,2,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,100.0,100.0,50.0,0.0,0.0,0.0
0,4,POINT (8.693478588608912 49.39907296382343),1,4,1,4,2,4,1,4,0,4,1,4,1,4,0,4,3,4,3,4,3,4,3,4,0,4,0,4,0,4,0,4,0,4,1,4,1,4,1,4,100.0,100.0,75.0,0.0,0.0,0.0
0,4,POINT (8.662535461305172 49.41017340846859),0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,2,4,2,4,2,4,2,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,100.0,100.0,100.0,0.0,0.0,0.0
0,4,POINT (8.663877976033179 49.37418578964827),1,4,1,4,1,4,1,4,0,4,0,4,0,4,0,4,1,4,1,4,2,4,1,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,100.0,100.0,100.0,0.0,0.0,0.0
0,4,POINT (8.679410698918648 49.430658041954835),1,4,1,4,1,4,1,4,0,4,0,4,0,4,0,4,1,4,1,4,1,4,1,4,0,4,0,4,0,4,0,4,1,4,1,4,1,4,1,4,100.0,100.0,100.0,0.0,0.0,0.0
0,4,POINT (8.68402727611882 49.40201190450954),1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,4,4,4,4,4,4,4,4,0,4,0,4,0,4,0,4,1,4,1,4,1,4,1,4,100.0,100.0,100.0,25.0,25.0,25.0
0,4,POINT (8.738858608025605 49.415160523169746),0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,2,4,2,4,2,4,2,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,100.0,100.0,100.0,0.0,0.0,25.0
0,4,POINT (8.6828708 49.42068340000001),1,4,1,4,1,4,1,4,0,4,0,4,0,4,0,4,3,4,3,4,2,4,2,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,100.0,100.0,100.0,0.0,0.0,0.0
0,4,POINT (8.690803315148495 49.430721747281325),0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,1,4,1,4,1,4,1,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,100.0,100.0,100.0,0.0,0.0,0.0
0,4,POINT (8.707173195498811 49.40832765805713),2,4,2,4,2,4,2,4,2,4,2,4,2,4,2,4,3,4,3,4,2,4,3,4,0,4,0,4,0,4,0,4,2,4,2,4,2,4,2,4,100.0,100.0,100.0,0.0,0.0,0.0
0,4,POINT (8.687520210940228 49.41906954978757),1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,2,4,2,4,2,4,2,4,0,4,0,4,0,4,0,4,1,4,1,4,1,4,1,4,100.0,100.0,100.0,0.0,0.0,0.0
0,4,POINT (8.636576300000002 49.397203950000005),0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,100.0,100.0,100.0,0.0,0.0,0.0
0,4,POINT (8.66139091515549 49.403470002388666),1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,4,4,4,4,3,4,3,4,0,4,0,4,0,4,0,4,1,4,1,4,1,4,1,4,75.0,75.0,75.0,0.0,0.0,0.0
0,4,POINT (8.685121759464037 49.39777777582827),2,4,2,4,2,4,2,4,0,4,0,4,0,4,0,4,4,4,4,4,3,4,3,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,100.0,100.0,75.0,0.0,0.0,0.0
0,4,POINT (8.683692229043224 49.40320508118639),0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,3,4,3,4,2,4,3,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,75.0,75.0,100.0,0.0,0.0,0.0
0,4,POINT (8.691849976310344 49.416151110511564),1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,2,4,2,4,2,4,2,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,75.0,75.0,75.0,0.0,0.0,0.0
0,4,POINT (8.687333483805944 49.40466744199235),2,4,2,4,1,4,1,4,1,4,1,4,1,4,1,4,4,4,4,4,4,4,4,4,0,4,0,4,0,4,0,4,1,4,1,4,1,4,1,4,100.0,100.0,100.0,0.0,0.0,0.0
0,4,POINT (8.680101084036169 49.43154713285661),0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,1,4,1,4,1,4,1,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,100.0,100.0,100.0,0.0,0.0,0.0
0,4,POINT (8.683114859253369 49.42181531892738),0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,1,4,1,4,1,4,1,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,100.0,100.0,75.0,0.0,0.0,0.0
0,4,POINT (8.639649971668016 49.40130665503644),0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,1,4,1,4,1,4,1,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,100.0,100.0,50.0,0.0,0.0,0.0
0,4,POINT (8.68966481525779 49.417274168229916),1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,2,4,2,4,2,4,2,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,75.0,75.0,75.0,0.0,0.0,0.0
0,4,POINT (8.69196215 49.37460769999999),0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,75.0,75.0,50.0,0.0,0.0,0.0
0,4,POINT (8.71500151199866 49.412204685252306),2,4,2,4,2,4,2,4,1,4,1,4,1,4,1,4,2,4,2,4,2,4,2,4,0,4,0,4,0,4,0,4,1,4,1,4,1,4,1,4,100.0,100.0,100.0,0.0,0.0,0.0
0,4,POINT (8.690676764559118 49.4085242817006),1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,4,4,4,4,4,4,4,4,0,4,0,4,0,4,0,4,1,4,1,4,1,4,1,4,100.0,100.0,100.0,0.0,0.0,0.0
0,4,POINT (8.687325138639567 49.40177170417403),1,4,1,4,1,4,1,4,0,4,0,4,0,4,0,4,3,4,3,4,3,4,3,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,100.0,100.0,100.0,0.0,0.0,0.0
0,4,POINT (8.691144229220681 49.37572017560547),0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,75.0,75.0,50.0,0.0,0.0,0.0
0,4,POINT (8.64204347890509 49.39956353621182),0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,1,4,1,4,1,4,1,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,100.0,100.0,75.0,0.0,0.0,0.0
0,4,POINT (8.648737676634289 49.42303798565388),0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,2,4,2,4,2,4,2,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,100.0,100.0,100.0,0.0,0.0,0.0
0,4,POINT (8.689526198226599 49.42783171259014),0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,1,4,1,4,1,4,1,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,100.0,100.0,100.0,0.0,0.0,0.0
0,4,POINT (8.673100827944575 49.382962154746515),1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,3,4,3,4,3,4,3,4,0,4,0,4,0,4,0,4,1,4,1,4,1,4,1,4,100.0,100.0,100.0,25.0,25.0,25.0
0,4,POINT (8.655041197216946 49.409503603996065),0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,1,4,1,4,1,4,1,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,75.0,75.0,75.0,0.0,0.0,0.0
0,4,POINT (8.6395972 49.399942349999996),0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,1,4,1,4,1,4,1,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,100.0,100.0,75.0,0.0,0.0,0.0
0,4,POINT (8.70724879316383 49.412322466667945),2,4,2,4,2,4,2,4,1,4,1,4,1,4,1,4,2,4,2,4,2,4,2,4,1,4,1,4,1,4,1,4,2,4,2,4,2,4,2,4,75.0,75.0,75.0,0.0,0.0,0.0
0,4,POINT (8.773635026446657 49.41444512382805),0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,1,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,100.0,100.0,100.0,0.0,0.0,0.0
0,4,POINT (8.683257189111687 49.40092917559825),0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,2,4,2,4,2,4,2,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,75.0,75.0,75.0,0.0,0.0,0.0
0,4,POINT (8.774045744678393 49.414365649490605),0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,100.0,100.0,100.0,0.0,0.0,0.0
0,4,POINT (8.6973070055703 49.41147607290087),2,4,2,4,2,4,2,4,0,4,0,4,0,4,0,4,2,4,2,4,2,4,2,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,50.0,50.0,50.0,0.0,0.0,0.0
0,4,POINT (8.67151978394275 49.37561301716229),0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,75.0,75.0,75.0,0.0,0.0,0.0
0,4,POINT (8.63331535 49.4031795),0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,1,4,1,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,100.0,100.0,100.0,0.0,0.0,0.0
0,4,POINT (8.682852985002993 49.40367427415887),0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,2,4,2,4,2,4,2,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,50.0,50.0,50.0,0.0,0.0,0.0
0,4,POINT (8.704862195122235 49.36231306017488),0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,100.0,100.0,100.0,0.0,0.0,0.0
