,osm_cinemas,start_location,15_likely_women,15_possible_women,18_likely_women,18_possible_women,21_likely_women,21_possible_women,average_likely_women,average_possible_women,15_likely_men,15_possible_men,18_likely_men,18_possible_men,21_likely_men,21_possible_men,average_likely_men,average_possible_men,15_likely_children 10-17,15_possible_children 10-17,18_likely_children 10-17,18_possible_children 10-17,21_likely_children 10-17,21_possible_children 10-17,average_likely_children 10-17,average_possible_children 10-17,15_likely_45-64,15_possible_45-64,18_likely_45-64,18_possible_45-64,21_likely_45-64,21_possible_45-64,average_likely_45-64,average_possible_45-64,15_likely_65 and over,15_possible_65 and over,18_likely_65 and over,18_possible_65 and over,21_likely_65 and over,21_possible_65 and over,average_likely_65 and over,average_possible_65 and over,15 transit is reasonable,18 transit is reasonable,21 transit is reasonable,15 transit is more reasonable than car,18 transit is more reasonable than car,21 transit is more reasonable than car
0,1,POINT (11.7256568 54.14168625000001),0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0
0,1,POINT (11.732496514368211 54.15051267172215),0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0
0,1,POINT (11.70646875244348 54.15287706578111),0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0
0,1,POINT (11.723761189488888 54.1447357177669),0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0
0,1,POINT (11.7305848 54.142153900000004),0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0
0,1,POINT (11.76062015188238 54.145962295058766),0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,100.0,100.0,100.0,0.0,0.0,0.0
0,1,POINT (11.724114049999999 54.149201100000006),1,1,1,1,1,1,1,1,0,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0
0,1,POINT (11.74098420536721 54.143040645913366),0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,100.0,100.0,100.0,0.0,0.0,0.0
0,1,POINT (11.762314161045149 54.14308056544596),0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,100.0,100.0,100.0,0.0,0.0,0.0
0,1,POINT (11.7539113 54.14147515),0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,100.0,100.0,100.0,0.0,0.0,0.0
0,1,POINT (11.753777600000001 54.14053565000002),0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,100.0,100.0,100.0,0.0,0.0,0.0
0,1,POINT (11.733500600000001 54.14440025),0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,100.0,100.0,100.0,0.0,0.0,0.0
0,1,POINT (11.747172615751728 54.142162226303036),0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,100.0,100.0,100.0,0.0,0.0,0.0
0,1,POINT (11.720963550000002 54.14152425),0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0
0,1,POINT (11.720517549263377 54.151291113393555),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0
0,1,POINT (11.752650790450376 54.13111183994139),0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,100.0,100.0,100.0,0.0,0.0,0.0
0,1,POINT (11.756852214225868 54.14532724444975),0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,100.0,100.0,100.0,0.0,0.0,0.0
0,1,POINT (11.700685123357665 54.148510147201954),0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0
0,1,POINT (11.762374343752148 54.14592591563463),0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,100.0,100.0,100.0,0.0,0.0,0.0
0,1,POINT (11.727195876101964 54.15019230937287),1,1,1,1,1,1,1,1,0,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0
0,1,POINT (11.73392943164535 54.14463252569341),0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,100.0,100.0,100.0,0.0,0.0,0.0
0,1,POINT (11.72394383705696 54.142133427896816),0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0
0,1,POINT (11.724021377675518 54.15287345441524),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0
0,1,POINT (11.76730130513773 54.14970575534414),0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,100.0,100.0,100.0,0.0,0.0,0.0
0,1,POINT (11.75277873253574 54.139831637174765),0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,100.0,100.0,100.0,0.0,0.0,0.0
0,1,POINT (11.728281962388875 54.15064144266091),1,1,1,1,1,1,1,1,0,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0
0,1,POINT (11.751119 54.140264400000014),0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,100.0,100.0,100.0,0.0,0.0,0.0
0,1,POINT (11.759567000000002 54.140883550000005),0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,100.0,100.0,100.0,0.0,0.0,0.0
0,1,POINT (11.7328568 54.143094549999994),0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,100.0,100.0,100.0,0.0,0.0,0.0
0,1,POINT (11.7354941 54.1438471),0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,100.0,100.0,100.0,0.0,0.0,0.0
0,1,POINT (11.710375115359215 54.1508134867834),1,1,1,1,1,1,1,1,0,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0
0,1,POINT (11.764665486606214 54.14347336549679),0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,100.0,100.0,100.0,0.0,0.0,0.0
0,1,POINT (11.723847319919448 54.140662977607604),0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0
0,1,POINT (11.755681649999998 54.1490821),0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,100.0,100.0,100.0,0.0,0.0,0.0
