,osm_cinemas,start_location,15_likely_women,15_possible_women,18_likely_women,18_possible_women,21_likely_women,21_possible_women,average_likely_women,average_possible_women,15_likely_men,15_possible_men,18_likely_men,18_possible_men,21_likely_men,21_possible_men,average_likely_men,average_possible_men,15_likely_children 10-17,15_possible_children 10-17,18_likely_children 10-17,18_possible_children 10-17,21_likely_children 10-17,21_possible_children 10-17,average_likely_children 10-17,average_possible_children 10-17,15_likely_45-64,15_possible_45-64,18_likely_45-64,18_possible_45-64,21_likely_45-64,21_possible_45-64,average_likely_45-64,average_possible_45-64,15_likely_65 and over,15_possible_65 and over,18_likely_65 and over,18_possible_65 and over,21_likely_65 and over,21_possible_65 and over,average_likely_65 and over,average_possible_65 and over,15 transit is reasonable,18 transit is reasonable,21 transit is reasonable,15 transit is more reasonable than car,18 transit is more reasonable than car,21 transit is more reasonable than car
0,2,POINT (8.115673491812512 49.19820397155789),1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,2,2,2,2,2,2,2,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,50.0,50.0,50.0,0.0,0.0,0.0
0,2,POINT (8.109358799999999 49.19468679999999),1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,2,2,2,2,2,2,2,2,0,2,0,2,0,2,0,2,1,2,1,2,1,2,1,2,50.0,50.0,50.0,0.0,0.0,0.0
0,2,POINT (8.114063257142952 49.19702713679676),1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,2,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,50.0,50.0,0.0,0.0,0.0,0.0
0,2,POINT (8.11615755 49.19612099999999),1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,2,2,1,2,1,2,2,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,50.0,0.0,0.0,0.0,0.0,0.0
0,2,POINT (8.115137773909515 49.19806543842663),1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,2,2,2,2,2,2,2,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,50.0,50.0,50.0,0.0,0.0,0.0
0,2,POINT (8.110049977166405 49.19017828833361),1,2,0,2,0,2,1,2,0,2,0,2,0,2,0,2,2,2,2,2,1,2,2,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,100.0,100.0,50.0,0.0,0.0,0.0
0,2,POINT (8.111555241647704 49.197966659676695),1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,2,2,2,2,1,2,1,2,0,2,0,2,0,2,0,2,1,2,1,2,1,2,1,2,50.0,50.0,50.0,0.0,0.0,0.0
0,2,POINT (8.116937957401461 49.19394016975103),2,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,2,2,2,2,2,2,2,2,0,2,0,2,0,2,0,2,1,2,1,2,1,2,1,2,50.0,0.0,0.0,0.0,0.0,0.0
0,2,POINT (8.115199700000002 49.19911675000001),1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,2,2,2,2,2,2,2,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,50.0,50.0,50.0,0.0,0.0,0.0
0,2,POINT (8.119029849999999 49.20749880000001),0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,1,2,1,2,1,2,1,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,100.0,100.0,0.0,0.0,0.0,0.0
0,2,POINT (8.1347797 49.197627649999994),1,2,1,2,0,2,1,2,1,2,1,2,0,2,0,2,2,2,2,2,2,2,2,2,0,2,0,2,0,2,0,2,1,2,1,2,0,2,0,2,100.0,100.0,50.0,0.0,0.0,0.0
0,2,POINT (8.1347797 49.197627649999994),0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,2,2,2,2,2,2,2,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,50.0,50.0,50.0,0.0,0.0,0.0
0,2,POINT (8.113239403683185 49.197517589267825),1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,2,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,50.0,50.0,50.0,0.0,0.0,0.0
0,2,POINT (8.112826418343126 49.19565482522544),1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,2,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,50.0,50.0,50.0,0.0,0.0,0.0
0,2,POINT (8.110669063489242 49.19564967429368),1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,2,2,1,2,1,2,1,2,0,2,0,2,0,2,0,2,1,2,1,2,1,2,1,2,50.0,50.0,50.0,0.0,0.0,0.0
0,2,POINT (8.1131656 49.193314),1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,0,2,0,2,0,2,0,2,1,2,1,2,1,2,1,2,0.0,0.0,50.0,0.0,0.0,0.0
0,2,POINT (8.110014249999997 49.19041199999999),0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,2,2,1,2,1,2,1,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,50.0,50.0,0.0,0.0,0.0,0.0
0,2,POINT (8.120151324808182 49.20480109514346),0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,1,2,1,2,1,2,1,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0.0,0.0,0.0,0.0,0.0,0.0
0,2,POINT (8.121670500000004 49.206514),0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,1,2,1,2,1,2,1,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,50.0,0.0,0.0,0.0,0.0,0.0
0,2,POINT (8.115671883710064 49.197140670758166),1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,0.0,0.0,0.0,0.0,0.0,0.0
0,2,POINT (8.10848589965972 49.19784063814469),1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,0,2,0,2,0,2,0,2,1,2,1,2,1,2,1,2,0.0,50.0,50.0,0.0,0.0,0.0
0,2,POINT (8.113256324038863 49.196075143460604),1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,2,2,2,2,2,2,2,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,50.0,50.0,50.0,0.0,0.0,0.0
0,2,POINT (8.093897089548072 49.195859779456306),0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,1,2,1,2,1,2,1,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,100.0,100.0,50.0,0.0,0.0,0.0
0,2,POINT (8.122862440366644 49.202795674837375),0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,1,2,1,2,1,2,1,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0.0,0.0,0.0,0.0,0.0,0.0
0,2,POINT (8.114247517741578 49.20382728559346),1,2,1,2,1,2,1,2,0,2,0,2,0,2,0,2,1,2,1,2,2,2,1,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,50.0,50.0,50.0,0.0,0.0,0.0
0,2,POINT (8.117019800000001 49.2057276),0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,1,2,1,2,1,2,1,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,50.0,50.0,0.0,0.0,0.0,0.0
0,2,POINT (8.122326511626717 49.19503502913377),1,2,1,2,1,2,1,2,0,2,0,2,0,2,0,2,2,2,2,2,2,2,2,2,0,2,0,2,0,2,0,2,1,2,1,2,1,2,1,2,50.0,0.0,0.0,0.0,0.0,0.0
0,2,POINT (8.11436757054455 49.201875483211865),1,2,1,2,1,2,1,2,0,2,0,2,0,2,0,2,2,2,1,2,2,2,2,2,0,2,0,2,0,2,0,2,1,2,1,2,1,2,1,2,50.0,50.0,50.0,0.0,0.0,0.0
0,2,POINT (8.123306 49.20293875000001),0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,1,2,1,2,1,2,1,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,50.0,50.0,50.0,0.0,0.0,0.0
0,2,POINT (8.088060549999998 49.19715195),0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,1,2,1,2,1,2,1,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,100.0,100.0,50.0,0.0,0.0,0.0
0,2,POINT (8.10871045276546 49.195946384122),1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,2,2,1,2,1,2,1,2,0,2,0,2,0,2,0,2,1,2,1,2,1,2,1,2,50.0,50.0,50.0,0.0,0.0,0.0
