,osm_cinemas,start_location,15_likely_women,15_possible_women,18_likely_women,18_possible_women,21_likely_women,21_possible_women,average_likely_women,average_possible_women,15_likely_men,15_possible_men,18_likely_men,18_possible_men,21_likely_men,21_possible_men,average_likely_men,average_possible_men,15_likely_children 10-17,15_possible_children 10-17,18_likely_children 10-17,18_possible_children 10-17,21_likely_children 10-17,21_possible_children 10-17,average_likely_children 10-17,average_possible_children 10-17,15_likely_45-64,15_possible_45-64,18_likely_45-64,18_possible_45-64,21_likely_45-64,21_possible_45-64,average_likely_45-64,average_possible_45-64,15_likely_65 and over,15_possible_65 and over,18_likely_65 and over,18_possible_65 and over,21_likely_65 and over,21_possible_65 and over,average_likely_65 and over,average_possible_65 and over,15 transit is reasonable,18 transit is reasonable,21 transit is reasonable,15 transit is more reasonable than car,18 transit is more reasonable than car,21 transit is more reasonable than car
0,4,POINT (8.098355433538945 52.29700930162381),0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,2,4,2,4,1,4,1,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,100.0,100.0,75.0,0.0,0.0,0.0
0,4,POINT (8.03554612503724 52.252051557520225),0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,1,4,1,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,75.0,75.0,75.0,0.0,0.0,0.0
0,4,POINT (8.005411426610497 52.256298067489325),0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,75.0,75.0,25.0,0.0,0.0,0.0
0,4,POINT (8.043324945065656 52.25377890090723),0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,75.0,75.0,75.0,0.0,0.0,0.0
0,4,POINT (8.067155009595895 52.25852846276014),1,4,1,4,2,4,1,4,0,4,0,4,0,4,0,4,3,4,3,4,4,4,4,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,75.0,75.0,100.0,0.0,0.0,0.0
0,4,POINT (7.975933523824302 52.300551449563606),0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,100.0,100.0,75.0,0.0,0.0,0.0
0,4,POINT (8.075702746919154 52.240307911492465),0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,1,4,1,4,1,4,1,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,75.0,75.0,75.0,0.0,0.0,0.0
0,4,POINT (8.06228896429074 52.25013557338104),1,4,1,4,1,4,1,4,0,4,0,4,0,4,0,4,1,4,2,4,4,4,2,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,75.0,75.0,75.0,0.0,0.0,0.0
0,4,POINT (8.037237374769843 52.25427665556391),0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,75.0,75.0,75.0,0.0,0.0,0.0
0,4,POINT (8.149075463618473 52.27823395748375),0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,100.0,100.0,100.0,0.0,0.0,0.0
0,4,POINT (7.989944030706337 52.25929580484371),0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,75.0,100.0,50.0,0.0,0.0,0.0
0,4,POINT (8.039915119487086 52.30915380551389),0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,1,4,1,4,1,4,1,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,100.0,100.0,100.0,0.0,0.0,0.0
0,4,POINT (8.104409220832283 52.251556816041614),0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,2,4,3,4,2,4,2,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,100.0,100.0,100.0,0.0,0.0,0.0
